ANO,Q022,UF,INSCRICOES,PARTICIPANTES
2019,A,AC,1319,942
2019,A,AL,2177,1578
2019,A,AM,4321,2645
2019,A,AP,1525,1021
2019,A,BA,10095,7154
2019,A,CE,12549,8954
2019,A,DF,1839,1264
2019,A,ES,1516,1053
2019,A,GO,2963,2060
2019,A,MA,8654,6248
2019,A,MG,6889,4834
2019,A,MS,1506,1019
2019,A,MT,1842,1249
2019,A,PA,9397,6772
2019,A,PB,2719,2069
2019,A,PE,6222,4523
2019,A,PI,3102,2327
2019,A,PR,2503,1708
2019,A,RJ,6114,4280
2019,A,RN,1953,1447
2019,A,RO,1303,872
2019,A,RR,361,227
2019,A,RS,3079,2066
2019,A,SC,1317,877
2019,A,SE,1405,1061
2019,A,SP,11485,7715
2019,A,TO,1184,838
2019,B,AC,11805,7805
2019,B,AL,24109,17107
2019,B,AM,33019,19408
2019,B,AP,12747,8410
2019,B,BA,104052,70581
2019,B,CE,91914,66256
2019,B,DF,16467,9955
2019,B,ES,16361,9853
2019,B,GO,29177,18689
2019,B,MA,69247,50004
2019,B,MG,83433,53829
2019,B,MS,15046,9032
2019,B,MT,17882,10644
2019,B,PA,89876,63043
2019,B,PB,37818,27737
2019,B,PE,62374,43157
2019,B,PI,35236,26373
2019,B,PR,31337,19196
2019,B,RJ,61545,39255
2019,B,RN,26074,18269
2019,B,RO,14738,9319
2019,B,RR,2919,1763
2019,B,RS,38406,23839
2019,B,SC,16840,10191
2019,B,SE,20148,14391
2019,B,SP,112166,66984
2019,B,TO,10662,6975
2019,C,AC,13534,9446
2019,C,AL,31497,22977
2019,C,AM,40081,24479
2019,C,AP,14670,10237
2019,C,BA,136734,97089
2019,C,CE,96493,70852
2019,C,DF,26381,17132
2019,C,ES,31595,20757
2019,C,GO,51845,35577
2019,C,MA,74068,54699
2019,C,MG,161313,111463
2019,C,MS,22747,14803
2019,C,MT,27341,17502
2019,C,PA,94200,68679
2019,C,PB,53088,39968
2019,C,PE,93195,67693
2019,C,PI,41735,31997
2019,C,PR,60280,40138
2019,C,RJ,100806,68616
2019,C,RN,41929,30757
2019,C,RO,20691,13804
2019,C,RR,4099,2664
2019,C,RS,70930,47974
2019,C,SC,30693,20691
2019,C,SE,28259,21100
2019,C,SP,211601,138916
2019,C,TO,15199,10537
2019,D,AC,8041,6065
2019,D,AL,19993,15835
2019,D,AM,25424,17209
2019,D,AP,8817,6449
2019,D,BA,95909,73785
2019,D,CE,58452,46098
2019,D,DF,26269,19534
2019,D,ES,31869,24155
2019,D,GO,50960,39039
2019,D,MA,43630,33970
2019,D,MG,166058,126780
2019,D,MS,19214,14441
2019,D,MT,25181,18565
2019,D,PA,54969,42906
2019,D,PB,33436,26930
2019,D,PE,69650,54557
2019,D,PI,26448,21282
2019,D,PR,68739,51969
2019,D,RJ,101316,77272
2019,D,RN,30949,24817
2019,D,RO,14038,10519
2019,D,RR,3183,2303
2019,D,RS,68551,52321
2019,D,SC,37377,28815
2019,D,SE,18428,14678
2019,D,SP,267522,201671
2019,D,TO,11799,8919
2019,E,AC,3946,3169
2019,E,AL,12048,9910
2019,E,AM,15299,10838
2019,E,AP,4844,3757
2019,E,BA,48637,38790
2019,E,CE,35576,29144
2019,E,DF,24893,19656
2019,E,ES,20932,16440
2019,E,GO,35035,28301
2019,E,MA,22475,18049
2019,E,MG,116932,93177
2019,E,MS,11880,9484
2019,E,MT,15875,12305
2019,E,PA,31151,25220
2019,E,PB,20115,16837
2019,E,PE,43876,35486
2019,E,PI,15791,13186
2019,E,PR,48447,38144
2019,E,RJ,69935,55595
