ANO,Q025,UF,QTD
2019,A,AC,19035
2019,A,AL,23653
2019,A,AM,54340
2019,A,AP,21129
2019,A,BA,92839
2019,A,CE,96733
2019,A,DF,14132
2019,A,ES,14228
2019,A,GO,30226
2019,A,MA,103294
2019,A,MG,83575
2019,A,MS,15096
2019,A,MT,20606
2019,A,PA,139034
2019,A,PB,33411
2019,A,PE,52759
2019,A,PI,51118
2019,A,PR,22411
2019,A,RJ,44515
2019,A,RN,25942
2019,A,RO,15878
2019,A,RR,4747
2019,A,RS,29167
2019,A,SC,8513
2019,A,SE,23993
2019,A,SP,84437
2019,A,TO,15627
2019,B,AC,19610
2019,B,AL,66171
2019,B,AM,63804
2019,B,AP,21474
2019,B,BA,302588
2019,B,CE,198251
2019,B,DF,81717
2019,B,ES,88045
2019,B,GO,139754
2019,B,MA,114780
2019,B,MG,451050
2019,B,MS,55297
2019,B,MT,67515
2019,B,PA,140559
2019,B,PB,113765
2019,B,PE,222558
2019,B,PI,71194
2019,B,PR,188895
2019,B,RJ,295201
2019,B,RN,93377
2019,B,RO,42761
2019,B,RR,8209
2019,B,RS,189302
2019,B,SC,102186
2019,B,SE,54495
2019,B,SP,731553
2019,B,TO,30622
2020,A,AC,17293
2020,A,AL,20279
2020,A,AM,63769
2020,A,AP,18008
2020,A,BA,84110
2020,A,CE,85902
2020,A,DF,14503
2020,A,ES,11683
2020,A,GO,32485
2020,A,MA,89762
2020,A,MG,69829
2020,A,MS,15096
2020,A,MT,19311
2020,A,PA,136201
2020,A,PB,28075
2020,A,PE,46868
2020,A,PI,43718
2020,A,PR,19880
2020,A,RJ,44289
2020,A,RN,21066
2020,A,RO,14039
2020,A,RR,4801
2020,A,RS,27727
2020,A,SC,7978
2020,A,SE,22733
2020,A,SP,76239
2020,A,TO,16688
2020,B,AC,23378
2020,B,AL,80438
2020,B,AM,96761
2020,B,AP,28474
2020,B,BA,360626
2020,B,CE,236668
2020,B,DF,98667
2020,B,ES,92846
2020,B,GO,176859
2020,B,MA,147072
2020,B,MG,498694
2020,B,MS,67528
2020,B,MT,79600
2020,B,PA,194106
2020,B,PB,133411
2020,B,PE,266004
2020,B,PI,89569
2020,B,PR,213331
2020,B,RJ,336398
2020,B,RN,108035
2020,B,RO,54602
2020,B,RR,12035
2020,B,RS,218147
2020,B,SC,110206
2020,B,SE,64160
2020,B,SP,805643
2020,B,TO,41553
2021,A,AC,5427
2021,A,AL,6231
2021,A,AM,28556
2021,A,AP,4682
2021,A,BA,27596
2021,A,CE,40702
2021,A,DF,3731
2021,A,ES,3477
2021,A,GO,11640
2021,A,MA,29562
2021,A,MG,18679
2021,A,MS,3558
2021,A,MT,5087
2021,A,PA,50267
2021,A,PB,10727
2021,A,PE,17993
2021,A,PI,14405
2021,A,PR,4634
2021,A,RJ,15167
2021,A,RN,6530
2021,A,RO,3001
2021,A,RR,1012
2021,A,RS,6777
2021,A,SC,2264
2021,A,SE,8287
2021,A,SP,17813
2021,A,TO,4393
2021,B,AC,14909
2021,B,AL,50353
2021,B,AM,61222
2021,B,AP,17092
2021,B,BA,238598
2021,B,CE,179815
2021,B,DF,63770
2021,B,ES,60704
2021,B,GO,125275
2021,B,MA,98343
2021,B,MG,309150
2021,B,MS,38932
2021,B,MT,50998
2021,B,PA,135711
2021,B,PB,91275
2021,B,PE,175623
