ANO,TP_COR_RACA,UF,INSCRICOES,PARTICIPANTES
2019,0,AC,717,511
2019,0,AL,2064,1560
2019,0,AM,2453,1591
2019,0,AP,749,529
2019,0,BA,9285,6708
2019,0,CE,8218,5858
2019,0,DF,2582,1763
2019,0,ES,1606,1110
2019,0,GO,5138,3861
2019,0,MA,3572,2616
2019,0,MG,10863,7727
2019,0,MS,1298,896
2019,0,MT,1807,1247
2019,0,PA,4330,3230
2019,0,PB,2889,2159
2019,0,PE,6658,4769
2019,0,PI,2116,1602
2019,0,PR,3696,2562
2019,0,RJ,7803,5463
2019,0,RN,2123,1557
2019,0,RO,1091,759
2019,0,RR,196,145
2019,0,RS,4482,3096
2019,0,SC,2359,1641
2019,0,SE,1730,1318
2019,0,SP,12566,8580
2019,0,TO,808,575
2019,1,AC,5886,4235
2019,1,AL,19785,15292
2019,1,AM,16786,11034
2019,1,AP,6823,4953
2019,1,BA,59053,45452
2019,1,CE,60204,47558
2019,1,DF,30595,22522
2019,1,ES,34780,26006
2019,1,GO,54706,41595
2019,1,MA,39371,29885
2019,1,MG,202227,154470
2019,1,MS,29507,21345
2019,1,MT,26154,18816
2019,1,PA,42268,32185
2019,1,PB,41600,32617
2019,1,PE,78400,60497
2019,1,PI,21256,16857
2019,1,PR,136982,100577
2019,1,RJ,142214,107404
2019,1,RN,42778,32911
2019,1,RO,13718,9790
2019,1,RR,2191,1544
2019,1,RS,168722,122322
2019,1,SC,82096,61098
2019,1,SE,12597,10085
2019,1,SP,452371,337313
2019,1,TO,8680,6517
2019,2,AC,4271,3059
2019,2,AL,10219,7531
2019,2,AM,6264,3904
2019,2,AP,5698,3973
2019,2,BA,112215,79186
2019,2,CE,24385,18204
2019,2,DF,13815,9450
2019,2,ES,15137,10107
2019,2,GO,19208,13236
2019,2,MA,31913,23585
2019,2,MG,75148,51538
2019,2,MS,5545,3668
2019,2,MT,11779,7707
2019,2,PA,34220,25344
2019,2,PB,13901,10632
2019,2,PE,32788,23686
2019,2,PI,18653,14300
2019,2,PR,10385,6806
2019,2,RJ,60368,41425
2019,2,RN,11622,8648
2019,2,RO,6457,4452
2019,2,RR,948,630
2019,2,RS,15505,10086
2019,2,SC,5084,3147
2019,2,SE,12694,9510
2019,2,SP,82878,54390
2019,2,TO,7198,5009
2019,3,AC,26211,18497
2019,3,AL,53596,39988
2019,3,AM,86882,54467
2019,3,AP,28474,19817
2019,3,BA,202126,146867
2019,3,CE,193821,143505
2019,3,DF,45731,31724
2019,3,ES,48389,33444
2019,3,GO,83200,59488
2019,3,MA,138620,103546
2019,3,MG,232460,166792
2019,3,MS,30810,20628
2019,3,MT,45679,30730
2019,3,PA,191440,140488
2019,3,PB,82679,63479
2019,3,PE,145913,107985
2019,3,PI,76108,59130
2019,3,PR,55209,37401
2019,3,RJ,122641,86187
2019,3,RN,59587,45078
2019,3,RO,35188,24248
2019,3,RR,8915,6017
2019,3,RS,28296,19383
2019,3,SC,19671,13015
2019,3,SE,48561,36727
2019,3,SP,246148,165791
2019,3,TO,27656,19689
2019,4,AC,1252,906
2019,4,AL,3476,2556
2019,4,AM,2216,1437
2019,4,AP,629,437
2019,4,BA,9953,7242
2019,4,CE,6580,4885
2019,4,DF,2668,1800
2019,4,ES,1764,1195
2019,4,GO,7032,5016
2019,4,MA,3739,2741
2019,4,MG,11788,8155
2019,4,MS,1633,1186
2019,4,MT,2116,1411
2019,4,PA,5619,4129
2019,4,PB,4604,3529
2019,4,PE,7870,5829
2019,4,PI,3585,2809
2019,4,PR,4589,3536
2019,4,RJ,5515,3747
2019,4,RN,2724,2024
2019,4,RO,1661,1145
2019,4,RR,150,93
2019,4,RS,1075,722
2019,4,SC,1151,741
2019,4,SE,2382,1820
2019,4,SP,18781,14512
2019,4,TO,1605,1147
2019,5,AC,308,219
2019,5,AL,684,480
2019,5,AM,3543,2146
2019,5,AP,230,165
2019,5,BA,2795,1944
2019,5,CE,1776,1294
2019,5,DF,458,282
2019,5,ES,597,396
2019,5,GO,696,470
2019,5,MA,859,597
2019,5,MG,2139,1401
2019,5,MS,1600,1056
2019,5,MT,586,354
2019,5,PA,1716,1244
2019,5,PB,1503,1125
2019,5,PE,3688,2650
2019,5,PI,594,467
2019,5,PR,445,273
2019,5,RJ,1175,792
2019,5,RN,485,339
2019,5,RO,524,342
2019,5,RR,556,368
2019,5,RS,389,214
2019,5,SC,338,220
2019,5,SE,524,400
2019,5,SP,3246,2096
2019,5,TO,302,189
2020,0,AC,759,339
2020,0,AL,2356,1171
2020,0,AM,3329,989
2020,0,AP,846,382
2020,0,BA,10988,4882
2020,0,CE,8993,4161
2020,0,DF,2828,1336
2020,0,ES,1645,710
2020,0,GO,6262,2445
2020,0,MA,3655,1595
2020,0,MG,11647,5248
2020,0,MS,1398,536
2020,0,MT,2043,807
2020,0,PA,5119,2326
2020,0,PB,3195,1554
2020,0,PE,8222,3351
2020,0,PI,2487,1234
2020,0,PR,4263,1738
2020,0,RJ,8550,3783
2020,0,RN,2308,1064
2020,0,RO,1254,386
2020,0,RR,292,119
2020,0,RS,4737,2017
2020,0,SC,2373,848
2020,0,SE,2266,956
2020,0,SP,14063,5577
2020,0,TO,1005,446
2020,1,AC,6474,2983
2020,1,AL,22764,12661
2020,1,AM,22375,7773
2020,1,AP,7663,3404
2020,1,BA,66835,35527
2020,1,CE,67564,37744
2020,1,DF,36205,18337
2020,1,ES,35266,17925
2020,1,GO,63329,31263
2020,1,MA,41967,21594
2020,1,MG,214709,106868
2020,1,MS,33854,14553
2020,1,MT,28590,12911
2020,1,PA,49665,24932
2020,1,PB,46429,25564
2020,1,PE,89278,47550
2020,1,PI,23337,12732
2020,1,PR,149948,72022
2020,1,RJ,153980,78203
2020,1,RN,47269,25158
2020,1,RO,15653,5553
2020,1,RR,2740,1145
2020,1,RS,186645,87532
2020,1,SC,84600,40312
2020,1,SE,14509,8376
2020,1,SP,485440,226999
2020,1,TO,10545,5000
2020,2,AC,4697,2076
2020,2,AL,11734,5576
2020,2,AM,9331,2858
2020,2,AP,6505,2662
2020,2,BA,127958,55254
2020,2,CE,25901,12000
2020,2,DF,17853,7404
2020,2,ES,16878,6280
2020,2,GO,25455,9587
2020,2,MA,35592,16170
2020,2,MG,85965,32693
2020,2,MS,7256,2330
2020,2,MT,14640,5209
2020,2,PA,42558,19575
2020,2,PB,15976,7867
2020,2,PE,38378,17439
2020,2,PI,20589,9784
2020,2,PR,13394,4957
2020,2,RJ,74348,29134
2020,2,RN,12892,6087
2020,2,RO,7729,2441
2020,2,RR,1308,490
2020,2,RS,20783,7458
2020,2,SC,7049,2113
2020,2,SE,14423,6935
2020,2,SP,102687,35142
2020,2,TO,9861,3794
2020,3,AC,28147,12414
2020,3,AL,60825,30017
2020,3,AM,120302,36231
2020,3,AP,31158,12694
2020,3,BA,227884,105496
2020,3,CE,214328,99831
2020,3,DF,56256,24104
2020,3,ES,49777,20590
2020,3,GO,106557,42527
2020,3,MA,152173,71679
2020,3,MG,250094,106242
2020,3,MS,38069,13503
2020,3,MT,53220,19935
2020,3,PA,224894,103034
2020,3,PB,92645,47486
2020,3,PE,166699,78936
2020,3,PI,83838,41860
2020,3,PR,66585,25702
2020,3,RJ,143207,59386
2020,3,RN,65407,32317
2020,3,RO,42305,13581
2020,3,RR,11447,4108
2020,3,RS,35304,13950
2020,3,SC,25415,8715
2020,3,SE,53805,26811
2020,3,SP,285017,103679
2020,3,TO,35127,14503
2020,4,AC,1395,605
2020,4,AL,4068,1926
2020,4,AM,2842,888
2020,4,AP,767,293
2020,4,BA,10936,4963
2020,4,CE,6870,3291
2020,4,DF,3274,1385
2020,4,ES,1697,678
2020,4,GO,8539,3405
2020,4,MA,4058,1838
2020,4,MG,12590,4914
2020,4,MS,1826,760
2020,4,MT,2395,908
2020,4,PA,6526,2917
2020,4,PB,5060,2537
2020,4,PE,8859,4003
2020,4,PI,3807,1843
2020,4,PR,4826,2487
2020,4,RJ,6107,2333
2020,4,RN,2899,1314
2020,4,RO,1994,642
2020,4,RR,190,70
2020,4,RS,1166,480
2020,4,SC,1308,442
2020,4,SE,2629,1292
2020,4,SP,19765,10362
2020,4,TO,2129,873
2020,5,AC,352,146
2020,5,AL,804,352
2020,5,AM,5247,1451
2020,5,AP,324,133
2020,5,BA,3090,1239
2020,5,CE,2024,843
2020,5,DF,516,185
2020,5,ES,549,230
2020,5,GO,927,294
2020,5,MA,827,336
2020,5,MG,2206,767
2020,5,MS,2145,695
2020,5,MT,839,224
2020,5,PA,2121,917
2020,5,PB,1660,838
2020,5,PE,4133,1882
2020,5,PI,620,304
2020,5,PR,619,202
2020,5,RJ,1288,470
2020,5,RN,450,202
2020,5,RO,659,150
2020,5,RR,908,267
2020,5,RS,495,153
2020,5,SC,408,99
2020,5,SE,573,275
2020,5,SP,3520,1144
2020,5,TO,542,167
2021,0,AC,429,271
2021,0,AL,1294,881
2021,0,AM,2263,991
2021,0,AP,376,248
2021,0,BA,6344,3731
2021,0,CE,6078,3339
2021,0,DF,1718,1134
2021,0,ES,980,667
2021,0,GO,5315,2481
2021,0,MA,2464,1639
2021,0,MG,6655,4410
2021,0,MS,760,471
2021,0,MT,1213,761
2021,0,PA,3418,2246
2021,0,PB,2003,1328
2021,0,PE,5407,3211
2021,0,PI,1637,1179
2021,0,PR,2583,1660
2021,0,RJ,5104,3379
2021,0,RN,1374,895
2021,0,RO,698,368
2021,0,RR,172,111
2021,0,RS,2633,1670
2021,0,SC,1436,899
2021,0,SE,1262,853
2021,0,SP,6951,4520
2021,0,TO,582,390
2021,1,AC,4095,2787
2021,1,AL,15700,11637
2021,1,AM,14376,8481
2021,1,AP,4477,2936
2021,1,BA,51736,38353
2021,1,CE,54008,40350
2021,1,DF,26097,18953
2021,1,ES,25542,18509
2021,1,GO,48356,33566
2021,1,MA,26661,19056
2021,1,MG,145747,106176
2021,1,MS,19894,13608
2021,1,MT,19125,13309
2021,1,PA,35115,24705
2021,1,PB,33996,25256
2021,1,PE,62650,45919
2021,1,PI,17017,12979
2021,1,PR,97502,67653
2021,1,RJ,111000,80116
2021,1,RN,32404,23642
2021,1,RO,9114,5781
2021,1,RR,1791,1225
2021,1,RS,118290,82141
2021,1,SC,60943,43147
2021,1,SE,12096,9272
2021,1,SP,307353,224824
2021,1,TO,7171,5075
2021,2,AC,2214,1342
2021,2,AL,6281,4049
2021,2,AM,4836,2387
2021,2,AP,2908,1705
2021,2,BA,72595,44507
2021,2,CE,14974,9568
2021,2,DF,9126,5520
2021,2,ES,9234,5178
2021,2,GO,14868,8344
2021,2,MA,17675,11005
2021,2,MG,42523,24700
2021,2,MS,3042,1655
2021,2,MT,7214,4010
2021,2,PA,23668,14517
2021,2,PB,9349,6046
2021,2,PE,22697,14429
2021,2,PI,11403,7541
2021,2,PR,7057,4015
2021,2,RJ,41596,24300
2021,2,RN,7432,4919
2021,2,RO,3555,1864
2021,2,RR,652,368
2021,2,RS,10433,5668
2021,2,SC,3835,2015
2021,2,SE,8427,5529
2021,2,SP,49142,28641
2021,2,TO,4566,2746
2021,3,AC,12815,7833
2021,3,AL,31111,20747
2021,3,AM,63369,30417
2021,3,AP,13510,7817
2021,3,BA,127877,83454
2021,3,CE,140981,86744
2021,3,DF,28812,18319
2021,3,ES,27296,17045
2021,3,GO,63185,36496
2021,3,MA,78659,51695
2021,3,MG,126294,80132
2021,3,MS,16846,9910
2021,3,MT,26885,16025
2021,3,PA,119165,75057
2021,3,PB,53025,35742
2021,3,PE,95904,63413
2021,3,PI,47563,33366
2021,3,PR,33668,20283
2021,3,RJ,77002,47684
2021,3,RN,37742,25714
2021,3,RO,18244,10088
2021,3,RR,4973,2912
2021,3,RS,18330,10937
2021,3,SC,13648,7715
2021,3,SE,30304,20570
2021,3,SP,132961,81902
2021,3,TO,17285,10844
2021,4,AC,628,398
2021,4,AL,1815,1155
2021,4,AM,1544,827
2021,4,AP,347,197
2021,4,BA,6033,3808
2021,4,CE,3486,2303
2021,4,DF,1539,968
2021,4,ES,835,494
2021,4,GO,4705,2712
2021,4,MA,1988,1252
2021,4,MG,5765,3420
2021,4,MS,1015,711
2021,4,MT,1292,777
2021,4,PA,3632,2261
2021,4,PB,2657,1810
2021,4,PE,4396,2841
2021,4,PI,2046,1400
2021,4,PR,3227,2375
2021,4,RJ,3056,1851
2021,4,RN,1601,1025
2021,4,RO,854,467
2021,4,RR,98,60
2021,4,RS,572,342
2021,4,SC,699,425
2021,4,SE,1439,968
2021,4,SP,12181,9485
2021,4,TO,1041,615
2021,5,AC,155,87
2021,5,AL,383,234
2021,5,AM,3390,1457
2021,5,AP,156,94
2021,5,BA,1609,940
2021,5,CE,990,519
2021,5,DF,209,111
2021,5,ES,292,154
2021,5,GO,486,245
2021,5,MA,458,268
2021,5,MG,844,458
2021,5,MS,933,500
2021,5,MT,355,149
2021,5,PA,980,571
2021,5,PB,972,618
2021,5,PE,2562,1714
2021,5,PI,303,196
2021,5,PR,245,129
