ANO,TP_ESCOLA,UF,QTD
2019,1,AC,31533
2019,1,AL,68131
2019,1,AM,87288
2019,1,AP,34251
2019,1,BA,303350
2019,1,CE,177158
2019,1,DF,68599
2019,1,ES,72550
2019,1,GO,120438
2019,1,MA,164089
2019,1,MG,392865
2019,1,MS,49677
2019,1,MT,64188
2019,1,PA,218530
2019,1,PB,114163
2019,1,PE,202079
2019,1,PI,92511
2019,1,PR,138980
2019,1,RJ,238374
2019,1,RN,93496
2019,1,RO,44019
2019,1,RR,9887
2019,1,RS,156828
2019,1,SC,66408
2019,1,SE,60744
2019,1,SP,524910
2019,1,TO,34264
2019,2,AC,6730
2019,2,AL,17591
2019,2,AM,29200
2019,2,AP,7706
2019,2,BA,78785
2019,2,CE,108597
2019,2,DF,20708
2019,2,ES,26435
2019,2,GO,42336
2019,2,MA,50348
2019,2,MG,124911
2019,2,MS,18692
2019,2,MT,21677
2019,2,PA,53669
2019,2,PB,27501
2019,2,PE,63322
2019,2,PI,25824
2019,2,PR,61495
2019,2,RJ,74809
2019,2,RN,21723
2019,2,RO,14037
2019,2,RR,2829
2019,2,RS,53389
2019,2,SC,38367
2019,2,SE,14170
2019,2,SP,231222
2019,2,TO,11161
2019,3,AC,382
2019,3,AL,4102
2019,3,AM,1656
2019,3,AP,646
2019,3,BA,13292
2019,3,CE,9229
2019,3,DF,6542
2019,3,ES,3288
2019,3,GO,7206
2019,3,MA,3637
2019,3,MG,16849
2019,3,MS,2024
2019,3,MT,2256
2019,3,PA,7394
2019,3,PB,5512
2019,3,PE,9916
2019,3,PI,3977
2019,3,PR,10831
2019,3,RJ,26533
2019,3,RN,4100
2019,3,RO,583
2019,3,RR,240
2019,3,RS,8252
2019,3,SC,5924
2019,3,SE,3574
2019,3,SP,59858
2019,3,TO,824
2020,1,AC,35174
2020,1,AL,81874
2020,1,AM,119751
2020,1,AP,40333
2020,1,BA,355963
2020,1,CE,207485
2020,1,DF,89555
2020,1,ES,79773
2020,1,GO,143192
2020,1,MA,193238
2020,1,MG,451952
2020,1,MS,64638
2020,1,MT,78610
2020,1,PA,274021
2020,1,PB,132746
2020,1,PE,240718
2020,1,PI,108593
2020,1,PR,167070
2020,1,RJ,292229
2020,1,RN,107708
2020,1,RO,54055
2020,1,RR,13143
2020,1,RS,191042
2020,1,SC,80566
2020,1,SE,69659
2020,1,SP,670175
2020,1,TO,44019
2020,2,AC,6349
2020,2,AL,17060
2020,2,AM,42127
2020,2,AP,6388
2020,2,BA,79811
2020,2,CE,110241
2020,2,DF,21191
2020,2,ES,23073
2020,2,GO,61423
2020,2,MA,42040
2020,2,MG,109819
2020,2,MS,17927
2020,2,MT,20916
2020,2,PA,50399
2020,2,PB,27052
2020,2,PE,65778
2020,2,PI,22591
2020,2,PR,61603
2020,2,RJ,70982
2020,2,RN,19704
2020,2,RO,15059
2020,2,RR,3505
2020,2,RS,50340
2020,2,SC,35020
2020,2,SE,15253
2020,2,SP,184401
2020,2,TO,14444
2020,3,AC,301
2020,3,AL,3617
2020,3,AM,1548
2020,3,AP,542
2020,3,BA,11917
2020,3,CE,7954
2020,3,DF,6186
2020,3,ES,2966
2020,3,GO,6454
2020,3,MA,2994
2020,3,MG,15440
2020,3,MS,1983
2020,3,MT,2201
2020,3,PA,6463
2020,3,PB,5167
2020,3,PE,9073
2020,3,PI,3494
2020,3,PR,10962
2020,3,RJ,24269
2020,3,RN,3813
2020,3,RO,480
2020,3,RR,237
2020,3,RS,7748
2020,3,SC,5567
2020,3,SE,3293
2020,3,SP,55916
2020,3,TO,746
2021,1,AC,15337
2021,1,AL,41753
2021,1,AM,47518
2021,1,AP,16888
2021,1,BA,177170
2021,1,CE,109896
2021,1,DF,45912
2021,1,ES,41192
2021,1,GO,73700
2021,1,MA,93701
2021,1,MG,231485
2021,1,MS,27081
2021,1,MT,38177
2021,1,PA,143058
2021,1,PB,75225
2021,1,PE,132351
2021,1,PI,59192
2021,1,PR,85810
2021,1,RJ,163887
2021,1,RN,60961
2021,1,RO,21810
2021,1,RR,5623
2021,1,RS,100900
2021,1,SC,45900
2021,1,SE,39427
2021,1,SP,324674
2021,1,TO,20349
2021,2,AC,4710
2021,2,AL,11372
2021,2,AM,40768
2021,2,AP,4377
2021,2,BA,76984
2021,2,CE,103057
2021,2,DF,15949
2021,2,ES,20199
2021,2,GO,57071
2021,2,MA,31190
2021,2,MG,80965
2021,2,MS,13545
2021,2,MT,15694
2021,2,PA,36907
2021,2,PB,22051
2021,2,PE,52601
2021,2,PI,17357
2021,2,PR,47972
2021,2,RJ,51299
2021,2,RN,16205
2021,2,RO,10483
2021,2,RR,2268
2021,2,RS,42032
2021,2,SC,29057
2021,2,SE,11337
2021,2,SP,133348
2021,2,TO,9813
2021,3,AC,289
2021,3,AL,3459
2021,3,AM,1492
2021,3,AP,509
2021,3,BA,12040
2021,3,CE,7564
2021,3,DF,5640
2021,3,ES,2790
2021,3,GO,6144
2021,3,MA,3014
2021,3,MG,15379
2021,3,MS,1864
2021,3,MT,2214
2021,3,PA,6013
2021,3,PB,4726
2021,3,PE,8664
2021,3,PI,3420
2021,3,PR,10500
2021,3,RJ,23161
2021,3,RN,3654
2021,3,RO,508
2021,3,RR,165
2021,3,RS,7552
2021,3,SC,5808
2021,3,SE,3032
2021,3,SP,51932
2021,3,TO,711
2022,1,AC,15968
2022,1,AL,42555
2022,1,AM,43355
2022,1,AP,16259
2022,1,BA,184671
2022,1,CE,112338
2022,1,DF,40980
2022,1,ES,37656
2022,1,GO,71882
2022,1,MA,90680
2022,1,MG,209576
2022,1,MS,26240
2022,1,MT,36143
2022,1,PA,146400
2022,1,PB,71555
2022,1,PE,123219
2022,1,PI,59632
2022,1,PR,81505
2022,1,RJ,157918
2022,1,RN,63437
2022,1,RO,18724
2022,1,RR,5500
2022,1,RS,95158
2022,1,SC,42240
2022,1,SE,40188
2022,1,SP,307038
2022,1,TO,17728
2022,2,AC,6248
2022,2,AL,17713
2022,2,AM,35916
2022,2,AP,5850
2022,2,BA,68003
2022,2,CE,106069
2022,2,DF,18268
2022,2,ES,22782
2022,2,GO,62447
2022,2,MA,38918
2022,2,MG,83263
2022,2,MS,16252
2022,2,MT,20478
2022,2,PA,49597
2022,2,PB,26585
2022,2,PE,57372
2022,2,PI,21158
2022,2,PR,57072
2022,2,RJ,67873
2022,2,RN,20379
2022,2,RO,12621
2022,2,RR,2698
2022,2,RS,48573
2022,2,SC,33682
2022,2,SE,15007
2022,2,SP,179632
2022,2,TO,10899
2022,3,AC,385
2022,3,AL,3677
2022,3,AM,1715
2022,3,AP,565
2022,3,BA,12492
2022,3,CE,7970
2022,3,DF,6153
2022,3,ES,3262
2022,3,GO,7293
2022,3,MA,3318
2022,3,MG,16942
2022,3,MS,2191
2022,3,MT,2760
2022,3,PA,6624
2022,3,PB,5098
2022,3,PE,9004
2022,3,PI,3610
2022,3,PR,11819
2022,3,RJ,25099
2022,3,RN,4233
2022,3,RO,624
2022,3,RR,236
2022,3,RS,8564
2022,3,SC,6869
2022,3,SE,3117
2022,3,SP,57772
2022,3,TO,813
2023,1,AC,17307
2023,1,AL,53336
2023,1,AM,55426
2023,1,AP,21339
2023,1,BA,237343
2023,1,CE,133002
2023,1,DF,46926
2023,1,ES,45300
2023,1,GO,79442
2023,1,MA,114513
2023,1,MG,249105
2023,1,MS,29598
2023,1,MT,38811
2023,1,PA,168790
2023,1,PB,89099
2023,1,PE,149074
2023,1,PI,69943
2023,1,PR,87409
2023,1,RJ,189183
2023,1,RN,74995
2023,1,RO,21708
2023,1,RR,6425
2023,1,RS,101319
2023,1,SC,48557
2023,1,SE,47169
2023,1,SP,337479
2023,1,TO,20198
2023,2,AC,6539
2023,2,AL,25270
2023,2,AM,35437
2023,2,AP,6820
2023,2,BA,72531
2023,2,CE,100976
2023,2,DF,19301
2023,2,ES,24830
2023,2,GO,61550
2023,2,MA,47409
2023,2,MG,90592
2023,2,MS,15405
2023,2,MT,21997
2023,2,PA,52585
2023,2,PB,30066
2023,2,PE,60499
2023,2,PI,25736
2023,2,PR,66311
2023,2,RJ,65977
2023,2,RN,21030
2023,2,RO,13561
2023,2,RR,2919
2023,2,RS,48616
2023,2,SC,34436
2023,2,SE,15266
2023,2,SP,189403
2023,2,TO,11478
2023,3,AC,428
2023,3,AL,4154
2023,3,AM,2053
2023,3,AP,648
2023,3,BA,14394
2023,3,CE,7982
2023,3,DF,6748
2023,3,ES,3594
2023,3,GO,8118
2023,3,MA,3834
2023,3,MG,18878
2023,3,MS,2452
2023,3,MT,3104
2023,3,PA,7787
2023,3,PB,5346
2023,3,PE,9286
2023,3,PI,3960
2023,3,PR,12786
2023,3,RJ,27136
2023,3,RN,4681
2023,3,RO,769
2023,3,RR,295
2023,3,RS,9984
2023,3,SC,8270
2023,3,SE,3105
2023,3,SP,63885
2023,3,TO,942
