ANO,TP_ESTADO_CIVIL,UF,INSCRICOES,PARTICIPANTES
2019,0,AC,2342,1481
2019,0,AL,3335,2262
2019,0,AM,6030,3229
2019,0,AP,2975,1808
2019,0,BA,16826,10591
2019,0,CE,11613,7460
2019,0,DF,4171,2479
2019,0,ES,3452,2084
2019,0,GO,6707,4269
2019,0,MA,8509,5730
2019,0,MG,16069,9961
2019,0,MS,3839,2314
2019,0,MT,4618,2667
2019,0,PA,15738,10137
2019,0,PB,5658,3856
2019,0,PE,9415,6206
2019,0,PI,4925,3449
2019,0,PR,9349,5556
2019,0,RJ,10352,6359
2019,0,RN,5346,3481
2019,0,RO,3261,1938
2019,0,RR,660,386
2019,0,RS,12372,7520
2019,0,SC,5975,3616
2019,0,SE,3350,2331
2019,0,SP,27765,17058
2019,0,TO,2144,1298
2019,1,AC,30355,22442
2019,1,AL,74967,58142
2019,1,AM,99744,65212
2019,1,AP,35762,25801
2019,1,BA,339763,254405
2019,1,CE,261992,201418
2019,1,DF,80669,59066
2019,1,ES,85837,63166
2019,1,GO,146573,110227
2019,1,MA,190367,145583
2019,1,MG,466800,350831
2019,1,MS,57418,41625
2019,1,MT,73386,52353
2019,1,PA,235490,179238
2019,1,PB,123290,98021
2019,1,PE,239115,183514
2019,1,PI,105992,84479
2019,1,PR,183163,135116
2019,1,RJ,294598,219041
2019,1,RN,99957,78345
2019,1,RO,45152,32820
2019,1,RR,11011,7707
2019,1,RS,187755,137684
2019,1,SC,97388,72159
2019,1,SE,68150,53210
2019,1,SP,723880,532045
2019,1,TO,39822,29517
2019,2,AC,4980,2932
2019,2,AL,9618,5766
2019,2,AM,10272,5072
2019,2,AP,3185,1828
2019,2,BA,32393,18535
2019,2,CE,17743,10068
2019,2,DF,8725,4706
2019,2,ES,10618,5708
2019,2,GO,13252,7170
2019,2,MA,15900,9566
2019,2,MG,41415,23246
2019,2,MS,7341,3864
2019,2,MT,8069,4197
2019,2,PA,24062,14539
2019,2,PB,15096,9649
2019,2,PE,21945,12746
2019,2,PI,9492,6007
2019,2,PR,15004,8293
2019,2,RJ,27636,15295
2019,2,RN,11721,7253
2019,2,RO,8516,4975
