ANO,TP_SEXO,UF,INSCRICOES,PARTICIPANTES
2019,F,AC,22827,16201
2019,F,AL,54062,40443
2019,F,AM,68513,43355
2019,F,AP,24972,17386
2019,F,BA,248853,180894
2019,F,CE,164198,124273
2019,F,DF,56588,40106
2019,F,ES,60353,42386
2019,F,GO,101832,73985
2019,F,MA,130767,98155
2019,F,MG,323610,236555
2019,F,MS,41255,28478
2019,F,MT,52445,35824
2019,F,PA,168676,124613
2019,F,PB,84641,65386
2019,F,PE,162251,121023
2019,F,PI,72681,56588
2019,F,PR,123505,88402
2019,F,RJ,203159,146266
2019,F,RN,68451,52012
2019,F,RO,35746,24945
2019,F,RR,7755,5278
2019,F,RS,131450,93777
2019,F,SC,66293,47725
2019,F,SE,47297,36009
2019,F,SP,481607,340932
2019,F,TO,27973,20158
2019,M,AC,15818,11226
2019,M,AL,35762,26964
2019,M,AM,49631,31224
2019,M,AP,17631,12488
2019,M,BA,146574,106505
2019,M,CE,130786,97031
2019,M,DF,39261,27435
2019,M,ES,41920,29872
2019,M,GO,68148,49681
2019,M,MA,87307,64815
2019,M,MG,211015,153528
2019,M,MS,29138,20301
2019,M,MT,35676,24441
2019,M,PA,110917,82007
2019,M,PB,62535,48155
2019,M,PE,113066,84393
2019,M,PI,49631,38577
2019,M,PR,87801,62753
2019,M,RJ,136557,98752
2019,M,RN,50868,38545
2019,M,RO,22893,15791
2019,M,RR,5201,3519
2019,M,RS,87019,62046
2019,M,SC,44406,32137
2019,M,SE,31191,23851
2019,M,SP,334383,241750
2019,M,TO,18276,12968
2020,F,AC,24587,11036
2020,F,AL,61831,31287
2020,F,AM,93254,29174
2020,F,AP,27281,11414
2020,F,BA,281836,131218
2020,F,CE,181617,90827
2020,F,DF,70044,31921
2020,F,ES,63584,28007
2020,F,GO,125942,54643
2020,F,MA,144153,69092
2020,F,MG,353779,158737
2020,F,MS,50224,19571
2020,F,MT,62046,24638
2020,F,PA,199833,93535
2020,F,PB,95751,50160
2020,F,PE,186361,91640
2020,F,PI,80793,41194
2020,F,PR,143286,64489
2020,F,RJ,234662,104364
2020,F,RN,76001,38360
2020,F,RO,42877,14138
2020,F,RR,10183,3823
2020,F,RS,152431,68803
2020,F,SC,73652,32401
2020,F,SE,53336,27261
2020,F,SP,543662,226916
2020,F,TO,35799,15402
2020,M,AC,17237,7527
2020,M,AL,40720,20416
2020,M,AM,70172,21016
2020,M,AP,19982,8154
2020,M,BA,165855,76143
2020,M,CE,144063,67043
2020,M,DF,46888,20830
2020,M,ES,42228,18406
2020,M,GO,85127,34878
2020,M,MA,94119,44120
2020,M,MG,223432,97995
2020,M,MS,34324,12806
2020,M,MT,39681,15356
2020,M,PA,131050,60166
2020,M,PB,69214,35686
2020,M,PE,129208,61521
2020,M,PI,53885,26563
2020,M,PR,96349,42619
2020,M,RJ,152818,68945
2020,M,RN,55224,27782
2020,M,RO,26717,8615
2020,M,RR,6702,2376
2020,M,RS,96699,42787
2020,M,SC,47501,20128
2020,M,SE,34869,17384
2020,M,SP,366830,155987
2020,M,TO,23410,9381
2021,F,AC,12381,7806
2021,F,AL,35295,24159
2021,F,AM,52100,26318
2021,F,AP,13102,7817
2021,F,BA,171997,112834
2021,F,CE,124312,82553
2021,F,DF,41167,27543
2021,F,ES,39226,25596
2021,F,GO,83728,52382
2021,F,MA,79984,53107
2021,F,MG,206744,138302
2021,F,MS,26409,16669
2021,F,MT,35360,22123
2021,F,PA,116167,74355
2021,F,PB,60938,42387
2021,F,PE,118088,80564
2021,F,PI,49464,35012
2021,F,PR,89274,59493
2021,F,RJ,147633,97153
2021,F,RN,47819,33456
2021,F,RO,20924,12079
2021,F,RR,5088,3065
2021,F,RS,95483,63596
2021,F,SC,50817,34200
2021,F,SE,33631,23369
2021,F,SP,313691,213297
2021,F,TO,19704,12714
2021,M,AC,7955,4912
2021,M,AL,21289,14544
2021,M,AM,37678,18242
2021,M,AP,8672,5180
2021,M,BA,94197,61959
2021,M,CE,96205,60270
2021,M,DF,26334,17462
2021,M,ES,24955,16452
2021,M,GO,53187,31462
2021,M,MA,47921,31808
2021,M,MG,121085,80995
2021,M,MS,16081,10186
2021,M,MT,20725,12908
2021,M,PA,69811,45002
2021,M,PB,41064,28413
2021,M,PE,75528,50963
2021,M,PI,30505,21649
2021,M,PR,55008,36622
2021,M,RJ,90714,60510
2021,M,RN,33001,22907
2021,M,RO,11877,6625
2021,M,RR,2968,1776
2021,M,RS,55001,37286
2021,M,SC,29948,20094
2021,M,SE,20165,13994
2021,M,SP,196263,136852
2021,M,TO,11169,7085
2022,F,AC,13554,8643
2022,F,AL,38835,26591
2022,F,AM,47019,24334
2022,F,AP,13570,8483
2022,F,BA,170876,118297
2022,F,CE,125895,88815
2022,F,DF,39465,27201
2022,F,ES,38798,25814
2022,F,GO,84345,54970
2022,F,MA,82378,56055
2022,F,MG,193263,134243
2022,F,MS,27295,17233
2022,F,MT,36608,23177
2022,F,PA,125470,83390
2022,F,PB,61239,43221
2022,F,PE,114722,79590
2022,F,PI,51223,36694
2022,F,PR,91573,61126
2022,F,RJ,155133,103793
2022,F,RN,51890,36580
2022,F,RO,20019,12453
2022,F,RR,5232,3052
2022,F,RS,95245,63846
2022,F,SC,51794,34891
2022,F,SE,35845,26011
2022,F,SP,330824,226092
2022,F,TO,18409,12073
2022,M,AC,9047,5637
2022,M,AL,25110,16834
2022,M,AM,33967,16885
2022,M,AP,9104,5769
2022,M,BA,94290,64813
2022,M,CE,100482,67572
2022,M,DF,25936,17371
2022,M,ES,24902,16553
2022,M,GO,57277,34882
2022,M,MA,50538,34078
2022,M,MG,116518,80200
2022,M,MS,17388,10888
2022,M,MT,22773,14122
2022,M,PA,77151,51055
2022,M,PB,41999,29503
2022,M,PE,74873,50771
2022,M,PI,33177,23616
2022,M,PR,58823,38920
2022,M,RJ,95757,65061
2022,M,RN,36159,25437
2022,M,RO,11950,7130
2022,M,RR,3202,1838
2022,M,RS,57050,38026
2022,M,SC,30997,21005
2022,M,SE,22467,16026
2022,M,SP,213618,147160
2022,M,TO,11031,7003
2023,F,AC,14746,9207
2023,F,AL,50434,33633
2023,F,AM,54634,28467
2023,F,AP,16993,10596
2023,F,BA,210958,142674
2023,F,CE,135721,98848
2023,F,DF,44193,30548
2023,F,ES,45164,30129
2023,F,GO,89520,59374
2023,F,MA,103171,70169
2023,F,MG,224300,156569
2023,F,MS,29028,19123
2023,F,MT,39522,25893
2023,F,PA,143020,95301
2023,F,PB,73543,51915
2023,F,PE,132811,93027
2023,F,PI,60755,43145
2023,F,PR,101665,70362
2023,F,RJ,175472,113729
2023,F,RN,59334,42868
2023,F,RO,22437,14443
2023,F,RR,6077,3843
2023,F,RS,100227,69102
2023,F,SC,56693,39053
2023,F,SE,40528,29273
2023,F,SP,359775,248970
2023,F,TO,20464,13785
2023,M,AC,9528,5892
2023,M,AL,32326,21320
2023,M,AM,38282,19442
2023,M,AP,11814,7581
2023,M,BA,113310,77583
2023,M,CE,106239,74852
2023,M,DF,28782,19719
2023,M,ES,28560,19106
2023,M,GO,59590,36977
2023,M,MA,62585,42313
2023,M,MG,134275,93446
2023,M,MS,18427,12116
2023,M,MT,24390,15588
2023,M,PA,86142,57992
2023,M,PB,50968,35688
2023,M,PE,86048,59547
2023,M,PI,38884,27616
2023,M,PR,64841,44414
2023,M,RJ,106824,70773
2023,M,RN,41372,29937
2023,M,RO,13601,8556
2023,M,RR,3562,2227
2023,M,RS,59692,41633
2023,M,SC,34570,23647
2023,M,SE,25012,17916
2023,M,SP,230992,160510
2023,M,TO,12154,7827
