ANO,all,UF,INSCRICOES,PARTICIPANTES
2019,all,AC,38645,27427
2019,all,AL,89824,67407
2019,all,AM,118144,74579
2019,all,AP,42603,29874
2019,all,BA,395427,287399
2019,all,CE,294984,221304
2019,all,DF,95849,67541
2019,all,ES,102273,72258
2019,all,GO,169980,123666
2019,all,MA,218074,162970
2019,all,MG,534625,390083
2019,all,MS,70393,48779
2019,all,MT,88121,60265
2019,all,PA,279593,206620
2019,all,PB,147176,113541
2019,all,PE,275317,205416
2019,all,PI,122312,95165
2019,all,PR,211306,151155
2019,all,RJ,339716,245018
2019,all,RN,119319,90557
2019,all,RO,58639,40736
2019,all,RR,12956,8797
2019,all,RS,218469,155823
2019,all,SC,110699,79862
2019,all,SE,78488,59860
2019,all,SP,815990,582682
2019,all,TO,46249,33126
2020,all,AC,41824,18563
2020,all,AL,102551,51703
2020,all,AM,163426,50190
2020,all,AP,47263,19568
2020,all,BA,447691,207361
2020,all,CE,325680,157870
2020,all,DF,116932,52751
2020,all,ES,105812,46413
2020,all,GO,211069,89521
2020,all,MA,238272,113212
2020,all,MG,577211,256732
2020,all,MS,84548,32377
2020,all,MT,101727,39994
2020,all,PA,330883,153701
2020,all,PB,164965,85846
2020,all,PE,315569,153161
2020,all,PI,134678,67757
2020,all,PR,239635,107108
2020,all,RJ,387480,173309
2020,all,RN,131225,66142
2020,all,RO,69594,22753
2020,all,RR,16885,6199
2020,all,RS,249130,111590
2020,all,SC,121153,52529
2020,all,SE,88205,44645
2020,all,SP,910492,382903
2020,all,TO,59209,24783
2021,all,AC,20336,12718
2021,all,AL,56584,38703
2021,all,AM,89778,44560
2021,all,AP,21774,12997
2021,all,BA,266194,174793
2021,all,CE,220517,142823
2021,all,DF,67501,45005
2021,all,ES,64181,42048
2021,all,GO,136915,83844
2021,all,MA,127905,84915
2021,all,MG,327829,219297
2021,all,MS,42490,26855
2021,all,MT,56085,35031
2021,all,PA,185978,119357
2021,all,PB,102002,70800
2021,all,PE,193616,131527
2021,all,PI,79969,56661
2021,all,PR,144282,96115
2021,all,RJ,238347,157663
2021,all,RN,80820,56363
2021,all,RO,32801,18704
2021,all,RR,8056,4841
2021,all,RS,150484,100882
2021,all,SC,80765,54294
2021,all,SE,53796,37363
2021,all,SP,509954,350149
2021,all,TO,30873,19799
2022,all,AC,22601,14280
2022,all,AL,63945,43425
2022,all,AM,80986,41219
2022,all,AP,22674,14252
2022,all,BA,265166,183110
2022,all,CE,226377,156387
2022,all,DF,65401,44572
2022,all,ES,63700,42367
2022,all,GO,141622,89852
2022,all,MA,132916,90133
2022,all,MG,309781,214443
2022,all,MS,44683,28121
2022,all,MT,59381,37299
2022,all,PA,202621,134445
2022,all,PB,103238,72724
2022,all,PE,189595,130361
2022,all,PI,84400,60310
2022,all,PR,150396,100046
2022,all,RJ,250890,168854
2022,all,RN,88049,62017
2022,all,RO,31969,19583
2022,all,RR,8434,4890
2022,all,RS,152295,101872
2022,all,SC,82791,55896
2022,all,SE,58312,42037
2022,all,SP,544442,373252
2022,all,TO,29440,19076
2023,all,AC,24274,15099
2023,all,AL,82760,54953
2023,all,AM,92916,47909
2023,all,AP,28807,18177
2023,all,BA,324268,220257
2023,all,CE,241960,173700
2023,all,DF,72975,50267
2023,all,ES,73724,49235
2023,all,GO,149110,96351
2023,all,MA,165756,112482
2023,all,MG,358575,250015
2023,all,MS,47455,31239
2023,all,MT,63912,41481
2023,all,PA,229162,153293
2023,all,PB,124511,87603
2023,all,PE,218859,152574
2023,all,PI,99639,70761
2023,all,PR,166506,114776
2023,all,RJ,282296,184502
2023,all,RN,100706,72805
2023,all,RO,36038,22999
2023,all,RR,9639,6070
2023,all,RS,159919,110735
2023,all,SC,91263,62700
2023,all,SE,65540,47189
2023,all,SP,590767,409480
2023,all,TO,32618,21612
