NU_ANO,Q006,Q025,SG_UF_PROVA,QTD
2019,A,A,AC,2433
2019,A,A,AL,3885
2019,A,A,AM,6219
2019,A,A,AP,2154
2019,A,A,BA,15524
2019,A,A,CE,12100
2019,A,A,DF,1142
2019,A,A,ES,1153
2019,A,A,GO,1796
2019,A,A,MA,15008
2019,A,A,MG,6132
2019,A,A,MS,1005
2019,A,A,MT,977
2019,A,A,PA,14502
2019,A,A,PB,5944
2019,A,A,PE,9336
2019,A,A,PI,9291
2019,A,A,PR,1111
2019,A,A,RJ,4364
2019,A,A,RN,3859
2019,A,A,RO,1247
2019,A,A,RR,406
2019,A,A,RS,1587
2019,A,A,SC,388
2019,A,A,SE,3777
2019,A,A,SP,5476
2019,A,A,TO,1510
2019,A,B,AC,791
2019,A,B,AL,2906
2019,A,B,AM,2514
2019,A,B,AP,686
2019,A,B,BA,14334
2019,A,B,CE,7017
2019,A,B,DF,1394
2019,A,B,ES,1691
2019,A,B,GO,1891
2019,A,B,MA,4319
2019,A,B,MG,6452
2019,A,B,MS,772
2019,A,B,MT,911
2019,A,B,PA,4658
2019,A,B,PB,5547
2019,A,B,PE,10608
2019,A,B,PI,3586
2019,A,B,PR,1950
2019,A,B,RJ,6534
2019,A,B,RN,3484
2019,A,B,RO,907
2019,A,B,RR,205
2019,A,B,RS,2340
2019,A,B,SC,883
2019,A,B,SE,2391
2019,A,B,SP,10234
2019,A,B,TO,739
2019,B,A,AC,9823
2019,B,A,AL,13827
2019,B,A,AM,25460
2019,B,A,AP,11195
2019,B,A,BA,52269
2019,B,A,CE,58984
2019,B,A,DF,5074
2019,B,A,ES,5673
2019,B,A,GO,11479
2019,B,A,MA,56236
2019,B,A,MG,34421
2019,B,A,MS,5748
2019,B,A,MT,6698
2019,B,A,PA,71252
2019,B,A,PB,19104
2019,B,A,PE,30772
2019,B,A,PI,28173
2019,B,A,PR,6041
2019,B,A,RJ,16926
2019,B,A,RN,14186
2019,B,A,RO,6084
2019,B,A,RR,2115
2019,B,A,RS,8905
2019,B,A,SC,2092
2019,B,A,SE,13650
2019,B,A,SP,23019
2019,B,A,TO,7533
2019,B,B,AC,5104
2019,B,B,AL,21467
2019,B,B,AM,15708
2019,B,B,AP,5889
2019,B,B,BA,96258
2019,B,B,CE,68493
2019,B,B,DF,9588
2019,B,B,ES,12442
2019,B,B,GO,19670
2019,B,B,MA,34114
2019,B,B,MG,62329
2019,B,B,MS,6985
2019,B,B,MT,7602
2019,B,B,PA,36159
2019,B,B,PB,36875
2019,B,B,PE,73359
2019,B,B,PI,22350
2019,B,B,PR,13174
2019,B,B,RJ,40639
2019,B,B,RN,27025
2019,B,B,RO,7473
2019,B,B,RR,1527
2019,B,B,RS,17279
2019,B,B,SC,5706
2019,B,B,SE,16924
2019,B,B,SP,55914
2019,B,B,TO,6433
2019,C,A,AC,4883
2019,C,A,AL,4649
2019,C,A,AM,16151
2019,C,A,AP,5674
2019,C,A,BA,18893
2019,C,A,CE,21404
2019,C,A,DF,5165
