NU_ANO,Q006,TP_LOCALIZACAO_ESC,SG_UF_PROVA,QTD
2019,A,1.0,AC,356
2019,A,1.0,AL,1541
2019,A,1.0,AM,1735
2019,A,1.0,AP,362
2019,A,1.0,BA,5601
2019,A,1.0,CE,8045
2019,A,1.0,DF,387
2019,A,1.0,ES,621
2019,A,1.0,GO,662
2019,A,1.0,MA,4685
2019,A,1.0,MG,2386
2019,A,1.0,MS,218
2019,A,1.0,MT,243
2019,A,1.0,PA,3370
2019,A,1.0,PB,2386
2019,A,1.0,PE,4724
2019,A,1.0,PI,2976
2019,A,1.0,PR,569
2019,A,1.0,RJ,2173
2019,A,1.0,RN,1325
2019,A,1.0,RO,353
2019,A,1.0,RR,80
2019,A,1.0,RS,626
2019,A,1.0,SC,249
2019,A,1.0,SE,1215
2019,A,1.0,SP,3365
2019,A,1.0,TO,434
2019,A,2.0,AC,40
2019,A,2.0,AL,102
2019,A,2.0,AM,182
2019,A,2.0,AP,61
2019,A,2.0,BA,552
2019,A,2.0,CE,540
2019,A,2.0,DF,16
2019,A,2.0,ES,17
2019,A,2.0,GO,19
2019,A,2.0,MA,589
2019,A,2.0,MG,127
2019,A,2.0,MS,73
2019,A,2.0,MT,26
2019,A,2.0,PA,220
2019,A,2.0,PB,120
2019,A,2.0,PE,291
2019,A,2.0,PI,171
2019,A,2.0,PR,43
2019,A,2.0,RJ,74
2019,A,2.0,RN,47
2019,A,2.0,RO,32
2019,A,2.0,RR,7
2019,A,2.0,RS,46
2019,A,2.0,SC,13
2019,A,2.0,SE,112
2019,A,2.0,SP,54
2019,A,2.0,TO,62
2019,B,1.0,AC,2004
2019,B,1.0,AL,7375
2019,B,1.0,AM,9127
2019,B,1.0,AP,2328
2019,B,1.0,BA,27411
2019,B,1.0,CE,54866
2019,B,1.0,DF,2746
2019,B,1.0,ES,4883
2019,B,1.0,GO,6672
2019,B,1.0,MA,18833
2019,B,1.0,MG,20766
2019,B,1.0,MS,2513
2019,B,1.0,MT,2589
2019,B,1.0,PA,18929
2019,B,1.0,PB,11942
2019,B,1.0,PE,26443
2019,B,1.0,PI,10760
2019,B,1.0,PR,4429
2019,B,1.0,RJ,13376
2019,B,1.0,RN,8028
2019,B,1.0,RO,2795
2019,B,1.0,RR,570
2019,B,1.0,RS,5299
2019,B,1.0,SC,2024
2019,B,1.0,SE,5835
2019,B,1.0,SP,20649
2019,B,1.0,TO,2740
2019,B,2.0,AC,174
2019,B,2.0,AL,409
2019,B,2.0,AM,522
2019,B,2.0,AP,186
2019,B,2.0,BA,2124
2019,B,2.0,CE,3723
2019,B,2.0,DF,124
2019,B,2.0,ES,214
2019,B,2.0,GO,173
2019,B,2.0,MA,1830
2019,B,2.0,MG,1027
2019,B,2.0,MS,250
2019,B,2.0,MT,267
2019,B,2.0,PA,944
2019,B,2.0,PB,484
2019,B,2.0,PE,1363
2019,B,2.0,PI,542
2019,B,2.0,PR,392
2019,B,2.0,RJ,540
2019,B,2.0,RN,299
2019,B,2.0,RO,98
2019,B,2.0,RR,43
2019,B,2.0,RS,312
2019,B,2.0,SC,119
2019,B,2.0,SE,515
2019,B,2.0,SP,450
2019,B,2.0,TO,214
2019,C,1.0,AC,1261
2019,C,1.0,AL,3905
2019,C,1.0,AM,7390
2019,C,1.0,AP,1555
2019,C,1.0,BA,16153
2019,C,1.0,CE,28697
2019,C,1.0,DF,4755
2019,C,1.0,ES,6963
2019,C,1.0,GO,10721
2019,C,1.0,MA,9632
2019,C,1.0,MG,28350
2019,C,1.0,MS,4194
2019,C,1.0,MT,4582
2019,C,1.0,PA,11610
2019,C,1.0,PB,6145
2019,C,1.0,PE,14308
2019,C,1.0,PI,4723
2019,C,1.0,PR,11599
2019,C,1.0,RJ,19187
2019,C,1.0,RN,4629
2019,C,1.0,RO,3705
2019,C,1.0,RR,601
2019,C,1.0,RS,10384
2019,C,1.0,SC,6162
2019,C,1.0,SE,3123
2019,C,1.0,SP,51552
2019,C,1.0,TO,2357
2019,C,2.0,AC,106
2019,C,2.0,AL,152
2019,C,2.0,AM,206
2019,C,2.0,AP,101
2019,C,2.0,BA,787
2019,C,2.0,CE,1159
2019,C,2.0,DF,164
2019,C,2.0,ES,291
2019,C,2.0,GO,256
2019,C,2.0,MA,724
2019,C,2.0,MG,742
2019,C,2.0,MS,255
2019,C,2.0,MT,415
2019,C,2.0,PA,388
2019,C,2.0,PB,182
2019,C,2.0,PE,705
2019,C,2.0,PI,162
2019,C,2.0,PR,655
2019,C,2.0,RJ,645
2019,C,2.0,RN,191
2019,C,2.0,RO,178
2019,C,2.0,RR,37
2019,C,2.0,RS,486
2019,C,2.0,SC,248
2019,C,2.0,SE,97
2019,C,2.0,SP,877
2019,C,2.0,TO,136
2019,C,1.0,AC,324
2019,C,1.0,AL,828
2019,C,1.0,AM,1550
2019,C,1.0,AP,319
2019,C,1.0,BA,4134
2019,C,1.0,CE,3553
2019,C,1.0,DF,1823
2019,C,1.0,ES,2502
2019,C,1.0,GO,3754
2019,C,1.0,MA,1851
2019,C,1.0,MG,10745
2019,C,1.0,MS,1650
2019,C,1.0,MT,1838
2019,C,1.0,PA,2611
2019,C,1.0,PB,1274
2019,C,1.0,PE,3333
2019,C,1.0,PI,1121
2019,C,1.0,PR,5911
2019,C,1.0,RJ,7139
2019,C,1.0,RN,1397
2019,C,1.0,RO,1018
2019,C,1.0,RR,148
2019,C,1.0,RS,4932
2019,C,1.0,SC,3701
2019,C,1.0,SE,719
2019,C,1.0,SP,23236
2019,C,1.0,TO,613
2019,C,2.0,AC,13
2019,C,2.0,AL,28
2019,C,2.0,AM,33
2019,C,2.0,AP,14
2019,C,2.0,BA,132
2019,C,2.0,CE,108
2019,C,2.0,DF,37
2019,C,2.0,ES,90
2019,C,2.0,GO,75
2019,C,2.0,MA,101
2019,C,2.0,MG,248
2019,C,2.0,MS,57
2019,C,2.0,MT,144
2019,C,2.0,PA,84
2019,C,2.0,PB,32
2019,C,2.0,PE,134
2019,C,2.0,PI,17
2019,C,2.0,PR,173
2019,C,2.0,RJ,200
2019,C,2.0,RN,39
2019,C,2.0,RO,67
2019,C,2.0,RR,4
2019,C,2.0,RS,188
2019,C,2.0,SC,106
2019,C,2.0,SE,24
2019,C,2.0,SP,312
2019,C,2.0,TO,34
2019,D,1.0,AC,312
2019,D,1.0,AL,744
2019,D,1.0,AM,1805
2019,D,1.0,AP,369
2019,D,1.0,BA,3783
2019,D,1.0,CE,4255
2019,D,1.0,DF,2081
2019,D,1.0,ES,2757
2019,D,1.0,GO,4292
2019,D,1.0,MA,1783
2019,D,1.0,MG,12344
2019,D,1.0,MS,1828
2019,D,1.0,MT,2200
2019,D,1.0,PA,2455
2019,D,1.0,PB,1264
2019,D,1.0,PE,3125
2019,D,1.0,PI,954
2019,D,1.0,PR,7387
2019,D,1.0,RJ,7261
2019,D,1.0,RN,1207
2019,D,1.0,RO,1218
2019,D,1.0,RR,155
2019,D,1.0,RS,5958
2019,D,1.0,SC,5226
2019,D,1.0,SE,622
2019,D,1.0,SP,32102
2019,D,1.0,TO,653
2019,D,2.0,AC,19
2019,D,2.0,AL,25
2019,D,2.0,AM,25
2019,D,2.0,AP,8
2019,D,2.0,BA,143
2019,D,2.0,CE,120
2019,D,2.0,DF,36
2019,D,2.0,ES,122
2019,D,2.0,GO,98
2019,D,2.0,MA,95
2019,D,2.0,MG,288
2019,D,2.0,MS,61
2019,D,2.0,MT,174
2019,D,2.0,PA,66
2019,D,2.0,PB,33
2019,D,2.0,PE,103
2019,D,2.0,PI,17
2019,D,2.0,PR,259
2019,D,2.0,RJ,182
2019,D,2.0,RN,32
2019,D,2.0,RO,48
2019,D,2.0,RR,10
2019,D,2.0,RS,188
2019,D,2.0,SC,144
2019,D,2.0,SE,14
2019,D,2.0,SP,457
2019,D,2.0,TO,21
2019,D,1.0,AC,121
2019,D,1.0,AL,326
2019,D,1.0,AM,506
2019,D,1.0,AP,130
2019,D,1.0,BA,1435
2019,D,1.0,CE,1055
2019,D,1.0,DF,842
2019,D,1.0,ES,1135
2019,D,1.0,GO,1598
2019,D,1.0,MA,610
2019,D,1.0,MG,5128
2019,D,1.0,MS,747
2019,D,1.0,MT,885
2019,D,1.0,PA,951
2019,D,1.0,PB,502
2019,D,1.0,PE,1146
2019,D,1.0,PI,433
2019,D,1.0,PR,3495
2019,D,1.0,RJ,3345
2019,D,1.0,RN,532
2019,D,1.0,RO,464
2019,D,1.0,RR,85
2019,D,1.0,RS,2983
2019,D,1.0,SC,2820
2019,D,1.0,SE,260
2019,D,1.0,SP,13616
2019,D,1.0,TO,240
2019,D,2.0,AC,8
2019,D,2.0,AL,9
2019,D,2.0,AM,6
2019,D,2.0,AP,4
2019,D,2.0,BA,38
2019,D,2.0,CE,17
2019,D,2.0,DF,13
2019,D,2.0,ES,37
2019,D,2.0,GO,28
2019,D,2.0,MA,26
2019,D,2.0,MG,114
2019,D,2.0,MS,23
2019,D,2.0,MT,63
2019,D,2.0,PA,20
2019,D,2.0,PB,16
2019,D,2.0,PE,31
2019,D,2.0,PI,9
2019,D,2.0,PR,73
2019,D,2.0,RJ,94
2019,D,2.0,RN,21
2019,D,2.0,RO,16
2019,D,2.0,RR,3
2019,D,2.0,RS,101
2019,D,2.0,SC,61
2019,D,2.0,SE,6
2019,D,2.0,SP,146
2019,D,2.0,TO,7
2019,E,1.0,AC,198
2019,E,1.0,AL,442
2019,E,1.0,AM,891
2019,E,1.0,AP,214
2019,E,1.0,BA,2137
2019,E,1.0,CE,1672
2019,E,1.0,DF,1412
2019,E,1.0,ES,1849
2019,E,1.0,GO,2306
2019,E,1.0,MA,831
2019,E,1.0,MG,7861
2019,E,1.0,MS,1110
2019,E,1.0,MT,1306
2019,E,1.0,PA,1341
2019,E,1.0,PB,686
2019,E,1.0,PE,1658
2019,E,1.0,PI,567
2019,E,1.0,PR,5424
2019,E,1.0,RJ,4456
2019,E,1.0,RN,791
2019,E,1.0,RO,733
2019,E,1.0,RR,110
2019,E,1.0,RS,4590
2019,E,1.0,SC,4692
2019,E,1.0,SE,385
2019,E,1.0,SP,23416
2019,E,1.0,TO,398
2019,E,2.0,AC,7
2019,E,2.0,AL,7
2019,E,2.0,AM,8
2019,E,2.0,AP,10
2019,E,2.0,BA,57
2019,E,2.0,CE,21
2019,E,2.0,DF,10
2019,E,2.0,ES,67
2019,E,2.0,GO,62
2019,E,2.0,MA,27
2019,E,2.0,MG,227
2019,E,2.0,MS,28
2019,E,2.0,MT,92
2019,E,2.0,PA,33
2019,E,2.0,PB,15
2019,E,2.0,PE,38
2019,E,2.0,PI,11
2019,E,2.0,PR,149
2019,E,2.0,RJ,97
2019,E,2.0,RN,29
2019,E,2.0,RO,21
2019,E,2.0,RR,9
2019,E,2.0,RS,144
2019,E,2.0,SC,103
2019,E,2.0,SE,8
2019,E,2.0,SP,300
2019,E,2.0,TO,16
2019,F,1.0,AC,111
2019,F,1.0,AL,279
2019,F,1.0,AM,443
2019,F,1.0,AP,135
2019,F,1.0,BA,1322
2019,F,1.0,CE,782
2019,F,1.0,DF,891
2019,F,1.0,ES,907
2019,F,1.0,GO,1245
2019,F,1.0,MA,478
2019,F,1.0,MG,4238
2019,F,1.0,MS,530
2019,F,1.0,MT,655
2019,F,1.0,PA,800
2019,F,1.0,PB,403
2019,F,1.0,PE,965
2019,F,1.0,PI,373
2019,F,1.0,PR,2829
2019,F,1.0,RJ,2799
2019,F,1.0,RN,453
2019,F,1.0,RO,323
2019,F,1.0,RR,64
2019,F,1.0,RS,2526
2019,F,1.0,SC,2589
2019,F,1.0,SE,232
2019,F,1.0,SP,11928
2019,F,1.0,TO,228
2019,F,2.0,AC,2
2019,F,2.0,AL,2
2019,F,2.0,AM,4
2019,F,2.0,AP,2
2019,F,2.0,BA,30
2019,F,2.0,CE,10
2019,F,2.0,DF,6
2019,F,2.0,ES,33
2019,F,2.0,GO,31
2019,F,2.0,MA,14
2019,F,2.0,MG,93
2019,F,2.0,MS,25
2019,F,2.0,MT,35
2019,F,2.0,PA,9
2019,F,2.0,PB,6
2019,F,2.0,PE,21
2019,F,2.0,PI,3
2019,F,2.0,PR,53
2019,F,2.0,RJ,34
2019,F,2.0,RN,15
2019,F,2.0,RO,17
2019,F,2.0,RR,3
2019,F,2.0,RS,72
2019,F,2.0,SC,37
2019,F,2.0,SE,4
2019,F,2.0,SP,116
2019,F,2.0,TO,7
2019,G,1.0,AC,101
2019,G,1.0,AL,253
2019,G,1.0,AM,387
2019,G,1.0,AP,115
2019,G,1.0,BA,1041
2019,G,1.0,CE,749
2019,G,1.0,DF,865
2019,G,1.0,ES,779
2019,G,1.0,GO,1138
2019,G,1.0,MA,421
2019,G,1.0,MG,3430
2019,G,1.0,MS,517
2019,G,1.0,MT,704
2019,G,1.0,PA,681
2019,G,1.0,PB,343
2019,G,1.0,PE,799
2019,G,1.0,PI,268
2019,G,1.0,PR,2391
2019,G,1.0,RJ,2243
2019,G,1.0,RN,409
2019,G,1.0,RO,308
2019,G,1.0,RR,63
2019,G,1.0,RS,2079
2019,G,1.0,SC,2208
2019,G,1.0,SE,218
2019,G,1.0,SP,10240
2019,G,1.0,TO,198
2019,G,2.0,AC,3
2019,G,2.0,AM,2
2019,G,2.0,AP,2
2019,G,2.0,BA,23
2019,G,2.0,CE,9
2019,G,2.0,DF,7
2019,G,2.0,ES,26
2019,G,2.0,GO,32
2019,G,2.0,MA,11
2019,G,2.0,MG,92
2019,G,2.0,MS,16
2019,G,2.0,MT,38
2019,G,2.0,PA,7
2019,G,2.0,PB,4
2019,G,2.0,PE,16
2019,G,2.0,PI,1
2019,G,2.0,PR,62
2019,G,2.0,RJ,37
2019,G,2.0,RN,13
2019,G,2.0,RO,16
2019,G,2.0,RR,4
2019,G,2.0,RS,66
2019,G,2.0,SC,51
2019,G,2.0,SE,3
2019,G,2.0,SP,103
2019,G,2.0,TO,5
2019,G,1.0,AC,46
2019,G,1.0,AL,111
2019,G,1.0,AM,205
2019,G,1.0,AP,73
2019,G,1.0,BA,571
2019,G,1.0,CE,394
2019,G,1.0,DF,514
2019,G,1.0,ES,345
2019,G,1.0,GO,533
2019,G,1.0,MA,203
2019,G,1.0,MG,1625
2019,G,1.0,MS,290
2019,G,1.0,MT,323
2019,G,1.0,PA,347
2019,G,1.0,PB,178
2019,G,1.0,PE,461
2019,G,1.0,PI,146
2019,G,1.0,PR,1223
2019,G,1.0,RJ,1410
2019,G,1.0,RN,190
2019,G,1.0,RO,129
2019,G,1.0,RR,53
2019,G,1.0,RS,958
2019,G,1.0,SC,1001
2019,G,1.0,SE,120
2019,G,1.0,SP,4684
2019,G,1.0,TO,82
2019,G,2.0,AC,2
2019,G,2.0,AL,1
2019,G,2.0,AM,4
2019,G,2.0,AP,2
2019,G,2.0,BA,13
2019,G,2.0,CE,2
2019,G,2.0,DF,2
2019,G,2.0,ES,10
2019,G,2.0,GO,13
2019,G,2.0,MA,6
2019,G,2.0,MG,40
2019,G,2.0,MS,3
2019,G,2.0,MT,24
2019,G,2.0,PA,3
2019,G,2.0,PE,4
2019,G,2.0,PI,2
2019,G,2.0,PR,18
2019,G,2.0,RJ,21
2019,G,2.0,RN,12
2019,G,2.0,RO,6
2019,G,2.0,RR,2
2019,G,2.0,RS,26
2019,G,2.0,SC,25
2019,G,2.0,SE,2
2019,G,2.0,SP,38
2019,G,2.0,TO,4
2019,G,1.0,AC,45
2019,G,1.0,AL,98
2019,G,1.0,AM,149
