NU_ANO,Q006,TP_SEXO,SG_UF_PROVA,QTD
2019,A,F,AC,2149
2019,A,F,AL,4790
2019,A,F,AM,5534
2019,A,F,AP,1804
2019,A,F,BA,21726
2019,A,F,CE,11717
2019,A,F,DF,1678
2019,A,F,ES,1870
2019,A,F,GO,2455
2019,A,F,MA,12913
2019,A,F,MG,8599
2019,A,F,MS,1154
2019,A,F,MT,1219
2019,A,F,PA,12865
2019,A,F,PB,7728
2019,A,F,PE,13478
2019,A,F,PI,8664
2019,A,F,PR,1891
2019,A,F,RJ,7305
2019,A,F,RN,5000
2019,A,F,RO,1506
2019,A,F,RR,395
2019,A,F,RS,2553
2019,A,F,SC,756
2019,A,F,SE,4291
2019,A,F,SP,9893
2019,A,F,TO,1503
2019,A,M,AC,1075
2019,A,M,AL,2001
2019,A,M,AM,3199
2019,A,M,AP,1036
2019,A,M,BA,8132
2019,A,M,CE,7400
2019,A,M,DF,858
2019,A,M,ES,974
2019,A,M,GO,1232
2019,A,M,MA,6414
2019,A,M,MG,3985
2019,A,M,MS,623
2019,A,M,MT,669
2019,A,M,PA,6295
2019,A,M,PB,3763
2019,A,M,PE,6466
2019,A,M,PI,4213
2019,A,M,PR,1170
2019,A,M,RJ,3593
2019,A,M,RN,2343
2019,A,M,RO,648
2019,A,M,RR,216
2019,A,M,RS,1374
2019,A,M,SC,515
2019,A,M,SE,1877
2019,A,M,SP,5817
2019,A,M,TO,746
2019,B,F,AC,9587
2019,B,F,AL,23020
2019,B,F,AM,25944
2019,B,F,AP,10699
2019,B,F,BA,102337
2019,B,F,CE,75178
2019,B,F,DF,9981
2019,B,F,ES,12285
2019,B,F,GO,21503
2019,B,F,MA,57824
2019,B,F,MG,67547
2019,B,F,MS,8648
2019,B,F,MT,9762
2019,B,F,PA,69723
2019,B,F,PB,35283
2019,B,F,PE,66928
2019,B,F,PI,32054
2019,B,F,PR,12990
2019,B,F,RJ,39624
2019,B,F,RN,26132
2019,B,F,RO,9260
2019,B,F,RR,2451
2019,B,F,RS,18313
2019,B,F,SC,5365
2019,B,F,SE,20034
2019,B,F,SP,53887
2019,B,F,TO,9221
2019,B,M,AC,5340
2019,B,M,AL,12274
2019,B,M,AM,15224
2019,B,M,AP,6385
2019,B,M,BA,46190
2019,B,M,CE,52299
2019,B,M,DF,4681
2019,B,M,ES,5830
2019,B,M,GO,9646
2019,B,M,MA,32526
2019,B,M,MG,29203
2019,B,M,MS,4085
2019,B,M,MT,4538
2019,B,M,PA,37688
2019,B,M,PB,20696
2019,B,M,PE,37203
2019,B,M,PI,18469
2019,B,M,PR,6225
2019,B,M,RJ,17941
2019,B,M,RN,15079
2019,B,M,RO,4297
2019,B,M,RR,1191
2019,B,M,RS,7871
2019,B,M,SC,2433
2019,B,M,SE,10540
2019,B,M,SP,25046
2019,B,M,TO,4745
2019,C,F,AC,5923
2019,C,F,AL,13397
2019,C,F,AM,20596
2019,C,F,AP,6809
2019,C,F,BA,64859
2019,C,F,CE,43107
2019,C,F,DF,15209
2019,C,F,ES,17922
2019,C,F,GO,31160
2019,C,F,MA,34010
2019,C,F,MG,90550
2019,C,F,MS,12683
2019,C,F,MT,15565
2019,C,F,PA,46613
2019,C,F,PB,21058
2019,C,F,PE,40791
2019,C,F,PI,16206
2019,C,F,PR,30968
2019,C,F,RJ,57087
2019,C,F,RN,17178
2019,C,F,RO,11686
2019,C,F,RR,2260
2019,C,F,RS,35087
2019,C,F,SC,14206
2019,C,F,SE,11406
2019,C,F,SP,120208
2019,C,F,TO,7807
2019,C,M,AC,4373
2019,C,M,AL,9634
2019,C,M,AM,15453
2019,C,M,AP,4828
2019,C,M,BA,40125
2019,C,M,CE,35784
2019,C,M,DF,8985
2019,C,M,ES,10891
2019,C,M,GO,18216
2019,C,M,MA,23882
2019,C,M,MG,50555
2019,C,M,MS,7815
2019,C,M,MT,9069
2019,C,M,PA,31498
2019,C,M,PB,16610
2019,C,M,PE,30232
2019,C,M,PI,12120
2019,C,M,PR,17347
2019,C,M,RJ,32784
2019,C,M,RN,12992
2019,C,M,RO,6874
2019,C,M,RR,1378
2019,C,M,RS,18837
2019,C,M,SC,7537
2019,C,M,SE,7956
2019,C,M,SP,66249
2019,C,M,TO,5069
2019,C,F,AC,1298
2019,C,F,AL,3359
2019,C,F,AM,4564
2019,C,F,AP,1320
2019,C,F,BA,16201
2019,C,F,CE,8699
2019,C,F,DF,5344
2019,C,F,ES,6721
2019,C,F,GO,11805
2019,C,F,MA,7178
2019,C,F,MG,36228
2019,C,F,MS,4694
2019,C,F,MT,6204
2019,C,F,PA,11213
2019,C,F,PB,5476
2019,C,F,PE,10580
2019,C,F,PI,4209
2019,C,F,PR,16399
2019,C,F,RJ,21819
2019,C,F,RN,5029
2019,C,F,RO,3510
2019,C,F,RR,562
2019,C,F,RS,16955
2019,C,F,SC,8699
2019,C,F,SE,2989
2019,C,F,SP,57842
2019,C,F,TO,2281
2019,C,M,AC,1243
2019,C,M,AL,3208
2019,C,M,AM,4168
2019,C,M,AP,1236
2019,C,M,BA,13357
2019,C,M,CE,8957
2019,C,M,DF,4031
2019,C,M,ES,5161
2019,C,M,GO,8933
2019,C,M,MA,6618
2019,C,M,MG,26613
2019,C,M,MS,3837
2019,C,M,MT,4658
2019,C,M,PA,9439
2019,C,M,PB,5475
2019,C,M,PE,9732
2019,C,M,PI,3881
2019,C,M,PR,11863
2019,C,M,RJ,16130
2019,C,M,RN,4868
2019,C,M,RO,2722
2019,C,M,RR,428
2019,C,M,RS,11796
2019,C,M,SC,5465
2019,C,M,SE,2591
2019,C,M,SP,40325
2019,C,M,TO,1698
2019,D,F,AC,1215
2019,D,F,AL,2685
2019,D,F,AM,4280
2019,D,F,AP,1286
2019,D,F,BA,14029
2019,D,F,CE,8171
2019,D,F,DF,5172
2019,D,F,ES,6601
2019,D,F,GO,10673
2019,D,F,MA,6619
2019,D,F,MG,34918
2019,D,F,MS,4387
2019,D,F,MT,5912
2019,D,F,PA,9527
2019,D,F,PB,4666
2019,D,F,PE,9174
2019,D,F,PI,3416
2019,D,F,PR,16030
2019,D,F,RJ,19627
2019,D,F,RN,4387
2019,D,F,RO,3377
2019,D,F,RR,559
2019,D,F,RS,15871
2019,D,F,SC,9048
2019,D,F,SE,2397
2019,D,F,SP,62417
2019,D,F,TO,2071
2019,D,M,AC,1096
2019,D,M,AL,2279
2019,D,M,AM,3846
2019,D,M,AP,1100
2019,D,M,BA,11487
2019,D,M,CE,7968
2019,D,M,DF,3880
2019,D,M,ES,5185
2019,D,M,GO,8303
2019,D,M,MA,5614
2019,D,M,MG,26140
2019,D,M,MS,3456
2019,D,M,MT,4316
2019,D,M,PA,7864
2019,D,M,PB,4462
2019,D,M,PE,8211
2019,D,M,PI,2936
2019,D,M,PR,12001
2019,D,M,RJ,14952
2019,D,M,RN,4076
2019,D,M,RO,2550
2019,D,M,RR,471
2019,D,M,RS,11090
2019,D,M,SC,5714
2019,D,M,SE,2021
2019,D,M,SP,44402
2019,D,M,TO,1619
2019,D,F,AC,465
2019,D,F,AL,1262
2019,D,F,AM,1358
2019,D,F,AP,478
2019,D,F,BA,5501
2019,D,F,CE,3108
2019,D,F,DF,2168
2019,D,F,ES,2879
2019,D,F,GO,4670
2019,D,F,MA,2386
2019,D,F,MG,15805
2019,D,F,MS,1826
2019,D,F,MT,2463
2019,D,F,PA,3731
2019,D,F,PB,1925
2019,D,F,PE,3710
2019,D,F,PI,1542
2019,D,F,PR,8405
2019,D,F,RJ,9373
2019,D,F,RN,1872
2019,D,F,RO,1374
2019,D,F,RR,232
2019,D,F,RS,8231
2019,D,F,SC,5131
2019,D,F,SE,1052
2019,D,F,SP,29778
2019,D,F,TO,885
2019,D,M,AC,447
2019,D,M,AL,1133
2019,D,M,AM,1322
2019,D,M,AP,451
2019,D,M,BA,4918
2019,D,M,CE,3162
2019,D,M,DF,1794
2019,D,M,ES,2485
2019,D,M,GO,3915
2019,D,M,MA,2242
2019,D,M,MG,13273
2019,D,M,MS,1654
2019,D,M,MT,2163
2019,D,M,PA,3517
2019,D,M,PB,2107
2019,D,M,PE,3575
2019,D,M,PI,1487
2019,D,M,PR,7075
2019,D,M,RJ,7954
2019,D,M,RN,2039
2019,D,M,RO,1171
2019,D,M,RR,210
2019,D,M,RS,6718
2019,D,M,SC,3862
2019,D,M,SE,1015
2019,D,M,SP,24192
2019,D,M,TO,759
2019,E,F,AC,655
2019,E,F,AL,1483
2019,E,F,AM,1941
2019,E,F,AP,699
2019,E,F,BA,7249
2019,E,F,CE,4020
2019,E,F,DF,2940
2019,E,F,ES,3816
2019,E,F,GO,5666
2019,E,F,MA,3077
2019,E,F,MG,21767
2019,E,F,MS,2249
2019,E,F,MT,3323
2019,E,F,PA,4733
2019,E,F,PB,2450
2019,E,F,PE,4797
2019,E,F,PI,1946
2019,E,F,PR,10878
2019,E,F,RJ,11915
2019,E,F,RN,2473
2019,E,F,RO,1720
2019,E,F,RR,317
2019,E,F,RS,10884
2019,E,F,SC,7239
2019,E,F,SE,1328
2019,E,F,SP,43087
2019,E,F,TO,1169
2019,E,M,AC,576
2019,E,M,AL,1380
2019,E,M,AM,1881
2019,E,M,AP,662
2019,E,M,BA,6291
2019,E,M,CE,4259
2019,E,M,DF,2374
2019,E,M,ES,3438
