NU_ANO,Q022,TP_FAIXA_ETARIA,SG_UF_PROVA,QTD
2019,A,1,AC,59
2019,A,1,AL,116
2019,A,1,AM,165
2019,A,1,AP,71
2019,A,1,BA,629
2019,A,1,CE,808
2019,A,1,DF,75
2019,A,1,ES,79
2019,A,1,GO,330
2019,A,1,MA,695
2019,A,1,MG,504
2019,A,1,MS,93
2019,A,1,MT,158
2019,A,1,PA,521
2019,A,1,PB,204
2019,A,1,PE,590
2019,A,1,PI,232
2019,A,1,PR,188
2019,A,1,RJ,284
2019,A,1,RN,101
2019,A,1,RO,54
2019,A,1,RR,27
2019,A,1,RS,107
2019,A,1,SC,78
2019,A,1,SE,119
2019,A,1,SP,763
2019,A,1,TO,131
2019,A,2,AC,150
2019,A,2,AL,259
2019,A,2,AM,555
2019,A,2,AP,177
2019,A,2,BA,1334
2019,A,2,CE,2837
2019,A,2,DF,261
2019,A,2,ES,236
2019,A,2,GO,598
2019,A,2,MA,1474
2019,A,2,MG,1058
2019,A,2,MS,265
2019,A,2,MT,373
2019,A,2,PA,1043
2019,A,2,PB,392
2019,A,2,PE,1122
2019,A,2,PI,440
2019,A,2,PR,575
2019,A,2,RJ,836
2019,A,2,RN,204
2019,A,2,RO,150
2019,A,2,RR,42
2019,A,2,RS,451
2019,A,2,SC,258
2019,A,2,SE,202
2019,A,2,SP,3079
2019,A,2,TO,210
2019,A,3,AC,227
2019,A,3,AL,419
2019,A,3,AM,830
2019,A,3,AP,241
2019,A,3,BA,1664
2019,A,3,CE,3537
2019,A,3,DF,331
2019,A,3,ES,281
2019,A,3,GO,723
2019,A,3,MA,1699
2019,A,3,MG,1342
2019,A,3,MS,314
2019,A,3,MT,375
2019,A,3,PA,1347
2019,A,3,PB,457
2019,A,3,PE,1275
2019,A,3,PI,509
2019,A,3,PR,496
2019,A,3,RJ,1293
2019,A,3,RN,309
2019,A,3,RO,252
2019,A,3,RR,73
2019,A,3,RS,662
2019,A,3,SC,349
2019,A,3,SE,216
2019,A,3,SP,2197
2019,A,3,TO,240
2019,A,4,AC,157
2019,A,4,AL,348
2019,A,4,AM,593
2019,A,4,AP,191
2019,A,4,BA,1529
2019,A,4,CE,1682
2019,A,4,DF,283
2019,A,4,ES,225
2019,A,4,GO,329
2019,A,4,MA,1318
2019,A,4,MG,908
2019,A,4,MS,202
2019,A,4,MT,229
2019,A,4,PA,1201
2019,A,4,PB,353
2019,A,4,PE,876
2019,A,4,PI,441
2019,A,4,PR,296
2019,A,4,RJ,981
2019,A,4,RN,277
2019,A,4,RO,175
2019,A,4,RR,60
2019,A,4,RS,476
2019,A,4,SC,152
2019,A,4,SE,205
2019,A,4,SP,1340
2019,A,4,TO,175
2019,A,5,AC,144
2019,A,5,AL,244
2019,A,5,AM,400
2019,A,5,AP,136
2019,A,5,BA,1172
2019,A,5,CE,938
2019,A,5,DF,180
2019,A,5,ES,146
2019,A,5,GO,217
2019,A,5,MA,882
2019,A,5,MG,624
2019,A,5,MS,119
2019,A,5,MT,153
2019,A,5,PA,1026
2019,A,5,PB,258
2019,A,5,PE,549
2019,A,5,PI,317
2019,A,5,PR,215
2019,A,5,RJ,642
2019,A,5,RN,196
2019,A,5,RO,132
2019,A,5,RR,33
2019,A,5,RS,363
2019,A,5,SC,123
2019,A,5,SE,165
2019,A,5,SP,911
2019,A,5,TO,110
2019,A,6,AC,121
2019,A,6,AL,173
2019,A,6,AM,304
2019,A,6,AP,118
2019,A,6,BA,766
2019,A,6,CE,539
2019,A,6,DF,123
2019,A,6,ES,106
2019,A,6,GO,156
2019,A,6,MA,555
2019,A,6,MG,434
2019,A,6,MS,90
2019,A,6,MT,102
2019,A,6,PA,754
2019,A,6,PB,209
2019,A,6,PE,383
2019,A,6,PI,256
2019,A,6,PR,147
2019,A,6,RJ,367
2019,A,6,RN,163
2019,A,6,RO,92
2019,A,6,RR,24
2019,A,6,RS,242
2019,A,6,SC,57
2019,A,6,SE,91
2019,A,6,SP,655
2019,A,6,TO,76
2019,A,6,AC,69
2019,A,6,AL,104
2019,A,6,AM,257
2019,A,6,AP,92
2019,A,6,BA,558
2019,A,6,CE,356
2019,A,6,DF,113
2019,A,6,ES,81
2019,A,6,GO,98
2019,A,6,MA,404
2019,A,6,MG,386
2019,A,6,MS,89
2019,A,6,MT,80
2019,A,6,PA,570
2019,A,6,PB,147
2019,A,6,PE,273
2019,A,6,PI,156
2019,A,6,PR,94
2019,A,6,RJ,312
2019,A,6,RN,117
2019,A,6,RO,59
2019,A,6,RR,22
2019,A,6,RS,167
2019,A,6,SC,56
2019,A,6,SE,75
2019,A,6,SP,458
2019,A,6,TO,52
2019,A,6,AC,57
2019,A,6,AL,100
2019,A,6,AM,180
2019,A,6,AP,75
2019,A,6,BA,431
2019,A,6,CE,265
2019,A,6,DF,62
2019,A,6,ES,55
2019,A,6,GO,81
2019,A,6,MA,299
2019,A,6,MG,276
2019,A,6,MS,54
2019,A,6,MT,68
2019,A,6,PA,476
2019,A,6,PB,123
2019,A,6,PE,186
2019,A,6,PI,115
2019,A,6,PR,78
2019,A,6,RJ,208
2019,A,6,RN,81
2019,A,6,RO,54
2019,A,6,RR,14
2019,A,6,RS,98
2019,A,6,SC,40
2019,A,6,SE,72
2019,A,6,SP,349
2019,A,6,TO,43
2019,A,6,AC,58
2019,A,6,AL,69
2019,A,6,AM,142
2019,A,6,AP,65
2019,A,6,BA,316
2019,A,6,CE,213
2019,A,6,DF,53
2019,A,6,ES,44
2019,A,6,GO,85
2019,A,6,MA,239
2019,A,6,MG,221
2019,A,6,MS,44
2019,A,6,MT,40
2019,A,6,PA,365
2019,A,6,PB,87
2019,A,6,PE,159
2019,A,6,PI,117
2019,A,6,PR,61
2019,A,6,RJ,173
2019,A,6,RN,72
2019,A,6,RO,40
2019,A,6,RR,7
2019,A,6,RS,82
2019,A,6,SC,32
2019,A,6,SE,35
2019,A,6,SP,252
2019,A,6,TO,20
2019,A,6,AC,38
2019,A,6,AL,52
2019,A,6,AM,128
2019,A,6,AP,47
2019,A,6,BA,255
2019,A,6,CE,144
2019,A,6,DF,41
2019,A,6,ES,29
2019,A,6,GO,63
2019,A,6,MA,167
2019,A,6,MG,131
2019,A,6,MS,32
2019,A,6,MT,45
2019,A,6,PA,291
2019,A,6,PB,45
2019,A,6,PE,116
2019,A,6,PI,70
2019,A,6,PR,38
2019,A,6,RJ,155
2019,A,6,RN,69
2019,A,6,RO,43
2019,A,6,RR,10
2019,A,6,RS,62
2019,A,6,SC,25
2019,A,6,SE,33
2019,A,6,SP,205
2019,A,6,TO,13
2019,A,6,AC,118
2019,A,6,AL,124
2019,A,6,AM,357
2019,A,6,AP,153
2019,A,6,BA,625
2019,A,6,CE,505
2019,A,6,DF,112
2019,A,6,ES,97
2019,A,6,GO,119
2019,A,6,MA,444
2019,A,6,MG,426
2019,A,6,MS,89
2019,A,6,MT,74
2019,A,6,PA,803
2019,A,6,PB,204
2019,A,6,PE,306
2019,A,6,PI,205
2019,A,6,PR,131
2019,A,6,RJ,319
2019,A,6,RN,165
2019,A,6,RO,112
2019,A,6,RR,26
2019,A,6,RS,156
2019,A,6,SC,72
2019,A,6,SE,95
2019,A,6,SP,522
2019,A,6,TO,63
2019,A,6,AC,49
2019,A,6,AL,78
2019,A,6,AM,182
2019,A,6,AP,59
2019,A,6,BA,329
2019,A,6,CE,310
2019,A,6,DF,72
2019,A,6,ES,49
2019,A,6,GO,70
2019,A,6,MA,231
2019,A,6,MG,190
2019,A,6,MS,53
2019,A,6,MT,56
2019,A,6,PA,409
2019,A,6,PB,94
2019,A,6,PE,145
2019,A,6,PI,112
2019,A,6,PR,62
2019,A,6,RJ,145
2019,A,6,RN,89
2019,A,6,RO,56
2019,A,6,RR,6
2019,A,6,RS,72
2019,A,6,SC,31
2019,A,6,SE,38
2019,A,6,SP,224
2019,A,6,TO,17
2019,A,6,AC,36
2019,A,6,AL,50
2019,A,6,AM,110
2019,A,6,AP,49
2019,A,6,BA,190
2019,A,6,CE,190
2019,A,6,DF,49
2019,A,6,ES,33
2019,A,6,GO,39
2019,A,6,MA,115
2019,A,6,MG,164
2019,A,6,MS,23
2019,A,6,MT,34
2019,A,6,PA,288
2019,A,6,PB,85
2019,A,6,PE,109
2019,A,6,PI,65
2019,A,6,PR,46
2019,A,6,RJ,114
2019,A,6,RN,43
2019,A,6,RO,44
2019,A,6,RR,4
2019,A,6,RS,60
2019,A,6,SC,16
2019,A,6,SE,23
2019,A,6,SP,171
2019,A,6,TO,21
2019,A,6,AC,19
2019,A,6,AL,21
2019,A,6,AM,67
2019,A,6,AP,20
2019,A,6,BA,146
2019,A,6,CE,102
2019,A,6,DF,26
2019,A,6,ES,19
2019,A,6,GO,29
2019,A,6,MA,55
2019,A,6,MG,81
2019,A,6,MS,21
2019,A,6,MT,27
2019,A,6,PA,144
2019,A,6,PB,22
2019,A,6,PE,50
2019,A,6,PI,37
2019,A,6,PR,36
2019,A,6,RJ,95
2019,A,6,RN,22
2019,A,6,RO,17
2019,A,6,RR,6
2019,A,6,RS,22
2019,A,6,SC,10
2019,A,6,SE,19
2019,A,6,SP,123
2019,A,6,TO,8
2019,A,6,AC,10
2019,A,6,AL,9
2019,A,6,AM,30
2019,A,6,AP,14
2019,A,6,BA,67
2019,A,6,CE,58
2019,A,6,DF,34
2019,A,6,ES,14
2019,A,6,GO,10
2019,A,6,MA,37
2019,A,6,MG,59
2019,A,6,MS,12
2019,A,6,MT,16
2019,A,6,PA,71
2019,A,6,PB,21
2019,A,6,PE,45
2019,A,6,PI,17
2019,A,6,PR,18
2019,A,6,RJ,59
2019,A,6,RN,20
2019,A,6,RO,15
2019,A,6,RR,5
2019,A,6,RS,29
2019,A,6,SC,10
2019,A,6,SE,7
2019,A,6,SP,97
2019,A,6,TO,3
2019,A,6,AC,6
2019,A,6,AL,4
2019,A,6,AM,17
2019,A,6,AP,11
2019,A,6,BA,44
2019,A,6,CE,35
2019,A,6,DF,11
2019,A,6,ES,13
2019,A,6,GO,7
2019,A,6,MA,24
2019,A,6,MG,37
2019,A,6,MS,4
2019,A,6,MT,5
2019,A,6,PA,51
2019,A,6,PB,14
2019,A,6,PE,22
2019,A,6,PI,9
2019,A,6,PR,14
2019,A,6,RJ,43
2019,A,6,RN,17
2019,A,6,RO,6
2019,A,6,RR,1
2019,A,6,RS,13
2019,A,6,SC,4
2019,A,6,SE,4
2019,A,6,SP,75
2019,A,6,TO,1
2019,A,6,AC,1
2019,A,6,AL,4
2019,A,6,AM,2
2019,A,6,AP,2
2019,A,6,BA,24
2019,A,6,CE,19
2019,A,6,DF,9
2019,A,6,ES,5
2019,A,6,GO,7
2019,A,6,MA,11
2019,A,6,MG,21
2019,A,6,MT,6
2019,A,6,PA,22
2019,A,6,PB,3
2019,A,6,PE,14
2019,A,6,PI,2
2019,A,6,PR,5
2019,A,6,RJ,39
2019,A,6,RN,6
2019,A,6,RS,10
2019,A,6,SC,2
2019,A,6,SE,1
2019,A,6,SP,27
2019,A,6,TO,1
2019,A,6,AL,1
2019,A,6,AM,1
2019,A,6,AP,3
2019,A,6,BA,11
2019,A,6,CE,7
2019,A,6,DF,2
2019,A,6,ES,2
2019,A,6,GO,1
2019,A,6,MA,1
2019,A,6,MG,15
2019,A,6,MS,1
2019,A,6,MT,1
2019,A,6,PA,10
2019,A,6,PE,1
2019,A,6,PI,1
2019,A,6,PR,1
2019,A,6,RJ,26
2019,A,6,RN,2
2019,A,6,RO,1
2019,A,6,RR,1
2019,A,6,RS,5
2019,A,6,SC,2
2019,A,6,SE,2
2019,A,6,SP,19
2019,A,6,AL,1
2019,A,6,AM,1
2019,A,6,AP,1
2019,A,6,BA,2
2019,A,6,CE,3
2019,A,6,DF,1
2019,A,6,MA,3
2019,A,6,MG,1
2019,A,6,MS,1
2019,A,6,PA,5
2019,A,6,PB,1
2019,A,6,PI,1
2019,A,6,PR,2
2019,A,6,RJ,12
2019,A,6,RO,1
2019,A,6,RS,1
2019,A,6,SE,1
2019,A,6,SP,10
2019,A,6,AL,1
2019,A,6,BA,3
2019,A,6,CE,1
2019,A,6,DF,1
2019,A,6,ES,2
2019,A,6,GO,1
2019,A,6,MA,1
2019,A,6,MG,11
2019,A,6,PE,1
2019,A,6,RJ,11
2019,A,6,RS,1
2019,A,6,SE,2
2019,A,6,SP,8
2019,B,1,AC,310
2019,B,1,AL,782
2019,B,1,AM,849
2019,B,1,AP,389
2019,B,1,BA,4838
2019,B,1,CE,6822
2019,B,1,DF,366
2019,B,1,ES,385
2019,B,1,GO,1914
2019,B,1,MA,4845
2019,B,1,MG,3767
2019,B,1,MS,521
2019,B,1,MT,791
2019,B,1,PA,3858
2019,B,1,PB,2171
2019,B,1,PE,4409
2019,B,1,PI,2414
2019,B,1,PR,1226
2019,B,1,RJ,1508
2019,B,1,RN,733
2019,B,1,RO,348
2019,B,1,RR,130
2019,B,1,RS,809
2019,B,1,SC,541
2019,B,1,SE,1210
2019,B,1,SP,3866
2019,B,1,TO,638
2019,B,2,AC,895
2019,B,2,AL,2367
2019,B,2,AM,2925
2019,B,2,AP,988
2019,B,2,BA,10458
2019,B,2,CE,16784
2019,B,2,DF,1118
2019,B,2,ES,1352
2019,B,2,GO,3696
2019,B,2,MA,9409
2019,B,2,MG,8976
2019,B,2,MS,1536
2019,B,2,MT,1939
2019,B,2,PA,7770
2019,B,2,PB,3824
2019,B,2,PE,8812
2019,B,2,PI,4153
2019,B,2,PR,4547
2019,B,2,RJ,5162
2019,B,2,RN,2024
2019,B,2,RO,935
2019,B,2,RR,254
2019,B,2,RS,2635
2019,B,2,SC,1793
2019,B,2,SE,2002
2019,B,2,SP,19252
2019,B,2,TO,1358
2019,B,3,AC,1251
2019,B,3,AL,3334
2019,B,3,AM,4479
2019,B,3,AP,1284
2019,B,3,BA,13046
2019,B,3,CE,19984
2019,B,3,DF,1695
2019,B,3,ES,1993
2019,B,3,GO,4483
2019,B,3,MA,11028
2019,B,3,MG,11249
2019,B,3,MS,1703
2019,B,3,MT,2341
2019,B,3,PA,10423
2019,B,3,PB,4798
2019,B,3,PE,9988
2019,B,3,PI,5091
2019,B,3,PR,3925
2019,B,3,RJ,8045
2019,B,3,RN,2806
2019,B,3,RO,1606
2019,B,3,RR,414
2019,B,3,RS,4522
2019,B,3,SC,2864
2019,B,3,SE,2531
2019,B,3,SP,14159
2019,B,3,TO,1508
2019,B,4,AC,1075
2019,B,4,AL,2620
2019,B,4,AM,3215
2019,B,4,AP,1174
2019,B,4,BA,11550
2019,B,4,CE,11149
2019,B,4,DF,1466
2019,B,4,ES,1539
2019,B,4,GO,2628
2019,B,4,MA,8470
2019,B,4,MG,7854
2019,B,4,MS,1263
2019,B,4,MT,1475
2019,B,4,PA,8881
2019,B,4,PB,3910
2019,B,4,PE,6703
2019,B,4,PI,4127
2019,B,4,PR,2635
2019,B,4,RJ,6574
2019,B,4,RN,2540
2019,B,4,RO,1300
2019,B,4,RR,282
2019,B,4,RS,3314
2019,B,4,SC,1528
2019,B,4,SE,2263
2019,B,4,SP,9290
2019,B,4,TO,1145
2019,B,5,AC,969
2019,B,5,AL,2081
2019,B,5,AM,2422
2019,B,5,AP,1019
2019,B,5,BA,9463
