NU_ANO,Q024,TP_ESCOLA,SG_UF_PROVA,QTD
2019,A,1,AC,21146
2019,A,1,AL,38987
2019,A,1,AM,54552
2019,A,1,AP,23354
2019,A,1,BA,161356
2019,A,1,CE,97353
2019,A,1,DF,21961
2019,A,1,ES,25264
2019,A,1,GO,50565
2019,A,1,MA,112266
2019,A,1,MG,128982
2019,A,1,MS,22031
2019,A,1,MT,27435
2019,A,1,PA,149209
2019,A,1,PB,58852
2019,A,1,PE,103584
2019,A,1,PI,57391
2019,A,1,PR,40279
2019,A,1,RJ,79844
2019,A,1,RN,45625
2019,A,1,RO,22016
2019,A,1,RR,5106
2019,A,1,RS,49281
2019,A,1,SC,18492
2019,A,1,SE,35016
2019,A,1,SP,155412
2019,A,1,TO,19014
2019,A,2,AC,4902
2019,A,2,AL,13137
2019,A,2,AM,20637
2019,A,2,AP,5822
2019,A,2,BA,52785
2019,A,2,CE,88936
2019,A,2,DF,8100
2019,A,2,ES,12169
2019,A,2,GO,22319
2019,A,2,MA,41497
2019,A,2,MG,53611
2019,A,2,MS,9499
2019,A,2,MT,11158
2019,A,2,PA,42436
2019,A,2,PB,19798
2019,A,2,PE,43495
2019,A,2,PI,20261
2019,A,2,PR,23720
2019,A,2,RJ,35337
2019,A,2,RN,13514
2019,A,2,RO,8138
2019,A,2,RR,1599
2019,A,2,RS,19505
2019,A,2,SC,12267
2019,A,2,SE,10940
2019,A,2,SP,85900
2019,A,2,TO,7380
2019,A,3,AC,93
2019,A,3,AL,1119
2019,A,3,AM,357
2019,A,3,AP,165
2019,A,3,BA,2645
2019,A,3,CE,2046
2019,A,3,DF,588
2019,A,3,ES,368
2019,A,3,GO,1256
2019,A,3,MA,1160
2019,A,3,MG,1635
2019,A,3,MS,296
2019,A,3,MT,381
2019,A,3,PA,2375
2019,A,3,PB,1223
2019,A,3,PE,2053
2019,A,3,PI,1066
2019,A,3,PR,881
2019,A,3,RJ,3685
2019,A,3,RN,903
2019,A,3,RO,124
2019,A,3,RR,41
2019,A,3,RS,784
2019,A,3,SC,529
2019,A,3,SE,940
2019,A,3,SP,5288
2019,A,3,TO,187
2019,B,1,AC,9127
2019,B,1,AL,25027
2019,B,1,AM,27927
2019,B,1,AP,9194
2019,B,1,BA,124727
2019,B,1,CE,66586
2019,B,1,DF,33205
2019,B,1,ES,38470
2019,B,1,GO,57604
2019,B,1,MA,45369
2019,B,1,MG,213173
2019,B,1,MS,22563
2019,B,1,MT,30380
2019,B,1,PA,60032
2019,B,1,PB,46467
2019,B,1,PE,82760
2019,B,1,PI,29988
2019,B,1,PR,74786
2019,B,1,RJ,122595
2019,B,1,RN,39715
2019,B,1,RO,19121
2019,B,1,RR,3770
2019,B,1,RS,84122
2019,B,1,SC,35890
2019,B,1,SE,21809
2019,B,1,SP,281724
2019,B,1,TO,12892
2019,B,2,AC,1615
2019,B,2,AL,4151
2019,B,2,AM,7497
2019,B,2,AP,1651
2019,B,2,BA,24099
2019,B,2,CE,17909
2019,B,2,DF,10104
2019,B,2,ES,12177
2019,B,2,GO,17738
2019,B,2,MA,8147
2019,B,2,MG,61324
2019,B,2,MS,7833
2019,B,2,MT,9213
2019,B,2,PA,10187
2019,B,2,PB,7103
2019,B,2,PE,18108
2019,B,2,PI,5154
2019,B,2,PR,31023
2019,B,2,RJ,33943
2019,B,2,RN,7345
2019,B,2,RO,5112
2019,B,2,RR,990
2019,B,2,RS,27743
2019,B,2,SC,20864
2019,B,2,SE,3011
2019,B,2,SP,120790
2019,B,2,TO,3352
2019,B,3,AC,171
2019,B,3,AL,2148
2019,B,3,AM,730
2019,B,3,AP,296
2019,B,3,BA,7173
2019,B,3,CE,4553
2019,B,3,DF,2697
2019,B,3,ES,1624
2019,B,3,GO,3734
2019,B,3,MA,1629
2019,B,3,MG,8343
2019,B,3,MS,964
2019,B,3,MT,1113
2019,B,3,PA,3359
2019,B,3,PB,2830
2019,B,3,PE,4764
2019,B,3,PI,1976
2019,B,3,PR,4764
2019,B,3,RJ,13380
2019,B,3,RN,2085
2019,B,3,RO,287
2019,B,3,RR,110
2019,B,3,RS,3666
2019,B,3,SC,2554
2019,B,3,SE,1821
2019,B,3,SP,28574
2019,B,3,TO,391
2019,C,1,AC,954
2019,C,1,AL,2985
2019,C,1,AM,3560
2019,C,1,AP,1245
2019,C,1,BA,12817
2019,C,1,CE,9571
2019,C,1,DF,8424
2019,C,1,ES,6412
2019,C,1,GO,9102
2019,C,1,MA,4913
2019,C,1,MG,36490
2019,C,1,MS,3728
2019,C,1,MT,4736
2019,C,1,PA,7024
2019,C,1,PB,6403
2019,C,1,PE,11072
2019,C,1,PI,3797
2019,C,1,PR,16782
2019,C,1,RJ,24693
2019,C,1,RN,5882
2019,C,1,RO,2257
2019,C,1,RR,689
2019,C,1,RS,16999
2019,C,1,SC,8598
2019,C,1,SE,2842
2019,C,1,SP,60083
2019,C,1,TO,1736
2019,C,2,AC,177
2019,C,2,AL,253
2019,C,2,AM,814
2019,C,2,AP,183
2019,C,2,BA,1551
2019,C,2,CE,1390
2019,C,2,DF,1771
2019,C,2,ES,1626
2019,C,2,GO,1813
2019,C,2,MA,580
2019,C,2,MG,7899
2019,C,2,MS,1037
2019,C,2,MT,1013
2019,C,2,PA,855
2019,C,2,PB,488
2019,C,2,PE,1360
2019,C,2,PI,339
2019,C,2,PR,5242
2019,C,2,RJ,4277
2019,C,2,RN,685
2019,C,2,RO,627
2019,C,2,RR,176
2019,C,2,RS,4759
2019,C,2,SC,4065
2019,C,2,SE,180
2019,C,2,SP,19211
2019,C,2,TO,349
2019,C,3,AC,81
2019,C,3,AL,568
2019,C,3,AM,350
2019,C,3,AP,110
2019,C,3,BA,2299
2019,C,3,CE,1662
2019,C,3,DF,1760
2019,C,3,ES,804
2019,C,3,GO,1453
2019,C,3,MA,555
2019,C,3,MG,4014
2019,C,3,MS,480
2019,C,3,MT,462
2019,C,3,PA,1098
2019,C,3,PB,937
2019,C,3,PE,1899
2019,C,3,PI,623
2019,C,3,PR,3034
2019,C,3,RJ,5680
2019,C,3,RN,719
2019,C,3,RO,109
2019,C,3,RR,44
2019,C,3,RS,2200
2019,C,3,SC,1617
2019,C,3,SE,523
2019,C,3,SP,14858
2019,C,3,TO,143
2019,D,1,AC,243
2019,D,1,AL,827
2019,D,1,AM,904
2019,D,1,AP,342
2019,D,1,BA,3363
2019,D,1,CE,2594
2019,D,1,DF,3284
2019,D,1,ES,1789
2019,D,1,GO,2324
2019,D,1,MA,1172
2019,D,1,MG,10084
2019,D,1,MS,1021
2019,D,1,MT,1217
2019,D,1,PA,1697
2019,D,1,PB,1753
2019,D,1,PE,3327
2019,D,1,PI,1017
2019,D,1,PR,5152
2019,D,1,RJ,7760
2019,D,1,RN,1641
2019,D,1,RO,485
2019,D,1,RR,225
2019,D,1,RS,4637
2019,D,1,SC,2510
2019,D,1,SE,787
2019,D,1,SP,19109
2019,D,1,TO,474
2019,D,2,AC,29
2019,D,2,AL,45
2019,D,2,AM,185
2019,D,2,AP,45
2019,D,2,BA,265
2019,D,2,CE,257
2019,D,2,DF,516
2019,D,2,ES,346
2019,D,2,GO,361
2019,D,2,MA,86
2019,D,2,MG,1606
2019,D,2,MS,252
2019,D,2,MT,231
2019,D,2,PA,150
2019,D,2,PB,81
2019,D,2,PE,276
2019,D,2,PI,48
2019,D,2,PR,1150
2019,D,2,RJ,960
2019,D,2,RN,136
2019,D,2,RO,133
2019,D,2,RR,47
2019,D,2,RS,1084
2019,D,2,SC,907
2019,D,2,SE,33
2019,D,2,SP,4092
2019,D,2,TO,62
2019,D,3,AC,26
2019,D,3,AL,187
2019,D,3,AM,149
2019,D,3,AP,55
2019,D,3,BA,836
2019,D,3,CE,700
2019,D,3,DF,947
2019,D,3,ES,348
2019,D,3,GO,528
2019,D,3,MA,218
2019,D,3,MG,1887
2019,D,3,MS,202
2019,D,3,MT,218
2019,D,3,PA,392
2019,D,3,PB,359
2019,D,3,PE,798
2019,D,3,PI,221
2019,D,3,PR,1444
2019,D,3,RJ,2507
2019,D,3,RN,263
2019,D,3,RO,46
2019,D,3,RR,28
2019,D,3,RS,1005
2019,D,3,SC,818
2019,D,3,SE,212
2019,D,3,SP,7075
2019,D,3,TO,63
2019,E,1,AC,63
2019,E,1,AL,305
2019,E,1,AM,345
2019,E,1,AP,116
2019,E,1,BA,1087
2019,E,1,CE,1054
2019,E,1,DF,1725
2019,E,1,ES,615
2019,E,1,GO,843
2019,E,1,MA,369
2019,E,1,MG,4136
2019,E,1,MS,334
2019,E,1,MT,420
2019,E,1,PA,568
2019,E,1,PB,688
2019,E,1,PE,1336
2019,E,1,PI,318
2019,E,1,PR,1981
2019,E,1,RJ,3482
2019,E,1,RN,633
2019,E,1,RO,140
2019,E,1,RR,97
2019,E,1,RS,1789
2019,E,1,SC,918
2019,E,1,SE,290
2019,E,1,SP,8582
2019,E,1,TO,148
2019,E,2,AC,7
2019,E,2,AL,5
2019,E,2,AM,67
2019,E,2,AP,5
2019,E,2,BA,85
2019,E,2,CE,105
2019,E,2,DF,217
2019,E,2,ES,117
2019,E,2,GO,105
2019,E,2,MA,38
2019,E,2,MG,471
2019,E,2,MS,71
2019,E,2,MT,62
2019,E,2,PA,41
2019,E,2,PB,31
2019,E,2,PE,83
2019,E,2,PI,22
2019,E,2,PR,360
2019,E,2,RJ,292
2019,E,2,RN,43
2019,E,2,RO,27
2019,E,2,RR,17
2019,E,2,RS,298
2019,E,2,SC,264
2019,E,2,SE,6
2019,E,2,SP,1229
2019,E,2,TO,18
2019,E,3,AC,11
2019,E,3,AL,80
2019,E,3,AM,70
2019,E,3,AP,20
2019,E,3,BA,339
2019,E,3,CE,268
2019,E,3,DF,550
2019,E,3,ES,144
2019,E,3,GO,235
2019,E,3,MA,75
2019,E,3,MG,970
2019,E,3,MS,82
2019,E,3,MT,82
2019,E,3,PA,170
2019,E,3,PB,163
2019,E,3,PE,402
2019,E,3,PI,91
2019,E,3,PR,708
2019,E,3,RJ,1281
2019,E,3,RN,130
2019,E,3,RO,17
2019,E,3,RR,17
2019,E,3,RS,597
2019,E,3,SC,406
2019,E,3,SE,78
2019,E,3,SP,4063
2019,E,3,TO,40
2020,A,1,AC,23391
2020,A,1,AL,49420
2020,A,1,AM,76885
2020,A,1,AP,27753
2020,A,1,BA,205028
2020,A,1,CE,120035
2020,A,1,DF,32407
2020,A,1,ES,31590
2020,A,1,GO,66612
2020,A,1,MA,136410
2020,A,1,MG,166513
2020,A,1,MS,31944
2020,A,1,MT,36954
2020,A,1,PA,194537
2020,A,1,PB,72224
2020,A,1,PE,133953
2020,A,1,PI,69386
2020,A,1,PR,56195
2020,A,1,RJ,115098
2020,A,1,RN,55352
2020,A,1,RO,29102
2020,A,1,RR,7533
2020,A,1,RS,71282
2020,A,1,SC,26788
2020,A,1,SE,42006
2020,A,1,SP,228052
2020,A,1,TO,25961
2020,A,2,AC,4504
2020,A,2,AL,12843
2020,A,2,AM,31428
2020,A,2,AP,4759
2020,A,2,BA,56277
2020,A,2,CE,94085
2020,A,2,DF,8394
2020,A,2,ES,11100
2020,A,2,GO,36703
2020,A,2,MA,34418
2020,A,2,MG,48544
2020,A,2,MS,8827
2020,A,2,MT,10847
2020,A,2,PA,40168
2020,A,2,PB,19920
2020,A,2,PE,48316
2020,A,2,PI,17829
2020,A,2,PR,23104
2020,A,2,RJ,33964
2020,A,2,RN,12559
2020,A,2,RO,9014
2020,A,2,RR,2049
2020,A,2,RS,18340
2020,A,2,SC,10662
2020,A,2,SE,12287
2020,A,2,SP,68753
2020,A,2,TO,10068
2020,A,3,AC,45
2020,A,3,AL,1027
2020,A,3,AM,217
2020,A,3,AP,84
2020,A,3,BA,2193
2020,A,3,CE,1521
2020,A,3,DF,395
2020,A,3,ES,212
2020,A,3,GO,841
2020,A,3,MA,679
2020,A,3,MG,1029
2020,A,3,MS,172
2020,A,3,MT,238
2020,A,3,PA,1871
2020,A,3,PB,1069
2020,A,3,PE,1509
2020,A,3,PI,765
2020,A,3,PR,605
2020,A,3,RJ,2603
2020,A,3,RN,707
2020,A,3,RO,53
2020,A,3,RR,35
2020,A,3,RS,441
2020,A,3,SC,291
2020,A,3,SE,760
2020,A,3,SP,3351
2020,A,3,TO,96
2020,B,1,AC,9496
2020,B,1,AL,26627
2020,B,1,AM,35159
2020,B,1,AP,10084
2020,B,1,BA,130543
2020,B,1,CE,71023
2020,B,1,DF,39548
2020,B,1,ES,38508
2020,B,1,GO,63070
2020,B,1,MA,48690
2020,B,1,MG,225842
2020,B,1,MS,26006
2020,B,1,MT,32896
2020,B,1,PA,68860
2020,B,1,PB,48806
