NU_ANO,Q024,TP_ESTADO_CIVIL,SG_UF_PROVA,QTD
2019,A,0,AC,1588
2019,A,0,AL,1976
2019,A,0,AM,3645
2019,A,0,AP,1959
2019,A,0,BA,8957
2019,A,0,CE,7409
2019,A,0,DF,1352
2019,A,0,ES,1434
2019,A,0,GO,3108
2019,A,0,MA,5829
2019,A,0,MG,5873
2019,A,0,MS,1897
2019,A,0,MT,2151
2019,A,0,PA,10564
2019,A,0,PB,3018
2019,A,0,PE,4814
2019,A,0,PI,3222
2019,A,0,PR,3346
2019,A,0,RJ,3539
2019,A,0,RN,2577
2019,A,0,RO,1733
2019,A,0,RR,328
2019,A,0,RS,4107
2019,A,0,SC,1944
2019,A,0,SE,1833
2019,A,0,SP,9311
2019,A,0,TO,1342
2019,A,1,AC,20645
2019,A,1,AL,44852
2019,A,1,AM,64819
2019,A,1,AP,25030
2019,A,1,BA,188659
2019,A,1,CE,169737
2019,A,1,DF,25750
2019,A,1,ES,31448
2019,A,1,GO,63403
2019,A,1,MA,137438
2019,A,1,MG,160137
2019,A,1,MS,25572
2019,A,1,MT,32460
2019,A,1,PA,165582
2019,A,1,PB,68113
2019,A,1,PE,131426
2019,A,1,PI,68938
2019,A,1,PR,55182
2019,A,1,RJ,102478
2019,A,1,RN,51242
2019,A,1,RO,23314
2019,A,1,RR,5770
2019,A,1,RS,58953
2019,A,1,SC,26815
2019,A,1,SE,41443
2019,A,1,SP,214137
2019,A,1,TO,22854
2019,A,2,AC,3249
2019,A,2,AL,5315
2019,A,2,AM,5821
2019,A,2,AP,1928
2019,A,2,BA,15785
2019,A,2,CE,9093
2019,A,2,DF,2727
2019,A,2,ES,3837
2019,A,2,GO,5917
2019,A,2,MA,9476
2019,A,2,MG,14141
2019,A,2,MS,3422
2019,A,2,MT,3381
2019,A,2,PA,14963
2019,A,2,PB,7130
2019,A,2,PE,10306
2019,A,2,PI,5407
2019,A,2,PR,4857
2019,A,2,RJ,9928
2019,A,2,RN,5105
2019,A,2,RO,4231
2019,A,2,RR,495
2019,A,2,RS,4684
2019,A,2,SC,1934
2019,A,2,SE,2808
2019,A,2,SP,17153
2019,A,2,TO,1912
2019,A,3,AC,631
2019,A,3,AL,1020
2019,A,3,AM,1162
2019,A,3,AP,390
2019,A,3,BA,3123
2019,A,3,CE,1951
2019,A,3,DF,772
2019,A,3,ES,1026
2019,A,3,GO,1624
2019,A,3,MA,2021
2019,A,3,MG,3833
2019,A,3,MS,884
2019,A,3,MT,925
2019,A,3,PA,2667
2019,A,3,PB,1511
2019,A,3,PE,2421
2019,A,3,PI,1061
2019,A,3,PR,1416
2019,A,3,RJ,2696
2019,A,3,RN,1040
2019,A,3,RO,942
2019,A,3,RR,142
2019,A,3,RS,1713
2019,A,3,SC,561
2019,A,3,SE,758
2019,A,3,SP,5678
2019,A,3,TO,449
2019,A,4,AC,28
2019,A,4,AL,80
2019,A,4,AM,99
2019,A,4,AP,34
2019,A,4,BA,262
2019,A,4,CE,145
2019,A,4,DF,48
2019,A,4,ES,56
2019,A,4,GO,88
2019,A,4,MA,159
2019,A,4,MG,244
2019,A,4,MS,51
2019,A,4,MT,57
2019,A,4,PA,244
2019,A,4,PB,101
2019,A,4,PE,165
2019,A,4,PI,90
2019,A,4,PR,79
2019,A,4,RJ,225
2019,A,4,RN,78
2019,A,4,RO,58
2019,A,4,RR,11
2019,A,4,RS,113
2019,A,4,SC,34
2019,A,4,SE,54
2019,A,4,SP,321
2019,A,4,TO,24
2019,B,0,AC,662
2019,B,0,AL,1148
2019,B,0,AM,1989
2019,B,0,AP,857
2019,B,0,BA,6756
2019,B,0,CE,3452
2019,B,0,DF,1888
2019,B,0,ES,1607
2019,B,0,GO,2956
2019,B,0,MA,2284
2019,B,0,MG,8165
2019,B,0,MS,1603
2019,B,0,MT,2089
2019,B,0,PA,4465
2019,B,0,PB,2172
2019,B,0,PE,3810
2019,B,0,PI,1440
2019,B,0,PR,4647
2019,B,0,RJ,5177
2019,B,0,RN,2267
2019,B,0,RO,1350
2019,B,0,RR,255
2019,B,0,RS,6564
2019,B,0,SC,3117
2019,B,0,SE,1235
2019,B,0,SP,14017
2019,B,0,TO,688
2019,B,1,AC,8424
2019,B,1,AL,25587
2019,B,1,AM,29506
2019,B,1,AP,8995
2019,B,1,BA,131432
2019,B,1,CE,76861
2019,B,1,DF,38377
2019,B,1,ES,43565
2019,B,1,GO,68152
2019,B,1,MA,46138
2019,B,1,MG,245753
2019,B,1,MS,25543
2019,B,1,MT,33625
2019,B,1,PA,59676
2019,B,1,PB,45949
2019,B,1,PE,89718
2019,B,1,PI,31471
2019,B,1,PR,95401
2019,B,1,RJ,146193
2019,B,1,RN,40327
2019,B,1,RO,18651
2019,B,1,RR,4081
2019,B,1,RS,98946
2019,B,1,SC,52127
2019,B,1,SE,22456
2019,B,1,SP,381521
2019,B,1,TO,14280
2019,B,2,AC,1542
2019,B,2,AL,3868
2019,B,2,AM,3923
2019,B,2,AP,1061
2019,B,2,BA,15027
2019,B,2,CE,7397
2019,B,2,DF,4582
2019,B,2,ES,5965
2019,B,2,GO,6455
2019,B,2,MA,5710
2019,B,2,MG,23491
2019,B,2,MS,3443
2019,B,2,MT,4056
2019,B,2,PA,8184
2019,B,2,PB,6938
2019,B,2,PE,10115
2019,B,2,PI,3561
2019,B,2,PR,8619
2019,B,2,RJ,14989
2019,B,2,RN,5535
2019,B,2,RO,3863
2019,B,2,RR,413
2019,B,2,RS,7660
2019,B,2,SC,3184
2019,B,2,SE,2389
2019,B,2,SP,27863
2019,B,2,TO,1404
2019,B,3,AC,271
2019,B,3,AL,669
2019,B,3,AM,690
2019,B,3,AP,220
2019,B,3,BA,2587
2019,B,3,CE,1225
2019,B,3,DF,1099
2019,B,3,ES,1057
2019,B,3,GO,1428
2019,B,3,MA,945
2019,B,3,MG,5029
2019,B,3,MS,729
2019,B,3,MT,871
2019,B,3,PA,1171
2019,B,3,PB,1256
2019,B,3,PE,1864
2019,B,3,PI,589
2019,B,3,PR,1795
2019,B,3,RJ,3227
2019,B,3,RN,945
2019,B,3,RO,624
2019,B,3,RR,115
2019,B,3,RS,2190
2019,B,3,SC,841
2019,B,3,SE,529
2019,B,3,SP,7164
2019,B,3,TO,251
2019,B,4,AC,14
2019,B,4,AL,54
2019,B,4,AM,46
2019,B,4,AP,8
2019,B,4,BA,197
2019,B,4,CE,113
2019,B,4,DF,60
2019,B,4,ES,77
2019,B,4,GO,85
2019,B,4,MA,68
2019,B,4,MG,402
2019,B,4,MS,42
2019,B,4,MT,65
2019,B,4,PA,82
2019,B,4,PB,85
2019,B,4,PE,125
2019,B,4,PI,57
2019,B,4,PR,111
2019,B,4,RJ,332
2019,B,4,RN,71
2019,B,4,RO,32
2019,B,4,RR,6
2019,B,4,RS,171
2019,B,4,SC,39
2019,B,4,SE,32
2019,B,4,SP,523
2019,B,4,TO,12
2019,C,0,AC,82
2019,C,0,AL,140
2019,C,0,AM,276
2019,C,0,AP,113
2019,C,0,BA,835
2019,C,0,CE,547
2019,C,0,DF,631
2019,C,0,ES,293
2019,C,0,GO,479
2019,C,0,MA,317
2019,C,0,MG,1459
2019,C,0,MS,257
2019,C,0,MT,290
2019,C,0,PA,537
2019,C,0,PB,338
2019,C,0,PE,570
2019,C,0,PI,204
2019,C,0,PR,993
2019,C,0,RJ,1183
2019,C,0,RN,390
2019,C,0,RO,133
2019,C,0,RR,47
2019,C,0,RS,1322
2019,C,0,SC,696
2019,C,0,SE,198
2019,C,0,SP,3055
2019,C,0,TO,83
2019,C,1,AC,967
2019,C,1,AL,3247
2019,C,1,AM,3927
2019,C,1,AP,1256
2019,C,1,BA,14311
2019,C,1,CE,10913
2019,C,1,DF,10078
2019,C,1,ES,7772
2019,C,1,GO,11010
2019,C,1,MA,5054
2019,C,1,MG,43225
2019,C,1,MS,4525
2019,C,1,MT,5314
2019,C,1,PA,7553
2019,C,1,PB,6484
2019,C,1,PE,12327
2019,C,1,PI,4057
2019,C,1,PR,22557
2019,C,1,RJ,30852
2019,C,1,RN,5918
2019,C,1,RO,2456
2019,C,1,RR,783
2019,C,1,RS,21205
2019,C,1,SC,12975
2019,C,1,SE,3008
2019,C,1,SP,86677
2019,C,1,TO,1948
2019,C,2,AC,145
2019,C,2,AL,354
2019,C,2,AM,444
2019,C,2,AP,148
2019,C,2,BA,1308
2019,C,2,CE,1002
2019,C,2,DF,1039
2019,C,2,ES,656
2019,C,2,GO,703
2019,C,2,MA,591
2019,C,2,MG,3070
2019,C,2,MS,394
2019,C,2,MT,505
2019,C,2,PA,770
2019,C,2,PB,855
2019,C,2,PE,1230
2019,C,2,PI,416
2019,C,2,PR,1220
2019,C,2,RJ,2134
2019,C,2,RN,846
2019,C,2,RO,358
2019,C,2,RR,62
2019,C,2,RS,1127
2019,C,2,SC,464
2019,C,2,SE,298
2019,C,2,SP,3452
2019,C,2,TO,171
2019,C,3,AC,17
2019,C,3,AL,59
2019,C,3,AM,73
2019,C,3,AP,21
2019,C,3,BA,200
2019,C,3,CE,154
2019,C,3,DF,197
2019,C,3,ES,110
2019,C,3,GO,164
2019,C,3,MA,82
2019,C,3,MG,601
2019,C,3,MS,63
2019,C,3,MT,96
2019,C,3,PA,109
2019,C,3,PB,146
2019,C,3,PE,189
2019,C,3,PI,76
2019,C,3,PR,275
2019,C,3,RJ,453
2019,C,3,RN,126
