NU_ANO,Q025,TP_COR_RACA,SG_UF_PROVA,QTD
2019,A,0,AC,326
2019,A,0,AL,481
2019,A,0,AM,1063
2019,A,0,AP,324
2019,A,0,BA,2172
2019,A,0,CE,3409
2019,A,0,DF,325
2019,A,0,ES,211
2019,A,0,GO,772
2019,A,0,MA,1697
2019,A,0,MG,1388
2019,A,0,MS,295
2019,A,0,MT,416
2019,A,0,PA,2047
2019,A,0,PB,596
2019,A,0,PE,1340
2019,A,0,PI,867
2019,A,0,PR,426
2019,A,0,RJ,976
2019,A,0,RN,425
2019,A,0,RO,324
2019,A,0,RR,59
2019,A,0,RS,636
2019,A,0,SC,220
2019,A,0,SE,507
2019,A,0,SP,1475
2019,A,0,TO,254
2019,A,1,AC,2160
2019,A,1,AL,3754
2019,A,1,AM,5330
2019,A,1,AP,2707
2019,A,1,BA,9736
2019,A,1,CE,12351
2019,A,1,DF,2726
2019,A,1,ES,3283
2019,A,1,GO,6380
2019,A,1,MA,14571
2019,A,1,MG,20000
2019,A,1,MS,4360
2019,A,1,MT,4081
2019,A,1,PA,15545
2019,A,1,PB,7082
2019,A,1,PE,11365
2019,A,1,PI,6452
2019,A,1,PR,12017
2019,A,1,RJ,11665
2019,A,1,RN,7013
2019,A,1,RO,2611
2019,A,1,RR,512
2019,A,1,RS,19603
2019,A,1,SC,4838
2019,A,1,SE,2533
2019,A,1,SP,33542
2019,A,1,TO,1969
2019,A,2,AC,2306
2019,A,2,AL,2965
2019,A,2,AM,2759
2019,A,2,AP,3019
2019,A,2,BA,29620
2019,A,2,CE,8040
2019,A,2,DF,2797
2019,A,2,ES,2913
2019,A,2,GO,4712
2019,A,2,MA,16293
2019,A,2,MG,16271
2019,A,2,MS,1468
2019,A,2,MT,3481
2019,A,2,PA,18134
2019,A,2,PB,3685
2019,A,2,PE,6948
2019,A,2,PI,8783
2019,A,2,PR,1642
2019,A,2,RJ,11744
2019,A,2,RN,3172
2019,A,2,RO,2006
2019,A,2,RR,347
2019,A,2,RS,3559
2019,A,2,SC,765
2019,A,2,SE,4421
2019,A,2,SP,13406
2019,A,2,TO,2976
2019,A,3,AC,13419
2019,A,3,AL,15207
2019,A,3,AM,41646
2019,A,3,AP,14637
2019,A,3,BA,47948
2019,A,3,CE,70514
2019,A,3,DF,7712
2019,A,3,ES,7387
2019,A,3,GO,16825
2019,A,3,MA,68624
2019,A,3,MG,43067
2019,A,3,MS,7738
2019,A,3,MT,11837
2019,A,3,PA,99871
2019,A,3,PB,20399
2019,A,3,PE,30292
2019,A,3,PI,33233
2019,A,3,PR,7833
2019,A,3,RJ,19005
2019,A,3,RN,14497
2019,A,3,RO,10213
2019,A,3,RR,3476
2019,A,3,RS,5075
2019,A,3,SC,2493
2019,A,3,SE,15631
2019,A,3,SP,33868
2019,A,3,TO,9688
2019,A,4,AC,624
2019,A,4,AL,966
2019,A,4,AM,838
2019,A,4,AP,292
2019,A,4,BA,2430
2019,A,4,CE,1728
2019,A,4,DF,447
2019,A,4,ES,320
2019,A,4,GO,1335
2019,A,4,MA,1598
2019,A,4,MG,2254
2019,A,4,MS,299
2019,A,4,MT,521
2019,A,4,PA,2503
2019,A,4,PB,1040
2019,A,4,PE,1548
2019,A,4,PI,1512
2019,A,4,PR,376
2019,A,4,RJ,905
2019,A,4,RN,679
2019,A,4,RO,455
2019,A,4,RR,57
2019,A,4,RS,163
2019,A,4,SC,139
2019,A,4,SE,719
2019,A,4,SP,1576
2019,A,4,TO,575
2019,A,5,AC,200
2019,A,5,AL,280
2019,A,5,AM,2704
2019,A,5,AP,150
2019,A,5,BA,933
2019,A,5,CE,691
2019,A,5,DF,125
2019,A,5,ES,114
2019,A,5,GO,202
2019,A,5,MA,511
2019,A,5,MG,595
2019,A,5,MS,936
2019,A,5,MT,270
2019,A,5,PA,934
2019,A,5,PB,609
2019,A,5,PE,1266
2019,A,5,PI,271
2019,A,5,PR,117
2019,A,5,RJ,220
2019,A,5,RN,156
2019,A,5,RO,269
2019,A,5,RR,296
2019,A,5,RS,131
2019,A,5,SC,58
2019,A,5,SE,182
2019,A,5,SP,570
2019,A,5,TO,165
2019,B,0,AC,391
2019,B,0,AL,1583
2019,B,0,AM,1390
2019,B,0,AP,425
2019,B,0,BA,7113
2019,B,0,CE,4809
2019,B,0,DF,2257
2019,B,0,ES,1395
2019,B,0,GO,4366
2019,B,0,MA,1875
2019,B,0,MG,9475
2019,B,0,MS,1003
2019,B,0,MT,1391
2019,B,0,PA,2283
2019,B,0,PB,2293
2019,B,0,PE,5318
2019,B,0,PI,1249
2019,B,0,PR,3270
2019,B,0,RJ,6827
2019,B,0,RN,1698
2019,B,0,RO,767
2019,B,0,RR,137
2019,B,0,RS,3846
2019,B,0,SC,2139
2019,B,0,SE,1223
2019,B,0,SP,11091
2019,B,0,TO,554
2019,B,1,AC,3726
2019,B,1,AL,16031
2019,B,1,AM,11456
2019,B,1,AP,4116
2019,B,1,BA,49317
2019,B,1,CE,47853
2019,B,1,DF,27869
2019,B,1,ES,31497
2019,B,1,GO,48326
2019,B,1,MA,24800
2019,B,1,MG,182227
2019,B,1,MS,25147
2019,B,1,MT,22073
2019,B,1,PA,26723
2019,B,1,PB,34518
2019,B,1,PE,67035
2019,B,1,PI,14804
2019,B,1,PR,124965
2019,B,1,RJ,130549
2019,B,1,RN,35765
2019,B,1,RO,11107
2019,B,1,RR,1679
2019,B,1,RS,149119
2019,B,1,SC,77258
2019,B,1,SE,10064
2019,B,1,SP,418829
2019,B,1,TO,6711
2019,B,2,AC,1965
2019,B,2,AL,7254
2019,B,2,AM,3505
2019,B,2,AP,2679
2019,B,2,BA,82595
2019,B,2,CE,16345
2019,B,2,DF,11018
2019,B,2,ES,12224
2019,B,2,GO,14496
2019,B,2,MA,15620
2019,B,2,MG,58877
2019,B,2,MS,4077
2019,B,2,MT,8298
2019,B,2,PA,16086
2019,B,2,PB,10216
2019,B,2,PE,25840
2019,B,2,PI,9870
2019,B,2,PR,8743
2019,B,2,RJ,48624
2019,B,2,RN,8450
2019,B,2,RO,4451
2019,B,2,RR,601
2019,B,2,RS,11946
2019,B,2,SC,4319
2019,B,2,SE,8273
2019,B,2,SP,69472
2019,B,2,TO,4222
2019,B,3,AC,12792
2019,B,3,AL,38389
2019,B,3,AM,45236
2019,B,3,AP,13837
2019,B,3,BA,154178
2019,B,3,CE,123307
2019,B,3,DF,38019
2019,B,3,ES,41002
2019,B,3,GO,66375
2019,B,3,MA,69996
2019,B,3,MG,189393
2019,B,3,MS,23072
2019,B,3,MT,33842
2019,B,3,PA,91569
2019,B,3,PB,62280
2019,B,3,PE,115621
2019,B,3,PI,42875
2019,B,3,PR,47376
2019,B,3,RJ,103636
2019,B,3,RN,45090
2019,B,3,RO,24975
2019,B,3,RR,5439
2019,B,3,RS,23221
2019,B,3,SC,17178
2019,B,3,SE,32930
2019,B,3,SP,212280
2019,B,3,TO,17968
2019,B,4,AC,628
2019,B,4,AL,2510
2019,B,4,AM,1378
2019,B,4,AP,337
2019,B,4,BA,7523
2019,B,4,CE,4852
2019,B,4,DF,2221
2019,B,4,ES,1444
2019,B,4,GO,5697
2019,B,4,MA,2141
2019,B,4,MG,9534
2019,B,4,MS,1334
2019,B,4,MT,1595
2019,B,4,PA,3116
2019,B,4,PB,3564
2019,B,4,PE,6322
2019,B,4,PI,2073
2019,B,4,PR,4213
2019,B,4,RJ,4610
2019,B,4,RN,2045
2019,B,4,RO,1206
2019,B,4,RR,93
2019,B,4,RS,912
2019,B,4,SC,1012
2019,B,4,SE,1663
2019,B,4,SP,17205
2019,B,4,TO,1030
2019,B,5,AC,108
2019,B,5,AL,404
2019,B,5,AM,839
2019,B,5,AP,80
2019,B,5,BA,1862
2019,B,5,CE,1085
2019,B,5,DF,333
2019,B,5,ES,483
2019,B,5,GO,494
2019,B,5,MA,348
2019,B,5,MG,1544
2019,B,5,MS,664
2019,B,5,MT,316
2019,B,5,PA,782
2019,B,5,PB,894
2019,B,5,PE,2422
2019,B,5,PI,323
2019,B,5,PR,328
2019,B,5,RJ,955
2019,B,5,RN,329
2019,B,5,RO,255
2019,B,5,RR,260
2019,B,5,RS,258
2019,B,5,SC,280
2019,B,5,SE,342
2019,B,5,SP,2676
2019,B,5,TO,137
2020,A,0,AC,264
2020,A,0,AL,473
2020,A,0,AM,1339
2020,A,0,AP,292
2020,A,0,BA,2224
2020,A,0,CE,3011
2020,A,0,DF,302
2020,A,0,ES,190
2020,A,0,GO,1133
2020,A,0,MA,1412
2020,A,0,MG,1270
2020,A,0,MS,240
2020,A,0,MT,353
2020,A,0,PA,1894
2020,A,0,PB,556
2020,A,0,PE,1712
2020,A,0,PI,762
2020,A,0,PR,411
2020,A,0,RJ,924
2020,A,0,RN,382
2020,A,0,RO,254
2020,A,0,RR,68
2020,A,0,RS,595
2020,A,0,SC,186
2020,A,0,SE,862
2020,A,0,SP,1305
2020,A,0,TO,248
2020,A,1,AC,2039
2020,A,1,AL,3200
2020,A,1,AM,5674
2020,A,1,AP,2232
2020,A,1,BA,8635
2020,A,1,CE,10330
2020,A,1,DF,2684
2020,A,1,ES,2570
2020,A,1,GO,6339
2020,A,1,MA,11993
2020,A,1,MG,15926
2020,A,1,MS,4125
2020,A,1,MT,3552
2020,A,1,PA,15019
2020,A,1,PB,6062
2020,A,1,PE,10028
2020,A,1,PI,5247
2020,A,1,PR,10267
2020,A,1,RJ,10952
2020,A,1,RN,5807
2020,A,1,RO,2164
2020,A,1,RR,489
2020,A,1,RS,17823
2020,A,1,SC,3820
2020,A,1,SE,2458
2020,A,1,SP,28787
2020,A,1,TO,1954
2020,A,2,AC,2171
2020,A,2,AL,2585
2020,A,2,AM,3537
2020,A,2,AP,2658
2020,A,2,BA,27199
2020,A,2,CE,6303
2020,A,2,DF,3020
2020,A,2,ES,2576
2020,A,2,GO,5186
2020,A,2,MA,14706
2020,A,2,MG,14381
2020,A,2,MS,1724
2020,A,2,MT,3527
2020,A,2,PA,18991
2020,A,2,PB,3127
2020,A,2,PE,6067
2020,A,2,PI,7690
2020,A,2,PR,1702
2020,A,2,RJ,12288
2020,A,2,RN,2554
2020,A,2,RO,1809
2020,A,2,RR,394
2020,A,2,RS,3923
2020,A,2,SC,985
2020,A,2,SE,4095
2020,A,2,SP,13158
2020,A,2,TO,3435
2020,A,3,AC,12011
2020,A,3,AL,12962
2020,A,3,AM,48859
2020,A,3,AP,12311
2020,A,3,BA,43087
2020,A,3,CE,64237
2020,A,3,DF,7882
2020,A,3,ES,6036
2020,A,3,GO,18271
2020,A,3,MA,59866
2020,A,3,MG,35910
2020,A,3,MS,7702
2020,A,3,MT,11059
2020,A,3,PA,96855
2020,A,3,PB,16856
2020,A,3,PE,26689
2020,A,3,PI,28556
2020,A,3,PR,6993
2020,A,3,RJ,19068
2020,A,3,RN,11644
2020,A,3,RO,9100
2020,A,3,RR,3411
2020,A,3,RS,5099
2020,A,3,SC,2789
2020,A,3,SE,14463
2020,A,3,SP,31114
2020,A,3,TO,10106
2020,A,4,AC,607
2020,A,4,AL,806
2020,A,4,AM,844
2020,A,4,AP,314
2020,A,4,BA,2101
2020,A,4,CE,1411
2020,A,4,DF,506
2020,A,4,ES,225
2020,A,4,GO,1345
2020,A,4,MA,1434
2020,A,4,MG,1890
2020,A,4,MS,275
2020,A,4,MT,444
2020,A,4,PA,2468
2020,A,4,PB,923
2020,A,4,PE,1386
2020,A,4,PI,1240
2020,A,4,PR,347
2020,A,4,RJ,845
2020,A,4,RN,581
2020,A,4,RO,443
2020,A,4,RR,54
2020,A,4,RS,176
2020,A,4,SC,129
2020,A,4,SE,692
2020,A,4,SP,1373
2020,A,4,TO,639
2020,A,5,AC,201
2020,A,5,AL,253
2020,A,5,AM,3516
2020,A,5,AP,201
2020,A,5,BA,864
2020,A,5,CE,610
2020,A,5,DF,109
2020,A,5,ES,86
2020,A,5,GO,211
2020,A,5,MA,351
2020,A,5,MG,452
2020,A,5,MS,1030
2020,A,5,MT,376
2020,A,5,PA,974
2020,A,5,PB,551
2020,A,5,PE,986
2020,A,5,PI,223
2020,A,5,PR,160
2020,A,5,RJ,212
2020,A,5,RN,98
2020,A,5,RO,269
2020,A,5,RR,385
2020,A,5,RS,111
2020,A,5,SC,69
2020,A,5,SE,163
2020,A,5,SP,502
2020,A,5,TO,306
2020,B,0,AC,473
2020,B,0,AL,1829
2020,B,0,AM,1939
2020,B,0,AP,540
2020,B,0,BA,8690
2020,B,0,CE,5920
2020,B,0,DF,2421
2020,B,0,ES,1431
2020,B,0,GO,5076
2020,B,0,MA,2219
2020,B,0,MG,10203
2020,B,0,MS,1131
2020,B,0,MT,1632
2020,B,0,PA,3220
2020,B,0,PB,2559
2020,B,0,PE,6444
2020,B,0,PI,1704
2020,B,0,PR,3708
2020,B,0,RJ,7501
2020,B,0,RN,1880
2020,B,0,RO,988
2020,B,0,RR,223
2020,B,0,RS,4061
2020,B,0,SC,2115
2020,B,0,SE,1375
2020,B,0,SP,12249
2020,B,0,TO,741
2020,B,1,AC,4228
2020,B,1,AL,19137
2020,B,1,AM,16272
2020,B,1,AP,5276
2020,B,1,BA,57876
2020,B,1,CE,56580
2020,B,1,DF,32470
2020,B,1,ES,32341
2020,B,1,GO,56498
2020,B,1,MA,29738
2020,B,1,MG,196090
2020,B,1,MS,28952
2020,B,1,MT,24400
2020,B,1,PA,34569
2020,B,1,PB,39462
2020,B,1,PE,78564
2020,B,1,PI,17888
2020,B,1,PR,135848
2020,B,1,RJ,140686
2020,B,1,RN,40714
2020,B,1,RO,13306
2020,B,1,RR,2246
2020,B,1,RS,166591
2020,B,1,SC,79004
2020,B,1,SE,11850
2020,B,1,SP,443766
2020,B,1,TO,8428
2020,B,2,AC,2403
2020,B,2,AL,8912
2020,B,2,AM,5614
2020,B,2,AP,3732
2020,B,2,BA,99736
2020,B,2,CE,19287
2020,B,2,DF,14260
2020,B,2,ES,14088
2020,B,2,GO,20073
2020,B,2,MA,20665
2020,B,2,MG,70002
2020,B,2,MS,5378
2020,B,2,MT,10645
2020,B,2,PA,23492
2020,B,2,PB,12480
2020,B,2,PE,31931
2020,B,2,PI,12672
2020,B,2,PR,11230
2020,B,2,RJ,60698
2020,B,2,RN,10108
2020,B,2,RO,5819
2020,B,2,RR,909
2020,B,2,RS,16454
2020,B,2,SC,5782
2020,B,2,SE,10082
2020,B,2,SP,85650
2020,B,2,TO,6269
2020,B,3,AC,15387
2020,B,3,AL,46846
2020,B,3,AM,69329
2020,B,3,AP,18363
2020,B,3,BA,183370
2020,B,3,CE,148136
2020,B,3,DF,46465
2020,B,3,ES,43087
2020,B,3,GO,87404
2020,B,3,MA,91390
2020,B,3,MG,210220
2020,B,3,MS,29477
2020,B,3,MT,40594
2020,B,3,PA,127630
2020,B,3,PB,73816
2020,B,3,PE,138557
2020,B,3,PI,54388
2020,B,3,PR,57761
2020,B,3,RJ,121329
2020,B,3,RN,52728
2020,B,3,RO,32593
2020,B,3,RR,7998
2020,B,3,RS,29698
2020,B,3,SC,21847
2020,B,3,SE,38572
2020,B,3,SP,243317
2020,B,3,TO,24429
2020,B,4,AC,746
2020,B,4,AL,3174
2020,B,4,AM,1924
2020,B,4,AP,443
2020,B,4,BA,8757
2020,B,4,CE,5363
2020,B,4,DF,2667
2020,B,4,ES,1446
2020,B,4,GO,7108
2020,B,4,MA,2593
2020,B,4,MG,10478
2020,B,4,MS,1506
2020,B,4,MT,1890
