NU_ANO,TP_COR_RACA,TP_FAIXA_ETARIA,SG_UF_PROVA,QTD
2019,0,1,AC,35
2019,0,1,AL,165
2019,0,1,AM,115
2019,0,1,AP,59
2019,0,1,BA,838
2019,0,1,CE,905
2019,0,1,DF,188
2019,0,1,ES,93
2019,0,1,GO,723
2019,0,1,MA,299
2019,0,1,MG,842
2019,0,1,MS,114
2019,0,1,MT,201
2019,0,1,PA,447
2019,0,1,PB,268
2019,0,1,PE,718
2019,0,1,PI,217
2019,0,1,PR,365
2019,0,1,RJ,527
2019,0,1,RN,90
2019,0,1,RO,69
2019,0,1,RR,18
2019,0,1,RS,197
2019,0,1,SC,194
2019,0,1,SE,241
2019,0,1,SP,1068
2019,0,1,TO,93
2019,0,2,AC,82
2019,0,2,AL,252
2019,0,2,AM,282
2019,0,2,AP,85
2019,0,2,BA,1497
2019,0,2,CE,1607
2019,0,2,DF,339
2019,0,2,ES,228
2019,0,2,GO,1103
2019,0,2,MA,563
2019,0,2,MG,1460
2019,0,2,MS,241
2019,0,2,MT,327
2019,0,2,PA,514
2019,0,2,PB,354
2019,0,2,PE,1107
2019,0,2,PI,311
2019,0,2,PR,895
2019,0,2,RJ,993
2019,0,2,RN,196
2019,0,2,RO,133
2019,0,2,RR,31
2019,0,2,RS,563
2019,0,2,SC,489
2019,0,2,SE,271
2019,0,2,SP,3068
2019,0,2,TO,179
2019,0,3,AC,113
2019,0,3,AL,291
2019,0,3,AM,422
2019,0,3,AP,105
2019,0,3,BA,1512
2019,0,3,CE,1819
2019,0,3,DF,349
2019,0,3,ES,247
2019,0,3,GO,1014
2019,0,3,MA,657
2019,0,3,MG,1696
2019,0,3,MS,234
2019,0,3,MT,378
2019,0,3,PA,606
2019,0,3,PB,391
2019,0,3,PE,1117
2019,0,3,PI,347
2019,0,3,PR,631
2019,0,3,RJ,1212
2019,0,3,RN,207
2019,0,3,RO,195
2019,0,3,RR,35
2019,0,3,RS,883
2019,0,3,SC,613
2019,0,3,SE,228
2019,0,3,SP,2102
2019,0,3,TO,145
2019,0,4,AC,89
2019,0,4,AL,228
2019,0,4,AM,255
2019,0,4,AP,78
2019,0,4,BA,1107
2019,0,4,CE,900
2019,0,4,DF,233
2019,0,4,ES,187
2019,0,4,GO,457
2019,0,4,MA,389
2019,0,4,MG,1114
2019,0,4,MS,118
2019,0,4,MT,160
2019,0,4,PA,429
2019,0,4,PB,275
2019,0,4,PE,685
2019,0,4,PI,225
2019,0,4,PR,312
2019,0,4,RJ,889
2019,0,4,RN,205
2019,0,4,RO,103
2019,0,4,RR,25
2019,0,4,RS,531
2019,0,4,SC,248
2019,0,4,SE,218
2019,0,4,SP,1315
2019,0,4,TO,89
2019,0,5,AC,47
2019,0,5,AL,177
2019,0,5,AM,196
2019,0,5,AP,76
2019,0,5,BA,825
2019,0,5,CE,538
2019,0,5,DF,186
2019,0,5,ES,136
2019,0,5,GO,308
2019,0,5,MA,253
2019,0,5,MG,779
2019,0,5,MS,82
2019,0,5,MT,106
2019,0,5,PA,326
2019,0,5,PB,237
2019,0,5,PE,451
2019,0,5,PI,157
2019,0,5,PR,196
2019,0,5,RJ,658
2019,0,5,RN,177
2019,0,5,RO,72
2019,0,5,RR,20
2019,0,5,RS,367
2019,0,5,SC,98
2019,0,5,SE,131
2019,0,5,SP,830
2019,0,5,TO,57
2019,0,6,AC,39
2019,0,6,AL,107
2019,0,6,AM,144
2019,0,6,AP,41
2019,0,6,BA,525
2019,0,6,CE,300
2019,0,6,DF,141
2019,0,6,ES,95
2019,0,6,GO,199
2019,0,6,MA,222
2019,0,6,MG,578
2019,0,6,MS,55
2019,0,6,MT,84
2019,0,6,PA,218
2019,0,6,PB,171
2019,0,6,PE,293
2019,0,6,PI,133
2019,0,6,PR,134
2019,0,6,RJ,451
2019,0,6,RN,116
2019,0,6,RO,53
2019,0,6,RR,7
2019,0,6,RS,255
2019,0,6,SC,76
2019,0,6,SE,107
2019,0,6,SP,582
2019,0,6,TO,35
2019,0,6,AC,23
2019,0,6,AL,87
2019,0,6,AM,107
2019,0,6,AP,35
2019,0,6,BA,396
2019,0,6,CE,245
2019,0,6,DF,102
2019,0,6,ES,77
