NU_ANO,TP_COR_RACA,TP_LOCALIZACAO_ESC,SG_UF_PROVA,QTD
2019,0,1.0,AC,113
2019,0,1.0,AL,360
2019,0,1.0,AM,628
2019,0,1.0,AP,130
2019,0,1.0,BA,1922
2019,0,1.0,CE,4008
2019,0,1.0,DF,442
2019,0,1.0,ES,356
2019,0,1.0,GO,1113
2019,0,1.0,MA,891
2019,0,1.0,MG,1825
2019,0,1.0,MS,304
2019,0,1.0,MT,380
2019,0,1.0,PA,754
2019,0,1.0,PB,571
2019,0,1.0,PE,1703
2019,0,1.0,PI,454
2019,0,1.0,PR,954
2019,0,1.0,RJ,1416
2019,0,1.0,RN,298
2019,0,1.0,RO,257
2019,0,1.0,RR,31
2019,0,1.0,RS,949
2019,0,1.0,SC,729
2019,0,1.0,SE,338
2019,0,1.0,SP,2950
2019,0,1.0,TO,161
2019,0,2.0,AC,10
2019,0,2.0,AL,15
2019,0,2.0,AM,59
2019,0,2.0,AP,9
2019,0,2.0,BA,163
2019,0,2.0,CE,273
2019,0,2.0,DF,14
2019,0,2.0,ES,20
2019,0,2.0,GO,13
2019,0,2.0,MA,164
2019,0,2.0,MG,52
2019,0,2.0,MS,13
2019,0,2.0,MT,45
2019,0,2.0,PA,67
2019,0,2.0,PB,19
2019,0,2.0,PE,131
2019,0,2.0,PI,35
2019,0,2.0,PR,26
2019,0,2.0,RJ,61
2019,0,2.0,RN,15
2019,0,2.0,RO,2
2019,0,2.0,RR,2
2019,0,2.0,RS,30
2019,0,2.0,SC,27
2019,0,2.0,SE,35
2019,0,2.0,SP,25
2019,0,2.0,TO,9
2019,1,1.0,AC,845
2019,1,1.0,AL,3548
2019,1,1.0,AM,3563
2019,1,1.0,AP,1038
2019,1,1.0,BA,10874
2019,1,1.0,CE,16381
2019,1,1.0,DF,6965
2019,1,1.0,ES,8121
2019,1,1.0,GO,11311
2019,1,1.0,MA,6767
2019,1,1.0,MG,40870
2019,1,1.0,MS,6400
2019,1,1.0,MT,5008
2019,1,1.0,PA,7387
2019,1,1.0,PB,7011
2019,1,1.0,PE,16132
2019,1,1.0,PI,3975
2019,1,1.0,PR,32664
2019,1,1.0,RJ,30601
2019,1,1.0,RN,6673
2019,1,1.0,RO,2821
2019,1,1.0,RR,350
2019,1,1.0,RS,34496
2019,1,1.0,SC,26165
2019,1,1.0,SE,2263
2019,1,1.0,SP,120783
2019,1,1.0,TO,1629
2019,1,2.0,AC,45
2019,1,2.0,AL,125
2019,1,2.0,AM,61
2019,1,2.0,AP,33
2019,1,2.0,BA,502
2019,1,2.0,CE,688
2019,1,2.0,DF,85
2019,1,2.0,ES,475
2019,1,2.0,GO,285
2019,1,2.0,MA,450
2019,1,2.0,MG,934
2019,1,2.0,MS,260
2019,1,2.0,MT,350
2019,1,2.0,PA,200
2019,1,2.0,PB,207
2019,1,2.0,PE,582
2019,1,2.0,PI,125
2019,1,2.0,PR,1311
2019,1,2.0,RJ,820
2019,1,2.0,RN,153
2019,1,2.0,RO,117
2019,1,2.0,RR,17
2019,1,2.0,RS,1435
2019,1,2.0,SC,781
2019,1,2.0,SE,88
2019,1,2.0,SP,1732
2019,1,2.0,TO,49
2019,2,1.0,AC,583
2019,2,1.0,AL,1839
2019,2,1.0,AM,1117
2019,2,1.0,AP,771
2019,2,1.0,BA,17279
2019,2,1.0,CE,8271
2019,2,1.0,DF,2720
2019,2,1.0,ES,3504
2019,2,1.0,GO,3895
2019,2,1.0,MA,5311
2019,2,1.0,MG,13446
2019,2,1.0,MS,1018
2019,2,1.0,MT,2209
2019,2,1.0,PA,5499
2019,2,1.0,PB,2558
2019,2,1.0,PE,6988
2019,2,1.0,PI,3408
2019,2,1.0,PR,2231
2019,2,1.0,RJ,12337
2019,2,1.0,RN,2044
2019,2,1.0,RO,1130
2019,2,1.0,RR,136
2019,2,1.0,RS,2640
2019,2,1.0,SC,1197
2019,2,1.0,SE,2084
2019,2,1.0,SP,20556
2019,2,1.0,TO,1322
2019,2,2.0,AC,36
2019,2,2.0,AL,85
2019,2,2.0,AM,31
2019,2,2.0,AP,36
2019,2,2.0,BA,1065
2019,2,2.0,CE,383
2019,2,2.0,DF,61
2019,2,2.0,ES,65
2019,2,2.0,GO,81
2019,2,2.0,MA,489
2019,2,2.0,MG,421
2019,2,2.0,MS,49
2019,2,2.0,MT,171
2019,2,2.0,PA,187
2019,2,2.0,PB,78
2019,2,2.0,PE,252
2019,2,2.0,PI,131
2019,2,2.0,PR,39
2019,2,2.0,RJ,316
2019,2,2.0,RN,88
2019,2,2.0,RO,57
2019,2,2.0,RR,2
2019,2,2.0,RS,54
2019,2,2.0,SC,24
2019,2,2.0,SE,106
2019,2,2.0,SP,207
2019,2,2.0,TO,103
2019,3,1.0,AC,3258
2019,3,1.0,AL,9836
2019,3,1.0,AM,18594
2019,3,1.0,AP,3815
2019,3,1.0,BA,33682
2019,3,1.0,CE,75126
2019,3,1.0,DF,9564
2019,3,1.0,ES,11831
2019,3,1.0,GO,17352
2019,3,1.0,MA,26352
2019,3,1.0,MG,45629
2019,3,1.0,MS,6491
2019,3,1.0,MT,8630
2019,3,1.0,PA,29587
2019,3,1.0,PB,14903
2019,3,1.0,PE,32075
2019,3,1.0,PI,14282
2019,3,1.0,PR,13602
2019,3,1.0,RJ,25402
2019,3,1.0,RN,10304
2019,3,1.0,RO,6868
2019,3,1.0,RR,1465
2019,3,1.0,RS,5997
2019,3,1.0,SC,5580
2019,3,1.0,SE,8128
2019,3,1.0,SP,66741
2019,3,1.0,TO,4910
2019,3,2.0,AC,273
2019,3,2.0,AL,471
2019,3,2.0,AM,705
2019,3,2.0,AP,309
2019,3,2.0,BA,1996
2019,3,2.0,CE,4135
2019,3,2.0,DF,244
2019,3,2.0,ES,364
2019,3,2.0,GO,396
2019,3,2.0,MA,2276
2019,3,2.0,MG,1601
2019,3,2.0,MS,275
2019,3,2.0,MT,700
2019,3,2.0,PA,1272
2019,3,2.0,PB,491
2019,3,2.0,PE,1597
2019,3,2.0,PI,623
2019,3,2.0,PR,519
2019,3,2.0,RJ,713
2019,3,2.0,RN,420
2019,3,2.0,RO,259
2019,3,2.0,RR,91
2019,3,2.0,RS,181
2019,3,2.0,SC,121
2019,3,2.0,SE,537
2019,3,2.0,SP,918
2019,3,2.0,TO,321
2019,4,1.0,AC,201
2019,4,1.0,AL,661
2019,4,1.0,AM,480
2019,4,1.0,AP,93
2019,4,1.0,BA,1856
2019,4,1.0,CE,1802
2019,4,1.0,DF,532
2019,4,1.0,ES,445
2019,4,1.0,GO,1440
2019,4,1.0,MA,644
2019,4,1.0,MG,2232
2019,4,1.0,MS,349
2019,4,1.0,MT,385
2019,4,1.0,PA,1026
2019,4,1.0,PB,794
2019,4,1.0,PE,1745
2019,4,1.0,PI,798
2019,4,1.0,PR,1040
2019,4,1.0,RJ,1207
2019,4,1.0,RN,510
2019,4,1.0,RO,337
2019,4,1.0,RR,21
2019,4,1.0,RS,227
2019,4,1.0,SC,312
2019,4,1.0,SE,407
2019,4,1.0,SP,4804
2019,4,1.0,TO,300
2019,4,2.0,AC,8
2019,4,2.0,AL,26
2019,4,2.0,AM,16
2019,4,2.0,AP,3
2019,4,2.0,BA,122
2019,4,2.0,CE,88
2019,4,2.0,DF,18
2019,4,2.0,ES,14
2019,4,2.0,GO,41
2019,4,2.0,MA,49
2019,4,2.0,MG,69
2019,4,2.0,MS,9
2019,4,2.0,MT,41
2019,4,2.0,PA,36
2019,4,2.0,PB,37
2019,4,2.0,PE,68
2019,4,2.0,PI,20
2019,4,2.0,PR,22
