NU_ANO,TP_COR_RACA,TP_SEXO,SG_UF_PROVA,QTD
2019,0,F,AC,378
2019,0,F,AL,1125
2019,0,F,AM,1378
2019,0,F,AP,414
2019,0,F,BA,5735
2019,0,F,CE,4271
2019,0,F,DF,1456
2019,0,F,ES,846
2019,0,F,GO,3026
2019,0,F,MA,2009
2019,0,F,MG,6170
2019,0,F,MS,725
2019,0,F,MT,988
2019,0,F,PA,2468
2019,0,F,PB,1511
2019,0,F,PE,3677
2019,0,F,PI,1172
2019,0,F,PR,2012
2019,0,F,RJ,4536
2019,0,F,RN,1095
2019,0,F,RO,621
2019,0,F,RR,103
2019,0,F,RS,2546
2019,0,F,SC,1336
2019,0,F,SE,959
2019,0,F,SP,6802
2019,0,F,TO,463
2019,0,M,AC,339
2019,0,M,AL,939
2019,0,M,AM,1075
2019,0,M,AP,335
2019,0,M,BA,3550
2019,0,M,CE,3947
2019,0,M,DF,1126
2019,0,M,ES,760
2019,0,M,GO,2112
2019,0,M,MA,1563
2019,0,M,MG,4693
2019,0,M,MS,573
2019,0,M,MT,819
2019,0,M,PA,1862
2019,0,M,PB,1378
2019,0,M,PE,2981
2019,0,M,PI,944
2019,0,M,PR,1684
2019,0,M,RJ,3267
2019,0,M,RN,1028
2019,0,M,RO,470
2019,0,M,RR,93
2019,0,M,RS,1936
2019,0,M,SC,1023
2019,0,M,SE,771
2019,0,M,SP,5764
2019,0,M,TO,345
2019,1,F,AC,3425
2019,1,F,AL,11601
2019,1,F,AM,9547
2019,1,F,AP,3935
2019,1,F,BA,34970
2019,1,F,CE,33282
2019,1,F,DF,17722
2019,1,F,ES,20022
2019,1,F,GO,32044
2019,1,F,MA,23350
2019,1,F,MG,119039
2019,1,F,MS,17242
2019,1,F,MT,15259
2019,1,F,PA,25069
2019,1,F,PB,23517
2019,1,F,PE,45713
2019,1,F,PI,12392
2019,1,F,PR,80522
2019,1,F,RJ,82420
2019,1,F,RN,24568
2019,1,F,RO,8295
2019,1,F,RR,1251
2019,1,F,RS,101875
2019,1,F,SC,49485
2019,1,F,SE,7197
2019,1,F,SP,265879
2019,1,F,TO,5163
2019,1,M,AC,2461
2019,1,M,AL,8184
2019,1,M,AM,7239
2019,1,M,AP,2888
2019,1,M,BA,24083
2019,1,M,CE,26922
2019,1,M,DF,12873
2019,1,M,ES,14758
2019,1,M,GO,22662
2019,1,M,MA,16021
2019,1,M,MG,83188
2019,1,M,MS,12265
2019,1,M,MT,10895
2019,1,M,PA,17199
2019,1,M,PB,18083
2019,1,M,PE,32687
2019,1,M,PI,8864
2019,1,M,PR,56460
2019,1,M,RJ,59794
2019,1,M,RN,18210
2019,1,M,RO,5423
2019,1,M,RR,940
2019,1,M,RS,66847
2019,1,M,SC,32611
2019,1,M,SE,5400
2019,1,M,SP,186492
2019,1,M,TO,3517
2019,2,F,AC,2158
2019,2,F,AL,5520
2019,2,F,AM,3091
2019,2,F,AP,3081
2019,2,F,BA,69361
2019,2,F,CE,11996
2019,2,F,DF,7835
2019,2,F,ES,8776
2019,2,F,GO,10844
2019,2,F,MA,18047
2019,2,F,MG,45375
2019,2,F,MS,3016
2019,2,F,MT,6587
2019,2,F,PA,19234
2019,2,F,PB,7218
2019,2,F,PE,17966
2019,2,F,PI,10296
2019,2,F,PR,5600
2019,2,F,RJ,36982
2019,2,F,RN,6085
2019,2,F,RO,3562
2019,2,F,RR,537
2019,2,F,RS,9391
2019,2,F,SC,2864
2019,2,F,SE,7175
2019,2,F,SP,48078
2019,2,F,TO,4086
2019,2,M,AC,2113
2019,2,M,AL,4699
2019,2,M,AM,3173
2019,2,M,AP,2617
2019,2,M,BA,42854
2019,2,M,CE,12389
2019,2,M,DF,5980
2019,2,M,ES,6361
