NU_ANO,TP_ESCOLA,Q022,SG_UF_PROVA,QTD
2019,1,A,AC,1007
2019,1,A,AL,1566
2019,1,A,AM,2801
2019,1,A,AP,1071
2019,1,A,BA,7048
2019,1,A,CE,4145
2019,1,A,DF,1254
2019,1,A,ES,979
2019,1,A,GO,1924
2019,1,A,MA,5330
2019,1,A,MG,4852
2019,1,A,MS,908
2019,1,A,MT,1225
2019,1,A,PA,6764
2019,1,A,PB,1878
2019,1,A,PE,3983
2019,1,A,PI,2140
2019,1,A,PR,1546
2019,1,A,RJ,3973
2019,1,A,RN,1462
2019,1,A,RO,868
2019,1,A,RR,273
2019,1,A,RS,2021
2019,1,A,SC,772
2019,1,A,SE,1018
2019,1,A,SP,7053
2019,1,A,TO,765
2019,1,B,AC,9776
2019,1,B,AL,18372
2019,1,B,AM,24710
2019,1,B,AP,10404
2019,1,B,BA,80760
2019,1,B,CE,48060
2019,1,B,DF,13175
2019,1,B,ES,12521
2019,1,B,GO,21879
2019,1,B,MA,49723
2019,1,B,MG,64784
2019,1,B,MS,11564
2019,1,B,MT,13999
2019,1,B,PA,70081
2019,1,B,PB,28954
2019,1,B,PE,44948
2019,1,B,PI,26143
2019,1,B,PR,23091
2019,1,B,RJ,46038
2019,1,B,RN,20854
2019,1,B,RO,11670
2019,1,B,RR,2328
2019,1,B,RS,30790
2019,1,B,SC,12277
2019,1,B,SE,15534
2019,1,B,SP,82559
2019,1,B,TO,8064
2019,1,C,AC,11317
2019,1,C,AL,24535
2019,1,C,AM,30624
2019,1,C,AP,12045
2019,1,C,BA,107749
2019,1,C,CE,62601
2019,1,C,DF,20374
2019,1,C,ES,23766
2019,1,C,GO,38158
2019,1,C,MA,57806
2019,1,C,MG,123122
2019,1,C,MS,16917
2019,1,C,MT,20885
2019,1,C,PA,75477
2019,1,C,PB,42401
2019,1,C,PE,70312
2019,1,C,PI,32101
2019,1,C,PR,42562
2019,1,C,RJ,74304
2019,1,C,RN,33802
2019,1,C,RO,16168
2019,1,C,RR,3248
2019,1,C,RS,53737
2019,1,C,SC,19992
2019,1,C,SE,22333
2019,1,C,SP,147554
2019,1,C,TO,11629
2019,1,D,AC,6398
2019,1,D,AL,14880
2019,1,D,AM,18515
