NU_ANO,TP_ESCOLA,TP_COR_RACA,SG_UF_PROVA,QTD
2019,1,0,AC,543
2019,1,0,AL,1569
2019,1,0,AM,1655
2019,1,0,AP,566
2019,1,0,BA,6453
2019,1,0,CE,3783
2019,1,0,DF,1945
2019,1,0,ES,1152
2019,1,0,GO,3437
2019,1,0,MA,2313
2019,1,0,MG,8303
2019,1,0,MS,872
2019,1,0,MT,1229
2019,1,0,PA,3214
2019,1,0,PB,2146
2019,1,0,PE,4463
2019,1,0,PI,1470
2019,1,0,PR,2308
2019,1,0,RJ,5633
2019,1,0,RN,1723
2019,1,0,RO,773
2019,1,0,RR,148
2019,1,0,RS,3140
2019,1,0,SC,1341
2019,1,0,SE,1251
2019,1,0,SP,8289
2019,1,0,TO,554
2019,1,1,AC,4722
2019,1,1,AL,14925
2019,1,1,AM,12310
2019,1,1,AP,5367
2019,1,1,BA,43673
2019,1,1,CE,41110
2019,1,1,DF,21214
2019,1,1,ES,24578
2019,1,1,GO,38713
2019,1,1,MA,30085
2019,1,1,MG,146832
2019,1,1,MS,20584
2019,1,1,MT,18964
2019,1,1,PA,32005
2019,1,1,PB,32560
2019,1,1,PE,58034
2019,1,1,PI,15981
2019,1,1,PR,90061
2019,1,1,RJ,97844
2019,1,1,RN,34094
2019,1,1,RO,10125
2019,1,1,RR,1670
2019,1,1,RS,120720
2019,1,1,SC,48192
2019,1,1,SE,9494
2019,1,1,SP,286934
2019,1,1,TO,6345
2019,1,2,AC,3439
2019,1,2,AL,7772
2019,1,2,AM,4869
2019,1,2,AP,4615
2019,1,2,BA,88281
2019,1,2,CE,15317
2019,1,2,DF,10180
2019,1,2,ES,10971
2019,1,2,GO,13779
2019,1,2,MA,24782
2019,1,2,MG,56906
2019,1,2,MS,4137
2019,1,2,MT,8714
2019,1,2,PA,26765
2019,1,2,PB,10670
2019,1,2,PE,24388
2019,1,2,PI,14301
2019,1,2,PR,7251
2019,1,2,RJ,43287
2019,1,2,RN,8966
2019,1,2,RO,5009
2019,1,2,RR,760
2019,1,2,RS,11835
2019,1,2,SC,3499
2019,1,2,SE,10012
2019,1,2,SP,56229
2019,1,2,TO,5318
2019,1,3,AC,21621
2019,1,3,AL,40778
2019,1,3,AM,64091
2019,1,3,AP,23024
2019,1,3,BA,155650
2019,1,3,CE,111377
2019,1,3,DF,32991
2019,1,3,ES,34259
2019,1,3,GO,59100
2019,1,3,MA,103463
2019,1,3,MG,170802
2019,1,3,MS,21810
2019,1,3,MT,33332
2019,1,3,PA,151114
2019,1,3,PB,64076
2019,1,3,PE,106672
2019,1,3,PI,57808
2019,1,3,PR,36033
2019,1,3,RJ,86983
2019,1,3,RN,46322
2019,1,3,RO,26524
2019,1,3,RR,6760
