NU_ANO,TP_ESCOLA,TP_ESTADO_CIVIL,SG_UF_PROVA,QTD
2019,1,0,AC,2021
2019,1,0,AL,2594
2019,1,0,AM,5097
2019,1,0,AP,2672
2019,1,0,BA,13639
2019,1,0,CE,6722
2019,1,0,DF,3352
2019,1,0,ES,2621
2019,1,0,GO,5018
2019,1,0,MA,6418
2019,1,0,MG,12783
2019,1,0,MS,3082
2019,1,0,MT,3755
2019,1,0,PA,13405
2019,1,0,PB,4562
2019,1,0,PE,7080
2019,1,0,PI,3759
2019,1,0,PR,7205
2019,1,0,RJ,8310
2019,1,0,RN,4622
2019,1,0,RO,2703
2019,1,0,RR,550
2019,1,0,RS,10443
2019,1,0,SC,4523
2019,1,0,SE,2710
2019,1,0,SP,19999
2019,1,0,TO,1710
2019,1,1,AC,23791
2019,1,1,AL,54722
2019,1,1,AM,70543
2019,1,1,AP,27859
2019,1,1,BA,252828
2019,1,1,CE,151717
2019,1,1,DF,54839
2019,1,1,ES,57911
2019,1,1,GO,100094
2019,1,1,MA,139614
2019,1,1,MG,331838
2019,1,1,MS,38056
2019,1,1,MT,51036
2019,1,1,PA,178314
2019,1,1,PB,92431
2019,1,1,PE,170010
2019,1,1,PI,78249
2019,1,1,PR,114741
2019,1,1,RJ,197732
2019,1,1,RN,75526
2019,1,1,RO,31938
2019,1,1,RR,8110
2019,1,1,RS,129354
2019,1,1,SC,55463
2019,1,1,SE,51392
2019,1,1,SP,446728
2019,1,1,TO,28558
2019,1,2,AC,4814
2019,1,2,AL,9071
2019,1,2,AM,9791
2019,1,2,AP,3095
2019,1,2,BA,30981
2019,1,2,CE,15761
2019,1,2,DF,8389
2019,1,2,ES,9937
2019,1,2,GO,12318
2019,1,2,MA,15119
2019,1,2,MG,39081
2019,1,2,MS,6927
2019,1,2,MT,7552
2019,1,2,PA,22931
2019,1,2,PB,14283
2019,1,2,PE,20654
2019,1,2,PI,8802
2019,1,2,PR,13781
2019,1,2,RJ,26089
2019,1,2,RN,11217
2019,1,2,RO,7849
2019,1,2,RR,962
2019,1,2,RS,12988
2019,1,2,SC,5094
2019,1,2,SE,5317
2019,1,2,SP,45596
2019,1,2,TO,3322
2019,1,3,AC,866
2019,1,3,AL,1616
2019,1,3,AM,1722
2019,1,3,AP,588
2019,1,3,BA,5463
2019,1,3,CE,2749
2019,1,3,DF,1904
2019,1,3,ES,1948
2019,1,3,GO,2843
2019,1,3,MA,2726
2019,1,3,MG,8525
2019,1,3,MS,1523
2019,1,3,MT,1725
2019,1,3,PA,3570
2019,1,3,PB,2705
2019,1,3,PE,4062
2019,1,3,PI,1557
2019,1,3,PR,3067
2019,1,3,RJ,5693
2019,1,3,RN,1989
2019,1,3,RO,1449
2019,1,3,RR,247
2019,1,3,RS,3750
2019,1,3,SC,1254
2019,1,3,SE,1238
2019,1,3,SP,11782
2019,1,3,TO,641
2019,1,4,AC,41
2019,1,4,AL,128
2019,1,4,AM,135
2019,1,4,AP,37
2019,1,4,BA,439
2019,1,4,CE,209
2019,1,4,DF,115
2019,1,4,ES,133
2019,1,4,GO,165
2019,1,4,MA,212
2019,1,4,MG,638
2019,1,4,MS,89
2019,1,4,MT,120
2019,1,4,PA,310
2019,1,4,PB,182
2019,1,4,PE,273
2019,1,4,PI,144
2019,1,4,PR,186
2019,1,4,RJ,550
2019,1,4,RN,142
2019,1,4,RO,80
2019,1,4,RR,18
2019,1,4,RS,293
2019,1,4,SC,74
2019,1,4,SE,87
2019,1,4,SP,805
2019,1,4,TO,33
2019,2,0,AC,304
2019,2,0,AL,599
2019,2,0,AM,854
2019,2,0,AP,267
2019,2,0,BA,2620
2019,2,0,CE,4580
2019,2,0,DF,549
2019,2,0,ES,735
2019,2,0,GO,1345
2019,2,0,MA,1912
2019,2,0,MG,2820
2019,2,0,MS,680
2019,2,0,MT,787
2019,2,0,PA,2035
2019,2,0,PB,896
2019,2,0,PE,1989
2019,2,0,PI,1023
2019,2,0,PR,1800
2019,2,0,RJ,1489
2019,2,0,RN,596
2019,2,0,RO,535
2019,2,0,RR,103
2019,2,0,RS,1626
2019,2,0,SC,1256
2019,2,0,SE,464
2019,2,0,SP,6012
2019,2,0,TO,402
2019,2,1,AC,6210
2019,2,1,AL,16315
2019,2,1,AM,27646
2019,2,1,AP,7295
2019,2,1,BA,74298
2019,2,1,CE,101425
2019,2,1,DF,19613
2019,2,1,ES,24763
2019,2,1,GO,39691
2019,2,1,MA,47326
2019,2,1,MG,118715
2019,2,1,MS,17435
2019,2,1,MT,20195
2019,2,1,PA,50134
2019,2,1,PB,25595
2019,2,1,PE,59619
2019,2,1,PI,23934
2019,2,1,PR,58043
2019,2,1,RJ,71158
2019,2,1,RN,20480
2019,2,1,RO,12662
2019,2,1,RR,2672
2019,2,1,RS,50581
2019,2,1,SC,36261
2019,2,1,SE,13381
2019,2,1,SP,219644
2019,2,1,TO,10480
2019,2,2,AC,163
2019,2,2,AL,536
2019,2,2,AM,472
2019,2,2,AP,90
2019,2,2,BA,1387
2019,2,2,CE,1960
2019,2,2,DF,319
2019,2,2,ES,669
2019,2,2,GO,914
2019,2,2,MA,770
2019,2,2,MG,2278
2019,2,2,MS,404
2019,2,2,MT,510
2019,2,2,PA,1120
2019,2,2,PB,791
2019,2,2,PE,1251
2019,2,2,PI,684
2019,2,2,PR,1183
2019,2,2,RJ,1447
2019,2,2,RN,493
2019,2,2,RO,664
2019,2,2,RR,26
2019,2,2,RS,741
2019,2,2,SC,553
2019,2,2,SE,238
2019,2,2,SP,3510
2019,2,2,TO,190
2019,2,3,AC,51
2019,2,3,AL,130
2019,2,3,AM,215
2019,2,3,AP,49
2019,2,3,BA,445
2019,2,3,CE,571
2019,2,3,DF,220
2019,2,3,ES,255
2019,2,3,GO,367
2019,2,3,MA,319
2019,2,3,MG,1034
2019,2,3,MS,160
2019,2,3,MT,175
2019,2,3,PA,356
2019,2,3,PB,206
2019,2,3,PE,432
2019,2,3,PI,169
2019,2,3,PR,448
2019,2,3,RJ,670
2019,2,3,RN,141
2019,2,3,RO,165
2019,2,3,RR,28
2019,2,3,RS,419
2019,2,3,SC,290
2019,2,3,SE,80
2019,2,3,SP,1966
2019,2,3,TO,85
2019,2,4,AC,2
2019,2,4,AL,11
2019,2,4,AM,13
2019,2,4,AP,5
2019,2,4,BA,35
2019,2,4,CE,61
2019,2,4,DF,7
2019,2,4,ES,13
2019,2,4,GO,19
2019,2,4,MA,21
2019,2,4,MG,64
2019,2,4,MS,13
2019,2,4,MT,10
2019,2,4,PA,24
2019,2,4,PB,13
2019,2,4,PE,31
2019,2,4,PI,14
2019,2,4,PR,21
2019,2,4,RJ,45
2019,2,4,RN,13
2019,2,4,RO,11
2019,2,4,RS,22
2019,2,4,SC,7
2019,2,4,SE,7
2019,2,4,SP,90
2019,2,4,TO,4
2019,3,0,AC,17
2019,3,0,AL,142
2019,3,0,AM,79
2019,3,0,AP,36
2019,3,0,BA,567
2019,3,0,CE,311
2019,3,0,DF,270
2019,3,0,ES,96
2019,3,0,GO,344
2019,3,0,MA,179
2019,3,0,MG,466
2019,3,0,MS,77
2019,3,0,MT,76
2019,3,0,PA,298
2019,3,0,PB,200
2019,3,0,PE,346
2019,3,0,PI,143
2019,3,0,PR,344
2019,3,0,RJ,553
2019,3,0,RN,128
2019,3,0,RO,23
2019,3,0,RR,7
2019,3,0,RS,303
2019,3,0,SC,196
2019,3,0,SE,176
2019,3,0,SP,1754
2019,3,0,TO,32
2019,3,1,AC,354
2019,3,1,AL,3930
2019,3,1,AM,1555
2019,3,1,AP,608
2019,3,1,BA,12637
2019,3,1,CE,8850
2019,3,1,DF,6217
2019,3,1,ES,3163
2019,3,1,GO,6788
2019,3,1,MA,3427
2019,3,1,MG,16247
2019,3,1,MS,1927
2019,3,1,MT,2155
2019,3,1,PA,7042
2019,3,1,PB,5264
2019,3,1,PE,9486
2019,3,1,PI,3809
2019,3,1,PR,10379
2019,3,1,RJ,25708
2019,3,1,RN,3951
2019,3,1,RO,552
2019,3,1,RR,229
2019,3,1,RS,7820
2019,3,1,SC,5664
2019,3,1,SE,3377
2019,3,1,SP,57508
2019,3,1,TO,784
2019,3,2,AC,3
2019,3,2,AL,11
2019,3,2,AM,9
2019,3,2,BA,25
2019,3,2,CE,22
2019,3,2,DF,17
2019,3,2,ES,12
2019,3,2,GO,20
2019,3,2,MA,11
2019,3,2,MG,56
2019,3,2,MS,10
2019,3,2,MT,7
2019,3,2,PA,11
2019,3,2,PB,22
2019,3,2,PE,40
2019,3,2,PI,6
2019,3,2,PR,40
2019,3,2,RJ,100
2019,3,2,RN,11
2019,3,2,RO,3
2019,3,2,RR,1
2019,3,2,RS,48
2019,3,2,SC,21
2019,3,2,SE,6
2019,3,2,SP,254
2019,3,2,TO,1
2019,3,3,AC,7
2019,3,3,AL,18
2019,3,3,AM,12
2019,3,3,AP,2
2019,3,3,BA,61
2019,3,3,CE,46
2019,3,3,DF,38
2019,3,3,ES,17
2019,3,3,GO,53
2019,3,3,MA,20
2019,3,3,MG,79
2019,3,3,MS,10
2019,3,3,MT,18
2019,3,3,PA,42
2019,3,3,PB,26
2019,3,3,PE,43
2019,3,3,PI,19
2019,3,3,PR,68
2019,3,3,RJ,169
2019,3,3,RN,10
2019,3,3,RO,5
2019,3,3,RR,3
2019,3,3,RS,78
2019,3,3,SC,43
2019,3,3,SE,15
2019,3,3,SP,335
2019,3,3,TO,7
2019,3,4,AC,1
2019,3,4,AL,1
2019,3,4,AM,1
2019,3,4,BA,2
2019,3,4,GO,1
2019,3,4,MG,1
2019,3,4,PA,1
2019,3,4,PE,1
2019,3,4,RJ,3
2019,3,4,RS,3
2019,3,4,SP,7
2020,1,0,AC,2266
2020,1,0,AL,3220
2020,1,0,AM,7464
2020,1,0,AP,2939
2020,1,0,BA,16818
2020,1,0,CE,9079
2020,1,0,DF,4509
2020,1,0,ES,3244
2020,1,0,GO,6436
