NU_ANO,TP_ESCOLA,TP_LOCALIZACAO_ESC,SG_UF_PROVA,QTD
2019,2,1.0,AC,4781
2019,2,1.0,AL,14175
2019,2,1.0,AM,23594
2019,2,1.0,AP,5440
2019,2,1.0,BA,58680
2019,2,1.0,CE,100114
2019,2,1.0,DF,15789
2019,2,1.0,ES,22231
2019,2,1.0,GO,31070
2019,2,1.0,MA,38051
2019,2,1.0,MG,93911
2019,2,1.0,MS,13425
2019,2,1.0,MT,15192
2019,2,1.0,PA,40011
2019,2,1.0,PB,22586
2019,2,1.0,PE,53058
2019,2,1.0,PI,20439
2019,2,1.0,PR,43918
2019,2,1.0,RJ,56279
2019,2,1.0,RN,17256
2019,2,1.0,RO,11112
2019,2,1.0,RR,1914
2019,2,1.0,RS,39651
2019,2,1.0,SC,30367
2019,2,1.0,SE,11072
2019,2,1.0,SP,183099
2019,2,1.0,TO,7918
2019,2,2.0,AC,374
2019,2,2.0,AL,736
2019,2,2.0,AM,993
2019,2,2.0,AP,389
2019,2,2.0,BA,3817
2019,2,2.0,CE,5713
2019,2,2.0,DF,376
2019,2,2.0,ES,910
2019,2,2.0,GO,783
2019,2,2.0,MA,3374
2019,2,2.0,MG,3045
2019,2,2.0,MS,782
2019,2,2.0,MT,1315
2019,2,2.0,PA,1767
2019,2,2.0,PB,892
2019,2,2.0,PE,2683
2019,2,2.0,PI,921
2019,2,2.0,PR,1903
2019,2,2.0,RJ,1878
2019,2,2.0,RN,703
2019,2,2.0,RO,500
2019,2,2.0,RR,122
2019,2,2.0,RS,1712
2019,2,2.0,SC,938
2019,2,2.0,SE,789
2019,2,2.0,SP,2789
2019,2,2.0,TO,496
2019,3,1.0,AC,276
2019,3,1.0,AL,2214
2019,3,1.0,AM,1272
2019,3,1.0,AP,432
2019,3,1.0,BA,7456
2019,3,1.0,CE,6019
2019,3,1.0,DF,4530
2019,3,1.0,ES,2204
2019,3,1.0,GO,4204
2019,3,1.0,MA,2087
2019,3,1.0,MG,10596
2019,3,1.0,MS,1276
2019,3,1.0,MT,1494
2019,3,1.0,PA,4610
2019,3,1.0,PB,3485
2019,3,1.0,PE,6242
2019,3,1.0,PI,2638
2019,3,1.0,PR,6682
2019,3,1.0,RJ,14932
2019,3,1.0,RN,2659
2019,3,1.0,RO,379
2019,3,1.0,RR,172
2019,3,1.0,RS,4739
2019,3,1.0,SC,3703
2019,3,1.0,SE,2240
2019,3,1.0,SP,33726
2019,3,1.0,TO,446
2019,3,2.0,AC,1
2019,3,2.0,AL,2
2019,3,2.0,AM,4
2019,3,2.0,AP,3
2019,3,2.0,BA,99
2019,3,2.0,CE,3
2019,3,2.0,DF,46
2019,3,2.0,ES,32
2019,3,2.0,GO,45
2019,3,2.0,MA,75
2019,3,2.0,MG,62
2019,3,2.0,MS,23
2019,3,2.0,MT,7
2019,3,2.0,PA,15
2019,3,2.0,PB,2
2019,3,2.0,PE,37
2019,3,2.0,PI,16
2019,3,2.0,PR,41
2019,3,2.0,RJ,94
2019,3,2.0,RN,7
2019,3,2.0,RO,8
2019,3,2.0,RS,5
2019,3,2.0,SC,26
2019,3,2.0,SP,169
2019,3,2.0,TO,19
2020,2,1.0,AC,3135
2020,2,1.0,AL,10169
2020,2,1.0,AM,26966
2020,2,1.0,AP,3052
2020,2,1.0,BA,35243
2020,2,1.0,CE,92038
2020,2,1.0,DF,13611
2020,2,1.0,ES,15104
2020,2,1.0,GO,33633
2020,2,1.0,MA,21439
2020,2,1.0,MG,55797
2020,2,1.0,MS,9682
2020,2,1.0,MT,11893
2020,2,1.0,PA,26267
2020,2,1.0,PB,14890
2020,2,1.0,PE,38198
2020,2,1.0,PI,11973
2020,2,1.0,PR,32265
2020,2,1.0,RJ,41061
2020,2,1.0,RN,10942
2020,2,1.0,RO,9029
2020,2,1.0,RR,2062
2020,2,1.0,RS,28707
2020,2,1.0,SC,22005
2020,2,1.0,SE,7939
2020,2,1.0,SP,116418
2020,2,1.0,TO,7123
2020,2,2.0,AC,231
2020,2,2.0,AL,599
2020,2,2.0,AM,1770
2020,2,2.0,AP,186
2020,2,2.0,BA,2211
2020,2,2.0,CE,5766
2020,2,2.0,DF,329
2020,2,2.0,ES,619
2020,2,2.0,GO,748
2020,2,2.0,MA,2367
2020,2,2.0,MG,1902
2020,2,2.0,MS,520
2020,2,2.0,MT,942
2020,2,2.0,PA,1432
2020,2,2.0,PB,550
2020,2,2.0,PE,2044
2020,2,2.0,PI,637
2020,2,2.0,PR,950
2020,2,2.0,RJ,1187
2020,2,2.0,RN,447
2020,2,2.0,RO,450
2020,2,2.0,RR,187
2020,2,2.0,RS,1007
2020,2,2.0,SC,561
2020,2,2.0,SE,592
2020,2,2.0,SP,1665
2020,2,2.0,TO,520
2020,3,1.0,AC,268
2020,3,1.0,AL,2956
2020,3,1.0,AM,1351
2020,3,1.0,AP,427
2020,3,1.0,BA,9646
2020,3,1.0,CE,6806
2020,3,1.0,DF,5661
2020,3,1.0,ES,2640
2020,3,1.0,GO,5498
2020,3,1.0,MA,2399
2020,3,1.0,MG,13785
2020,3,1.0,MS,1749
2020,3,1.0,MT,1885
2020,3,1.0,PA,5172
2020,3,1.0,PB,4200
2020,3,1.0,PE,7622
2020,3,1.0,PI,2964
2020,3,1.0,PR,9770
2020,3,1.0,RJ,20062
2020,3,1.0,RN,3277
2020,3,1.0,RO,397
2020,3,1.0,RR,201
2020,3,1.0,RS,6762
2020,3,1.0,SC,4915
2020,3,1.0,SE,2706
2020,3,1.0,SP,48969
2020,3,1.0,TO,619
2020,3,2.0,AL,5
2020,3,2.0,AM,3
2020,3,2.0,BA,61
2020,3,2.0,CE,1
2020,3,2.0,DF,75
2020,3,2.0,ES,3
2020,3,2.0,GO,53
2020,3,2.0,MA,43
2020,3,2.0,MG,32
2020,3,2.0,MS,11
2020,3,2.0,MT,1
2020,3,2.0,PA,11
2020,3,2.0,PE,35
