NU_ANO,TP_ESCOLA,TP_SEXO,SG_UF_PROVA,QTD
2019,1,F,AC,18812
2019,1,F,AL,41249
2019,1,F,AM,51160
2019,1,F,AP,20433
2019,1,F,BA,192642
2019,1,F,CE,102373
2019,1,F,DF,40892
2019,1,F,ES,43214
2019,1,F,GO,72817
2019,1,F,MA,99359
2019,1,F,MG,237951
2019,1,F,MS,29126
2019,1,F,MT,38518
2019,1,F,PA,133036
2019,1,F,PB,65854
2019,1,F,PE,120288
2019,1,F,PI,55466
2019,1,F,PR,81088
2019,1,F,RJ,142169
2019,1,F,RN,53562
2019,1,F,RO,27235
2019,1,F,RR,5993
2019,1,F,RS,94013
2019,1,F,SC,40038
2019,1,F,SE,36797
2019,1,F,SP,311397
2019,1,F,TO,21068
2019,1,M,AC,12721
2019,1,M,AL,26882
2019,1,M,AM,36128
2019,1,M,AP,13818
2019,1,M,BA,110708
2019,1,M,CE,74785
2019,1,M,DF,27707
2019,1,M,ES,29336
2019,1,M,GO,47621
2019,1,M,MA,64730
2019,1,M,MG,154914
2019,1,M,MS,20551
2019,1,M,MT,25670
2019,1,M,PA,85494
2019,1,M,PB,48309
2019,1,M,PE,81791
2019,1,M,PI,37045
2019,1,M,PR,57892
2019,1,M,RJ,96205
2019,1,M,RN,39934
2019,1,M,RO,16784
2019,1,M,RR,3894
2019,1,M,RS,62815
2019,1,M,SC,26370
2019,1,M,SE,23947
2019,1,M,SP,213513
2019,1,M,TO,13196
2019,2,F,AC,3795
2019,2,F,AL,10607
2019,2,F,AM,16512
2019,2,F,AP,4175
2019,2,F,BA,48925
2019,2,F,CE,57078
2019,2,F,DF,12188
2019,2,F,ES,15413
2019,2,F,GO,25110
2019,2,F,MA,29475
2019,2,F,MG,76537
2019,2,F,MS,11033
2019,2,F,MT,12741
2019,2,F,PA,31743
2019,2,F,PB,15840
2019,2,F,PE,36691
2019,2,F,PI,15061
2019,2,F,PR,36642
2019,2,F,RJ,46530
2019,2,F,RN,12756
2019,2,F,RO,8199
2019,2,F,RR,1635
2019,2,F,RS,32962
2019,2,F,SC,23030
2019,2,F,SE,8590
2019,2,F,SP,138566
2019,2,F,TO,6446
2019,2,M,AC,2935
2019,2,M,AL,6984
2019,2,M,AM,12688
2019,2,M,AP,3531
2019,2,M,BA,29860
2019,2,M,CE,51519
2019,2,M,DF,8520
2019,2,M,ES,11022
2019,2,M,GO,17226
2019,2,M,MA,20873
2019,2,M,MG,48374
2019,2,M,MS,7659
2019,2,M,MT,8936
2019,2,M,PA,21926
2019,2,M,PB,11661
2019,2,M,PE,26631
2019,2,M,PI,10763
2019,2,M,PR,24853
2019,2,M,RJ,28279
2019,2,M,RN,8967
2019,2,M,RO,5838
2019,2,M,RR,1194
2019,2,M,RS,20427
2019,2,M,SC,15337
2019,2,M,SE,5580
2019,2,M,SP,92656
2019,2,M,TO,4715
2019,3,F,AC,220
2019,3,F,AL,2206
2019,3,F,AM,841
2019,3,F,AP,364
2019,3,F,BA,7286
2019,3,F,CE,4747
2019,3,F,DF,3508
2019,3,F,ES,1726
2019,3,F,GO,3905
2019,3,F,MA,1933
2019,3,F,MG,9122
2019,3,F,MS,1096
2019,3,F,MT,1186
2019,3,F,PA,3897
2019,3,F,PB,2947
2019,3,F,PE,5272
2019,3,F,PI,2154
2019,3,F,PR,5775
2019,3,F,RJ,14460
2019,3,F,RN,2133
2019,3,F,RO,312
2019,3,F,RR,127
2019,3,F,RS,4475
2019,3,F,SC,3225
2019,3,F,SE,1910
2019,3,F,SP,31644
2019,3,F,TO,459
2019,3,M,AC,162
2019,3,M,AL,1896
2019,3,M,AM,815
2019,3,M,AP,282
2019,3,M,BA,6006
2019,3,M,CE,4482
2019,3,M,DF,3034
2019,3,M,ES,1562
2019,3,M,GO,3301
2019,3,M,MA,1704
2019,3,M,MG,7727
2019,3,M,MS,928
2019,3,M,MT,1070
2019,3,M,PA,3497
2019,3,M,PB,2565
2019,3,M,PE,4644
2019,3,M,PI,1823
2019,3,M,PR,5056
2019,3,M,RJ,12073
2019,3,M,RN,1967
2019,3,M,RO,271
2019,3,M,RR,113
2019,3,M,RS,3777
2019,3,M,SC,2699
2019,3,M,SE,1664
