NU_ANO,TP_ESTADO_CIVIL,Q006,SG_UF_PROVA,QTD
2019,0,A,AC,227
2019,0,A,AL,285
2019,0,A,AM,496
2019,0,A,AP,181
2019,0,A,BA,1445
2019,0,A,CE,868
2019,0,A,DF,150
2019,0,A,ES,125
2019,0,A,GO,212
2019,0,A,MA,805
2019,0,A,MG,569
2019,0,A,MS,148
2019,0,A,MT,113
2019,0,A,PA,1127
2019,0,A,PB,504
2019,0,A,PE,821
2019,0,A,PI,582
2019,0,A,PR,193
2019,0,A,RJ,415
2019,0,A,RN,319
2019,0,A,RO,107
2019,0,A,RR,38
2019,0,A,RS,265
2019,0,A,SC,97
2019,0,A,SE,271
2019,0,A,SP,814
2019,0,A,TO,144
2019,0,B,AC,925
2019,0,B,AL,1282
2019,0,B,AM,1845
2019,0,B,AP,1119
2019,0,B,BA,5803
2019,0,B,CE,4762
2019,0,B,DF,636
2019,0,B,ES,684
2019,0,B,GO,1274
2019,0,B,MA,3182
2019,0,B,MG,3059
2019,0,B,MS,738
2019,0,B,MT,749
2019,0,B,PA,5682
2019,0,B,PB,2081
2019,0,B,PE,3246
2019,0,B,PI,2002
2019,0,B,PR,980
2019,0,B,RJ,1697
2019,0,B,RN,1650
2019,0,B,RO,771
2019,0,B,RR,157
2019,0,B,RS,1338
2019,0,B,SC,446
2019,0,B,SE,1172
2019,0,B,SP,3036
2019,0,B,TO,672
2019,0,C,AC,550
2019,0,C,AL,813
2019,0,C,AM,1891
2019,0,C,AP,796
2019,0,C,BA,4307
2019,0,C,CE,3252
2019,0,C,DF,1051
2019,0,C,ES,1009
2019,0,C,GO,2086
2019,0,C,MA,2263
2019,0,C,MG,4363
2019,0,C,MS,1232
2019,0,C,MT,1407
2019,0,C,PA,4511
2019,0,C,PB,1417
2019,0,C,PE,2385
2019,0,C,PI,1156
2019,0,C,PR,2546
2019,0,C,RJ,2751
2019,0,C,RN,1463
2019,0,C,RO,1107
2019,0,C,RR,188
2019,0,C,RS,3225
2019,0,C,SC,1376
2019,0,C,SE,789
2019,0,C,SP,7073
2019,0,C,TO,646
2019,0,C,AC,159
2019,0,C,AL,266
2019,0,C,AM,534
2019,0,C,AP,220
2019,0,C,BA,1418
2019,0,C,CE,665
2019,0,C,DF,405
2019,0,C,ES,409
2019,0,C,GO,820
2019,0,C,MA,624
2019,0,C,MG,1990
2019,0,C,MS,517
2019,0,C,MT,649
2019,0,C,PA,1242
2019,0,C,PB,470
2019,0,C,PE,749
2019,0,C,PI,334
2019,0,C,PR,1450
2019,0,C,RJ,1223
2019,0,C,RN,526
2019,0,C,RO,389
2019,0,C,RR,54
2019,0,C,RS,2009
2019,0,C,SC,964
2019,0,C,SE,251
2019,0,C,SP,3795
2019,0,C,TO,191
2019,0,D,AC,130
2019,0,D,AL,166
2019,0,D,AM,408
2019,0,D,AP,174
2019,0,D,BA,1182
2019,0,D,CE,609
2019,0,D,DF,358
2019,0,D,ES,352
2019,0,D,GO,682
2019,0,D,MA,512
2019,0,D,MG,1749
2019,0,D,MS,372
2019,0,D,MT,536
2019,0,D,PA,1074
2019,0,D,PB,336
2019,0,D,PE,640
2019,0,D,PI,242
2019,0,D,PR,1309
2019,0,D,RJ,1063
2019,0,D,RN,404
2019,0,D,RO,293
2019,0,D,RR,55
2019,0,D,RS,1721
2019,0,D,SC,887
2019,0,D,SE,224
2019,0,D,SP,3541
2019,0,D,TO,143
2019,0,D,AC,57
2019,0,D,AL,99
2019,0,D,AM,148
2019,0,D,AP,66
2019,0,D,BA,488
2019,0,D,CE,256
2019,0,D,DF,194
2019,0,D,ES,179
2019,0,D,GO,297
2019,0,D,MA,221
2019,0,D,MG,856
2019,0,D,MS,179
2019,0,D,MT,265
2019,0,D,PA,433
2019,0,D,PB,159
2019,0,D,PE,276
2019,0,D,PI,102
2019,0,D,PR,631
2019,0,D,RJ,541
2019,0,D,RN,165
2019,0,D,RO,133
2019,0,D,RR,19
2019,0,D,RS,890
2019,0,D,SC,478
2019,0,D,SE,116
2019,0,D,SP,1628
2019,0,D,TO,62
2019,0,E,AC,67
2019,0,E,AL,131
2019,0,E,AM,191
2019,0,E,AP,93
2019,0,E,BA,599
2019,0,E,CE,341
2019,0,E,DF,198
2019,0,E,ES,205
2019,0,E,GO,355
2019,0,E,MA,237
2019,0,E,MG,968
2019,0,E,MS,212
2019,0,E,MT,253
2019,0,E,PA,554
2019,0,E,PB,203
2019,0,E,PE,347
2019,0,E,PI,131
2019,0,E,PR,692
2019,0,E,RJ,650
2019,0,E,RN,261
2019,0,E,RO,163
2019,0,E,RR,33
2019,0,E,RS,993
2019,0,E,SC,637
2019,0,E,SE,113
2019,0,E,SP,2178
2019,0,E,TO,70
2019,0,F,AC,56
2019,0,F,AL,81
2019,0,F,AM,112
2019,0,F,AP,85
2019,0,F,BA,405
2019,0,F,CE,212
2019,0,F,DF,175
2019,0,F,ES,110
2019,0,F,GO,235
2019,0,F,MA,181
2019,0,F,MG,651
2019,0,F,MS,117
2019,0,F,MT,157
2019,0,F,PA,343
2019,0,F,PB,134
2019,0,F,PE,249
2019,0,F,PI,93
2019,0,F,PR,479
2019,0,F,RJ,437
2019,0,F,RN,140
2019,0,F,RO,93
2019,0,F,RR,29
2019,0,F,RS,593
2019,0,F,SC,307
2019,0,F,SE,112
2019,0,F,SP,1347
2019,0,F,TO,50
2019,0,G,AC,50
2019,0,G,AL,37
2019,0,G,AM,103
2019,0,G,AP,64
2019,0,G,BA,299
2019,0,G,CE,162
2019,0,G,DF,155
2019,0,G,ES,92
2019,0,G,GO,183
2019,0,G,MA,131
2019,0,G,MG,463
2019,0,G,MS,86
2019,0,G,MT,143
2019,0,G,PA,197
2019,0,G,PB,101
2019,0,G,PE,164
2019,0,G,PI,62
2019,0,G,PR,277
2019,0,G,RJ,343
2019,0,G,RN,112
2019,0,G,RO,57
2019,0,G,RR,25
2019,0,G,RS,374
2019,0,G,SC,222
2019,0,G,SE,79
2019,0,G,SP,974
2019,0,G,TO,36
2019,0,G,AC,26
2019,0,G,AL,32
2019,0,G,AM,61
2019,0,G,AP,34
2019,0,G,BA,167
2019,0,G,CE,86
2019,0,G,DF,98
2019,0,G,ES,42
2019,0,G,GO,106
2019,0,G,MA,83
