NU_ANO,TP_ESTADO_CIVIL,TP_COR_RACA,SG_UF_PROVA,QTD
2019,0,0,AC,78
2019,0,0,AL,183
2019,0,0,AM,271
2019,0,0,AP,97
2019,0,0,BA,1018
2019,0,0,CE,1827
2019,0,0,DF,303
2019,0,0,ES,161
2019,0,0,GO,609
2019,0,0,MA,467
2019,0,0,MG,1138
2019,0,0,MS,156
2019,0,0,MT,204
2019,0,0,PA,499
2019,0,0,PB,300
2019,0,0,PE,634
2019,0,0,PI,256
2019,0,0,PR,477
2019,0,0,RJ,794
2019,0,0,RN,221
2019,0,0,RO,114
2019,0,0,RR,24
2019,0,0,RS,623
2019,0,0,SC,326
2019,0,0,SE,195
2019,0,0,SP,1609
2019,0,0,TO,102
2019,0,1,AC,344
2019,0,1,AL,672
2019,0,1,AM,810
2019,0,1,AP,447
2019,0,1,BA,2378
2019,0,1,CE,2068
2019,0,1,DF,1252
2019,0,1,ES,1070
2019,0,1,GO,1881
2019,0,1,MA,1508
2019,0,1,MG,5539
2019,0,1,MS,1429
2019,0,1,MT,1276
2019,0,1,PA,2230
2019,0,1,PB,1498
2019,0,1,PE,2477
2019,0,1,PI,847
2019,0,1,PR,5460
2019,0,1,RJ,3967
2019,0,1,RN,1825
2019,0,1,RO,684
2019,0,1,RR,128
2019,0,1,RS,8898
2019,0,1,SC,3922
2019,0,1,SE,568
2019,0,1,SP,13658
2019,0,1,TO,379
2019,0,2,AC,243
2019,0,2,AL,371
2019,0,2,AM,349
2019,0,2,AP,380
2019,0,2,BA,4638
2019,0,2,CE,863
2019,0,2,DF,595
2019,0,2,ES,522
2019,0,2,GO,718
2019,0,2,MA,1285
2019,0,2,MG,2257
2019,0,2,MS,333
2019,0,2,MT,622
2019,0,2,PA,1878
2019,0,2,PB,566
2019,0,2,PE,1173
2019,0,2,PI,755
2019,0,2,PR,546
2019,0,2,RJ,1659
2019,0,2,RN,500
2019,0,2,RO,375
2019,0,2,RR,55
2019,0,2,RS,950
2019,0,2,SC,348
2019,0,2,SE,527
2019,0,2,SP,3012
2019,0,2,TO,352
2019,0,3,AC,1576
2019,0,3,AL,1938
2019,0,3,AM,4256
2019,0,3,AP,1976
2019,0,3,BA,8119
2019,0,3,CE,6432
2019,0,3,DF,1854
2019,0,3,ES,1597
2019,0,3,GO,3190
2019,0,3,MA,5017
2019,0,3,MG,6617
2019,0,3,MS,1723
2019,0,3,MT,2331
2019,0,3,PA,10662
2019,0,3,PB,3007
2019,0,3,PE,4653
2019,0,3,PI,2876
2019,0,3,PR,2637
2019,0,3,RJ,3688
2019,0,3,RN,2633
2019,0,3,RO,1951
2019,0,3,RR,412
2019,0,3,RS,1801
2019,0,3,SC,1270
2019,0,3,SE,1905
2019,0,3,SP,8566
2019,0,3,TO,1210
2019,0,4,AC,81
2019,0,4,AL,138
2019,0,4,AM,138
2019,0,4,AP,57
2019,0,4,BA,506
2019,0,4,CE,326
2019,0,4,DF,143
2019,0,4,ES,75
2019,0,4,GO,275
2019,0,4,MA,184
2019,0,4,MG,424
2019,0,4,MS,94
2019,0,4,MT,140
2019,0,4,PA,363
2019,0,4,PB,207
2019,0,4,PE,312
2019,0,4,PI,165
2019,0,4,PR,208
2019,0,4,RJ,197
2019,0,4,RN,134
2019,0,4,RO,99
2019,0,4,RR,10
2019,0,4,RS,69
2019,0,4,SC,85
2019,0,4,SE,128
2019,0,4,SP,754
2019,0,4,TO,84
2019,0,5,AC,20
2019,0,5,AL,33
2019,0,5,AM,206
2019,0,5,AP,18
2019,0,5,BA,167
2019,0,5,CE,97
2019,0,5,DF,24
2019,0,5,ES,27
2019,0,5,GO,34
2019,0,5,MA,48
2019,0,5,MG,94
2019,0,5,MS,104
2019,0,5,MT,45
2019,0,5,PA,106
2019,0,5,PB,80
2019,0,5,PE,166
2019,0,5,PI,26
2019,0,5,PR,21
2019,0,5,RJ,47
2019,0,5,RN,33
2019,0,5,RO,38
2019,0,5,RR,31
2019,0,5,RS,31
2019,0,5,SC,24
2019,0,5,SE,27
2019,0,5,SP,166
2019,0,5,TO,17
2019,1,0,AC,530
2019,1,0,AL,1615
2019,1,0,AM,1977
2019,1,0,AP,605
2019,1,0,BA,7548
2019,1,0,CE,5944
2019,1,0,DF,1980
2019,1,0,ES,1260
2019,1,0,GO,4134
2019,1,0,MA,2843
2019,1,0,MG,8713
2019,1,0,MS,1012
2019,1,0,MT,1434
2019,1,0,PA,3457
2019,1,0,PB,2238
2019,1,0,PE,5431
2019,1,0,PI,1677
2019,1,0,PR,2923
2019,1,0,RJ,6319
2019,1,0,RN,1621
2019,1,0,RO,814
2019,1,0,RR,151
2019,1,0,RS,3526
2019,1,0,SC,1878
2019,1,0,SE,1419
2019,1,0,SP,10082
2019,1,0,TO,651
2019,1,1,AC,4724
2019,1,1,AL,16767
2019,1,1,AM,14272
2019,1,1,AP,5773
2019,1,1,BA,51964
2019,1,1,CE,53670
2019,1,1,DF,26304
2019,1,1,ES,30206
2019,1,1,GO,48217
2019,1,1,MA,34377
2019,1,1,MG,180510
2019,1,1,MS,24746
2019,1,1,MT,22198
2019,1,1,PA,36298
2019,1,1,PB,35177
2019,1,1,PE,68887
2019,1,1,PI,18570
2019,1,1,PR,120368
2019,1,1,RJ,126724
2019,1,1,RN,35942
2019,1,1,RO,10840
2019,1,1,RR,1856
2019,1,1,RS,146264
2019,1,1,SC,73532
2019,1,1,SE,11077
2019,1,1,SP,407909
2019,1,1,TO,7542
2019,1,2,AC,3452
2019,1,2,AL,8590
2019,1,2,AM,5161
2019,1,2,AP,4866
2019,1,2,BA,96178
2019,1,2,CE,21673
2019,1,2,DF,11636
2019,1,2,ES,12491
2019,1,2,GO,16408
2019,1,2,MA,27598
2019,1,2,MG,64236
2019,1,2,MS,4336
2019,1,2,MT,9720
2019,1,2,PA,28934
2019,1,2,PB,11557
2019,1,2,PE,28289
2019,1,2,PI,16074
2019,1,2,PR,8571
2019,1,2,RJ,51534
2019,1,2,RN,9757
2019,1,2,RO,4964
2019,1,2,RR,777
