NU_ANO,TP_ESTADO_CIVIL,TP_FAIXA_ETARIA,SG_UF_PROVA,QTD
2019,0,1,AC,74
2019,0,1,AL,193
2019,0,1,AM,153
2019,0,1,AP,68
2019,0,1,BA,1037
2019,0,1,CE,994
2019,0,1,DF,178
2019,0,1,ES,150
2019,0,1,GO,581
2019,0,1,MA,648
2019,0,1,MG,1034
2019,0,1,MS,179
2019,0,1,MT,254
2019,0,1,PA,669
2019,0,1,PB,357
2019,0,1,PE,786
2019,0,1,PI,358
2019,0,1,PR,540
2019,0,1,RJ,447
2019,0,1,RN,150
2019,0,1,RO,81
2019,0,1,RR,37
2019,0,1,RS,372
2019,0,1,SC,332
2019,0,1,SE,281
2019,0,1,SP,1986
2019,0,1,TO,157
2019,0,2,AC,140
2019,0,2,AL,310
2019,0,2,AM,316
2019,0,2,AP,119
2019,0,2,BA,1692
2019,0,2,CE,1665
2019,0,2,DF,422
2019,0,2,ES,379
2019,0,2,GO,968
2019,0,2,MA,1044
2019,0,2,MG,1802
2019,0,2,MS,420
2019,0,2,MT,460
2019,0,2,PA,906
2019,0,2,PB,501
2019,0,2,PE,1283
2019,0,2,PI,530
2019,0,2,PR,1304
2019,0,2,RJ,993
2019,0,2,RN,333
2019,0,2,RO,186
2019,0,2,RR,48
2019,0,2,RS,863
2019,0,2,SC,744
2019,0,2,SE,315
2019,0,2,SP,5496
2019,0,2,TO,256
2019,0,3,AC,186
2019,0,3,AL,392
2019,0,3,AM,391
2019,0,3,AP,121
2019,0,3,BA,1550
2019,0,3,CE,1766
2019,0,3,DF,365
2019,0,3,ES,372
2019,0,3,GO,905
2019,0,3,MA,967
2019,0,3,MG,1694
2019,0,3,MS,292
2019,0,3,MT,415
2019,0,3,PA,905
2019,0,3,PB,500
2019,0,3,PE,1096
2019,0,3,PI,531
2019,0,3,PR,780
2019,0,3,RJ,971
2019,0,3,RN,349
2019,0,3,RO,222
2019,0,3,RR,69
2019,0,3,RS,1142
2019,0,3,SC,777
2019,0,3,SE,312
2019,0,3,SP,3018
2019,0,3,TO,206
2019,0,4,AC,135
2019,0,4,AL,178
2019,0,4,AM,271
2019,0,4,AP,110
2019,0,4,BA,1040
2019,0,4,CE,899
2019,0,4,DF,217
2019,0,4,ES,241
2019,0,4,GO,355
2019,0,4,MA,590
2019,0,4,MG,895
2019,0,4,MS,190
2019,0,4,MT,240
2019,0,4,PA,700
2019,0,4,PB,334
2019,0,4,PE,610
2019,0,4,PI,382
2019,0,4,PR,462
2019,0,4,RJ,542
2019,0,4,RN,289
2019,0,4,RO,156
2019,0,4,RR,35
2019,0,4,RS,619
2019,0,4,SC,358
2019,0,4,SE,238
2019,0,4,SP,1451
2019,0,4,TO,115
2019,0,5,AC,115
2019,0,5,AL,172
2019,0,5,AM,204
2019,0,5,AP,117
2019,0,5,BA,825
2019,0,5,CE,653
2019,0,5,DF,187
2019,0,5,ES,152
2019,0,5,GO,276
2019,0,5,MA,426
2019,0,5,MG,676
2019,0,5,MS,167
2019,0,5,MT,203
2019,0,5,PA,637
2019,0,5,PB,294
2019,0,5,PE,410
2019,0,5,PI,263
2019,0,5,PR,415
2019,0,5,RJ,429
2019,0,5,RN,234
2019,0,5,RO,149
2019,0,5,RR,19
2019,0,5,RS,538
2019,0,5,SC,267
2019,0,5,SE,140
2019,0,5,SP,1052
2019,0,5,TO,132
2019,0,6,AC,129
2019,0,6,AL,151
2019,0,6,AM,226
2019,0,6,AP,91
2019,0,6,BA,642
2019,0,6,CE,436
2019,0,6,DF,178
2019,0,6,ES,159
2019,0,6,GO,246
2019,0,6,MA,317
2019,0,6,MG,546
2019,0,6,MS,137
2019,0,6,MT,174
2019,0,6,PA,575
2019,0,6,PB,240
2019,0,6,PE,307
2019,0,6,PI,230
2019,0,6,PR,339
2019,0,6,RJ,349
2019,0,6,RN,221
2019,0,6,RO,126
2019,0,6,RR,34
2019,0,6,RS,501
2019,0,6,SC,222
2019,0,6,SE,118
2019,0,6,SP,927
2019,0,6,TO,99
2019,0,6,AC,120
2019,0,6,AL,133
2019,0,6,AM,238
2019,0,6,AP,97
2019,0,6,BA,629
2019,0,6,CE,409
2019,0,6,DF,171
2019,0,6,ES,132
2019,0,6,GO,228
2019,0,6,MA,307
2019,0,6,MG,583
2019,0,6,MS,158
2019,0,6,MT,181
2019,0,6,PA,630
2019,0,6,PB,260
2019,0,6,PE,322
2019,0,6,PI,203
2019,0,6,PR,403
2019,0,6,RJ,339
2019,0,6,RN,199
2019,0,6,RO,162
2019,0,6,RR,20
2019,0,6,RS,487
2019,0,6,SC,219
2019,0,6,SE,117
2019,0,6,SP,958
2019,0,6,TO,99
2019,0,6,AC,121
2019,0,6,AL,147
2019,0,6,AM,267
2019,0,6,AP,120
2019,0,6,BA,625
2019,0,6,CE,350
2019,0,6,DF,166
2019,0,6,ES,132
2019,0,6,GO,246
2019,0,6,MA,279
2019,0,6,MG,593
2019,0,6,MS,169
2019,0,6,MT,173
2019,0,6,PA,596
2019,0,6,PB,211
2019,0,6,PE,271
2019,0,6,PI,213
2019,0,6,PR,380
2019,0,6,RJ,392
2019,0,6,RN,200
2019,0,6,RO,149
2019,0,6,RR,30
2019,0,6,RS,530
2019,0,6,SC,213
2019,0,6,SE,136
2019,0,6,SP,975
2019,0,6,TO,87
2019,0,6,AC,115
2019,0,6,AL,142
2019,0,6,AM,313
2019,0,6,AP,110
2019,0,6,BA,553
2019,0,6,CE,358
2019,0,6,DF,141
2019,0,6,ES,145
2019,0,6,GO,250
2019,0,6,MA,241
2019,0,6,MG,556
2019,0,6,MS,148
2019,0,6,MT,193
2019,0,6,PA,681
2019,0,6,PB,208
2019,0,6,PE,314
2019,0,6,PI,196
2019,0,6,PR,417
2019,0,6,RJ,357
2019,0,6,RN,246
2019,0,6,RO,128
2019,0,6,RR,24
2019,0,6,RS,531
2019,0,6,SC,252
2019,0,6,SE,109
2019,0,6,SP,961
2019,0,6,TO,95
2019,0,6,AC,120
2019,0,6,AL,122
2019,0,6,AM,262
2019,0,6,AP,119
2019,0,6,BA,533
2019,0,6,CE,322
2019,0,6,DF,149
2019,0,6,ES,127
2019,0,6,GO,235
2019,0,6,MA,251
2019,0,6,MG,550
2019,0,6,MS,183
2019,0,6,MT,193
2019,0,6,PA,629
2019,0,6,PB,204
2019,0,6,PE,314
2019,0,6,PI,153
2019,0,6,PR,411
2019,0,6,RJ,378
2019,0,6,RN,202
2019,0,6,RO,169
2019,0,6,RR,30
2019,0,6,RS,539
2019,0,6,SC,237
2019,0,6,SE,119
2019,0,6,SP,878
2019,0,6,TO,96
2019,0,6,AC,474
2019,0,6,AL,535
2019,0,6,AM,1174
2019,0,6,AP,630
2019,0,6,BA,2434
2019,0,6,CE,1328
2019,0,6,DF,648
2019,0,6,ES,522
2019,0,6,GO,926
2019,0,6,MA,1189
2019,0,6,MG,2445
2019,0,6,MS,706
2019,0,6,MT,791
2019,0,6,PA,2850
2019,0,6,PB,945
2019,0,6,PE,1264
2019,0,6,PI,698
2019,0,6,PR,1654
2019,0,6,RJ,1586
2019,0,6,RN,1003
2019,0,6,RO,683
2019,0,6,RR,131
2019,0,6,RS,2148
2019,0,6,SC,946
2019,0,6,SE,578
2019,0,6,SP,3520
2019,0,6,TO,335
2019,0,6,AC,300
2019,0,6,AL,403
2019,0,6,AM,938
2019,0,6,AP,520
2019,0,6,BA,2117
2019,0,6,CE,1057
2019,0,6,DF,489
2019,0,6,ES,400
2019,0,6,GO,678
2019,0,6,MA,1018
2019,0,6,MG,1866
2019,0,6,MS,464
2019,0,6,MT,580
2019,0,6,PA,2378
2019,0,6,PB,715
2019,0,6,PE,977
2019,0,6,PI,534
2019,0,6,PR,1058
2019,0,6,RJ,1215
2019,0,6,RN,838
2019,0,6,RO,440
2019,0,6,RR,80
2019,0,6,RS,1733
2019,0,6,SC,652
2019,0,6,SE,418
2019,0,6,SP,2654
2019,0,6,TO,214
2019,0,6,AC,169
2019,0,6,AL,244
2019,0,6,AM,641
2019,0,6,AP,389
2019,0,6,BA,1503
2019,0,6,CE,676
2019,0,6,DF,387
2019,0,6,ES,264
2019,0,6,GO,419
2019,0,6,MA,640
2019,0,6,MG,1339
2019,0,6,MS,328
2019,0,6,MT,388
2019,0,6,PA,1746
2019,0,6,PB,448
2019,0,6,PE,652
2019,0,6,PI,323
2019,0,6,PR,631
2019,0,6,RJ,938
2019,0,6,RN,578
2019,0,6,RO,352
2019,0,6,RR,43
2019,0,6,RS,1208
2019,0,6,SC,427
2019,0,6,SE,227
2019,0,6,SP,1808
2019,0,6,TO,149
2019,0,6,AC,88
2019,0,6,AL,111
2019,0,6,AM,330
2019,0,6,AP,215
2019,0,6,BA,868
2019,0,6,CE,368
2019,0,6,DF,247
2019,0,6,ES,138
2019,0,6,GO,219
2019,0,6,MA,324
2019,0,6,MG,759
2019,0,6,MS,171
2019,0,6,MT,215
2019,0,6,PA,1034
2019,0,6,PB,214
2019,0,6,PE,395
2019,0,6,PI,172
2019,0,6,PR,342
2019,0,6,RJ,600
2019,0,6,RN,259
2019,0,6,RO,150
2019,0,6,RR,32
2019,0,6,RS,604
2019,0,6,SC,189
2019,0,6,SE,130
2019,0,6,SP,1056
2019,0,6,TO,58
2019,0,6,AC,39
2019,0,6,AL,64
2019,0,6,AM,206
2019,0,6,AP,87
2019,0,6,BA,425
2019,0,6,CE,163
2019,0,6,DF,121
2019,0,6,ES,71
2019,0,6,GO,104
