NU_ANO,TP_ESTADO_CIVIL,TP_SEXO,SG_UF_PROVA,QTD
2019,0,F,AC,1417
2019,0,F,AL,1919
2019,0,F,AM,3374
2019,0,F,AP,1764
2019,0,F,BA,10478
2019,0,F,CE,6311
2019,0,F,DF,2376
2019,0,F,ES,2072
2019,0,F,GO,4019
2019,0,F,MA,5035
2019,0,F,MG,9464
2019,0,F,MS,2233
2019,0,F,MT,2824
2019,0,F,PA,9668
2019,0,F,PB,3158
2019,0,F,PE,5227
2019,0,F,PI,3014
2019,0,F,PR,5341
2019,0,F,RJ,5929
2019,0,F,RN,2885
2019,0,F,RO,2025
2019,0,F,RR,383
2019,0,F,RS,7128
2019,0,F,SC,3480
2019,0,F,SE,1962
2019,0,F,SP,15222
2019,0,F,TO,1302
2019,0,M,AC,925
2019,0,M,AL,1416
2019,0,M,AM,2656
2019,0,M,AP,1211
2019,0,M,BA,6348
2019,0,M,CE,5302
2019,0,M,DF,1795
2019,0,M,ES,1380
2019,0,M,GO,2688
2019,0,M,MA,3474
2019,0,M,MG,6605
2019,0,M,MS,1606
2019,0,M,MT,1794
2019,0,M,PA,6070
2019,0,M,PB,2500
2019,0,M,PE,4188
2019,0,M,PI,1911
2019,0,M,PR,4008
2019,0,M,RJ,4423
2019,0,M,RN,2461
2019,0,M,RO,1236
2019,0,M,RR,277
2019,0,M,RS,5244
2019,0,M,SC,2495
2019,0,M,SE,1388
2019,0,M,SP,12543
2019,0,M,TO,842
2019,1,F,AC,17701
2019,1,F,AL,45000
2019,1,F,AM,57900
2019,1,F,AP,20951
2019,1,F,BA,213281
2019,1,F,CE,145677
2019,1,F,DF,47572
2019,1,F,ES,50118
2019,1,F,GO,87083
2019,1,F,MA,114098
2019,1,F,MG,281559
2019,1,F,MS,33529
2019,1,F,MT,43220
2019,1,F,PA,141259
2019,1,F,PB,70902
2019,1,F,PE,141250
2019,1,F,PI,62630
2019,1,F,PR,107047
2019,1,F,RJ,175587
2019,1,F,RN,57585
2019,1,F,RO,27128
2019,1,F,RR,6598
2019,1,F,RS,113334
2019,1,F,SC,58592
2019,1,F,SE,41058
2019,1,F,SP,427458
2019,1,F,TO,23920
2019,1,M,AC,12654
2019,1,M,AL,29967
2019,1,M,AM,41844
2019,1,M,AP,14811
2019,1,M,BA,126482
2019,1,M,CE,116315
2019,1,M,DF,33097
2019,1,M,ES,35719
2019,1,M,GO,59490
2019,1,M,MA,76269
2019,1,M,MG,185241
2019,1,M,MS,23889
2019,1,M,MT,30166
2019,1,M,PA,94231
2019,1,M,PB,52388
2019,1,M,PE,97865
2019,1,M,PI,43362
2019,1,M,PR,76116
2019,1,M,RJ,119011
2019,1,M,RN,42372
2019,1,M,RO,18024
2019,1,M,RR,4413
2019,1,M,RS,74421
2019,1,M,SC,38796
2019,1,M,SE,27092
2019,1,M,SP,296422
2019,1,M,TO,15902
2019,2,F,AC,3072
2019,2,F,AL,5817
2019,2,F,AM,5925
2019,2,F,AP,1829
2019,2,F,BA,20660
2019,2,F,CE,10065
2019,2,F,DF,5164
2019,2,F,ES,6514
2019,2,F,GO,8419
2019,2,F,MA,9522
2019,2,F,MG,25572
2019,2,F,MS,4323
2019,2,F,MT,5030
2019,2,F,PA,14915
2019,2,F,PB,8545
2019,2,F,PE,12607
2019,2,F,PI,5783
2019,2,F,PR,8686
2019,2,F,RJ,16909
2019,2,F,RN,6535
2019,2,F,RO,5407
2019,2,F,RR,574
2019,2,F,RS,8015
2019,2,F,SC,3232
2019,2,F,SE,3321
2019,2,F,SP,29091
2019,2,F,TO,2217
2019,2,M,AC,1908
2019,2,M,AL,3801
2019,2,M,AM,4347
2019,2,M,AP,1356
2019,2,M,BA,11733
2019,2,M,CE,7678
2019,2,M,DF,3561
2019,2,M,ES,4104
2019,2,M,GO,4833
2019,2,M,MA,6378
2019,2,M,MG,15843
2019,2,M,MS,3018
2019,2,M,MT,3039
2019,2,M,PA,9147
2019,2,M,PB,6551
2019,2,M,PE,9338
2019,2,M,PI,3709
2019,2,M,PR,6318
2019,2,M,RJ,10727
2019,2,M,RN,5186
2019,2,M,RO,3109
2019,2,M,RR,415
2019,2,M,RS,5762
2019,2,M,SC,2436
2019,2,M,SE,2240
2019,2,M,SP,20269
2019,2,M,TO,1296
2019,3,F,AC,604
2019,3,F,AL,1204
2019,3,F,AM,1197
2019,3,F,AP,397
2019,3,F,BA,4019
2019,3,F,CE,1946
2019,3,F,DF,1376
2019,3,F,ES,1526
2019,3,F,GO,2159
2019,3,F,MA,1931
2019,3,F,MG,6435
2019,3,F,MS,1085
2019,3,F,MT,1260
2019,3,F,PA,2559
2019,3,F,PB,1868
2019,3,F,PE,2907
2019,3,F,PI,1119
2019,3,F,PR,2266
2019,3,F,RJ,4226
2019,3,F,RN,1315
2019,3,F,RO,1108
2019,3,F,RR,183
2019,3,F,RS,2711
2019,3,F,SC,920
2019,3,F,SE,876
2019,3,F,SP,9118
2019,3,F,TO,503
2019,3,M,AC,320
