NU_ANO,TP_FAIXA_ETARIA,Q022,SG_UF_PROVA,QTD
2019,1,A,AC,59
2019,1,A,AL,116
2019,1,A,AM,165
2019,1,A,AP,71
2019,1,A,BA,629
2019,1,A,CE,808
2019,1,A,DF,75
2019,1,A,ES,79
2019,1,A,GO,330
2019,1,A,MA,695
2019,1,A,MG,504
2019,1,A,MS,93
2019,1,A,MT,158
2019,1,A,PA,521
2019,1,A,PB,204
2019,1,A,PE,590
2019,1,A,PI,232
2019,1,A,PR,188
2019,1,A,RJ,284
2019,1,A,RN,101
2019,1,A,RO,54
2019,1,A,RR,27
2019,1,A,RS,107
2019,1,A,SC,78
2019,1,A,SE,119
2019,1,A,SP,763
2019,1,A,TO,131
2019,1,B,AC,310
2019,1,B,AL,782
2019,1,B,AM,849
2019,1,B,AP,389
2019,1,B,BA,4838
2019,1,B,CE,6822
2019,1,B,DF,366
2019,1,B,ES,385
2019,1,B,GO,1914
2019,1,B,MA,4845
2019,1,B,MG,3767
2019,1,B,MS,521
2019,1,B,MT,791
2019,1,B,PA,3858
2019,1,B,PB,2171
2019,1,B,PE,4409
2019,1,B,PI,2414
2019,1,B,PR,1226
2019,1,B,RJ,1508
2019,1,B,RN,733
2019,1,B,RO,348
2019,1,B,RR,130
2019,1,B,RS,809
2019,1,B,SC,541
2019,1,B,SE,1210
2019,1,B,SP,3866
2019,1,B,TO,638
2019,1,C,AC,489
2019,1,C,AL,1424
2019,1,C,AM,1339
2019,1,C,AP,668
2019,1,C,BA,7863
2019,1,C,CE,7461
2019,1,C,DF,744
2019,1,C,ES,1026
2019,1,C,GO,4373
2019,1,C,MA,5300
2019,1,C,MG,9021
2019,1,C,MS,1337
2019,1,C,MT,1577
2019,1,C,PA,5594
2019,1,C,PB,3416
2019,1,C,PE,7244
2019,1,C,PI,3314
2019,1,C,PR,3707
2019,1,C,RJ,3701
2019,1,C,RN,1365
2019,1,C,RO,755
2019,1,C,RR,227
2019,1,C,RS,2409
2019,1,C,SC,1723
2019,1,C,SE,2071
2019,1,C,SP,11537
2019,1,C,TO,1178
2019,1,D,AC,602
2019,1,D,AL,1708
2019,1,D,AM,1467
2019,1,D,AP,686
2019,1,D,BA,8951
2019,1,D,CE,6430
2019,1,D,DF,1752
2019,1,D,ES,2285
2019,1,D,GO,7114
2019,1,D,MA,4349
2019,1,D,MG,15407
2019,1,D,MS,2404
2019,1,D,MT,3072
2019,1,D,PA,5385
2019,1,D,PB,3829
2019,1,D,PE,8098
2019,1,D,PI,3002
2019,1,D,PR,8141
2019,1,D,RJ,7822
2019,1,D,RN,1954
2019,1,D,RO,1202
2019,1,D,RR,283
2019,1,D,RS,4818
2019,1,D,SC,4181
2019,1,D,SE,2246
2019,1,D,SP,28355
2019,1,D,TO,1509
2019,1,E,AC,419
2019,1,E,AL,1572
2019,1,E,AM,1249
2019,1,E,AP,565
2019,1,E,BA,5697
2019,1,E,CE,5130
2019,1,E,DF,2479
2019,1,E,ES,1976
2019,1,E,GO,6108
2019,1,E,MA,2909
2019,1,E,MG,13121
2019,1,E,MS,2038
2019,1,E,MT,2354
2019,1,E,PA,4217
2019,1,E,PB,3354
2019,1,E,PE,6636
2019,1,E,PI,2304
2019,1,E,PR,7229
2019,1,E,RJ,6744
2019,1,E,RN,1734
2019,1,E,RO,875
2019,1,E,RR,282
2019,1,E,RS,3111
2019,1,E,SC,3128
2019,1,E,SE,1716
2019,1,E,SP,27023
2019,1,E,TO,1155
2019,2,A,AC,150
2019,2,A,AL,259
2019,2,A,AM,555
2019,2,A,AP,177
2019,2,A,BA,1334
2019,2,A,CE,2837
2019,2,A,DF,261
