NU_ANO,TP_FAIXA_ETARIA,TP_ESCOLA,SG_UF_PROVA,QTD
2019,1,1,AC,1636
2019,1,1,AL,4891
2019,1,1,AM,4496
2019,1,1,AP,1996
2019,1,1,BA,24757
2019,1,1,CE,25616
2019,1,1,DF,5066
2019,1,1,ES,5474
2019,1,1,GO,18913
2019,1,1,MA,14888
2019,1,1,MG,41254
2019,1,1,MS,6202
2019,1,1,MT,7528
2019,1,1,PA,16801
2019,1,1,PB,11214
2019,1,1,PE,23315
2019,1,1,PI,9985
2019,1,1,PR,19548
2019,1,1,RJ,18790
2019,1,1,RN,5450
2019,1,1,RO,3076
2019,1,1,RR,857
2019,1,1,RS,10935
2019,1,1,SC,9150
2019,1,1,SE,6631
2019,1,1,SP,70216
2019,1,1,TO,4334
2019,1,2,AC,179
2019,1,2,AL,452
2019,1,2,AM,534
2019,1,2,AP,317
2019,1,2,BA,2624
2019,1,2,CE,817
2019,1,2,DF,230
2019,1,2,ES,210
2019,1,2,GO,578
2019,1,2,MA,2897
2019,1,2,MG,440
2019,1,2,MS,108
2019,1,2,MT,311
2019,1,2,PA,2018
2019,1,2,PB,1170
2019,1,2,PE,2862
2019,1,2,PI,1074
2019,1,2,PR,646
2019,1,2,RJ,705
2019,1,2,RN,256
2019,1,2,RO,145
2019,1,2,RR,76
2019,1,2,RS,258
2019,1,2,SC,264
2019,1,2,SE,478
2019,1,2,SP,708
2019,1,2,TO,229
2019,1,3,AC,64
2019,1,3,AL,259
2019,1,3,AM,39
2019,1,3,AP,66
2019,1,3,BA,597
2019,1,3,CE,218
2019,1,3,DF,120
2019,1,3,ES,67
2019,1,3,GO,348
2019,1,3,MA,313
2019,1,3,MG,126
2019,1,3,MS,83
2019,1,3,MT,113
2019,1,3,PA,756
2019,1,3,PB,590
2019,1,3,PE,800
2019,1,3,PI,207
2019,1,3,PR,297
2019,1,3,RJ,564
2019,1,3,RN,181
2019,1,3,RO,13
2019,1,3,RR,16
2019,1,3,RS,61
2019,1,3,SC,237
2019,1,3,SE,253
2019,1,3,SP,620
2019,1,3,TO,48
2019,2,1,AC,1095
2019,2,1,AL,3391
2019,2,1,AM,2813
2019,2,1,AP,1154
2019,2,1,BA,17033
2019,2,1,CE,14258
2019,2,1,DF,2613
2019,2,1,ES,4709
2019,2,1,GO,12183
2019,2,1,MA,8422
2019,2,1,MG,24903
2019,2,1,MS,2023
2019,2,1,MT,5163
2019,2,1,PA,10656
2019,2,1,PB,5713
2019,2,1,PE,13325
2019,2,1,PI,5932
2019,2,1,PR,6786
2019,2,1,RJ,15426
2019,2,1,RN,5467
2019,2,1,RO,2803
2019,2,1,RR,592
2019,2,1,RS,12857
2019,2,1,SC,7586
2019,2,1,SE,3528
2019,2,1,SP,22847
2019,2,1,TO,2399
2019,2,2,AC,2506
2019,2,2,AL,5197
2019,2,2,AM,9579
2019,2,2,AP,2592
2019,2,2,BA,24488
2019,2,2,CE,33497
2019,2,2,DF,7220
2019,2,2,ES,8116
2019,2,2,GO,15279
2019,2,2,MA,18954
2019,2,2,MG,49133
2019,2,2,MS,8395
2019,2,2,MT,8448
2019,2,2,PA,15314
2019,2,2,PB,8837
2019,2,2,PE,23926
2019,2,2,PI,8484
2019,2,2,PR,34106
2019,2,2,RJ,19435
2019,2,2,RN,4770
2019,2,2,RO,3176
2019,2,2,RR,986
2019,2,2,RS,13307
2019,2,2,SC,12416
2019,2,2,SE,3986
2019,2,2,SP,155909
2019,2,2,TO,4543
2019,2,3,AC,207
2019,2,3,AL,2477
2019,2,3,AM,808
2019,2,3,AP,403
2019,2,3,BA,7435
2019,2,3,CE,5429
2019,2,3,DF,3641
2019,2,3,ES,1891
2019,2,3,GO,4012
2019,2,3,MA,2028
2019,2,3,MG,8332
2019,2,3,MS,1407
2019,2,3,MT,1382
2019,2,3,PA,4104
2019,2,3,PB,3334
2019,2,3,PE,5917
2019,2,3,PI,1969
2019,2,3,PR,8561
2019,2,3,RJ,12690
2019,2,3,RN,2226
2019,2,3,RO,310
2019,2,3,RR,117
2019,2,3,RS,3048
2019,2,3,SC,3801
2019,2,3,SE,2047
2019,2,3,SP,40967
2019,2,3,TO,465
2019,3,1,AC,2256
2019,3,1,AL,5703
2019,3,1,AM,5679
2019,3,1,AP,2492
2019,3,1,BA,25466
2019,3,1,CE,16210
2019,3,1,DF,5106
2019,3,1,ES,6087
2019,3,1,GO,10291
2019,3,1,MA,15637
2019,3,1,MG,32671
2019,3,1,MS,3856
2019,3,1,MT,5077
2019,3,1,PA,16867
2019,3,1,PB,9816
2019,3,1,PE,20616
2019,3,1,PI,9172
2019,3,1,PR,16901
2019,3,1,RJ,18644
2019,3,1,RN,6123
2019,3,1,RO,2472
2019,3,1,RR,843
2019,3,1,RS,8912
2019,3,1,SC,5224
2019,3,1,SE,4912
2019,3,1,SP,75429
2019,3,1,TO,3356
2019,3,2,AC,2552
2019,3,2,AL,6644
2019,3,2,AM,11704
2019,3,2,AP,2413
2019,3,2,BA,26701
2019,3,2,CE,41814
2019,3,2,DF,8299
2019,3,2,ES,10893
2019,3,2,GO,19793
2019,3,2,MA,17041
2019,3,2,MG,54849
2019,3,2,MS,6576
2019,3,2,MT,9576
2019,3,2,PA,17147
2019,3,2,PB,8897
2019,3,2,PE,23326
2019,3,2,PI,8251
2019,3,2,PR,18498
2019,3,2,RJ,31870
2019,3,2,RN,8506
2019,3,2,RO,6315
2019,3,2,RR,1262
2019,3,2,RS,28221
2019,3,2,SC,20822
2019,3,2,SE,4651
2019,3,2,SP,56136
2019,3,2,TO,4178
2019,3,3,AC,98
2019,3,3,AL,1145
2019,3,3,AM,678
2019,3,3,AP,153
2019,3,3,BA,4397
2019,3,3,CE,3095
2019,3,3,DF,2502
2019,3,3,ES,1176
2019,3,3,GO,2556
2019,3,3,MA,1070
2019,3,3,MG,7392
2019,3,3,MS,449
2019,3,3,MT,687
2019,3,3,PA,2074
2019,3,3,PB,1344
2019,3,3,PE,2771
2019,3,3,PI,1395
2019,3,3,PR,1696
2019,3,3,RJ,10739
2019,3,3,RN,1384
2019,3,3,RO,225
2019,3,3,RR,92
2019,3,3,RS,4776
2019,3,3,SC,1712
2019,3,3,SE,1055
2019,3,3,SP,16489
2019,3,3,TO,263
2019,4,1,AC,3240
2019,4,1,AL,7756
2019,4,1,AM,9341
2019,4,1,AP,3136
2019,4,1,BA,34610
2019,4,1,CE,22263
2019,4,1,DF,8026
2019,4,1,ES,8523
2019,4,1,GO,14120
2019,4,1,MA,20519
2019,4,1,MG,52083
2019,4,1,MS,5016
2019,4,1,MT,7117
2019,4,1,PA,21318
2019,4,1,PB,11995
2019,4,1,PE,23955
2019,4,1,PI,10866
2019,4,1,PR,16793
2019,4,1,RJ,30126
2019,4,1,RN,9630
2019,4,1,RO,4025
2019,4,1,RR,1215
2019,4,1,RS,19034
2019,4,1,SC,8384
2019,4,1,SE,6544
2019,4,1,SP,71173
2019,4,1,TO,4201
2019,4,2,AC,789
2019,4,2,AL,2703
2019,4,2,AM,3492
2019,4,2,AP,1166
2019,4,2,BA,12576
2019,4,2,CE,13720
2019,4,2,DF,2772
2019,4,2,ES,4184
2019,4,2,GO,3375
2019,4,2,MA,6189
2019,4,2,MG,10844
2019,4,2,MS,1770
2019,4,2,MT,1590
2019,4,2,PA,7984
2019,4,2,PB,3732
2019,4,2,PE,7212
2019,4,2,PI,3755
2019,4,2,PR,4239
2019,4,2,RJ,12168
2019,4,2,RN,4141
2019,4,2,RO,2042
2019,4,2,RR,315
2019,4,2,RS,6458
2019,4,2,SC,3239
2019,4,2,SE,2354
2019,4,2,SP,8967
2019,4,2,TO,1245
2019,4,3,AC,10
2019,4,3,AL,182
2019,4,3,AM,75
2019,4,3,AP,21
2019,4,3,BA,695
2019,4,3,CE,394
2019,4,3,DF,232
2019,4,3,ES,135
2019,4,3,GO,236
2019,4,3,MA,183
2019,4,3,MG,864
2019,4,3,MS,65
2019,4,3,MT,49
2019,4,3,PA,347
2019,4,3,PB,192
2019,4,3,PE,346
2019,4,3,PI,340
2019,4,3,PR,226
2019,4,3,RJ,2103
2019,4,3,RN,236
2019,4,3,RO,26
2019,4,3,RR,11
2019,4,3,RS,257
2019,4,3,SC,152
2019,4,3,SE,171
2019,4,3,SP,1535
2019,4,3,TO,42
2019,5,1,AC,3112
2019,5,1,AL,6890
2019,5,1,AM,8230
2019,5,1,AP,3106
2019,5,1,BA,31703
2019,5,1,CE,16995
2019,5,1,DF,7038
2019,5,1,ES,7612
2019,5,1,GO,10869
2019,5,1,MA,17651
2019,5,1,MG,41466
2019,5,1,MS,4096
2019,5,1,MT,5576
2019,5,1,PA,19923
2019,5,1,PB,10493
2019,5,1,PE,19814
2019,5,1,PI,9194
2019,5,1,PR,12828
2019,5,1,RJ,25404
2019,5,1,RN,9241
2019,5,1,RO,3810
2019,5,1,RR,988
2019,5,1,RS,16862
2019,5,1,SC,5999
2019,5,1,SE,5954
2019,5,1,SP,50847
2019,5,1,TO,3643
2019,5,2,AC,233
2019,5,2,AL,1047
2019,5,2,AM,1321
2019,5,2,AP,410
2019,5,2,BA,5787
2019,5,2,CE,6067
2019,5,2,DF,873
2019,5,2,ES,1244
2019,5,2,GO,977
