NU_ANO,TP_FAIXA_ETARIA,TP_ESTADO_CIVIL,SG_UF_PROVA,QTD
2019,1,0,AC,74
2019,1,0,AL,193
2019,1,0,AM,153
2019,1,0,AP,68
2019,1,0,BA,1037
2019,1,0,CE,994
2019,1,0,DF,178
2019,1,0,ES,150
2019,1,0,GO,581
2019,1,0,MA,648
2019,1,0,MG,1034
2019,1,0,MS,179
2019,1,0,MT,254
2019,1,0,PA,669
2019,1,0,PB,357
2019,1,0,PE,786
2019,1,0,PI,358
2019,1,0,PR,540
2019,1,0,RJ,447
2019,1,0,RN,150
2019,1,0,RO,81
2019,1,0,RR,37
2019,1,0,RS,372
2019,1,0,SC,332
2019,1,0,SE,281
2019,1,0,SP,1986
2019,1,0,TO,157
2019,1,1,AC,1793
2019,1,1,AL,5378
2019,1,1,AM,4874
2019,1,1,AP,2295
2019,1,1,BA,26724
2019,1,1,CE,25471
2019,1,1,DF,5190
2019,1,1,ES,5572
2019,1,1,GO,19085
2019,1,1,MA,17292
2019,1,1,MG,40489
2019,1,1,MS,6159
2019,1,1,MT,7644
2019,1,1,PA,18770
2019,1,1,PB,12535
2019,1,1,PE,26014
2019,1,1,PI,10827
2019,1,1,PR,19776
2019,1,1,RJ,19474
2019,1,1,RN,5697
2019,1,1,RO,3125
2019,1,1,RR,906
2019,1,1,RS,10794
2019,1,1,SC,9236
2019,1,1,SE,7035
2019,1,1,SP,68981
2019,1,1,TO,4413
2019,1,2,AC,4
2019,1,2,AL,16
2019,1,2,AM,21
2019,1,2,AP,4
2019,1,2,BA,71
2019,1,2,CE,72
2019,1,2,DF,7
2019,1,2,ES,9
2019,1,2,GO,52
2019,1,2,MA,63
2019,1,2,MG,103
2019,1,2,MS,22
2019,1,2,MT,12
2019,1,2,PA,45
2019,1,2,PB,33
2019,1,2,PE,70
2019,1,2,PI,42
2019,1,2,PR,77
2019,1,2,RJ,39
2019,1,2,RN,13
2019,1,2,RO,10
2019,1,2,RS,27
2019,1,2,SC,23
2019,1,2,SE,16
2019,1,2,SP,236
2019,1,2,TO,16
2019,1,3,AC,8
2019,1,3,AL,15
2019,1,3,AM,21
2019,1,3,AP,12
2019,1,3,BA,143
2019,1,3,CE,105
2019,1,3,DF,41
2019,1,3,ES,20
2019,1,3,GO,116
2019,1,3,MA,89
2019,1,3,MG,191
2019,1,3,MS,31
2019,1,3,MT,42
2019,1,3,PA,86
2019,1,3,PB,47
2019,1,3,PE,105
2019,1,3,PI,38
2019,1,3,PR,95
2019,1,3,RJ,97
2019,1,3,RN,27
2019,1,3,RO,17
2019,1,3,RR,6
2019,1,3,RS,57
2019,1,3,SC,60
2019,1,3,SE,30
2019,1,3,SP,332
2019,1,3,TO,25
2019,1,4,BA,3
2019,1,4,CE,9
2019,1,4,GO,5
2019,1,4,MA,6
2019,1,4,MG,3
2019,1,4,MS,2
2019,1,4,PA,5
2019,1,4,PB,2
2019,1,4,PE,2
2019,1,4,PI,1
2019,1,4,PR,3
2019,1,4,RJ,2
2019,1,4,RO,1
2019,1,4,RS,4
2019,1,4,SP,9
2019,2,0,AC,140
2019,2,0,AL,310
2019,2,0,AM,316
2019,2,0,AP,119
2019,2,0,BA,1692
2019,2,0,CE,1665
2019,2,0,DF,422
2019,2,0,ES,379
2019,2,0,GO,968
2019,2,0,MA,1044
2019,2,0,MG,1802
2019,2,0,MS,420
2019,2,0,MT,460
2019,2,0,PA,906
2019,2,0,PB,501
2019,2,0,PE,1283
2019,2,0,PI,530
2019,2,0,PR,1304
2019,2,0,RJ,993
2019,2,0,RN,333
2019,2,0,RO,186
2019,2,0,RR,48
