NU_ANO,TP_FAIXA_ETARIA,TP_LOCALIZACAO_ESC,SG_UF_PROVA,QTD
2019,1,1.0,AC,157
2019,1,1.0,AL,507
2019,1,1.0,AM,414
2019,1,1.0,AP,268
2019,1,1.0,BA,2259
2019,1,1.0,CE,866
2019,1,1.0,DF,246
2019,1,1.0,ES,209
2019,1,1.0,GO,533
2019,1,1.0,MA,2400
2019,1,1.0,MG,342
2019,1,1.0,MS,122
2019,1,1.0,MT,264
2019,1,1.0,PA,1958
2019,1,1.0,PB,1316
2019,1,1.0,PE,2842
2019,1,1.0,PI,944
2019,1,1.0,PR,611
2019,1,1.0,RJ,807
2019,1,1.0,RN,318
2019,1,1.0,RO,120
2019,1,1.0,RR,62
2019,1,1.0,RS,197
2019,1,1.0,SC,316
2019,1,1.0,SE,526
2019,1,1.0,SP,721
2019,1,1.0,TO,166
2019,1,2.0,AC,11
2019,1,2.0,AL,29
2019,1,2.0,AM,35
2019,1,2.0,AP,20
2019,1,2.0,BA,165
2019,1,2.0,CE,24
2019,1,2.0,DF,11
2019,1,2.0,ES,22
2019,1,2.0,GO,5
2019,1,2.0,MA,181
2019,1,2.0,MG,6
2019,1,2.0,MS,4
2019,1,2.0,MT,12
2019,1,2.0,PA,77
2019,1,2.0,PB,35
2019,1,2.0,PE,151
2019,1,2.0,PI,39
2019,1,2.0,PR,35
2019,1,2.0,RJ,20
2019,1,2.0,RN,4
2019,1,2.0,RO,7
2019,1,2.0,RR,5
2019,1,2.0,RS,5
2019,1,2.0,SC,3
2019,1,2.0,SE,18
2019,1,2.0,SP,8
2019,1,2.0,TO,9
2019,2,1.0,AC,2039
2019,2,1.0,AL,5636
2019,2,1.0,AM,8614
2019,2,1.0,AP,2158
2019,2,1.0,BA,22931
2019,2,1.0,CE,34675
2019,2,1.0,DF,8348
2019,2,1.0,ES,8289
2019,2,1.0,GO,13971
2019,2,1.0,MA,15765
2019,2,1.0,MG,43217
2019,2,1.0,MS,7256
2019,2,1.0,MT,7000
2019,2,1.0,PA,14389
2019,2,1.0,PB,9615
2019,2,1.0,PE,24108
2019,2,1.0,PI,8286
2019,2,1.0,PR,30117
2019,2,1.0,RJ,22369
2019,2,1.0,RN,5370
2019,2,1.0,RO,2809
2019,2,1.0,RR,753
2019,2,1.0,RS,11956
2019,2,1.0,SC,12411
2019,2,1.0,SE,4582
2019,2,1.0,SP,148132
2019,2,1.0,TO,3533
2019,2,2.0,AC,134
2019,2,2.0,AL,237
2019,2,2.0,AM,284
2019,2,2.0,AP,132
2019,2,2.0,BA,1276
2019,2,2.0,CE,1706
2019,2,2.0,DF,133
2019,2,2.0,ES,338
2019,2,2.0,GO,333
2019,2,2.0,MA,1166
2019,2,2.0,MG,1261
2019,2,2.0,MS,284
2019,2,2.0,MT,554
2019,2,2.0,PA,536
2019,2,2.0,PB,289
2019,2,2.0,PE,1036
2019,2,2.0,PI,267
2019,2,2.0,PR,1333
2019,2,2.0,RJ,605
2019,2,2.0,RN,123
2019,2,2.0,RO,128
2019,2,2.0,RR,47
2019,2,2.0,RS,491
2019,2,2.0,SC,257
2019,2,2.0,SE,177
2019,2,2.0,SP,2021
2019,2,2.0,TO,213
2019,3,1.0,AC,1894
2019,3,1.0,AL,6005
2019,3,1.0,AM,10066
2019,3,1.0,AP,1829
2019,3,1.0,BA,22842
2019,3,1.0,CE,40609
2019,3,1.0,DF,8249
2019,3,1.0,ES,10071
2019,3,1.0,GO,16335
2019,3,1.0,MA,13601
2019,3,1.0,MG,46566
2019,3,1.0,MS,5057
2019,3,1.0,MT,7371
2019,3,1.0,PA,14259
2019,3,1.0,PB,8291
2019,3,1.0,PE,21520
2019,3,1.0,PI,7537
2019,3,1.0,PR,14461
2019,3,1.0,RJ,30906
2019,3,1.0,RN,7830
2019,3,1.0,RO,5285
2019,3,1.0,RR,942
2019,3,1.0,RS,24447
2019,3,1.0,SC,17831
2019,3,1.0,SE,4289
2019,3,1.0,SP,54321
2019,3,1.0,TO,3164
2019,3,2.0,AC,139
2019,3,2.0,AL,286
2019,3,2.0,AM,411
2019,3,2.0,AP,110
2019,3,2.0,BA,1375
2019,3,2.0,CE,2378
2019,3,2.0,DF,184
2019,3,2.0,ES,407
2019,3,2.0,GO,396
2019,3,2.0,MA,1119
2019,3,2.0,MG,1450
2019,3,2.0,MS,330
2019,3,2.0,MT,602
2019,3,2.0,PA,583
2019,3,2.0,PB,296
2019,3,2.0,PE,938
2019,3,2.0,PI,280
2019,3,2.0,PR,443
2019,3,2.0,RJ,888
2019,3,2.0,RN,310
2019,3,2.0,RO,251
2019,3,2.0,RR,49
