NU_ANO,TP_FAIXA_ETARIA,TP_SEXO,SG_UF_PROVA,QTD
2019,1,F,AC,1186
2019,1,F,AL,3640
2019,1,F,AM,3048
2019,1,F,AP,1426
2019,1,F,BA,18649
2019,1,F,CE,16677
2019,1,F,DF,3432
2019,1,F,ES,3653
2019,1,F,GO,12538
2019,1,F,MA,11468
2019,1,F,MG,27170
2019,1,F,MS,4067
2019,1,F,MT,5142
2019,1,F,PA,12277
2019,1,F,PB,8122
2019,1,F,PE,17423
2019,1,F,PI,7072
2019,1,F,PR,13148
2019,1,F,RJ,13098
2019,1,F,RN,3691
2019,1,F,RO,2057
2019,1,F,RR,595
2019,1,F,RS,7729
2019,1,F,SC,6477
2019,1,F,SE,4653
2019,1,F,SP,45332
2019,1,F,TO,3020
2019,1,M,AC,693
2019,1,M,AL,1962
2019,1,M,AM,2021
2019,1,M,AP,953
2019,1,M,BA,9329
2019,1,M,CE,9974
2019,1,M,DF,1984
2019,1,M,ES,2098
2019,1,M,GO,7301
2019,1,M,MA,6630
2019,1,M,MG,14650
2019,1,M,MS,2326
2019,1,M,MT,2810
2019,1,M,PA,7298
2019,1,M,PB,4852
2019,1,M,PE,9554
2019,1,M,PI,4194
2019,1,M,PR,7343
2019,1,M,RJ,6961
2019,1,M,RN,2196
2019,1,M,RO,1177
2019,1,M,RR,354
2019,1,M,RS,3525
2019,1,M,SC,3174
2019,1,M,SE,2709
2019,1,M,SP,26212
2019,1,M,TO,1591
2019,2,F,AC,2309
2019,2,F,AL,6781
2019,2,F,AM,7765
2019,2,F,AP,2469
2019,2,F,BA,31500
2019,2,F,CE,30545
2019,2,F,DF,7931
2019,2,F,ES,9026
2019,2,F,GO,19183
2019,2,F,MA,18119
2019,2,F,MG,51828
2019,2,F,MS,7098
2019,2,F,MT,9155
2019,2,F,PA,18278
2019,2,F,PB,10827
2019,2,F,PE,26216
2019,2,F,PI,10050
2019,2,F,PR,29747
2019,2,F,RJ,29395
2019,2,F,RN,7541
2019,2,F,RO,3970
2019,2,F,RR,1009
2019,2,F,RS,18633
2019,2,F,SC,14810
2019,2,F,SE,5980
2019,2,F,SP,131751
2019,2,F,TO,4631
2019,2,M,AC,1499
2019,2,M,AL,4284
2019,2,M,AM,5435
2019,2,M,AP,1680
2019,2,M,BA,17456
2019,2,M,CE,22639
2019,2,M,DF,5543
2019,2,M,ES,5690
2019,2,M,GO,12291
2019,2,M,MA,11285
2019,2,M,MG,30540
2019,2,M,MS,4727
2019,2,M,MT,5838
2019,2,M,PA,11796
2019,2,M,PB,7057
2019,2,M,PE,16952
2019,2,M,PI,6335
2019,2,M,PR,19706
2019,2,M,RJ,18156
2019,2,M,RN,4922
2019,2,M,RO,2319
2019,2,M,RR,686
2019,2,M,RS,10579
2019,2,M,SC,8993
2019,2,M,SE,3581
2019,2,M,SP,87972
2019,2,M,TO,2776
2019,3,F,AC,2858
2019,3,F,AL,8357
2019,3,F,AM,10351
2019,3,F,AP,2802
2019,3,F,BA,35965
2019,3,F,CE,33421
2019,3,F,DF,9650
2019,3,F,ES,10866
