NU_ANO,TP_LOCALIZACAO_ESC,Q024,SG_UF_PROVA,QTD
2019,1.0,A,AC,3451
2019,1.0,A,AL,11090
2019,1.0,A,AM,16760
2019,1.0,A,AP,4146
2019,1.0,A,BA,40124
2019,1.0,A,CE,83042
2019,1.0,A,DF,6352
2019,1.0,A,ES,10329
2019,1.0,A,GO,16770
2019,1.0,A,MA,31817
2019,1.0,A,MG,39818
2019,1.0,A,MS,6694
2019,1.0,A,MT,7795
2019,1.0,A,PA,32911
2019,1.0,A,PB,16937
2019,1.0,A,PE,37310
2019,1.0,A,PI,16646
2019,1.0,A,PR,16894
2019,1.0,A,RJ,27897
2019,1.0,A,RN,11114
2019,1.0,A,RO,6487
2019,1.0,A,RR,1125
2019,1.0,A,RS,14512
2019,1.0,A,SC,9701
2019,1.0,A,SE,9106
2019,1.0,A,SP,69213
2019,1.0,A,TO,5254
2019,1.0,B,AC,1354
2019,1.0,B,AL,4538
2019,1.0,B,AM,6790
2019,1.0,B,AP,1410
2019,1.0,B,BA,22414
2019,1.0,B,CE,19605
2019,1.0,B,DF,9720
2019,1.0,B,ES,11394
2019,1.0,B,GO,15396
2019,1.0,B,MA,7229
2019,1.0,B,MG,52418
2019,1.0,B,MS,6485
2019,1.0,B,MT,7394
2019,1.0,B,PA,9749
2019,1.0,B,PB,7604
2019,1.0,B,PE,18402
2019,1.0,B,PI,5453
2019,1.0,B,PR,25382
2019,1.0,B,RJ,33093
2019,1.0,B,RN,7325
2019,1.0,B,RO,4268
2019,1.0,B,RR,735
2019,1.0,B,RS,22978
2019,1.0,B,SC,18310
2019,1.0,B,SE,3487
2019,1.0,B,SP,112239
2019,1.0,B,TO,2658
2019,1.0,C,AC,197
2019,1.0,C,AL,546
2019,1.0,C,AM,935
2019,1.0,C,AP,220
2019,1.0,C,BA,2537
2019,1.0,C,CE,2433
2019,1.0,C,DF,2608
2019,1.0,C,ES,1966
2019,1.0,C,GO,2257
2019,1.0,C,MA,775
2019,1.0,C,MG,8700
2019,1.0,C,MS,1087
2019,1.0,C,MT,1071
2019,1.0,C,PA,1409
2019,1.0,C,PB,1040
2019,1.0,C,PE,2407
2019,1.0,C,PI,711
2019,1.0,C,PR,5748
2019,1.0,C,RJ,6647
2019,1.0,C,RN,1048
2019,1.0,C,RO,570
2019,1.0,C,RR,149
2019,1.0,C,RS,4840
2019,1.0,C,SC,4302
2019,1.0,C,SE,485
2019,1.0,C,SP,24020
2019,1.0,C,TO,348
2019,1.0,D,AC,44
2019,1.0,D,AL,154
2019,1.0,D,AM,265
2019,1.0,D,AP,77
2019,1.0,D,BA,764
2019,1.0,D,CE,751
2019,1.0,D,DF,1058
2019,1.0,D,ES,540
2019,1.0,D,GO,610
2019,1.0,D,MA,226
2019,1.0,D,MG,2530
2019,1.0,D,MS,326
2019,1.0,D,MT,321
2019,1.0,D,PA,393
2019,1.0,D,PB,335
2019,1.0,D,PE,805
2019,1.0,D,PI,195
2019,1.0,D,PR,1788
2019,1.0,D,RJ,2407
2019,1.0,D,RN,291
2019,1.0,D,RO,132
2019,1.0,D,RR,52
2019,1.0,D,RS,1453
2019,1.0,D,SC,1270
2019,1.0,D,SE,167
2019,1.0,D,SP,7624
2019,1.0,D,TO,77
2019,1.0,E,AC,11
2019,1.0,E,AL,61
2019,1.0,E,AM,116
2019,1.0,E,AP,19
2019,1.0,E,BA,297
2019,1.0,E,CE,302
2019,1.0,E,DF,581
2019,1.0,E,ES,206
2019,1.0,E,GO,241
2019,1.0,E,MA,91
2019,1.0,E,MG,1041
2019,1.0,E,MS,109
2019,1.0,E,MT,105
2019,1.0,E,PA,159
2019,1.0,E,PB,155
2019,1.0,E,PE,376
2019,1.0,E,PI,72
2019,1.0,E,PR,788
2019,1.0,E,RJ,1167
2019,1.0,E,RN,137
2019,1.0,E,RO,34
2019,1.0,E,RR,25
2019,1.0,E,RS,607
2019,1.0,E,SC,487
2019,1.0,E,SE,67
2019,1.0,E,SP,3729
2019,1.0,E,TO,27
2019,2.0,A,AC,324
2019,2.0,A,AL,599
2019,2.0,A,AM,885
2019,2.0,A,AP,348
2019,2.0,A,BA,3004
2019,2.0,A,CE,5113
2019,2.0,A,DF,245
2019,2.0,A,ES,392
2019,2.0,A,GO,383
2019,2.0,A,MA,3068
2019,2.0,A,MG,1585
2019,2.0,A,MS,523
2019,2.0,A,MT,706
2019,2.0,A,PA,1576
2019,2.0,A,PB,644
2019,2.0,A,PE,2057
2019,2.0,A,PI,824
2019,2.0,A,PR,1116
2019,2.0,A,RJ,1062
2019,2.0,A,RN,416
2019,2.0,A,RO,260
2019,2.0,A,RR,77
2019,2.0,A,RS,571
2019,2.0,A,SC,300
2019,2.0,A,SE,636
2019,2.0,A,SP,1295
2019,2.0,A,TO,377
2019,2.0,B,AC,49
2019,2.0,B,AL,135
2019,2.0,B,AM,94
2019,2.0,B,AP,40
2019,2.0,B,BA,848
2019,2.0,B,CE,561
2019,2.0,B,DF,161
2019,2.0,B,ES,482
2019,2.0,B,GO,383
2019,2.0,B,MA,344
2019,2.0,B,MG,1239
2019,2.0,B,MS,242
2019,2.0,B,MT,527
2019,2.0,B,PA,202
2019,2.0,B,PB,232
2019,2.0,B,PE,601
2019,2.0,B,PI,110
2019,2.0,B,PR,718
2019,2.0,B,RJ,785
2019,2.0,B,RN,257
2019,2.0,B,RO,221
2019,2.0,B,RR,36
2019,2.0,B,RS,940
2019,2.0,B,SC,537
2019,2.0,B,SE,142
2019,2.0,B,SP,1358
2019,2.0,B,TO,127
2019,2.0,C,AC,2
2019,2.0,C,AL,3
2019,2.0,C,AM,9
2019,2.0,C,AP,2
2019,2.0,C,BA,55
2019,2.0,C,CE,36
2019,2.0,C,DF,15
2019,2.0,C,ES,54
2019,2.0,C,GO,42
2019,2.0,C,MA,27
2019,2.0,C,MG,230
2019,2.0,C,MS,25
2019,2.0,C,MT,68
2019,2.0,C,PA,4
2019,2.0,C,PB,14
2019,2.0,C,PE,44
2019,2.0,C,PI,3
2019,2.0,C,PR,78
2019,2.0,C,RJ,96
2019,2.0,C,RN,29
2019,2.0,C,RO,20
2019,2.0,C,RR,9
2019,2.0,C,RS,168
2019,2.0,C,SC,94
2019,2.0,C,SE,10
2019,2.0,C,SP,219
2019,2.0,C,TO,8
2019,2.0,D,AL,1
2019,2.0,D,AM,7
2019,2.0,D,AP,1
2019,2.0,D,BA,7
2019,2.0,D,CE,6
2019,2.0,D,DF,1
2019,2.0,D,ES,11
2019,2.0,D,GO,16
2019,2.0,D,MA,6
2019,2.0,D,MG,44
2019,2.0,D,MS,12
2019,2.0,D,MT,19
2019,2.0,D,PB,3
2019,2.0,D,PE,13
2019,2.0,D,PR,25
2019,2.0,D,RJ,23
2019,2.0,D,RN,6
2019,2.0,D,RO,6
2019,2.0,D,RS,32
2019,2.0,D,SC,25
2019,2.0,D,SE,1
2019,2.0,D,SP,61
2019,2.0,D,TO,1
2019,2.0,E,AM,2
2019,2.0,E,AP,1
2019,2.0,E,BA,2
2019,2.0,E,ES,3
2019,2.0,E,GO,4
2019,2.0,E,MA,4
2019,2.0,E,MG,9
2019,2.0,E,MS,3
2019,2.0,E,MT,2
2019,2.0,E,PB,1
2019,2.0,E,PE,5
2019,2.0,E,PR,7
2019,2.0,E,RJ,6
2019,2.0,E,RN,2
2019,2.0,E,RO,1
2019,2.0,E,RS,6
2019,2.0,E,SC,8
2019,2.0,E,SP,25
2019,2.0,E,TO,2
2020,1.0,A,AC,2095
2020,1.0,A,AL,8104
2020,1.0,A,AM,20057
2020,1.0,A,AP,2192
2020,1.0,A,BA,24681
2020,1.0,A,CE,79948
2020,1.0,A,DF,5037
2020,1.0,A,ES,6848
2020,1.0,A,GO,19972
2020,1.0,A,MA,17323
2020,1.0,A,MG,21717
2020,1.0,A,MS,4350
2020,1.0,A,MT,5792
2020,1.0,A,PA,21386
2020,1.0,A,PB,11348
2020,1.0,A,PE,28463
2020,1.0,A,PI,9693
2020,1.0,A,PR,10836
2020,1.0,A,RJ,19555
2020,1.0,A,RN,6908
2020,1.0,A,RO,5226
2020,1.0,A,RR,1143
2020,1.0,A,RS,9630
2020,1.0,A,SC,6067
2020,1.0,A,SE,6848
2020,1.0,A,SP,41494
2020,1.0,A,TO,4822
2020,1.0,B,AC,992
2020,1.0,B,AL,3787
2020,1.0,B,AM,6162
2020,1.0,B,AP,932
