NU_ANO,TP_LOCALIZACAO_ESC,TP_COR_RACA,SG_UF_PROVA,QTD
2019,1.0,0,AC,113
2019,1.0,0,AL,360
2019,1.0,0,AM,628
2019,1.0,0,AP,130
2019,1.0,0,BA,1922
2019,1.0,0,CE,4008
2019,1.0,0,DF,442
2019,1.0,0,ES,356
2019,1.0,0,GO,1113
2019,1.0,0,MA,891
2019,1.0,0,MG,1825
2019,1.0,0,MS,304
2019,1.0,0,MT,380
2019,1.0,0,PA,754
2019,1.0,0,PB,571
2019,1.0,0,PE,1703
2019,1.0,0,PI,454
2019,1.0,0,PR,954
2019,1.0,0,RJ,1416
2019,1.0,0,RN,298
2019,1.0,0,RO,257
2019,1.0,0,RR,31
2019,1.0,0,RS,949
2019,1.0,0,SC,729
2019,1.0,0,SE,338
2019,1.0,0,SP,2950
2019,1.0,0,TO,161
2019,1.0,1,AC,845
2019,1.0,1,AL,3548
2019,1.0,1,AM,3563
2019,1.0,1,AP,1038
2019,1.0,1,BA,10874
2019,1.0,1,CE,16381
2019,1.0,1,DF,6965
2019,1.0,1,ES,8121
2019,1.0,1,GO,11311
2019,1.0,1,MA,6767
2019,1.0,1,MG,40870
2019,1.0,1,MS,6400
2019,1.0,1,MT,5008
2019,1.0,1,PA,7387
2019,1.0,1,PB,7011
2019,1.0,1,PE,16132
2019,1.0,1,PI,3975
2019,1.0,1,PR,32664
2019,1.0,1,RJ,30601
2019,1.0,1,RN,6673
2019,1.0,1,RO,2821
2019,1.0,1,RR,350
2019,1.0,1,RS,34496
2019,1.0,1,SC,26165
2019,1.0,1,SE,2263
2019,1.0,1,SP,120783
2019,1.0,1,TO,1629
2019,1.0,2,AC,583
2019,1.0,2,AL,1839
2019,1.0,2,AM,1117
2019,1.0,2,AP,771
2019,1.0,2,BA,17279
2019,1.0,2,CE,8271
2019,1.0,2,DF,2720
2019,1.0,2,ES,3504
2019,1.0,2,GO,3895
2019,1.0,2,MA,5311
2019,1.0,2,MG,13446
2019,1.0,2,MS,1018
2019,1.0,2,MT,2209
2019,1.0,2,PA,5499
2019,1.0,2,PB,2558
2019,1.0,2,PE,6988
2019,1.0,2,PI,3408
2019,1.0,2,PR,2231
2019,1.0,2,RJ,12337
2019,1.0,2,RN,2044
2019,1.0,2,RO,1130
2019,1.0,2,RR,136
2019,1.0,2,RS,2640
2019,1.0,2,SC,1197
2019,1.0,2,SE,2084
2019,1.0,2,SP,20556
2019,1.0,2,TO,1322
2019,1.0,3,AC,3258
2019,1.0,3,AL,9836
2019,1.0,3,AM,18594
2019,1.0,3,AP,3815
2019,1.0,3,BA,33682
2019,1.0,3,CE,75126
2019,1.0,3,DF,9564
2019,1.0,3,ES,11831
2019,1.0,3,GO,17352
2019,1.0,3,MA,26352
2019,1.0,3,MG,45629
2019,1.0,3,MS,6491
2019,1.0,3,MT,8630
2019,1.0,3,PA,29587
2019,1.0,3,PB,14903
2019,1.0,3,PE,32075
2019,1.0,3,PI,14282
2019,1.0,3,PR,13602
2019,1.0,3,RJ,25402
2019,1.0,3,RN,10304
2019,1.0,3,RO,6868
2019,1.0,3,RR,1465
2019,1.0,3,RS,5997
2019,1.0,3,SC,5580
2019,1.0,3,SE,8128
2019,1.0,3,SP,66741
2019,1.0,3,TO,4910
2019,1.0,4,AC,201
2019,1.0,4,AL,661
2019,1.0,4,AM,480
2019,1.0,4,AP,93
2019,1.0,4,BA,1856
2019,1.0,4,CE,1802
2019,1.0,4,DF,532
2019,1.0,4,ES,445
2019,1.0,4,GO,1440
2019,1.0,4,MA,644
2019,1.0,4,MG,2232
2019,1.0,4,MS,349
2019,1.0,4,MT,385
2019,1.0,4,PA,1026
2019,1.0,4,PB,794
2019,1.0,4,PE,1745
2019,1.0,4,PI,798
2019,1.0,4,PR,1040
2019,1.0,4,RJ,1207
2019,1.0,4,RN,510
2019,1.0,4,RO,337
2019,1.0,4,RR,21
2019,1.0,4,RS,227
2019,1.0,4,SC,312
2019,1.0,4,SE,407
2019,1.0,4,SP,4804
2019,1.0,4,TO,300
2019,1.0,5,AC,57
2019,1.0,5,AL,145
2019,1.0,5,AM,484
2019,1.0,5,AP,25
2019,1.0,5,BA,523
2019,1.0,5,CE,545
2019,1.0,5,DF,96
2019,1.0,5,ES,178
2019,1.0,5,GO,163
2019,1.0,5,MA,173
2019,1.0,5,MG,505
2019,1.0,5,MS,139
2019,1.0,5,MT,74
2019,1.0,5,PA,368
2019,1.0,5,PB,234
2019,1.0,5,PE,657
2019,1.0,5,PI,160
2019,1.0,5,PR,109
2019,1.0,5,RJ,248
2019,1.0,5,RN,86
2019,1.0,5,RO,78
2019,1.0,5,RR,83
2019,1.0,5,RS,81
2019,1.0,5,SC,87
2019,1.0,5,SE,92
2019,1.0,5,SP,991
2019,1.0,5,TO,42
2019,2.0,0,AC,10
2019,2.0,0,AL,15
2019,2.0,0,AM,59
2019,2.0,0,AP,9
2019,2.0,0,BA,163
2019,2.0,0,CE,273
2019,2.0,0,DF,14
2019,2.0,0,ES,20
2019,2.0,0,GO,13
2019,2.0,0,MA,164
2019,2.0,0,MG,52
2019,2.0,0,MS,13
2019,2.0,0,MT,45
2019,2.0,0,PA,67
2019,2.0,0,PB,19
2019,2.0,0,PE,131
2019,2.0,0,PI,35
2019,2.0,0,PR,26
2019,2.0,0,RJ,61
2019,2.0,0,RN,15
2019,2.0,0,RO,2
2019,2.0,0,RR,2
2019,2.0,0,RS,30
2019,2.0,0,SC,27
2019,2.0,0,SE,35
2019,2.0,0,SP,25
2019,2.0,0,TO,9
2019,2.0,1,AC,45
2019,2.0,1,AL,125
2019,2.0,1,AM,61
2019,2.0,1,AP,33
2019,2.0,1,BA,502
2019,2.0,1,CE,688
2019,2.0,1,DF,85
2019,2.0,1,ES,475
2019,2.0,1,GO,285
2019,2.0,1,MA,450
2019,2.0,1,MG,934
2019,2.0,1,MS,260
2019,2.0,1,MT,350
2019,2.0,1,PA,200
2019,2.0,1,PB,207
2019,2.0,1,PE,582
2019,2.0,1,PI,125
2019,2.0,1,PR,1311
2019,2.0,1,RJ,820
2019,2.0,1,RN,153
2019,2.0,1,RO,117
2019,2.0,1,RR,17
2019,2.0,1,RS,1435
2019,2.0,1,SC,781
2019,2.0,1,SE,88
2019,2.0,1,SP,1732
2019,2.0,1,TO,49
2019,2.0,2,AC,36
2019,2.0,2,AL,85
2019,2.0,2,AM,31
2019,2.0,2,AP,36
2019,2.0,2,BA,1065
2019,2.0,2,CE,383
2019,2.0,2,DF,61
2019,2.0,2,ES,65
2019,2.0,2,GO,81
2019,2.0,2,MA,489
2019,2.0,2,MG,421
2019,2.0,2,MS,49
2019,2.0,2,MT,171
2019,2.0,2,PA,187
2019,2.0,2,PB,78
2019,2.0,2,PE,252
2019,2.0,2,PI,131
2019,2.0,2,PR,39
2019,2.0,2,RJ,316
2019,2.0,2,RN,88
2019,2.0,2,RO,57
2019,2.0,2,RR,2
2019,2.0,2,RS,54
2019,2.0,2,SC,24
2019,2.0,2,SE,106
2019,2.0,2,SP,207
2019,2.0,2,TO,103
2019,2.0,3,AC,273
2019,2.0,3,AL,471
2019,2.0,3,AM,705
2019,2.0,3,AP,309
2019,2.0,3,BA,1996
2019,2.0,3,CE,4135
2019,2.0,3,DF,244
2019,2.0,3,ES,364
2019,2.0,3,GO,396
2019,2.0,3,MA,2276
2019,2.0,3,MG,1601
2019,2.0,3,MS,275
2019,2.0,3,MT,700
2019,2.0,3,PA,1272
2019,2.0,3,PB,491
2019,2.0,3,PE,1597
2019,2.0,3,PI,623
2019,2.0,3,PR,519
2019,2.0,3,RJ,713
2019,2.0,3,RN,420
2019,2.0,3,RO,259
2019,2.0,3,RR,91
2019,2.0,3,RS,181
2019,2.0,3,SC,121
2019,2.0,3,SE,537
2019,2.0,3,SP,918
2019,2.0,3,TO,321
2019,2.0,4,AC,8
2019,2.0,4,AL,26
2019,2.0,4,AM,16
2019,2.0,4,AP,3
2019,2.0,4,BA,122
2019,2.0,4,CE,88
2019,2.0,4,DF,18
2019,2.0,4,ES,14
2019,2.0,4,GO,41
2019,2.0,4,MA,49
2019,2.0,4,MG,69
2019,2.0,4,MS,9
2019,2.0,4,MT,41
2019,2.0,4,PA,36
2019,2.0,4,PB,37
2019,2.0,4,PE,68
2019,2.0,4,PI,20
2019,2.0,4,PR,22
2019,2.0,4,RJ,55
2019,2.0,4,RN,26
2019,2.0,4,RO,19
2019,2.0,4,RR,1
2019,2.0,4,RS,7
2019,2.0,4,SC,5
2019,2.0,4,SE,15
2019,2.0,4,SP,56
2019,2.0,4,TO,13
2019,2.0,5,AC,3
2019,2.0,5,AL,16
2019,2.0,5,AM,125
2019,2.0,5,AP,2
2019,2.0,5,BA,68
2019,2.0,5,CE,149
2019,2.0,5,ES,4
2019,2.0,5,GO,12
2019,2.0,5,MA,21
2019,2.0,5,MG,30
2019,2.0,5,MS,199
2019,2.0,5,MT,15
2019,2.0,5,PA,20
2019,2.0,5,PB,62
2019,2.0,5,PE,90
2019,2.0,5,PI,3
2019,2.0,5,PR,27
2019,2.0,5,RJ,7
2019,2.0,5,RN,8
2019,2.0,5,RO,54
2019,2.0,5,RR,9
2019,2.0,5,RS,10
2019,2.0,5,SC,6
2019,2.0,5,SE,8
2019,2.0,5,SP,20
2019,2.0,5,TO,20
2020,1.0,0,AC,79
2020,1.0,0,AL,333
2020,1.0,0,AM,765
2020,1.0,0,AP,87
2020,1.0,0,BA,1644
2020,1.0,0,CE,3967
2020,1.0,0,DF,429
2020,1.0,0,ES,303
2020,1.0,0,GO,1613
2020,1.0,0,MA,422
2020,1.0,0,MG,1315
2020,1.0,0,MS,204
2020,1.0,0,MT,295
2020,1.0,0,PA,602
2020,1.0,0,PB,479
2020,1.0,0,PE,2124
2020,1.0,0,PI,332
2020,1.0,0,PR,781
2020,1.0,0,RJ,1348
2020,1.0,0,RN,235
2020,1.0,0,RO,220
2020,1.0,0,RR,45
2020,1.0,0,RS,642
2020,1.0,0,SC,518
2020,1.0,0,SE,628
2020,1.0,0,SP,2523
2020,1.0,0,TO,163
2020,1.0,1,AC,682
2020,1.0,1,AL,3438
2020,1.0,1,AM,4080
2020,1.0,1,AP,721
2020,1.0,1,BA,9216
2020,1.0,1,CE,15951
2020,1.0,1,DF,7643
2020,1.0,1,ES,6878
2020,1.0,1,GO,12725
2020,1.0,1,MA,4678
2020,1.0,1,MG,32538
2020,1.0,1,MS,5407
2020,1.0,1,MT,4693
2020,1.0,1,PA,6291
2020,1.0,1,PB,5993
2020,1.0,1,PE,13832
2020,1.0,1,PI,3173
2020,1.0,1,PR,28914
2020,1.0,1,RJ,29935
2020,1.0,1,RN,5689
2020,1.0,1,RO,2555
2020,1.0,1,RR,471
2020,1.0,1,RS,28500
2020,1.0,1,SC,21007
2020,1.0,1,SE,2142
2020,1.0,1,SP,103892
2020,1.0,1,TO,1613
2020,1.0,2,AC,345
2020,1.0,2,AL,1354
2020,1.0,2,AM,1249
2020,1.0,2,AP,385
2020,1.0,2,BA,10541
2020,1.0,2,CE,5729
2020,1.0,2,DF,2374
2020,1.0,2,ES,2355
2020,1.0,2,GO,3824
2020,1.0,2,MA,2903
2020,1.0,2,MG,7313
2020,1.0,2,MS,784
2020,1.0,2,MT,1620
2020,1.0,2,PA,3788
2020,1.0,2,PB,1626
2020,1.0,2,PE,4579
2020,1.0,2,PI,1900
2020,1.0,2,PR,1560
2020,1.0,2,RJ,8934
2020,1.0,2,RN,1144
2020,1.0,2,RO,895
2020,1.0,2,RR,171
2020,1.0,2,RS,1853
2020,1.0,2,SC,855
2020,1.0,2,SE,1436
2020,1.0,2,SP,12286
2020,1.0,2,TO,1141
2020,1.0,3,AC,2168
2020,1.0,3,AL,7412
2020,1.0,3,AM,21191
2020,1.0,3,AP,2205
2020,1.0,3,BA,22070
2020,1.0,3,CE,71485
2020,1.0,3,DF,8273
2020,1.0,3,ES,7815
2020,1.0,3,GO,19413
2020,1.0,3,MA,15359
2020,1.0,3,MG,26917
2020,1.0,3,MS,4646
2020,1.0,3,MT,6804
2020,1.0,3,PA,19835
2020,1.0,3,PB,10259
2020,1.0,3,PE,23798
2020,1.0,3,PI,8994
2020,1.0,3,PR,9773
2020,1.0,3,RJ,19912
2020,1.0,3,RN,6827
2020,1.0,3,RO,5417
2020,1.0,3,RR,1463
2020,1.0,3,RS,4266
2020,1.0,3,SC,4278
2020,1.0,3,SE,6075
2020,1.0,3,SP,42047
2020,1.0,3,TO,4493
2020,1.0,4,AC,97
2020,1.0,4,AL,455
2020,1.0,4,AM,413
2020,1.0,4,AP,58
2020,1.0,4,BA,1108
2020,1.0,4,CE,1280
2020,1.0,4,DF,484
2020,1.0,4,ES,273
2020,1.0,4,GO,1392
2020,1.0,4,MA,380
2020,1.0,4,MG,1239
2020,1.0,4,MS,282
2020,1.0,4,MT,302
2020,1.0,4,PA,682
2020,1.0,4,PB,554
2020,1.0,4,PE,1071
2020,1.0,4,PI,449
2020,1.0,4,PR,916
2020,1.0,4,RJ,801
2020,1.0,4,RN,288
2020,1.0,4,RO,265
2020,1.0,4,RR,28
2020,1.0,4,RS,156
2020,1.0,4,SC,210
2020,1.0,4,SE,288
2020,1.0,4,SP,4083
2020,1.0,4,TO,278
2020,1.0,5,AC,32
2020,1.0,5,AL,133
2020,1.0,5,AM,619
2020,1.0,5,AP,23
2020,1.0,5,BA,310
2020,1.0,5,CE,432
2020,1.0,5,DF,69
2020,1.0,5,ES,120
2020,1.0,5,GO,164
2020,1.0,5,MA,96
2020,1.0,5,MG,260
2020,1.0,5,MS,108
2020,1.0,5,MT,64
2020,1.0,5,PA,241
2020,1.0,5,PB,179
2020,1.0,5,PE,416
2020,1.0,5,PI,89
2020,1.0,5,PR,91
2020,1.0,5,RJ,193
2020,1.0,5,RN,36
2020,1.0,5,RO,74
2020,1.0,5,RR,85
2020,1.0,5,RS,52
2020,1.0,5,SC,52
2020,1.0,5,SE,76
2020,1.0,5,SP,556
2020,1.0,5,TO,54
2020,2.0,0,AC,8
2020,2.0,0,AL,14
2020,2.0,0,AM,83
2020,2.0,0,AP,20
2020,2.0,0,BA,82
2020,2.0,0,CE,197
2020,2.0,0,DF,8
2020,2.0,0,ES,7
2020,2.0,0,GO,29
2020,2.0,0,MA,38
2020,2.0,0,MG,38
2020,2.0,0,MS,15
2020,2.0,0,MT,25
2020,2.0,0,PA,29
2020,2.0,0,PB,8
2020,2.0,0,PE,154
2020,2.0,0,PI,24
2020,2.0,0,PR,22
2020,2.0,0,RJ,28
2020,2.0,0,RN,2
2020,2.0,0,RO,9
2020,2.0,0,RR,3
2020,2.0,0,RS,15
2020,2.0,0,SC,13
2020,2.0,0,SE,48
2020,2.0,0,SP,28
2020,2.0,0,TO,15
2020,2.0,1,AC,28
2020,2.0,1,AL,108
2020,2.0,1,AM,94
2020,2.0,1,AP,15
2020,2.0,1,BA,299
2020,2.0,1,CE,557
2020,2.0,1,DF,93
2020,2.0,1,ES,320
2020,2.0,1,GO,251
2020,2.0,1,MA,364
2020,2.0,1,MG,703
2020,2.0,1,MS,176
2020,2.0,1,MT,246
2020,2.0,1,PA,167
2020,2.0,1,PB,136
2020,2.0,1,PE,471
2020,2.0,1,PI,79
2020,2.0,1,PR,681
2020,2.0,1,RJ,533
2020,2.0,1,RN,125
2020,2.0,1,RO,107
2020,2.0,1,RR,20
2020,2.0,1,RS,834
2020,2.0,1,SC,471
2020,2.0,1,SE,66
2020,2.0,1,SP,1184
2020,2.0,1,TO,68
2020,2.0,2,AC,21
2020,2.0,2,AL,55
2020,2.0,2,AM,42
2020,2.0,2,AP,14
2020,2.0,2,BA,557
2020,2.0,2,CE,290
2020,2.0,2,DF,68
2020,2.0,2,ES,50
2020,2.0,2,GO,82
2020,2.0,2,MA,378
2020,2.0,2,MG,222
2020,2.0,2,MS,27
2020,2.0,2,MT,112
2020,2.0,2,PA,174
2020,2.0,2,PB,46
2020,2.0,2,PE,210
2020,2.0,2,PI,83
2020,2.0,2,PR,32
2020,2.0,2,RJ,171
2020,2.0,2,RN,58
2020,2.0,2,RO,26
2020,2.0,2,RR,8
2020,2.0,2,RS,33
2020,2.0,2,SC,14
2020,2.0,2,SE,79
2020,2.0,2,SP,110
2020,2.0,2,TO,91
2020,2.0,3,AC,164
2020,2.0,3,AL,380
2020,2.0,3,AM,1373
2020,2.0,3,AP,129
2020,2.0,3,BA,1222
2020,2.0,3,CE,4364
2020,2.0,3,DF,214
2020,2.0,3,ES,230
2020,2.0,3,GO,399
2020,2.0,3,MA,1581
2020,2.0,3,MG,920
2020,2.0,3,MS,180
2020,2.0,3,MT,489
2020,2.0,3,PA,1020
2020,2.0,3,PB,309
2020,2.0,3,PE,1134
2020,2.0,3,PI,439
2020,2.0,3,PR,221
2020,2.0,3,RJ,535
2020,2.0,3,RN,253
2020,2.0,3,RO,245
2020,2.0,3,RR,118
2020,2.0,3,RS,113
2020,2.0,3,SC,89
2020,2.0,3,SE,385
2020,2.0,3,SP,538
2020,2.0,3,TO,287
2020,2.0,4,AC,6
2020,2.0,4,AL,23
2020,2.0,4,AM,15
2020,2.0,4,AP,4
2020,2.0,4,BA,58
2020,2.0,4,CE,73
2020,2.0,4,DF,19
2020,2.0,4,ES,6
2020,2.0,4,GO,36
2020,2.0,4,MA,37
2020,2.0,4,MG,43
2020,2.0,4,MS,8
2020,2.0,4,MT,28
2020,2.0,4,PA,30
2020,2.0,4,PB,21
2020,2.0,4,PE,50
2020,2.0,4,PI,12
2020,2.0,4,PR,13
2020,2.0,4,RJ,23
2020,2.0,4,RN,8
2020,2.0,4,RO,33
2020,2.0,4,RR,3
2020,2.0,4,RS,6
2020,2.0,4,SC,2
2020,2.0,4,SE,7
2020,2.0,4,SP,43
2020,2.0,4,TO,11
2020,2.0,5,AC,4
2020,2.0,5,AL,24
2020,2.0,5,AM,166
2020,2.0,5,AP,4
2020,2.0,5,BA,54
2020,2.0,5,CE,286
2020,2.0,5,DF,2
2020,2.0,5,ES,9
2020,2.0,5,GO,4
2020,2.0,5,MA,12
2020,2.0,5,MG,8
2020,2.0,5,MS,125
2020,2.0,5,MT,43
2020,2.0,5,PA,23
2020,2.0,5,PB,30
2020,2.0,5,PE,60
2020,2.0,5,PI,3
2020,2.0,5,PR,22
2020,2.0,5,RJ,8
2020,2.0,5,RN,4
2020,2.0,5,RO,37
2020,2.0,5,RR,35
2020,2.0,5,RS,8
2020,2.0,5,SC,6
2020,2.0,5,SE,8
2020,2.0,5,SP,9
2020,2.0,5,TO,67
2021,1.0,0,AC,78
2021,1.0,0,AL,258
2021,1.0,0,AM,1018
2021,1.0,0,AP,51
2021,1.0,0,BA,1585
2021,1.0,0,CE,3203
2021,1.0,0,DF,354
2021,1.0,0,ES,239
2021,1.0,0,GO,2627
2021,1.0,0,MA,475
2021,1.0,0,MG,1084
2021,1.0,0,MS,178
2021,1.0,0,MT,289
2021,1.0,0,PA,597
2021,1.0,0,PB,327
2021,1.0,0,PE,1696
2021,1.0,0,PI,312
2021,1.0,0,PR,720
2021,1.0,0,RJ,1145
2021,1.0,0,RN,221
2021,1.0,0,RO,218
2021,1.0,0,RR,42
2021,1.0,0,RS,552
2021,1.0,0,SC,459
2021,1.0,0,SE,203
2021,1.0,0,SP,1753
2021,1.0,0,TO,127
2021,1.0,1,AC,713
2021,1.0,1,AL,3151
2021,1.0,1,AM,4631
2021,1.0,1,AP,706
2021,1.0,1,BA,10601
2021,1.0,1,CE,16170
2021,1.0,1,DF,7436
2021,1.0,1,ES,7208
2021,1.0,1,GO,14607
2021,1.0,1,MA,4535
2021,1.0,1,MG,31995
2021,1.0,1,MS,5191
2021,1.0,1,MT,4519
2021,1.0,1,PA,6139
2021,1.0,1,PB,6041
2021,1.0,1,PE,13117
2021,1.0,1,PI,3262
2021,1.0,1,PR,29219
2021,1.0,1,RJ,28538
2021,1.0,1,RN,5515
2021,1.0,1,RO,2221
2021,1.0,1,RR,384
2021,1.0,1,RS,28329
2021,1.0,1,SC,20819
2021,1.0,1,SE,2272
2021,1.0,1,SP,91423
2021,1.0,1,TO,1581
2021,1.0,2,AC,291
2021,1.0,2,AL,1024
2021,1.0,2,AM,1455
2021,1.0,2,AP,346
2021,1.0,2,BA,11168
2021,1.0,2,CE,4609
2021,1.0,2,DF,1915
2021,1.0,2,ES,2153
2021,1.0,2,GO,4343
2021,1.0,2,MA,2277
2021,1.0,2,MG,6255
2021,1.0,2,MS,634
