NU_ANO,TP_LOCALIZACAO_ESC,TP_ESTADO_CIVIL,SG_UF_PROVA,QTD
2019,1.0,0,AC,234
2019,1.0,0,AL,534
2019,1.0,0,AM,705
2019,1.0,0,AP,214
2019,1.0,0,BA,2161
2019,1.0,0,CE,4491
2019,1.0,0,DF,559
2019,1.0,0,ES,651
2019,1.0,0,GO,1106
2019,1.0,0,MA,1462
2019,1.0,0,MG,2279
2019,1.0,0,MS,495
2019,1.0,0,MT,515
2019,1.0,0,PA,1666
2019,1.0,0,PB,820
2019,1.0,0,PE,1782
2019,1.0,0,PI,870
2019,1.0,0,PR,1427
2019,1.0,0,RJ,1339
2019,1.0,0,RN,540
2019,1.0,0,RO,414
2019,1.0,0,RR,78
2019,1.0,0,RS,1275
2019,1.0,0,SC,1035
2019,1.0,0,SE,472
2019,1.0,0,SP,5417
2019,1.0,0,TO,306
2019,1.0,1,AC,4683
2019,1.0,1,AL,15321
2019,1.0,1,AM,23601
2019,1.0,1,AP,5558
2019,1.0,1,BA,62673
2019,1.0,1,CE,99290
2019,1.0,1,DF,19364
2019,1.0,1,ES,23013
2019,1.0,1,GO,33288
2019,1.0,1,MA,37866
2019,1.0,1,MG,99854
2019,1.0,1,MS,13840
2019,1.0,1,MT,15756
2019,1.0,1,PA,41913
2019,1.0,1,PB,24447
2019,1.0,1,PE,56177
2019,1.0,1,PI,21558
2019,1.0,1,PR,48067
2019,1.0,1,RJ,68291
2019,1.0,1,RN,18911
2019,1.0,1,RO,10448
2019,1.0,1,RR,1970
2019,1.0,1,RS,42264
2019,1.0,1,SC,32414
2019,1.0,1,SE,12599
2019,1.0,1,SP,207005
2019,1.0,1,TO,7852
2019,1.0,2,AC,95
2019,1.0,2,AL,413
2019,1.0,2,AM,376
2019,1.0,2,AP,65
2019,1.0,2,BA,929
2019,1.0,2,CE,1748
2019,1.0,2,DF,202
2019,1.0,2,ES,538
2019,1.0,2,GO,591
2019,1.0,2,MA,549
2019,1.0,2,MG,1571
2019,1.0,2,MS,250
2019,1.0,2,MT,279
2019,1.0,2,PA,741
2019,1.0,2,PB,617
2019,1.0,2,PE,951
2019,1.0,2,PI,505
2019,1.0,2,PR,757
2019,1.0,2,RJ,978
2019,1.0,2,RN,345
2019,1.0,2,RO,490
2019,1.0,2,RR,19
2019,1.0,2,RS,482
2019,1.0,2,SC,377
2019,1.0,2,SE,175
2019,1.0,2,SP,2685
2019,1.0,2,TO,141
2019,1.0,3,AC,44
2019,1.0,3,AL,113
2019,1.0,3,AM,174
2019,1.0,3,AP,31
2019,1.0,3,BA,348
2019,1.0,3,CE,552
2019,1.0,3,DF,189
2019,1.0,3,ES,223
2019,1.0,3,GO,280
2019,1.0,3,MA,245
2019,1.0,3,MG,773
2019,1.0,3,MS,106
2019,1.0,3,MT,128
2019,1.0,3,PA,282
2019,1.0,3,PB,177
2019,1.0,3,PE,367
2019,1.0,3,PI,136
2019,1.0,3,PR,334
2019,1.0,3,RJ,572
2019,1.0,3,RN,109
2019,1.0,3,RO,132
2019,1.0,3,RR,19
2019,1.0,3,RS,356
2019,1.0,3,SC,240
2019,1.0,3,SE,61
2019,1.0,3,SP,1644
2019,1.0,3,TO,63
2019,1.0,4,AC,1
2019,1.0,4,AL,8
2019,1.0,4,AM,10
2019,1.0,4,AP,4
2019,1.0,4,BA,25
2019,1.0,4,CE,52
2019,1.0,4,DF,5
2019,1.0,4,ES,10
2019,1.0,4,GO,9
2019,1.0,4,MA,16
2019,1.0,4,MG,30
2019,1.0,4,MS,10
2019,1.0,4,MT,8
2019,1.0,4,PA,19
2019,1.0,4,PB,10
2019,1.0,4,PE,23
2019,1.0,4,PI,8
2019,1.0,4,PR,15
2019,1.0,4,RJ,31
2019,1.0,4,RN,10
2019,1.0,4,RO,7
2019,1.0,4,RS,13
2019,1.0,4,SC,4
2019,1.0,4,SE,5
2019,1.0,4,SP,74
2019,1.0,4,TO,2
2019,2.0,0,AC,12
2019,2.0,0,AL,20
2019,2.0,0,AM,26
2019,2.0,0,AP,7
2019,2.0,0,BA,147
2019,2.0,0,CE,140
2019,2.0,0,DF,12
2019,2.0,0,ES,25
2019,2.0,0,GO,25
2019,2.0,0,MA,147
2019,2.0,0,MG,67
2019,2.0,0,MS,33
2019,2.0,0,MT,44
2019,2.0,0,PA,62
2019,2.0,0,PB,38
2019,2.0,0,PE,85
2019,2.0,0,PI,36
2019,2.0,0,PR,40
2019,2.0,0,RJ,51
2019,2.0,0,RN,14
2019,2.0,0,RO,9
2019,2.0,0,RR,4
2019,2.0,0,RS,49
2019,2.0,0,SC,25
2019,2.0,0,SE,18
2019,2.0,0,SP,91
2019,2.0,0,TO,19
2019,2.0,1,AC,352
2019,2.0,1,AL,694
2019,2.0,1,AM,954
2019,2.0,1,AP,383
2019,2.0,1,BA,3683
2019,2.0,1,CE,5466
2019,2.0,1,DF,395
2019,2.0,1,ES,911
2019,2.0,1,GO,785
2019,2.0,1,MA,3210
2019,2.0,1,MG,2995
2019,2.0,1,MS,744
2019,2.0,1,MT,1233
2019,2.0,1,PA,1676
2019,2.0,1,PB,815
2019,2.0,1,PE,2509
2019,2.0,1,PI,854
2019,2.0,1,PR,1879
2019,2.0,1,RJ,1865
2019,2.0,1,RN,682
2019,2.0,1,RO,480
2019,2.0,1,RR,116
2019,2.0,1,RS,1644
2019,2.0,1,SC,922
2019,2.0,1,SE,754
2019,2.0,1,SP,2815
2019,2.0,1,TO,487
2019,2.0,2,AC,11
2019,2.0,2,AL,19
2019,2.0,2,AM,13
2019,2.0,2,BA,72
2019,2.0,2,CE,93
2019,2.0,2,DF,10
2019,2.0,2,ES,6
2019,2.0,2,GO,13
2019,2.0,2,MA,76
2019,2.0,2,MG,26
2019,2.0,2,MS,22
2019,2.0,2,MT,36
2019,2.0,2,PA,38
2019,2.0,2,PB,35
2019,2.0,2,PE,98
2019,2.0,2,PI,38
2019,2.0,2,PR,17
2019,2.0,2,RJ,38
2019,2.0,2,RN,10
2019,2.0,2,RO,13
2019,2.0,2,RS,19
2019,2.0,2,SC,9
2019,2.0,2,SE,15
2019,2.0,2,SP,25
2019,2.0,2,TO,3
2019,2.0,3,AL,4
2019,2.0,3,AM,3
2019,2.0,3,AP,1
2019,2.0,3,BA,12
2019,2.0,3,CE,14
2019,2.0,3,DF,5
2019,2.0,3,GO,5
2019,2.0,3,MA,16
2019,2.0,3,MG,15
2019,2.0,3,MS,5
2019,2.0,3,MT,9
2019,2.0,3,PA,6
2019,2.0,3,PB,6
2019,2.0,3,PE,26
2019,2.0,3,PI,7
2019,2.0,3,PR,7
2019,2.0,3,RJ,18
2019,2.0,3,RN,4
2019,2.0,3,RO,5
2019,2.0,3,RR,2
2019,2.0,3,RS,4
2019,2.0,3,SC,8
2019,2.0,3,SE,2
2019,2.0,3,SP,26
2019,2.0,3,TO,6
2019,2.0,4,AL,1
2019,2.0,4,AM,1
2019,2.0,4,AP,1
2019,2.0,4,BA,2
2019,2.0,4,CE,3
2019,2.0,4,MG,4
2019,2.0,4,MS,1
2019,2.0,4,PE,2
2019,2.0,4,PI,2
2019,2.0,4,PR,1
2019,2.0,4,RO,1
2019,2.0,4,RS,1
2019,2.0,4,SP,1
2020,1.0,0,AC,157
2020,1.0,0,AL,467
2020,1.0,0,AM,1218
2020,1.0,0,AP,140
2020,1.0,0,BA,1808
2020,1.0,0,CE,4602
2020,1.0,0,DF,605
2020,1.0,0,ES,507
2020,1.0,0,GO,1608
2020,1.0,0,MA,1010
2020,1.0,0,MG,1611
2020,1.0,0,MS,428
2020,1.0,0,MT,481
2020,1.0,0,PA,1262
2020,1.0,0,PB,612
2020,1.0,0,PE,1816
2020,1.0,0,PI,580
2020,1.0,0,PR,1298
2020,1.0,0,RJ,1507
2020,1.0,0,RN,386
2020,1.0,0,RO,425
2020,1.0,0,RR,99
2020,1.0,0,RS,1047
2020,1.0,0,SC,885
2020,1.0,0,SE,731
2020,1.0,0,SP,4647
2020,1.0,0,TO,347
2020,1.0,1,AC,3163
2020,1.0,1,AL,12338
2020,1.0,1,AM,26504
2020,1.0,1,AP,3290
2020,1.0,1,BA,42276
2020,1.0,1,CE,92410
2020,1.0,1,DF,18365
2020,1.0,1,ES,16838
2020,1.0,1,GO,36249
2020,1.0,1,MA,22486
2020,1.0,1,MG,66741
2020,1.0,1,MS,10729
2020,1.0,1,MT,12995
2020,1.0,1,PA,29576
2020,1.0,1,PB,18029
2020,1.0,1,PE,43009
2020,1.0,1,PI,14034
2020,1.0,1,PR,40019
2020,1.0,1,RJ,58399
2020,1.0,1,RN,13590
2020,1.0,1,RO,8461
2020,1.0,1,RR,2122
2020,1.0,1,RS,33932
2020,1.0,1,SC,25623
2020,1.0,1,SE,9699
