NU_ANO,TP_LOCALIZACAO_ESC,TP_FAIXA_ETARIA,SG_UF_PROVA,QTD
2019,1.0,1,AC,157
2019,1.0,1,AL,507
2019,1.0,1,AM,414
2019,1.0,1,AP,268
2019,1.0,1,BA,2259
2019,1.0,1,CE,866
2019,1.0,1,DF,246
2019,1.0,1,ES,209
2019,1.0,1,GO,533
2019,1.0,1,MA,2400
2019,1.0,1,MG,342
2019,1.0,1,MS,122
2019,1.0,1,MT,264
2019,1.0,1,PA,1958
2019,1.0,1,PB,1316
2019,1.0,1,PE,2842
2019,1.0,1,PI,944
2019,1.0,1,PR,611
2019,1.0,1,RJ,807
2019,1.0,1,RN,318
2019,1.0,1,RO,120
2019,1.0,1,RR,62
2019,1.0,1,RS,197
2019,1.0,1,SC,316
2019,1.0,1,SE,526
2019,1.0,1,SP,721
2019,1.0,1,TO,166
2019,1.0,2,AC,2039
2019,1.0,2,AL,5636
2019,1.0,2,AM,8614
2019,1.0,2,AP,2158
2019,1.0,2,BA,22931
2019,1.0,2,CE,34675
2019,1.0,2,DF,8348
2019,1.0,2,ES,8289
2019,1.0,2,GO,13971
2019,1.0,2,MA,15765
2019,1.0,2,MG,43217
2019,1.0,2,MS,7256
2019,1.0,2,MT,7000
2019,1.0,2,PA,14389
2019,1.0,2,PB,9615
2019,1.0,2,PE,24108
2019,1.0,2,PI,8286
2019,1.0,2,PR,30117
2019,1.0,2,RJ,22369
2019,1.0,2,RN,5370
2019,1.0,2,RO,2809
2019,1.0,2,RR,753
2019,1.0,2,RS,11956
2019,1.0,2,SC,12411
2019,1.0,2,SE,4582
2019,1.0,2,SP,148132
2019,1.0,2,TO,3533
2019,1.0,3,AC,1894
2019,1.0,3,AL,6005
2019,1.0,3,AM,10066
2019,1.0,3,AP,1829
2019,1.0,3,BA,22842
2019,1.0,3,CE,40609
2019,1.0,3,DF,8249
2019,1.0,3,ES,10071
2019,1.0,3,GO,16335
2019,1.0,3,MA,13601
2019,1.0,3,MG,46566
2019,1.0,3,MS,5057
2019,1.0,3,MT,7371
2019,1.0,3,PA,14259
2019,1.0,3,PB,8291
2019,1.0,3,PE,21520
2019,1.0,3,PI,7537
2019,1.0,3,PR,14461
2019,1.0,3,RJ,30906
2019,1.0,3,RN,7830
2019,1.0,3,RO,5285
2019,1.0,3,RR,942
2019,1.0,3,RS,24447
2019,1.0,3,SC,17831
2019,1.0,3,SE,4289
2019,1.0,3,SP,54321
2019,1.0,3,TO,3164
2019,1.0,4,AC,559
2019,1.0,4,AL,2255
2019,1.0,4,AM,2846
2019,1.0,4,AP,814
2019,1.0,4,BA,9619
2019,1.0,4,CE,12940
2019,1.0,4,DF,2084
2019,1.0,4,ES,3513
2019,1.0,4,GO,2443
2019,1.0,4,MA,4664
2019,1.0,4,MG,8170
2019,1.0,4,MS,1204
2019,1.0,4,MT,1078
2019,1.0,4,PA,6126
2019,1.0,4,PB,3081
