NU_ANO,TP_SEXO,Q006,SG_UF_PROVA,QTD
2019,F,A,AC,2149
2019,F,A,AL,4790
2019,F,A,AM,5534
2019,F,A,AP,1804
2019,F,A,BA,21726
2019,F,A,CE,11717
2019,F,A,DF,1678
2019,F,A,ES,1870
2019,F,A,GO,2455
2019,F,A,MA,12913
2019,F,A,MG,8599
2019,F,A,MS,1154
2019,F,A,MT,1219
2019,F,A,PA,12865
2019,F,A,PB,7728
2019,F,A,PE,13478
2019,F,A,PI,8664
2019,F,A,PR,1891
2019,F,A,RJ,7305
2019,F,A,RN,5000
2019,F,A,RO,1506
2019,F,A,RR,395
2019,F,A,RS,2553
2019,F,A,SC,756
2019,F,A,SE,4291
2019,F,A,SP,9893
2019,F,A,TO,1503
2019,F,B,AC,9587
2019,F,B,AL,23020
2019,F,B,AM,25944
2019,F,B,AP,10699
2019,F,B,BA,102337
2019,F,B,CE,75178
2019,F,B,DF,9981
2019,F,B,ES,12285
2019,F,B,GO,21503
2019,F,B,MA,57824
2019,F,B,MG,67547
2019,F,B,MS,8648
2019,F,B,MT,9762
2019,F,B,PA,69723
2019,F,B,PB,35283
2019,F,B,PE,66928
2019,F,B,PI,32054
2019,F,B,PR,12990
2019,F,B,RJ,39624
2019,F,B,RN,26132
2019,F,B,RO,9260
2019,F,B,RR,2451
2019,F,B,RS,18313
2019,F,B,SC,5365
2019,F,B,SE,20034
2019,F,B,SP,53887
2019,F,B,TO,9221
2019,F,C,AC,5923
2019,F,C,AL,13397
2019,F,C,AM,20596
2019,F,C,AP,6809
2019,F,C,BA,64859
2019,F,C,CE,43107
2019,F,C,DF,15209
2019,F,C,ES,17922
2019,F,C,GO,31160
2019,F,C,MA,34010
2019,F,C,MG,90550
2019,F,C,MS,12683
2019,F,C,MT,15565
2019,F,C,PA,46613
2019,F,C,PB,21058
2019,F,C,PE,40791
2019,F,C,PI,16206
2019,F,C,PR,30968
2019,F,C,RJ,57087
2019,F,C,RN,17178
2019,F,C,RO,11686
2019,F,C,RR,2260
2019,F,C,RS,35087
2019,F,C,SC,14206
2019,F,C,SE,11406
2019,F,C,SP,120208
2019,F,C,TO,7807
2019,F,C,AC,1298
2019,F,C,AL,3359
2019,F,C,AM,4564
2019,F,C,AP,1320
2019,F,C,BA,16201
2019,F,C,CE,8699
2019,F,C,DF,5344
2019,F,C,ES,6721
2019,F,C,GO,11805
2019,F,C,MA,7178
