NU_ANO,TP_SEXO,TP_COR_RACA,SG_UF_PROVA,QTD
2019,F,0,AC,378
2019,F,0,AL,1125
2019,F,0,AM,1378
2019,F,0,AP,414
2019,F,0,BA,5735
2019,F,0,CE,4271
2019,F,0,DF,1456
2019,F,0,ES,846
2019,F,0,GO,3026
2019,F,0,MA,2009
2019,F,0,MG,6170
2019,F,0,MS,725
2019,F,0,MT,988
2019,F,0,PA,2468
2019,F,0,PB,1511
2019,F,0,PE,3677
2019,F,0,PI,1172
2019,F,0,PR,2012
2019,F,0,RJ,4536
2019,F,0,RN,1095
2019,F,0,RO,621
2019,F,0,RR,103
2019,F,0,RS,2546
2019,F,0,SC,1336
2019,F,0,SE,959
2019,F,0,SP,6802
2019,F,0,TO,463
2019,F,1,AC,3425
2019,F,1,AL,11601
2019,F,1,AM,9547
2019,F,1,AP,3935
2019,F,1,BA,34970
2019,F,1,CE,33282
2019,F,1,DF,17722
2019,F,1,ES,20022
2019,F,1,GO,32044
2019,F,1,MA,23350
2019,F,1,MG,119039
2019,F,1,MS,17242
2019,F,1,MT,15259
2019,F,1,PA,25069
2019,F,1,PB,23517
2019,F,1,PE,45713
2019,F,1,PI,12392
2019,F,1,PR,80522
2019,F,1,RJ,82420
2019,F,1,RN,24568
2019,F,1,RO,8295
2019,F,1,RR,1251
2019,F,1,RS,101875
2019,F,1,SC,49485
2019,F,1,SE,7197
2019,F,1,SP,265879
2019,F,1,TO,5163
2019,F,2,AC,2158
2019,F,2,AL,5520
2019,F,2,AM,3091
2019,F,2,AP,3081
2019,F,2,BA,69361
2019,F,2,CE,11996
2019,F,2,DF,7835
2019,F,2,ES,8776
2019,F,2,GO,10844
2019,F,2,MA,18047
2019,F,2,MG,45375
2019,F,2,MS,3016
2019,F,2,MT,6587
2019,F,2,PA,19234
2019,F,2,PB,7218
2019,F,2,PE,17966
2019,F,2,PI,10296
2019,F,2,PR,5600
2019,F,2,RJ,36982
2019,F,2,RN,6085
2019,F,2,RO,3562
2019,F,2,RR,537
2019,F,2,RS,9391
2019,F,2,SC,2864
2019,F,2,SE,7175
2019,F,2,SP,48078
2019,F,2,TO,4086
2019,F,3,AC,15863
2019,F,3,AL,32983
2019,F,3,AM,51172
2019,F,3,AP,17025
2019,F,3,BA,129929
2019,F,3,CE,109468
2019,F,3,DF,27425
2019,F,3,ES,29170
2019,F,3,GO,50635
2019,F,3,MA,84482
2019,F,3,MG,143336
2019,F,3,MS,18344
2019,F,3,MT,27903
2019,F,3,PA,117086
2019,F,3,PB,48500
2019,F,3,PE,87299
2019,F,3,PI,46174
2019,F,3,PR,32392
2019,F,3,RJ,74614
2019,F,3,RN,34604
2019,F,3,RO,21868
2019,F,3,RR,5429
2019,F,3,RS,16731
2019,F,3,SC,11646
2019,F,3,SE,30016
2019,F,3,SP,147781
2019,F,3,TO,17036
2019,F,4,AC,842
2019,F,4,AL,2421
2019,F,4,AM,1485
2019,F,4,AP,402
2019,F,4,BA,7160
2019,F,4,CE,4210
2019,F,4,DF,1894
2019,F,4,ES,1226
2019,F,4,GO,4918
2019,F,4,MA,2429
2019,F,4,MG,8398
2019,F,4,MS,1013
2019,F,4,MT,1413
2019,F,4,PA,3864
2019,F,4,PB,3032
2019,F,4,PE,5335
2019,F,4,PI,2318
2019,F,4,PR,2744
2019,F,4,RJ,3974
2019,F,4,RN,1813
2019,F,4,RO,1129
2019,F,4,RR,98
2019,F,4,RS,691
2019,F,4,SC,776
2019,F,4,SE,1634
2019,F,4,SP,11272
2019,F,4,TO,1069
2019,F,5,AC,161
2019,F,5,AL,412
2019,F,5,AM,1840
2019,F,5,AP,115
2019,F,5,BA,1698
2019,F,5,CE,971
2019,F,5,DF,256
2019,F,5,ES,313
2019,F,5,GO,365
2019,F,5,MA,450
2019,F,5,MG,1292
2019,F,5,MS,915
2019,F,5,MT,295
2019,F,5,PA,955
2019,F,5,PB,863
2019,F,5,PE,2261
2019,F,5,PI,329
2019,F,5,PR,235
2019,F,5,RJ,633
2019,F,5,RN,286
2019,F,5,RO,271
2019,F,5,RR,337
2019,F,5,RS,216
2019,F,5,SC,186
2019,F,5,SE,316
2019,F,5,SP,1795
2019,F,5,TO,156
2019,M,0,AC,339
2019,M,0,AL,939
2019,M,0,AM,1075
2019,M,0,AP,335
2019,M,0,BA,3550
2019,M,0,CE,3947
2019,M,0,DF,1126
2019,M,0,ES,760
2019,M,0,GO,2112
2019,M,0,MA,1563
2019,M,0,MG,4693
2019,M,0,MS,573
2019,M,0,MT,819
2019,M,0,PA,1862
2019,M,0,PB,1378
2019,M,0,PE,2981
2019,M,0,PI,944
2019,M,0,PR,1684
2019,M,0,RJ,3267
2019,M,0,RN,1028
2019,M,0,RO,470
2019,M,0,RR,93
2019,M,0,RS,1936
2019,M,0,SC,1023
2019,M,0,SE,771
2019,M,0,SP,5764
2019,M,0,TO,345
2019,M,1,AC,2461
2019,M,1,AL,8184
2019,M,1,AM,7239
2019,M,1,AP,2888
2019,M,1,BA,24083
2019,M,1,CE,26922
2019,M,1,DF,12873
2019,M,1,ES,14758
2019,M,1,GO,22662
2019,M,1,MA,16021
