NU_ANO,TP_SEXO,TP_ESCOLA,SG_UF_PROVA,QTD
2019,F,1,AC,18812
2019,F,1,AL,41249
2019,F,1,AM,51160
2019,F,1,AP,20433
2019,F,1,BA,192642
2019,F,1,CE,102373
2019,F,1,DF,40892
2019,F,1,ES,43214
2019,F,1,GO,72817
2019,F,1,MA,99359
2019,F,1,MG,237951
2019,F,1,MS,29126
2019,F,1,MT,38518
2019,F,1,PA,133036
2019,F,1,PB,65854
2019,F,1,PE,120288
2019,F,1,PI,55466
2019,F,1,PR,81088
2019,F,1,RJ,142169
2019,F,1,RN,53562
2019,F,1,RO,27235
2019,F,1,RR,5993
2019,F,1,RS,94013
2019,F,1,SC,40038
2019,F,1,SE,36797
2019,F,1,SP,311397
2019,F,1,TO,21068
2019,F,2,AC,3795
2019,F,2,AL,10607
2019,F,2,AM,16512
2019,F,2,AP,4175
2019,F,2,BA,48925
2019,F,2,CE,57078
2019,F,2,DF,12188
2019,F,2,ES,15413
2019,F,2,GO,25110
2019,F,2,MA,29475
2019,F,2,MG,76537
2019,F,2,MS,11033
2019,F,2,MT,12741
2019,F,2,PA,31743
2019,F,2,PB,15840
2019,F,2,PE,36691
2019,F,2,PI,15061
2019,F,2,PR,36642
2019,F,2,RJ,46530
2019,F,2,RN,12756
2019,F,2,RO,8199
2019,F,2,RR,1635
2019,F,2,RS,32962
2019,F,2,SC,23030
2019,F,2,SE,8590
2019,F,2,SP,138566
2019,F,2,TO,6446
2019,F,3,AC,220
2019,F,3,AL,2206
2019,F,3,AM,841
2019,F,3,AP,364
2019,F,3,BA,7286
2019,F,3,CE,4747
2019,F,3,DF,3508
2019,F,3,ES,1726
2019,F,3,GO,3905
2019,F,3,MA,1933
2019,F,3,MG,9122
2019,F,3,MS,1096
2019,F,3,MT,1186
2019,F,3,PA,3897
2019,F,3,PB,2947
2019,F,3,PE,5272
2019,F,3,PI,2154
2019,F,3,PR,5775
2019,F,3,RJ,14460
2019,F,3,RN,2133
2019,F,3,RO,312
2019,F,3,RR,127
2019,F,3,RS,4475
2019,F,3,SC,3225
2019,F,3,SE,1910
2019,F,3,SP,31644
2019,F,3,TO,459
2019,M,1,AC,12721
2019,M,1,AL,26882
2019,M,1,AM,36128
2019,M,1,AP,13818
2019,M,1,BA,110708
2019,M,1,CE,74785
2019,M,1,DF,27707
2019,M,1,ES,29336
2019,M,1,GO,47621
2019,M,1,MA,64730
2019,M,1,MG,154914
2019,M,1,MS,20551
2019,M,1,MT,25670
2019,M,1,PA,85494
2019,M,1,PB,48309
2019,M,1,PE,81791
2019,M,1,PI,37045
2019,M,1,PR,57892
2019,M,1,RJ,96205
2019,M,1,RN,39934
2019,M,1,RO,16784
2019,M,1,RR,3894
2019,M,1,RS,62815
2019,M,1,SC,26370
2019,M,1,SE,23947
2019,M,1,SP,213513
2019,M,1,TO,13196
2019,M,2,AC,2935
2019,M,2,AL,6984
2019,M,2,AM,12688
2019,M,2,AP,3531
2019,M,2,BA,29860
2019,M,2,CE,51519
2019,M,2,DF,8520
2019,M,2,ES,11022
2019,M,2,GO,17226
2019,M,2,MA,20873
2019,M,2,MG,48374
2019,M,2,MS,7659
2019,M,2,MT,8936
2019,M,2,PA,21926
2019,M,2,PB,11661
2019,M,2,PE,26631
2019,M,2,PI,10763
2019,M,2,PR,24853
2019,M,2,RJ,28279
2019,M,2,RN,8967
2019,M,2,RO,5838
2019,M,2,RR,1194
2019,M,2,RS,20427
2019,M,2,SC,15337
2019,M,2,SE,5580
2019,M,2,SP,92656
2019,M,2,TO,4715
2019,M,3,AC,162
2019,M,3,AL,1896
2019,M,3,AM,815
2019,M,3,AP,282
2019,M,3,BA,6006
2019,M,3,CE,4482
2019,M,3,DF,3034
2019,M,3,ES,1562
2019,M,3,GO,3301
2019,M,3,MA,1704
2019,M,3,MG,7727
2019,M,3,MS,928
2019,M,3,MT,1070
2019,M,3,PA,3497
2019,M,3,PB,2565
2019,M,3,PE,4644
2019,M,3,PI,1823
2019,M,3,PR,5056
2019,M,3,RJ,12073
2019,M,3,RN,1967
2019,M,3,RO,271
2019,M,3,RR,113
2019,M,3,RS,3777
2019,M,3,SC,2699
2019,M,3,SE,1664
2019,M,3,SP,28214
2019,M,3,TO,365
2020,F,1,AC,20796
2020,F,1,AL,49701
2020,F,1,AM,69211
2020,F,1,AP,23427
2020,F,1,BA,225216
2020,F,1,CE,119415
2020,F,1,DF,54104
2020,F,1,ES,48369
2020,F,1,GO,87467
2020,F,1,MA,117603
2020,F,1,MG,277497
2020,F,1,MS,38574
2020,F,1,MT,48104
2020,F,1,PA,166817
2020,F,1,PB,77301
2020,F,1,PE,143809
2020,F,1,PI,65562
2020,F,1,PR,100158
2020,F,1,RJ,177166
2020,F,1,RN,62264
2020,F,1,RO,33838
2020,F,1,RR,7987
2020,F,1,RS,116807
2020,F,1,SC,49036
2020,F,1,SE,42419
2020,F,1,SP,403924
2020,F,1,TO,27111
2020,F,2,AC,3620
2020,F,2,AL,10150
2020,F,2,AM,23266
2020,F,2,AP,3576
2020,F,2,BA,50101
2020,F,2,CE,58014
2020,F,2,DF,12619
2020,F,2,ES,13650
2020,F,2,GO,35030
2020,F,2,MA,24922
2020,F,2,MG,67925
2020,F,2,MS,10594
2020,F,2,MT,12748
2020,F,2,PA,29671
2020,F,2,PB,15675
2020,F,2,PE,37691
2020,F,2,PI,13260
2020,F,2,PR,37281
2020,F,2,RJ,44295
2020,F,2,RN,11702
2020,F,2,RO,8800
2020,F,2,RR,2074
2020,F,2,RS,31452
2020,F,2,SC,21634
2020,F,2,SE,9171
2020,F,2,SP,109960
2020,F,2,TO,8264
2020,F,3,AC,171
2020,F,3,AL,1980
2020,F,3,AM,777
2020,F,3,AP,278
2020,F,3,BA,6519
2020,F,3,CE,4188
2020,F,3,DF,3321
2020,F,3,ES,1565
2020,F,3,GO,3445
2020,F,3,MA,1628
2020,F,3,MG,8357
2020,F,3,MS,1056
2020,F,3,MT,1194
2020,F,3,PA,3345
2020,F,3,PB,2775
2020,F,3,PE,4861
2020,F,3,PI,1971
2020,F,3,PR,5847
2020,F,3,RJ,13201
2020,F,3,RN,2035
2020,F,3,RO,239
2020,F,3,RR,122
2020,F,3,RS,4172
2020,F,3,SC,2982
2020,F,3,SE,1746
2020,F,3,SP,29778
2020,F,3,TO,424
2020,M,1,AC,14378
2020,M,1,AL,32173
2020,M,1,AM,50540
2020,M,1,AP,16906
2020,M,1,BA,130747
2020,M,1,CE,88070
2020,M,1,DF,35451
2020,M,1,ES,31404
2020,M,1,GO,55725
2020,M,1,MA,75635
2020,M,1,MG,174455
2020,M,1,MS,26064
2020,M,1,MT,30506
2020,M,1,PA,107204
2020,M,1,PB,55445
2020,M,1,PE,96909
2020,M,1,PI,43031
2020,M,1,PR,66912
2020,M,1,RJ,115063
2020,M,1,RN,45444
2020,M,1,RO,20217
2020,M,1,RR,5156
2020,M,1,RS,74235
2020,M,1,SC,31530
2020,M,1,SE,27240
2020,M,1,SP,266251
2020,M,1,TO,16908
2020,M,2,AC,2729
2020,M,2,AL,6910
2020,M,2,AM,18861
2020,M,2,AP,2812
2020,M,2,BA,29710
2020,M,2,CE,52227
2020,M,2,DF,8572
2020,M,2,ES,9423
2020,M,2,GO,26393
2020,M,2,MA,17118
2020,M,2,MG,41894
2020,M,2,MS,7333
2020,M,2,MT,8168
2020,M,2,PA,20728
2020,M,2,PB,11377
2020,M,2,PE,28087
2020,M,2,PI,9331
2020,M,2,PR,24322
2020,M,2,RJ,26687
2020,M,2,RN,8002
2020,M,2,RO,6259
2020,M,2,RR,1431
2020,M,2,RS,18888
2020,M,2,SC,13386
2020,M,2,SE,6082
2020,M,2,SP,74441
2020,M,2,TO,6180
2020,M,3,AC,130
2020,M,3,AL,1637
2020,M,3,AM,771
2020,M,3,AP,264
2020,M,3,BA,5398
2020,M,3,CE,3766
2020,M,3,DF,2865
2020,M,3,ES,1401
2020,M,3,GO,3009
2020,M,3,MA,1366
2020,M,3,MG,7083
2020,M,3,MS,927
2020,M,3,MT,1007
2020,M,3,PA,3118
2020,M,3,PB,2392
2020,M,3,PE,4212
2020,M,3,PI,1523
2020,M,3,PR,5115
2020,M,3,RJ,11068
2020,M,3,RN,1778
2020,M,3,RO,241
2020,M,3,RR,115
2020,M,3,RS,3576
2020,M,3,SC,2585
2020,M,3,SE,1547
2020,M,3,SP,26138
2020,M,3,TO,322
2021,F,1,AC,9376
2021,F,1,AL,26094
2021,F,1,AM,28691
2021,F,1,AP,10233
2021,F,1,BA,114715
2021,F,1,CE,65495
2021,F,1,DF,28253
2021,F,1,ES,25484
2021,F,1,GO,46982
2021,F,1,MA,59086
2021,F,1,MG,146584
2021,F,1,MS,16940
2021,F,1,MT,24178
2021,F,1,PA,89949
2021,F,1,PB,45122
2021,F,1,PE,81819
2021,F,1,PI,36945
2021,F,1,PR,53285
2021,F,1,RJ,101855
2021,F,1,RN,35992
2021,F,1,RO,14079
2021,F,1,RR,3553
2021,F,1,RS,64190
2021,F,1,SC,29258
2021,F,1,SE,24844
2021,F,1,SP,202264
2021,F,1,TO,13202
2021,F,2,AC,2850
2021,F,2,AL,7238
2021,F,2,AM,22625
2021,F,2,AP,2622
2021,F,2,BA,50561
2021,F,2,CE,54795
2021,F,2,DF,9879
