NU_ANO,TP_SEXO,TP_ESTADO_CIVIL,SG_UF_PROVA,QTD
2019,F,0,AC,1417
2019,F,0,AL,1919
2019,F,0,AM,3374
2019,F,0,AP,1764
2019,F,0,BA,10478
2019,F,0,CE,6311
2019,F,0,DF,2376
2019,F,0,ES,2072
2019,F,0,GO,4019
2019,F,0,MA,5035
2019,F,0,MG,9464
2019,F,0,MS,2233
2019,F,0,MT,2824
2019,F,0,PA,9668
2019,F,0,PB,3158
2019,F,0,PE,5227
2019,F,0,PI,3014
2019,F,0,PR,5341
2019,F,0,RJ,5929
2019,F,0,RN,2885
2019,F,0,RO,2025
2019,F,0,RR,383
2019,F,0,RS,7128
2019,F,0,SC,3480
2019,F,0,SE,1962
2019,F,0,SP,15222
2019,F,0,TO,1302
2019,F,1,AC,17701
2019,F,1,AL,45000
2019,F,1,AM,57900
2019,F,1,AP,20951
2019,F,1,BA,213281
2019,F,1,CE,145677
2019,F,1,DF,47572
2019,F,1,ES,50118
2019,F,1,GO,87083
2019,F,1,MA,114098
2019,F,1,MG,281559
2019,F,1,MS,33529
2019,F,1,MT,43220
2019,F,1,PA,141259
2019,F,1,PB,70902
2019,F,1,PE,141250
2019,F,1,PI,62630
2019,F,1,PR,107047
2019,F,1,RJ,175587
2019,F,1,RN,57585
2019,F,1,RO,27128
2019,F,1,RR,6598
2019,F,1,RS,113334
2019,F,1,SC,58592
2019,F,1,SE,41058
2019,F,1,SP,427458
2019,F,1,TO,23920
2019,F,2,AC,3072
2019,F,2,AL,5817
2019,F,2,AM,5925
2019,F,2,AP,1829
2019,F,2,BA,20660
2019,F,2,CE,10065
2019,F,2,DF,5164
2019,F,2,ES,6514
2019,F,2,GO,8419
2019,F,2,MA,9522
2019,F,2,MG,25572
2019,F,2,MS,4323
2019,F,2,MT,5030
2019,F,2,PA,14915
2019,F,2,PB,8545
2019,F,2,PE,12607
2019,F,2,PI,5783
2019,F,2,PR,8686
2019,F,2,RJ,16909
2019,F,2,RN,6535
2019,F,2,RO,5407
2019,F,2,RR,574
2019,F,2,RS,8015
2019,F,2,SC,3232
2019,F,2,SE,3321
2019,F,2,SP,29091
2019,F,2,TO,2217
2019,F,3,AC,604
2019,F,3,AL,1204
2019,F,3,AM,1197
