NU_ANO,TP_SEXO,TP_FAIXA_ETARIA,SG_UF_PROVA,QTD
2019,F,1,AC,1186
2019,F,1,AL,3640
2019,F,1,AM,3048
2019,F,1,AP,1426
2019,F,1,BA,18649
2019,F,1,CE,16677
2019,F,1,DF,3432
2019,F,1,ES,3653
2019,F,1,GO,12538
2019,F,1,MA,11468
2019,F,1,MG,27170
2019,F,1,MS,4067
2019,F,1,MT,5142
2019,F,1,PA,12277
2019,F,1,PB,8122
2019,F,1,PE,17423
2019,F,1,PI,7072
2019,F,1,PR,13148
2019,F,1,RJ,13098
2019,F,1,RN,3691
2019,F,1,RO,2057
2019,F,1,RR,595
2019,F,1,RS,7729
2019,F,1,SC,6477
2019,F,1,SE,4653
2019,F,1,SP,45332
2019,F,1,TO,3020
2019,F,2,AC,2309
2019,F,2,AL,6781
2019,F,2,AM,7765
2019,F,2,AP,2469
2019,F,2,BA,31500
2019,F,2,CE,30545
2019,F,2,DF,7931
2019,F,2,ES,9026
2019,F,2,GO,19183
2019,F,2,MA,18119
2019,F,2,MG,51828
2019,F,2,MS,7098
2019,F,2,MT,9155
2019,F,2,PA,18278
2019,F,2,PB,10827
2019,F,2,PE,26216
2019,F,2,PI,10050
2019,F,2,PR,29747
2019,F,2,RJ,29395
2019,F,2,RN,7541
2019,F,2,RO,3970
2019,F,2,RR,1009
2019,F,2,RS,18633
2019,F,2,SC,14810
2019,F,2,SE,5980
2019,F,2,SP,131751
2019,F,2,TO,4631
2019,F,3,AC,2858
2019,F,3,AL,8357
2019,F,3,AM,10351
2019,F,3,AP,2802
2019,F,3,BA,35965
2019,F,3,CE,33421
2019,F,3,DF,9650
2019,F,3,ES,10866
2019,F,3,GO,19519
2019,F,3,MA,20335
2019,F,3,MG,59113
2019,F,3,MS,6485
2019,F,3,MT,9080
2019,F,3,PA,21769
2019,F,3,PB,11807
2019,F,3,PE,27738
2019,F,3,PI,11179
2019,F,3,PR,22381
2019,F,3,RJ,37725
2019,F,3,RN,9667
2019,F,3,RO,5438
2019,F,3,RR,1344
2019,F,3,RS,25836
2019,F,3,SC,16936
2019,F,3,SE,6479
2019,F,3,SP,87212
2019,F,3,TO,4677
2019,F,4,AC,2371
2019,F,4,AL,6313
2019,F,4,AM,7393
2019,F,4,AP,2437
2019,F,4,BA,30085
2019,F,4,CE,19436
2019,F,4,DF,6663
2019,F,4,ES,7544
2019,F,4,GO,10649
2019,F,4,MA,15679
2019,F,4,MG,39228
2019,F,4,MS,4099
2019,F,4,MT,5173
2019,F,4,PA,17452
2019,F,4,PB,9283
2019,F,4,PE,18475
2019,F,4,PI,8792
2019,F,4,PR,12692
2019,F,4,RJ,26991
2019,F,4,RN,8326
2019,F,4,RO,3772
2019,F,4,RR,915
2019,F,4,RS,16169
2019,F,4,SC,6994
2019,F,4,SE,5558
2019,F,4,SP,48004
2019,F,4,TO,3256
2019,F,5,AC,1923
2019,F,5,AL,4656
2019,F,5,AM,5360
2019,F,5,AP,2005
2019,F,5,BA,23257
2019,F,5,CE,12269
2019,F,5,DF,4573
2019,F,5,ES,5197
2019,F,5,GO,6990
2019,F,5,MA,11509
2019,F,5,MG,26774
2019,F,5,MS,2590
2019,F,5,MT,3447
2019,F,5,PA,14071
2019,F,5,PB,7042
2019,F,5,PE,12730
2019,F,5,PI,6238
2019,F,5,PR,7824
2019,F,5,RJ,17537
2019,F,5,RN,6316
2019,F,5,RO,2669
2019,F,5,RR,620
2019,F,5,RS,10972
2019,F,5,SC,3865
2019,F,5,SE,4222
2019,F,5,SP,31008
2019,F,5,TO,2363
2019,F,6,AC,1561
2019,F,6,AL,3592
2019,F,6,AM,4326
2019,F,6,AP,1565
2019,F,6,BA,16260
2019,F,6,CE,8024
2019,F,6,DF,3273
2019,F,6,ES,3438
2019,F,6,GO,4894
2019,F,6,MA,8065
2019,F,6,MG,18259
2019,F,6,MS,2025
2019,F,6,MT,2463
2019,F,6,PA,10446
2019,F,6,PB,5150
2019,F,6,PE,8856
2019,F,6,PI,4570
2019,F,6,PR,5536
2019,F,6,RJ,11280
2019,F,6,RN,4600
2019,F,6,RO,2043
2019,F,6,RR,441
2019,F,6,RS,7530
2019,F,6,SC,2659
2019,F,6,SE,2989
2019,F,6,SP,21419
2019,F,6,TO,1605
2019,F,6,AC,1339
2019,F,6,AL,2802
2019,F,6,AM,3443
2019,F,6,AP,1293
2019,F,6,BA,12845
2019,F,6,CE,6210
2019,F,6,DF,2576
2019,F,6,ES,2710
2019,F,6,GO,3765
2019,F,6,MA,6467
2019,F,6,MG,14537
2019,F,6,MS,1635
2019,F,6,MT,2103
2019,F,6,PA,8575
2019,F,6,PB,4276
2019,F,6,PE,6954
2019,F,6,PI,3553
2019,F,6,PR,4552
2019,F,6,RJ,9028
2019,F,6,RN,3726
2019,F,6,RO,1786
2019,F,6,RR,378
2019,F,6,RS,5967
2019,F,6,SC,1976
2019,F,6,SE,2465
2019,F,6,SP,16718
2019,F,6,TO,1282
2019,F,6,AC,1050
2019,F,6,AL,2350
2019,F,6,AM,3021
2019,F,6,AP,1157
2019,F,6,BA,10158
2019,F,6,CE,4928
2019,F,6,DF,2023
2019,F,6,ES,2105
2019,F,6,GO,2960
2019,F,6,MA,5303
2019,F,6,MG,11280
2019,F,6,MS,1433
2019,F,6,MT,1745
2019,F,6,PA,7448
2019,F,6,PB,3404
2019,F,6,PE,5611
2019,F,6,PI,2789
2019,F,6,PR,3565
2019,F,6,RJ,6942
2019,F,6,RN,2951
2019,F,6,RO,1535
2019,F,6,RR,322
2019,F,6,RS,4701
2019,F,6,SC,1626
2019,F,6,SE,1947
2019,F,6,SP,13221
2019,F,6,TO,1072
2019,F,6,AC,978
2019,F,6,AL,2028
2019,F,6,AM,2561
2019,F,6,AP,988
2019,F,6,BA,8474
2019,F,6,CE,4021
2019,F,6,DF,1735
2019,F,6,ES,1810
2019,F,6,GO,2647
2019,F,6,MA,4299
2019,F,6,MG,9218
2019,F,6,MS,1187
2019,F,6,MT,1494
2019,F,6,PA,6119
2019,F,6,PB,2990
2019,F,6,PE,4634
2019,F,6,PI,2307
2019,F,6,PR,3088
2019,F,6,RJ,5699
2019,F,6,RN,2667
2019,F,6,RO,1260
2019,F,6,RR,256
2019,F,6,RS,3955
2019,F,6,SC,1480
2019,F,6,SE,1643
2019,F,6,SP,10528
2019,F,6,TO,848
2019,F,6,AC,822
2019,F,6,AL,1633
2019,F,6,AM,2118
2019,F,6,AP,878
2019,F,6,BA,7017
2019,F,6,CE,3271
2019,F,6,DF,1436
2019,F,6,ES,1497
2019,F,6,GO,2125
2019,F,6,MA,3439
2019,F,6,MG,7390
2019,F,6,MS,1049
2019,F,6,MT,1244
2019,F,6,PA,5503
2019,F,6,PB,2348
2019,F,6,PE,3756
2019,F,6,PI,1798
2019,F,6,PR,2515
2019,F,6,RJ,4576
2019,F,6,RN,2198
2019,F,6,RO,1240
2019,F,6,RR,219
2019,F,6,RS,3379
2019,F,6,SC,1167
2019,F,6,SE,1396
2019,F,6,SP,8318
2019,F,6,TO,703
2019,F,6,AC,2799
2019,F,6,AL,4987
2019,F,6,AM,7339
2019,F,6,AP,3024
2019,F,6,BA,21158
2019,F,6,CE,10258
2019,F,6,DF,4676
2019,F,6,ES,4807
2019,F,6,GO,6604
2019,F,6,MA,10882
2019,F,6,MG,23135
2019,F,6,MS,3659
2019,F,6,MT,4251
2019,F,6,PA,17971
2019,F,6,PB,8003
2019,F,6,PE,11816
2019,F,6,PI,5784
2019,F,6,PR,7865
2019,F,6,RJ,14222
2019,F,6,RN,6879
2019,F,6,RO,4060
2019,F,6,RR,695
2019,F,6,RS,9949
2019,F,6,SC,3612
2019,F,6,SE,4225
2019,F,6,SP,25805
2019,F,6,TO,2023
2019,F,6,AC,1661
2019,F,6,AL,2987
2019,F,6,AM,4647
2019,F,6,AP,1912
2019,F,6,BA,13146
2019,F,6,CE,6314
2019,F,6,DF,2910
2019,F,6,ES,2793
2019,F,6,GO,3858
2019,F,6,MA,6679
2019,F,6,MG,12761
2019,F,6,MS,2315
2019,F,6,MT,2689
2019,F,6,PA,11194
2019,F,6,PB,4780
2019,F,6,PE,6863
2019,F,6,PI,3562
2019,F,6,PR,4133
2019,F,6,RJ,8237
2019,F,6,RN,4175
2019,F,6,RO,2492
2019,F,6,RR,396
2019,F,6,RS,5961
2019,F,6,SC,1938
2019,F,6,SE,2470
2019,F,6,SP,14977
2019,F,6,TO,1062
2019,F,6,AC,1106
2019,F,6,AL,1873
2019,F,6,AM,3442
2019,F,6,AP,1489
2019,F,6,BA,9305
2019,F,6,CE,4016
2019,F,6,DF,2308
2019,F,6,ES,2103
2019,F,6,GO,2763
2019,F,6,MA,4202
2019,F,6,MG,9524
2019,F,6,MS,1713
2019,F,6,MT,2047
