NU_ANO,TP_SEXO,TP_LOCALIZACAO_ESC,SG_UF_PROVA,QTD
2019,F,1.0,AC,2840
2019,F,1.0,AL,9643
2019,F,1.0,AM,13967
2019,F,1.0,AP,3207
2019,F,1.0,BA,40002
2019,F,1.0,CE,55694
2019,F,1.0,DF,11586
2019,F,1.0,ES,14091
2019,F,1.0,GO,20519
2019,F,1.0,MA,23189
2019,F,1.0,MG,63112
2019,F,1.0,MS,8552
2019,F,1.0,MT,9674
2019,F,1.0,PA,25957
2019,F,1.0,PB,14697
2019,F,1.0,PE,33756
2019,F,1.0,PI,13368
2019,F,1.0,PR,29493
2019,F,1.0,RJ,42693
2019,F,1.0,RN,11357
2019,F,1.0,RO,6696
2019,F,1.0,RR,1199
2019,F,1.0,RS,27054
2019,F,1.0,SC,20180
2019,F,1.0,SE,7831
2019,F,1.0,SP,126478
2019,F,1.0,TO,4758
2019,F,2.0,AC,216
2019,F,2.0,AL,439
2019,F,2.0,AM,540
2019,F,2.0,AP,206
2019,F,2.0,BA,2504
2019,F,2.0,CE,2907
2019,F,2.0,DF,271
2019,F,2.0,ES,513
2019,F,2.0,GO,441
2019,F,2.0,MA,1986
2019,F,2.0,MG,1758
2019,F,2.0,MS,450
2019,F,2.0,MT,742
2019,F,2.0,PA,1072
2019,F,2.0,PB,518
2019,F,2.0,PE,1574
2019,F,2.0,PI,550
2019,F,2.0,PR,1120
2019,F,2.0,RJ,1202
2019,F,2.0,RN,434
2019,F,2.0,RO,248
2019,F,2.0,RR,72
2019,F,2.0,RS,941
2019,F,2.0,SC,491
2019,F,2.0,SE,465
2019,F,2.0,SP,1683
2019,F,2.0,TO,266
2019,M,1.0,AC,2217
2019,M,1.0,AL,6746
2019,M,1.0,AM,10899
2019,M,1.0,AP,2665
2019,M,1.0,BA,26134
2019,M,1.0,CE,50439
2019,M,1.0,DF,8733
2019,M,1.0,ES,10344
2019,M,1.0,GO,14755
2019,M,1.0,MA,16949
2019,M,1.0,MG,41395
2019,M,1.0,MS,6149
2019,M,1.0,MT,7012
2019,M,1.0,PA,18664
2019,M,1.0,PB,11374
2019,M,1.0,PE,25544
2019,M,1.0,PI,9709
2019,M,1.0,PR,21107
2019,M,1.0,RJ,28518
2019,M,1.0,RN,8558
2019,M,1.0,RO,4795
2019,M,1.0,RR,887
2019,M,1.0,RS,17336
2019,M,1.0,SC,13890
2019,M,1.0,SE,5481
2019,M,1.0,SP,90347
2019,M,1.0,TO,3606
2019,M,2.0,AC,159
