NU_ANO,Q006,SG_UF_PROVA,QTD
2019,A,AC,3224
2019,A,AL,6791
2019,A,AM,8733
2019,A,AP,2840
2019,A,BA,29858
2019,A,CE,19117
2019,A,DF,2536
2019,A,ES,2844
2019,A,GO,3687
2019,A,MA,19327
2019,A,MG,12584
2019,A,MS,1777
2019,A,MT,1888
2019,A,PA,19160
2019,A,PB,11491
2019,A,PE,19944
2019,A,PI,12877
2019,A,PR,3061
2019,A,RJ,10898
2019,A,RN,7343
2019,A,RO,2154
2019,A,RR,611
2019,A,RS,3927
2019,A,SC,1271
2019,A,SE,6168
2019,A,SP,15710
2019,A,TO,2249
2019,B,AC,14927
2019,B,AL,35294
2019,B,AM,41168
2019,B,AP,17084
2019,B,BA,148527
2019,B,CE,127477
2019,B,DF,14662
2019,B,ES,18115
2019,B,GO,31149
2019,B,MA,90350
2019,B,MG,96750
2019,B,MS,12733
2019,B,MT,14300
2019,B,PA,107411
2019,B,PB,55979
2019,B,PE,104131
2019,B,PI,50523
2019,B,PR,19215
2019,B,RJ,57565
2019,B,RN,41211
2019,B,RO,13557
2019,B,RR,3642
2019,B,RS,26184
2019,B,SC,7798
2019,B,SE,30574
2019,B,SP,78933
2019,B,TO,13966
2019,C,AC,10296
2019,C,AL,23031
2019,C,AM,36049
2019,C,AP,11637
2019,C,BA,104984
2019,C,CE,78891
2019,C,DF,24194
2019,C,ES,28813
2019,C,GO,49376
2019,C,MA,57892
2019,C,MG,141105
2019,C,MS,20498
2019,C,MT,24634
2019,C,PA,78111
2019,C,PB,37668
2019,C,PE,71023
2019,C,PI,28326
2019,C,PR,48315
2019,C,RJ,89871
2019,C,RN,30170
2019,C,RO,18560
2019,C,RR,3638
2019,C,RS,53924
2019,C,SC,21743
2019,C,SE,19362
2019,C,SP,186457
2019,C,TO,12876
2019,D,AC,2541
2019,D,AL,6567
2019,D,AM,8732
2019,D,AP,2556
2019,D,BA,29558
2019,D,CE,17656
2019,D,DF,9375
2019,D,ES,11882
2019,D,GO,20738
2019,D,MA,13796
2019,D,MG,62841
2019,D,MS,8531
2019,D,MT,10862
2019,D,PA,20652
2019,D,PB,10951
2019,D,PE,20312
2019,D,PI,8090
2019,D,PR,28262
2019,D,RJ,37949
2019,D,RN,9897
2019,D,RO,6232
2019,D,RR,990
2019,D,RS,28751
2019,D,SC,14164
2019,D,SE,5580
2019,D,SP,98167
2019,D,TO,3979
2019,E,AC,2311
2019,E,AL,4964
2019,E,AM,8126
2019,E,AP,2386
2019,E,BA,25516
2019,E,CE,16139
2019,E,DF,9052
2019,E,ES,11786
2019,E,GO,18976
2019,E,MA,12233
2019,E,MG,61058
2019,E,MS,7843
2019,E,MT,10228
2019,E,PA,17391
2019,E,PB,9128
2019,E,PE,17385
2019,E,PI,6352
2019,E,PR,28031
2019,E,RJ,34579
2019,E,RN,8463
2019,E,RO,5927
2019,E,RR,1030
2019,E,RS,26961
2019,E,SC,14762
2019,E,SE,4418
2019,E,SP,106819
2019,E,TO,3690
2019,F,AC,912
2019,F,AL,2395
2019,F,AM,2680
2019,F,AP,929
2019,F,BA,10419
2019,F,CE,6270
2019,F,DF,3962
2019,F,ES,5364
2019,F,GO,8585
2019,F,MA,4628
2019,F,MG,29078
2019,F,MS,3480
2019,F,MT,4626
2019,F,PA,7248
2019,F,PB,4032
2019,F,PE,7285
2019,F,PI,3029
2019,F,PR,15480
2019,F,RJ,17327
2019,F,RN,3911
2019,F,RO,2545
2019,F,RR,442
2019,F,RS,14949
2019,F,SC,8993
2019,F,SE,2067
2019,F,SP,53970
2019,F,TO,1644
2019,G,AC,1231
2019,G,AL,2863
2019,G,AM,3822
2019,G,AP,1361
2019,G,BA,13540
2019,G,CE,8279
2019,G,DF,5314
2019,G,ES,7254
2019,G,GO,10515
2019,G,MA,5904
2019,G,MG,39441
2019,G,MS,4319
2019,G,MT,5987
2019,G,PA,9092
2019,G,PB,5178
2019,G,PE,9461
2019,G,PI,3707
2019,G,PR,20009
2019,G,RJ,21781
2019,G,RN,4995
2019,G,RO,3231
2019,G,RR,614
2019,G,RS,19391
2019,G,SC,12691
2019,G,SE,2562
2019,G,SP,77242
2019,G,TO,2129
2019,H,AC,806
2019,H,AL,2072
2019,H,AM,2294
2019,H,AP,912
2019,H,BA,8653
2019,H,CE,4937
2019,H,DF,4011
2019,H,ES,4134
2019,H,GO,6809
2019,H,MA,3904
2019,H,MG,23951
2019,H,MS,2854
2019,H,MT,3785
2019,H,PA,5673
2019,H,PB,3137
2019,H,PE,6256
2019,H,PI,2495
2019,H,PR,12919
2019,H,RJ,15302
2019,H,RN,3339
2019,H,RO,1869
2019,H,RR,427
2019,H,RS,12237
2019,H,SC,8113
2019,H,SE,1862
2019,H,SP,48755
2019,H,TO,1399
2019,I,AC,611
2019,I,AL,1450
2019,I,AM,1652
2019,I,AP,764
2019,I,BA,6172
2019,I,CE,3825
2019,I,DF,3474
2019,I,ES,3098
2019,I,GO,5137
2019,I,MA,2824
2019,I,MG,17615
2019,I,MS,2125
2019,I,MT,3089
2019,I,PA,4248
2019,I,PB,2343
2019,I,PE,4597
2019,I,PI,1638
2019,I,PR,9369
2019,I,RJ,11480
2019,I,RN,2460
2019,I,RO,1407
2019,I,RR,367
2019,I,RS,8730
2019,I,SC,6081
2019,I,SE,1420
2019,I,SP,36631
2019,I,TO,1043
2019,J,AC,383
2019,J,AL,858
2019,J,AM,953
2019,J,AP,443
2019,J,BA,3576
2019,J,CE,2191
2019,J,DF,2318
2019,J,ES,1685
2019,J,GO,2898
2019,J,MA,1544
2019,J,MG,9515
2019,J,MS,1222
2019,J,MT,1686
2019,J,PA,2368
2019,J,PB,1275
2019,J,PE,2624
2019,J,PI,987
2019,J,PR,5364
2019,J,RJ,7273
2019,J,RN,1339
2019,J,RO,711
2019,J,RR,227
2019,J,RS,4697
2019,J,SC,3124
2019,J,SE,887
2019,J,SP,20046
2019,J,TO,593
2019,K,AC,262
2019,K,AL,621
2019,K,AM,685
2019,K,AP,337
2019,K,BA,2430
2019,K,CE,1532
2019,K,DF,1995
2019,K,ES,1230
2019,K,GO,1988
2019,K,MA,1054
2019,K,MG,6961
2019,K,MS,855
2019,K,MT,1155
2019,K,PA,1568
2019,K,PB,943
2019,K,PE,1851
2019,K,PI,675
2019,K,PR,3711
2019,K,RJ,5397
2019,K,RN,983
2019,K,RO,519
2019,K,RR,161
2019,K,RS,3291
2019,K,SC,2297
2019,K,SE,574
2019,K,SP,14485
2019,K,TO,466
2019,L,AC,204
2019,L,AL,455
2019,L,AM,460
2019,L,AP,252
2019,L,BA,1818
2019,L,CE,1189
2019,L,DF,1685
2019,L,ES,910
2019,L,GO,1582
2019,L,MA,736
2019,L,MG,5280
2019,L,MS,645
2019,L,MT,920
2019,L,PA,1154
2019,L,PB,781
2019,L,PE,1412
2019,L,PI,538
2019,L,PR,2796
2019,L,RJ,4274
2019,L,RN,764
2019,L,RO,339
2019,L,RR,127
2019,L,RS,2569
2019,L,SC,1685
2019,L,SE,418
2019,L,SP,10882
2019,L,TO,312
2019,M,AC,195
2019,M,AL,427
2019,M,AM,476
2019,M,AP,256
2019,M,BA,1804
2019,M,CE,1129
2019,M,DF,1731
2019,M,ES,888
2019,M,GO,1494
2019,M,MA,734
2019,M,MG,5139
2019,M,MS,658
2019,M,MT,881
2019,M,PA,1071
2019,M,PB,702
2019,M,PE,1508
2019,M,PI,525
2019,M,PR,2755
2019,M,RJ,4178
2019,M,RN,746
2019,M,RO,324
2019,M,RR,111
2019,M,RS,2346
2019,M,SC,1417
2019,M,SE,435
2019,M,SP,11036
2019,M,TO,334
2019,N,AC,225
2019,N,AL,582
2019,N,AM,677
2019,N,AP,273
2019,N,BA,2603
2019,N,CE,1734
2019,N,DF,2643
2019,N,ES,1214
2019,N,GO,2040
2019,N,MA,995
2019,N,MG,7181
2019,N,MS,915
2019,N,MT,1254
2019,N,PA,1442
2019,N,PB,1077
2019,N,PE,1999
2019,N,PI,778
2019,N,PR,3767
2019,N,RJ,5950
2019,N,RN,1129
2019,N,RO,409
2019,N,RR,169
2019,N,RS,3297
2019,N,SC,2108
2019,N,SE,614
2019,N,SP,16137
2019,N,TO,433
2019,O,AC,198
2019,O,AL,519
2019,O,AM,576
2019,O,AP,241
2019,O,BA,1976
2019,O,CE,1462
2019,O,DF,2663
2019,O,ES,1008
2019,O,GO,1633
2019,O,MA,788
2019,O,MG,5798
2019,O,MS,733
2019,O,MT,999
2019,O,PA,1035
2019,O,PB,895
2019,O,PE,1686
2019,O,PI,665
2019,O,PR,2958
2019,O,RJ,5014
2019,O,RN,914
2019,O,RO,312
2019,O,RR,141
2019,O,RS,2538
2019,O,SC,1628
2019,O,SE,526
2019,O,SP,12854
2019,O,TO,442
2019,P,AC,149
2019,P,AL,406
2019,P,AM,462
2019,P,AP,157
2019,P,BA,1801
2019,P,CE,1384
2019,P,DF,2656
2019,P,ES,915
2019,P,GO,1412
2019,P,MA,599
2019,P,MG,4660
2019,P,MS,513
2019,P,MT,786
2019,P,PA,854
2019,P,PB,727
2019,P,PE,1560
2019,P,PI,483
2019,P,PR,2375
2019,P,RJ,4650
2019,P,RN,760
2019,P,RO,265
2019,P,RR,116
2019,P,RS,2050
2019,P,SC,1325
2019,P,SE,454
2019,P,SP,11404
2019,P,TO,330
2019,Q,AC,170
2019,Q,AL,529
2019,Q,AM,599
2019,Q,AP,175
2019,Q,BA,2192
2019,Q,CE,1772
2019,Q,DF,3578
2019,Q,ES,1133
2019,Q,GO,1961
2019,Q,MA,766
2019,Q,MG,5668
2019,Q,MS,692
2019,Q,MT,1041
2019,Q,PA,1115
2019,Q,PB,869
2019,Q,PE,2283
2019,Q,PI,624
2019,Q,PR,2919
2019,Q,RJ,6228
2019,Q,RN,895
2019,Q,RO,278
2019,Q,RR,143
2019,Q,RS,2627
2019,Q,SC,1499
2019,Q,SE,567
2019,Q,SP,16462
2019,Q,TO,364
2020,A,AC,5252
2020,A,AL,12219
2020,A,AM,20907
2020,A,AP,5556
2020,A,BA,56890
2020,A,CE,33499
2020,A,DF,5952
2020,A,ES,5410
2020,A,GO,9947
2020,A,MA,33493
2020,A,MG,25002
2020,A,MS,4234
2020,A,MT,4762
2020,A,PA,39394
2020,A,PB,20249
2020,A,PE,38771
2020,A,PI,20823
2020,A,PR,7520
2020,A,RJ,24029
2020,A,RN,12779
2020,A,RO,4869
2020,A,RR,1433
2020,A,RS,9887
2020,A,SC,3285
2020,A,SE,11314
2020,A,SP,36383
2020,A,TO,5352
2020,B,AC,18436
2020,B,AL,45617
2020,B,AM,73869
2020,B,AP,22481
2020,B,BA,197766
2020,B,CE,166823
2020,B,DF,29670
2020,B,ES,28277
2020,B,GO,62452
2020,B,MA,113476
2020,B,MG,146696
2020,B,MS,23139
2020,B,MT,25579
2020,B,PA,152662
2020,B,PB,71456
2020,B,PE,138900
2020,B,PI,61221
2020,B,PR,38418
2020,B,RJ,103034
2020,B,RN,52876
2020,B,RO,23247
2020,B,RR,6266
2020,B,RS,49991
2020,B,SC,16004
2020,B,SE,39601
2020,B,SP,153064
2020,B,TO,23198
2020,C,AC,6627
2020,C,AL,16759
2020,C,AM,28865
2020,C,AP,7301
2020,C,BA,74702
2020,C,CE,49627
2020,C,DF,21490
2020,C,ES,21672
2020,C,GO,46448
2020,C,MA,37733
2020,C,MG,112231
2020,C,MS,18117
2020,C,MT,21082
2020,C,PA,57567
2020,C,PB,26339
2020,C,PE,51493
2020,C,PI,19462
2020,C,PR,45504
2020,C,RJ,76017
2020,C,RN,21327
2020,C,RO,14838
2020,C,RR,2999
2020,C,RS,50648
2020,C,SC,21176
2020,C,SE,13059
2020,C,SP,166166
2020,C,TO,10640
2020,D,AC,3594
2020,D,AL,9547
2020,D,AM,14560
2020,D,AP,3614
2020,D,BA,43491
2020,D,CE,27436
2020,D,DF,14228
2020,D,ES,15585
2020,D,GO,32289
2020,D,MA,20260
2020,D,MG,90902
2020,D,MS,12993
2020,D,MT,15631
2020,D,PA,31031
2020,D,PB,16151
2020,D,PE,29808
2020,D,PI,11688
2020,D,PR,39754
2020,D,RJ,51541
2020,D,RN,14207
2020,D,RO,9697
2020,D,RR,1924
2020,D,RS,39045
2020,D,SC,19185
2020,D,SE,7999
2020,D,SP,140423
2020,D,TO,6564
2020,E,AC,1457
2020,E,AL,3695
2020,E,AM,5621
2020,E,AP,1479
2020,E,BA,17032
2020,E,CE,10276
2020,E,DF,6362
2020,E,ES,7810
2020,E,GO,14375
2020,E,MA,7605
2020,E,MG,43590
2020,E,MS,5495
2020,E,MT,7179
2020,E,PA,12096
2020,E,PB,6234
2020,E,PE,12116
2020,E,PI,4403
2020,E,PR,21617
2020,E,RJ,25197
2020,E,RN,6002
2020,E,RO,4043
2020,E,RR,847
2020,E,RS,21415
2020,E,SC,11586
2020,E,SE,3003
2020,E,SP,76112
2020,E,TO,2699
2020,F,AC,1536
2020,F,AL,3670
2020,F,AM,5230
2020,F,AP,1645
2020,F,BA,17007
2020,F,CE,10142
2020,F,DF,6612
2020,F,ES,7829
2020,F,GO,13707
2020,F,MA,7780
2020,F,MG,45624
2020,F,MS,5608
2020,F,MT,7323
2020,F,PA,12347
2020,F,PB,6313
2020,F,PE,11793
2020,F,PI,4897
2020,F,PR,23571
2020,F,RJ,25673
2020,F,RN,6112
2020,F,RO,4186
2020,F,RR,973
2020,F,RS,22154
2020,F,SC,13212
2020,F,SE,3143
2020,F,SP,84394
2020,F,TO,3000
2020,G,AC,1042
2020,G,AL,2616
2020,G,AM,3562
2020,G,AP,1184
2020,G,BA,11367
2020,G,CE,7063
2020,G,DF,4804
2020,G,ES,5354
2020,G,GO,8892
2020,G,MA,5101
2020,G,MG,32098
2020,G,MS,3680
2020,G,MT,4957
2020,G,PA,8185
2020,G,PB,4338
2020,G,PE,8301
2020,G,PI,3384
2020,G,PR,17078
2020,G,RJ,18227
2020,G,RN,4472
2020,G,RO,2736
2020,G,RR,661
2020,G,RS,16222
2020,G,SC,10372
2020,G,SE,2316
2020,G,SP,62584
2020,G,TO,1984
2020,H,AC,848
2020,H,AL,1832
2020,H,AM,2378
2020,H,AP,936
2020,H,BA,7564
2020,H,CE,4612
2020,H,DF,3982
2020,H,ES,3409
2020,H,GO,5844
2020,H,MA,3604
2020,H,MG,20700
2020,H,MS,2585
2020,H,MT,3491
2020,H,PA,5326
2020,H,PB,2833
2020,H,PE,5680
2020,H,PI,2093
2020,H,PR,11347
2020,H,RJ,13218
2020,H,RN,3044
2020,H,RO,1719
2020,H,RR,487
2020,H,RS,10793
2020,H,SC,7045
2020,H,SE,1709
2020,H,SP,42863
2020,H,TO,1374
2020,I,AC,463
2020,I,AL,1102
2020,I,AM,1277
2020,I,AP,518
2020,I,BA,4271
2020,I,CE,2647
2020,I,DF,2774
2020,I,ES,1953
2020,I,GO,3512
2020,I,MA,1966
2020,I,MG,11705
2020,I,MS,1557
2020,I,MT,2025
2020,I,PA,3062
2020,I,PB,1521
2020,I,PE,3166
2020,I,PI,1190
2020,I,PR,6578
2020,I,RJ,8208
2020,I,RN,1800
2020,I,RO,953
2020,I,RR,287
2020,I,RS,5947
2020,I,SC,3974
2020,I,SE,1000
2020,I,SP,24676
2020,I,TO,769
2020,J,AC,285
2020,J,AL,597
2020,J,AM,699
2020,J,AP,351
2020,J,BA,2472
2020,J,CE,1548
2020,J,DF,1944
2020,J,ES,1184
2020,J,GO,2020
2020,J,MA,1063
2020,J,MG,6770
2020,J,MS,899
2020,J,MT,1114
2020,J,PA,1628
2020,J,PB,912
2020,J,PE,1944
2020,J,PI,723
2020,J,PR,3711
2020,J,RJ,5218
2020,J,RN,1057
2020,J,RO,490
2020,J,RR,166
2020,J,RS,3419
2020,J,SC,2295
2020,J,SE,605
2020,J,SP,14718
2020,J,TO,460
2020,K,AC,195
2020,K,AL,487
2020,K,AM,562
2020,K,AP,262
2020,K,BA,1886
2020,K,CE,1213
2020,K,DF,1771
2020,K,ES,906
2020,K,GO,1539
2020,K,MA,771
2020,K,MG,5367
2020,K,MS,642
2020,K,MT,883
2020,K,PA,1257
2020,K,PB,778
2020,K,PE,1585
2020,K,PI,508
2020,K,PR,2970
2020,K,RJ,4165
2020,K,RN,832
2020,K,RO,342
2020,K,RR,128
2020,K,RS,2560
2020,K,SC,1683
2020,K,SE,514
2020,K,SP,11442
2020,K,TO,308
2020,L,AC,155
2020,L,AL,340
2020,L,AM,401
2020,L,AP,183
2020,L,BA,1448
2020,L,CE,950
2020,L,DF,1394
2020,L,ES,712
2020,L,GO,1117
2020,L,MA,607
2020,L,MG,3938
2020,L,MS,518
2020,L,MT,663
2020,L,PA,902
2020,L,PB,600
2020,L,PE,1152
2020,L,PI,386
2020,L,PR,2153
2020,L,RJ,3150
2020,L,RN,589
2020,L,RO,271
2020,L,RR,111
2020,L,RS,1964
2020,L,SC,1312
2020,L,SE,329
2020,L,SP,8783
2020,L,TO,257
2020,M,AC,204
2020,M,AL,458
2020,M,AM,574
2020,M,AP,242
2020,M,BA,1865
2020,M,CE,1293
2020,M,DF,2113
2020,M,ES,921
2020,M,GO,1483
2020,M,MA,802
2020,M,MG,5231
2020,M,MS,765
2020,M,MT,892
2020,M,PA,1219
