ANO,Q024,UF,INSCRICOES,PARTICIPANTES
2019,A,AC,26141,18087
2019,A,AL,53243,38822
2019,A,AM,75546,45985
2019,A,AP,29341,20014
2019,A,BA,216786,152614
2019,A,CE,188335,138088
2019,A,DF,30649,19741
2019,A,ES,37801,24632
2019,A,GO,74140,50491
2019,A,MA,154923,114483
2019,A,MG,184228,124771
2019,A,MS,31826,20333
2019,A,MT,38974,24954
2019,A,PA,194020,140645
2019,A,PB,79873,60436
2019,A,PE,149132,107055
2019,A,PI,78718,60427
2019,A,PR,64880,41638
2019,A,RJ,118866,79306
2019,A,RN,60042,43894
2019,A,RO,30278,19962
2019,A,RR,6746,4298
2019,A,RS,69570,45203
2019,A,SC,31288,19785
2019,A,SE,46896,34843
2019,A,SP,246600,153625
2019,A,TO,26581,18392
2019,B,AC,10913,8097
2019,B,AL,31326,24223
2019,B,AM,36154,23960
2019,B,AP,11141,8157
2019,B,BA,155999,116430
2019,B,CE,89048,68731
2019,B,DF,46006,32966
2019,B,ES,52271,37931
2019,B,GO,79076,59473
2019,B,MA,55145,42046
2019,B,MG,282840,210898
2019,B,MS,31360,22589
2019,B,MT,40706,28717
2019,B,PA,73578,56105
2019,B,PB,56400,44069
2019,B,PE,105632,81356
2019,B,PI,37118,29404
2019,B,PR,110573,80884
2019,B,RJ,169918,124994
2019,B,RN,49145,38296
2019,B,RO,24520,17702
2019,B,RR,4870,3428
2019,B,RS,115531,84094
2019,B,SC,59308,43728
2019,B,SE,26641,20824
2019,B,SP,431088,315353
2019,B,TO,16635,12289
2019,C,AC,1212,937
2019,C,AL,3806,3151
2019,C,AM,4724,3340
2019,C,AP,1538,1220
2019,C,BA,16667,13463
2019,C,CE,12623,10340
2019,C,DF,11955,9176
2019,C,ES,8842,6995
2019,C,GO,12368,10086
2019,C,MA,6048,4849
2019,C,MG,48403,38719
2019,C,MS,5245,4230
2019,C,MT,6211,4763
2019,C,PA,8977,7330
2019,C,PB,7828,6431
2019,C,PE,14331,11764
2019,C,PI,4759,3903
2019,C,PR,25058,19855
2019,C,RJ,34650,27408
2019,C,RN,7286,5992
2019,C,RO,2993,2370
2019,C,RR,909,703
2019,C,RS,23958,18826
2019,C,SC,14280,11502
2019,C,SE,3545,3001
2019,C,SP,94152,76479
2019,C,TO,2228,1767
2019,D,AC,298,241
2019,D,AL,1059,884
2019,D,AM,1238,927
2019,D,AP,442,363
2019,D,BA,4464,3638
2019,D,CE,3551,2959
2019,D,DF,4747,3732
2019,D,ES,2483,2002
2019,D,GO,3213,2650
2019,D,MA,1476,1187
2019,D,MG,13577,11130
2019,D,MS,1475,1224
2019,D,MT,1666,1376
2019,D,PA,2239,1887
2019,D,PB,2193,1876
2019,D,PE,4401,3728
2019,D,PI,1286,1069
2019,D,PR,7746,6277
2019,D,RJ,11227,9176
2019,D,RN,2040,1687
2019,D,RO,664,554
2019,D,RR,300,254
2019,D,RS,6726,5494
2019,D,SC,4235,3519
2019,D,SE,1032,868
2019,D,SP,30276,25464
2019,D,TO,599,515
2019,E,AC,81,65
2019,E,AL,390,327
2019,E,AM,482,367
2019,E,AP,141,120
2019,E,BA,1511,1254
2019,E,CE,1427,1186
2019,E,DF,2492,1926
2019,E,ES,876,698
2019,E,GO,1183,966
2019,E,MA,482,405
2019,E,MG,5577,4565
2019,E,MS,487,403
2019,E,MT,564,455
2019,E,PA,779,653
2019,E,PB,882,729
2019,E,PE,1821,1513
2019,E,PI,431,362
2019,E,PR,3049,2501
2019,E,RJ,5055,4134
2019,E,RN,806,688
2019,E,RO,184,148
2019,E,RR,131,114
2019,E,RS,2684,2206
2019,E,SC,1588,1328
2019,E,SE,374,324
2019,E,SP,13874,11761
2019,E,TO,206,163
2020,A,AC,27940,11938
2020,A,AL,63290,29651
2020,A,AM,108530,30220
2020,A,AP,32596,12778
2020,A,BA,263498,113782
2020,A,CE,215641,96880
2020,A,DF,41196,15463
2020,A,ES,42902,15809
2020,A,GO,104156,36656
2020,A,MA,171507,77668
2020,A,MG,216086,80481
2020,A,MS,40943,12926
2020,A,MT,48039,15967
2020,A,PA,236576,105150
2020,A,PB,93213,46131
2020,A,PE,183778,81239
2020,A,PI,87980,42256
2020,A,PR,79904,27890
2020,A,RJ,151665,55473
2020,A,RN,68618,31842
2020,A,RO,38169,11104
2020,A,RR,9617,3025
2020,A,RS,90063,32467
2020,A,SC,37741,11732
2020,A,SE,55053,26002
2020,A,SP,300156,94831
2020,A,TO,36125,13355
2020,B,AC,11102,5324
2020,B,AL,31908,17701
2020,B,AM,44315,15639
2020,B,AP,11640,5269
2020,B,BA,157875,78178
2020,B,CE,89108,48525
2020,B,DF,51099,23850
2020,B,ES,49645,23099
2020,B,GO,87883,41738
2020,B,MA,56803,29592
2020,B,MG,283228,133242
2020,B,MS,34060,14547
2020,B,MT,42089,18227
2020,B,PA,80950,40582
2020,B,PB,57352,31278
2020,B,PE,107683,57286
2020,B,PI,38715,20909
2020,B,PR,115899,54496
2020,B,RJ,176888,83835
2020,B,RN,49999,26838
2020,B,RO,26571,9605
2020,B,RR,5773,2367
2020,B,RS,121419,57485
2020,B,SC,59669,27712
2020,B,SE,26829,14819
2020,B,SP,434817,193866
2020,B,TO,18670,9101
2020,C,AC,1227,703
2020,C,AL,3945,2631
2020,C,AM,5589,2451
2020,C,AP,1623,875
2020,C,BA,16920,10232
2020,C,CE,12473,7882
2020,C,DF,12537,7139
2020,C,ES,8512,4891
2020,C,GO,12421,7491
2020,C,MA,6406,3993
2020,C,MG,48881,28048
2020,C,MS,5380,3052
2020,C,MT,6353,3528
2020,C,PA,9492,5690
2020,C,PB,7662,4955
2020,C,PE,14502,9131
2020,C,PI,4773,2982
2020,C,PR,25538,15101
2020,C,RJ,34339,20433
2020,C,RN,7422,4684
2020,C,RO,3011,1376
2020,C,RR,1014,535
2020,C,RS,24022,14160
2020,C,SC,14427,8298
2020,C,SE,3559,2364
2020,C,SP,95164,55209
2020,C,TO,2544,1516
2020,D,AC,314,185
2020,D,AL,1149,820
2020,D,AM,1488,681
2020,D,AP,437,266
2020,D,BA,4685,2975
2020,D,CE,3816,2575
2020,D,DF,5280,3266
2020,D,ES,2480,1569
2020,D,GO,3508,2256
2020,D,MA,1567,1071
2020,D,MG,14284,8632
2020,D,MS,1643,1005
2020,D,MT,1776,1097
2020,D,PA,2422,1515
2020,D,PB,2319,1634
2020,D,PE,4792,3257
2020,D,PI,1328,828
2020,D,PR,8190,5297
2020,D,RJ,11955,7640
2020,D,RN,2202,1483
2020,D,RO,678,320
2020,D,RR,306,177
2020,D,RS,7298,4635
2020,D,SC,4502,2827
2020,D,SE,1047,721
2020,D,SP,33781,21124
2020,D,TO,683,453
2020,E,AC,88,47
2020,E,AL,425,279
2020,E,AM,608,282
2020,E,AP,186,114
2020,E,BA,1758,1161
2020,E,CE,1532,1046
2020,E,DF,3058,1868
2020,E,ES,990,639
2020,E,GO,1376,891
2020,E,MA,551,397
2020,E,MG,6044,3694
2020,E,MS,598,373
2020,E,MT,654,419
2020,E,PA,867,548
2020,E,PB,940,664
2020,E,PE,2117,1396
2020,E,PI,491,328
2020,E,PR,3680,2394
2020,E,RJ,5840,3759
2020,E,RN,860,603
2020,E,RO,212,108
2020,E,RR,126,81
2020,E,RS,3072,1920
2020,E,SC,1845,1202
2020,E,SE,405,283
2020,E,SP,17964,11180
2020,E,TO,219,143
2021,A,AC,12144,7073
2021,A,AL,31395,19943
2021,A,AM,58675,25669
2021,A,AP,13291,7259
2021,A,BA,140378,84725
2021,A,CE,144042,85593
2021,A,DF,17301,9471
2021,A,ES,21456,11853
2021,A,GO,59991,29478
2021,A,MA,84170,53361
2021,A,MG,96009,53771
2021,A,MS,16437,8610
2021,A,MT,21548,11311
2021,A,PA,121544,73801
2021,A,PB,53587,34754
2021,A,PE,104951,65719
2021,A,PI,47198,31972
2021,A,PR,36044,19667
2021,A,RJ,74931,41614
2021,A,RN,35905,22991
2021,A,RO,14865,7132
2021,A,RR,3773,1955
2021,A,RS,39497,21306
2021,A,SC,19213,10141
2021,A,SE,30333,19770
2021,A,SP,122099,65171
2021,A,TO,15747,9016
2021,B,AC,6543,4349
2021,B,AL,19661,14208
2021,B,AM,24454,14239
2021,B,AP,6406,4132
2021,B,BA,100505,69643
2021,B,CE,58705,42636
2021,B,DF,29786,19783
2021,B,ES,30931,20845
2021,B,GO,58023,39159
2021,B,MA,35413,24949
2021,B,MG,163634,111104
2021,B,MS,19013,12632
2021,B,MT,25578,16726
2021,B,PA,51860,35563
2021,B,PB,37256,26783
2021,B,PE,67910,48626
2021,B,PI,25625,18811
