NU_ANO,Q025,SG_UF_PROVA,INSCRICOES,PARTICIPANTES
2019,A,AC,19035,13022
2019,A,AL,23653,17079
2019,A,AM,54340,32889
2019,A,AP,21129,14331
2019,A,BA,92839,64791
2019,A,CE,96733,69981
2019,A,DF,14132,8706
2019,A,ES,14228,9165
2019,A,GO,30226,19886
2019,A,MA,103294,75801
2019,A,MG,83575,55842
2019,A,MS,15096,9396
2019,A,MT,20606,12889
2019,A,PA,139034,100474
2019,A,PB,33411,25035
2019,A,PE,52759,37185
2019,A,PI,51118,38935
2019,A,PR,22411,13920
2019,A,RJ,44515,28551
2019,A,RN,25942,18825
2019,A,RO,15878,10417
2019,A,RR,4747,3031
2019,A,RS,29167,18616
2019,A,SC,8513,4975
2019,A,SE,23993,17575
2019,A,SP,84437,49929
2019,A,TO,15627,10704
2019,B,AC,19610,14405
2019,B,AL,66171,50328
2019,B,AM,63804,41690
2019,B,AP,21474,15543
2019,B,BA,302588,222608
2019,B,CE,198251,151323
2019,B,DF,81717,58835
2019,B,ES,88045,63093
2019,B,GO,139754,103780
2019,B,MA,114780,87169
2019,B,MG,451050,334241
2019,B,MS,55297,39383
2019,B,MT,67515,47376
2019,B,PA,140559,106146
2019,B,PB,113765,88506
2019,B,PE,222558,168231
2019,B,PI,71194,56230
2019,B,PR,188895,137235
2019,B,RJ,295201,216467
2019,B,RN,93377,71732
2019,B,RO,42761,30319
2019,B,RR,8209,5766
2019,B,RS,189302,137207
2019,B,SC,102186,74887
2019,B,SE,54495,42285
2019,B,SP,731553,532753
2019,B,TO,30622,22422
2020,A,AC,17293,7339
2020,A,AL,20279,9201
2020,A,AM,63769,17401
2020,A,AP,18008,7063
2020,A,BA,84110,35908
2020,A,CE,85902,36890
2020,A,DF,14503,5096
2020,A,ES,11683,4182
2020,A,GO,32485,10104
2020,A,MA,89762,40214
2020,A,MG,69829,25330
2020,A,MS,15096,4576
2020,A,MT,19311,6214
2020,A,PA,136201,60504
2020,A,PB,28075,13769
2020,A,PE,46868,19108
2020,A,PI,43718,20830
2020,A,PR,19880,6427
2020,A,RJ,44289,15131
2020,A,RN,21066,9800
2020,A,RO,14039,4097
2020,A,RR,4801,1519
2020,A,RS,27727,9558
2020,A,SC,7978,2253
2020,A,SE,22733,10218
2020,A,SP,76239,22283
2020,A,TO,16688,5922
2020,B,AC,23378,10858
2020,B,AL,80438,41881
2020,B,AM,96761,31872
2020,B,AP,28474,12239
2020,B,BA,360626,170420
2020,B,CE,236668,120018
2020,B,DF,98667,46490
2020,B,ES,92846,41825
2020,B,GO,176859,78928
2020,B,MA,147072,72507
2020,B,MG,498694,228767
2020,B,MS,67528,27327
2020,B,MT,79600,33024
2020,B,PA,194106,92981
2020,B,PB,133411,70893
2020,B,PE,266004,133201
2020,B,PI,89569,46473
2020,B,PR,213331,98751
2020,B,RJ,336398,156009
2020,B,RN,108035,55650
2020,B,RO,54602,18416
2020,B,RR,12035,4666
2020,B,RS,218147,101109
2020,B,SC,110206,49518
2020,B,SE,64160,33971
2020,B,SP,805643,353927
2020,B,TO,41553,18646
2021,A,AC,5427,3074
2021,A,AL,6231,3785
2021,A,AM,28556,11626
2021,A,AP,4682,2437
2021,A,BA,27596,15802
2021,A,CE,40702,20905
2021,A,DF,3731,1803
2021,A,ES,3477,1816
2021,A,GO,11640,4371
2021,A,MA,29562,18026
2021,A,MG,18679,10009
2021,A,MS,3558,1716
2021,A,MT,5087,2406
2021,A,PA,50267,29766
2021,A,PB,10727,6687
2021,A,PE,17993,9753
2021,A,PI,14405,9553
2021,A,PR,4634,2250
2021,A,RJ,15167,7527
2021,A,RN,6530,4049
2021,A,RO,3001,1300
2021,A,RR,1012,486
2021,A,RS,6777,3383
2021,A,SC,2264,1012
2021,A,SE,8287,5116
2021,A,SP,17813,8325
2021,A,TO,4393,2384
2021,B,AC,14909,9644
2021,B,AL,50353,34918
2021,B,AM,61222,32934
2021,B,AP,17092,10560
2021,B,BA,238598,158991
2021,B,CE,179815,121918
2021,B,DF,63770,43202
2021,B,ES,60704,40232
2021,B,GO,125275,79473
2021,B,MA,98343,66889
2021,B,MG,309150,209288
2021,B,MS,38932,25139
2021,B,MT,50998,32625
2021,B,PA,135711,89591
2021,B,PB,91275,64113
2021,B,PE,175623,121774
2021,B,PI,65564,47108
2021,B,PR,139648,93865
2021,B,RJ,223180,150136
2021,B,RN,74289,52314
2021,B,RO,29800,17404
2021,B,RR,7044,4355
2021,B,RS,143707,97499
2021,B,SC,78501,53282
2021,B,SE,45509,32247
2021,B,SP,492140,341823
2021,B,TO,26480,17415
2022,A,AC,5650,3172
2022,A,AL,6703,4070
2022,A,AM,22276,9917
2022,A,AP,4742,2633
2022,A,BA,27376,17173
2022,A,CE,35546,20989
2022,A,DF,3174,1698
2022,A,ES,3085,1666
2022,A,GO,8987,4002
2022,A,MA,27130,16916
2022,A,MG,15415,8906
2022,A,MS,3382,1685
2022,A,MT,4378,2219
2022,A,PA,50638,31177
2022,A,PB,10283,6570
2022,A,PE,15738,9446
2022,A,PI,13530,9008
2022,A,PR,4465,2280
2022,A,RJ,15962,8478
2022,A,RN,6946,4406
2022,A,RO,2426,1187
2022,A,RR,826,382
2022,A,RS,6165,3229
2022,A,SC,2106,1019
2022,A,SE,8692,5669
2022,A,SP,17102,8614
2022,A,TO,3650,2042
2022,B,AC,16951,11108
2022,B,AL,57242,39355
2022,B,AM,58710,31302
2022,B,AP,17932,11619
2022,B,BA,237790,165937
2022,B,CE,190831,135398
2022,B,DF,62227,42874
2022,B,ES,60615,40701
2022,B,GO,132635,85850
2022,B,MA,105786,73217
2022,B,MG,294366,205537
2022,B,MS,41301,26436
2022,B,MT,55003,35080
2022,B,PA,151983,103268
2022,B,PB,92955,66154
2022,B,PE,173857,120915
2022,B,PI,70870,51302
2022,B,PR,145931,97766
2022,B,RJ,234928,160376
2022,B,RN,81103,57611
2022,B,RO,29543,18396
2022,B,RR,7608,4508
2022,B,RS,146130,98643
2022,B,SC,80685,54877
2022,B,SE,49620,36368
2022,B,SP,527340,364638
2022,B,TO,25790,17034
2023,A,AC,5456,2999
2023,A,AL,9556,5582
2023,A,AM,23984,11044
2023,A,AP,5654,3153
2023,A,BA,35939,22196
2023,A,CE,34688,22713
2023,A,DF,4106,2250
2023,A,ES,3473,1834
2023,A,GO,9336,4739
2023,A,MA,32941,21029
2023,A,MG,19229,11256
2023,A,MS,3276,1771
2023,A,MT,4763,2595
2023,A,PA,53399,33275
2023,A,PB,13913,8896
2023,A,PE,19370,12110
2023,A,PI,15476,10279
2023,A,PR,5403,2990
2023,A,RJ,20742,10567
2023,A,RN,8328,5430
2023,A,RO,2717,1458
2023,A,RR,960,480
2023,A,RS,6432,3458
2023,A,SC,2443,1160
2023,A,SE,9586,6380
2023,A,SP,20569,10635
2023,A,TO,3765,2141
2023,B,AC,18818,12100
2023,B,AL,73204,49371
2023,B,AM,68932,36865
2023,B,AP,23153,15024
2023,B,BA,288329,198061
2023,B,CE,207272,150987
2023,B,DF,68869,48017
2023,B,ES,70251,47401
2023,B,GO,139774,91612
2023,B,MA,132815,91453
2023,B,MG,339346,238759
2023,B,MS,44179,29468
2023,B,MT,59149,38886
2023,B,PA,175763,120018
2023,B,PB,110598,78707
2023,B,PE,199489,140464
2023,B,PI,84163,60482
2023,B,PR,161103,111786
2023,B,RJ,261554,173935
2023,B,RN,92378,67375
2023,B,RO,33321,21541
2023,B,RR,8679,5590
2023,B,RS,153487,107277
2023,B,SC,88820,61540
2023,B,SE,55954,40809
2023,B,SP,570198,398845
2023,B,TO,28853,19471
