ANO,TP_ESCOLA,UF,INSCRICOES,PARTICIPANTES
2019,1,AC,31533,21395
2019,1,AL,68131,48840
2019,1,AM,87288,50670
2019,1,AP,34251,22873
2019,1,BA,303350,209334
2019,1,CE,177158,128157
2019,1,DF,68599,43765
2019,1,ES,72550,47030
2019,1,GO,120438,81519
2019,1,MA,164089,117666
2019,1,MG,392865,270662
2019,1,MS,49677,31525
2019,1,MT,64188,40611
2019,1,PA,218530,154398
2019,1,PB,114163,84665
2019,1,PE,202079,144301
2019,1,PI,92511,69053
2019,1,PR,138980,93144
2019,1,RJ,238374,159293
2019,1,RN,93496,67905
2019,1,RO,44019,29015
2019,1,RR,9887,6372
2019,1,RS,156828,104291
2019,1,SC,66408,43996
2019,1,SE,60744,44417
2019,1,SP,524910,346921
2019,1,TO,34264,22970
2019,2,AC,6730,5665
2019,2,AL,17591,14569
2019,2,AM,29200,22381
2019,2,AP,7706,6375
2019,2,BA,78785,65223
2019,2,CE,108597,84234
2019,2,DF,20708,17628
2019,2,ES,26435,22091
2019,2,GO,42336,35321
2019,2,MA,50348,41807
2019,2,MG,124911,103158
2019,2,MS,18692,15347
2019,2,MT,21677,17504
2019,2,PA,53669,45031
2019,2,PB,27501,23474
2019,2,PE,63322,51541
2019,2,PI,25824,22257
2019,2,PR,61495,48318
2019,2,RJ,74809,60431
2019,2,RN,21723,18684
2019,2,RO,14037,11168
2019,2,RR,2829,2193
2019,2,RS,53389,43918
2019,2,SC,38367,30376
2019,2,SE,14170,11977
2019,2,SP,231222,179755
2019,2,TO,11161,9399
2019,3,AC,382,367
2019,3,AL,4102,3998
2019,3,AM,1656,1528
2019,3,AP,646,626
2019,3,BA,13292,12842
2019,3,CE,9229,8913
2019,3,DF,6542,6148
2019,3,ES,3288,3137
2019,3,GO,7206,6826
2019,3,MA,3637,3497
2019,3,MG,16849,16263
2019,3,MS,2024,1907
2019,3,MT,2256,2150
2019,3,PA,7394,7191
2019,3,PB,5512,5402
2019,3,PE,9916,9574
2019,3,PI,3977,3855
2019,3,PR,10831,9693
2019,3,RJ,26533,25294
2019,3,RN,4100,3968
2019,3,RO,583,553
2019,3,RR,240,232
2019,3,RS,8252,7614
2019,3,SC,5924,5490
2019,3,SE,3574,3466
2019,3,SP,59858,56006
2019,3,TO,824,757
2020,1,AC,35174,14336
2020,1,AL,81874,38936
2020,1,AM,119751,33288
2020,1,AP,40333,15473
2020,1,BA,355963,146525
2020,1,CE,207485,98185
2020,1,DF,89555,33980
2020,1,ES,79773,29956
2020,1,GO,143192,55558
2020,1,MA,193238,85814
2020,1,MG,451952,179505
2020,1,MS,64638,21119
2020,1,MT,78610,26844
2020,1,PA,274021,118238
2020,1,PB,132746,64281
2020,1,PE,240718,109947
2020,1,PI,108593,50253
2020,1,PR,167070,63708
2020,1,RJ,292229,114724
2020,1,RN,107708,49940
2020,1,RO,54055,16277
2020,1,RR,13143,4302
2020,1,RS,191042,75748
2020,1,SC,80566,30456
2020,1,SE,69659,32989
2020,1,SP,670175,247247
2020,1,TO,44019,17050
2020,2,AC,6349,3959
2020,2,AL,17060,9634
2020,2,AM,42127,15752
2020,2,AP,6388,3660
2020,2,BA,79811,50432
2020,2,CE,110241,52709
2020,2,DF,21191,13749
2020,2,ES,23073,14017
2020,2,GO,61423,28482
2020,2,MA,42040,24737
2020,2,MG,109819,64020
2020,2,MS,17927,9660
2020,2,MT,20916,11293
2020,2,PA,50399,29861
2020,2,PB,27052,16786
2020,2,PE,65778,35202
2020,2,PI,22591,14328
2020,2,PR,61603,34883
2020,2,RJ,70982,38590
2020,2,RN,19704,12732
2020,2,RO,15059,6134
2020,2,RR,3505,1717
2020,2,RS,50340,30091
2020,2,SC,35020,17997
2020,2,SE,15253,8715
2020,2,SP,184401,94607
2020,2,TO,14444,7110
2020,3,AC,301,268
2020,3,AL,3617,3133
2020,3,AM,1548,1150
2020,3,AP,542,435
2020,3,BA,11917,10404
2020,3,CE,7954,6976
2020,3,DF,6186,5022
2020,3,ES,2966,2440
2020,3,GO,6454,5481
2020,3,MA,2994,2661
2020,3,MG,15440,13207
2020,3,MS,1983,1598
2020,3,MT,2201,1857
2020,3,PA,6463,5602
2020,3,PB,5167,4779
2020,3,PE,9073,8012
2020,3,PI,3494,3176
2020,3,PR,10962,8517
2020,3,RJ,24269,19995
2020,3,RN,3813,3470
2020,3,RO,480,342
2020,3,RR,237,180
2020,3,RS,7748,5751
2020,3,SC,5567,4076
2020,3,SE,3293,2941
2020,3,SP,55916,41049
2020,3,TO,746,623
2021,1,AC,15337,9041
2021,1,AL,41753,26774
2021,1,AM,47518,23102
2021,1,AP,16888,9382
2021,1,BA,177170,110917
2021,1,CE,109896,72535
2021,1,DF,45912,27486
2021,1,ES,41192,24103
2021,1,GO,73700,46727
2021,1,MA,93701,58375
2021,1,MG,231485,145511
2021,1,MS,27081,15454
2021,1,MT,38177,21932
2021,1,PA,143058,86204
2021,1,PB,75225,50065
2021,1,PE,132351,85842
2021,1,PI,59192,39597
2021,1,PR,85810,51519
2021,1,RJ,163887,98825
2021,1,RN,60961,39942
2021,1,RO,21810,11677
2021,1,RR,5623,3209
2021,1,RS,100900,62430
2021,1,SC,45900,28510
2021,1,SE,39427,25980
2021,1,SP,324674,203152
2021,1,TO,20349,12419
2021,2,AC,4710,3398
2021,2,AL,11372,8684
2021,2,AM,40768,20136
2021,2,AP,4377,3130
2021,2,BA,76984,52410
2021,2,CE,103057,63099
2021,2,DF,15949,12184
2021,2,ES,20199,15371
2021,2,GO,57071,31345
2021,2,MA,31190,23687
2021,2,MG,80965,59196
2021,2,MS,13545,9650
2021,2,MT,15694,11004
2021,2,PA,36907,27457
2021,2,PB,22051,16170
2021,2,PE,52601,37400
2021,2,PI,17357,13760
2021,2,PR,47972,35286
2021,2,RJ,51299,37177
2021,2,RN,16205,12894
2021,2,RO,10483,6550
2021,2,RR,2268,1484
2021,2,RS,42032,31429
2021,2,SC,29057,20594
2021,2,SE,11337,8476
2021,2,SP,133348,99344
2021,2,TO,9813,6721
2021,3,AC,289,279
2021,3,AL,3459,3245
2021,3,AM,1492,1322
2021,3,AP,509,485
2021,3,BA,12040,11466
2021,3,CE,7564,7189
2021,3,DF,5640,5335
2021,3,ES,2790,2574
2021,3,GO,6144,5772
2021,3,MA,3014,2853
2021,3,MG,15379,14590
2021,3,MS,1864,1751
2021,3,MT,2214,2095
2021,3,PA,6013,5696
2021,3,PB,4726,4565
2021,3,PE,8664,8285
2021,3,PI,3420,3304
2021,3,PR,10500,9310
2021,3,RJ,23161,21661
2021,3,RN,3654,3527
2021,3,RO,508,477
2021,3,RR,165,148
2021,3,RS,7552,7023
2021,3,SC,5808,5190
2021,3,SE,3032,2907
2021,3,SP,51932,47653
2021,3,TO,711,659
2022,1,AC,15968,9550
2022,1,AL,42555,27995
2022,1,AM,43355,21284
2022,1,AP,16259,9585
2022,1,BA,184671,122559
2022,1,CE,112338,76493
2022,1,DF,40980,25384
2022,1,ES,37656,22558
2022,1,GO,71882,46746
2022,1,MA,90680,58749
2022,1,MG,209576,137275
2022,1,MS,26240,15126
2022,1,MT,36143,20981
2022,1,PA,146400,92653
2022,1,PB,71555,48926
2022,1,PE,123219,81399
2022,1,PI,59632,40532
2022,1,PR,81505,50967
2022,1,RJ,157918,99240
2022,1,RN,63437,42140
2022,1,RO,18724,11074
2022,1,RR,5500,3093
2022,1,RS,95158,59091
2022,1,SC,42240,26427
2022,1,SE,40188,27980
2022,1,SP,307038,198123
2022,1,TO,17728,11162
2022,2,AC,6248,4357
2022,2,AL,17713,11997
2022,2,AM,35916,18447
2022,2,AP,5850,4140
2022,2,BA,68003,48709
2022,2,CE,106069,72339
2022,2,DF,18268,13441
2022,2,ES,22782,16855
2022,2,GO,62447,36367
2022,2,MA,38918,28246
2022,2,MG,83263,61095
2022,2,MS,16252,10997
2022,2,MT,20478,13750
2022,2,PA,49597,35515
2022,2,PB,26585,18866
2022,2,PE,57372,40342
2022,2,PI,21158,16285
2022,2,PR,57072,38786
2022,2,RJ,67873,46022
2022,2,RN,20379,15801
2022,2,RO,12621,7950
2022,2,RR,2698,1580
2022,2,RS,48573,35026
2022,2,SC,33682,23296
2022,2,SE,15007,11087
2022,2,SP,179632,122372
2022,2,TO,10899,7185
2022,3,AC,385,373
2022,3,AL,3677,3433
2022,3,AM,1715,1488
2022,3,AP,565,527
