NU_ANO,TP_FAIXA_ETARIA,SG_UF_PROVA,INSCRICOES,PARTICIPANTES
2019,1,AC,1879,1655
2019,1,AL,5602,5002
2019,1,AM,5069,3556
2019,1,AP,2379,2070
2019,1,BA,27978,24794
2019,1,CE,26651,24286
2019,1,DF,5416,4495
2019,1,ES,5751,5010
2019,1,GO,19839,17352
2019,1,MA,18098,15851
2019,1,MG,41820,36938
2019,1,MS,6393,5482
2019,1,MT,7952,6708
2019,1,PA,19575,17380
2019,1,PB,12974,11986
2019,1,PE,26977,23920
2019,1,PI,11266,10276
2019,1,PR,20491,17632
2019,1,RJ,20059,17303
2019,1,RN,5887,5296
2019,1,RO,3234,2804
2019,1,RR,949,772
2019,1,RS,11254,9743
2019,1,SC,9651,8456
2019,1,SE,7362,6708
2019,1,SP,71544,62411
2019,1,TO,4611,4057
2019,2,AC,3808,3437
2019,2,AL,11065,9995
2019,2,AM,13200,10907
2019,2,AP,4149,3693
2019,2,BA,48956,44058
2019,2,CE,53184,48196
2019,2,DF,13474,12277
2019,2,ES,14716,13312
2019,2,GO,31474,27775
2019,2,MA,29404,26000
2019,2,MG,82368,73279
2019,2,MS,11825,10459
2019,2,MT,14993,12978
2019,2,PA,30074,27289
2019,2,PB,17884,16620
2019,2,PE,43168,38557
2019,2,PI,16385,15144
2019,2,PR,49453,42078
2019,2,RJ,47551,42580
2019,2,RN,12463,11439
2019,2,RO,6289,5572
2019,2,RR,1695,1408
2019,2,RS,29212,25959
2019,2,SC,23803,20534
2019,2,SE,9561,8815
2019,2,SP,219723,185768
2019,2,TO,7407,6555
2019,3,AC,4906,4153
2019,3,AL,13492,11571
2019,3,AM,18061,14003
2019,3,AP,5058,4281
2019,3,BA,56564,47839
2019,3,CE,61119,50914
2019,3,DF,15907,13462
2019,3,ES,18156,15358
2019,3,GO,32640,26908
2019,3,MA,33748,28333
2019,3,MG,94912,78818
2019,3,MS,10881,8802
2019,3,MT,15340,12178
2019,3,PA,36088,31128
2019,3,PB,20057,17412
2019,3,PE,46713,38551
2019,3,PI,18818,16450
2019,3,PR,37095,28310
2019,3,RJ,61253,51608
2019,3,RN,16013,14232
2019,3,RO,9012,7461
2019,3,RR,2197,1712
2019,3,RS,41909,35285
2019,3,SC,27758,21830
2019,3,SE,10618,9239
2019,3,SP,148054,113522
2019,3,TO,7797,6385
2019,4,AC,4039,3172
2019,4,AL,10641,8460
2019,4,AM,12908,8922
2019,4,AP,4323,3338
2019,4,BA,47881,37339
2019,4,CE,36377,26588
2019,4,DF,11030,8209
2019,4,ES,12842,9444
2019,4,GO,17731,12589
2019,4,MA,26891,20974
2019,4,MG,63791,47714
2019,4,MS,6851,4886
2019,4,MT,8756,6069
2019,4,PA,29649,23687
2019,4,PB,15919,12816
2019,4,PE,31513,23938
2019,4,PI,14961,12066
2019,4,PR,21258,14684
2019,4,RJ,44397,33398
2019,4,RN,14007,11640
2019,4,RO,6093,4479
2019,4,RR,1541,1128
2019,4,RS,25749,18952
2019,4,SC,11775,7821
2019,4,SE,9069,7318
2019,4,SP,81675,56553
2019,4,TO,5488,4000
2019,5,AC,3346,2423
2019,5,AL,7967,5955
2019,5,AM,9570,6069
2019,5,AP,3518,2527
2019,5,BA,37605,27157
2019,5,CE,23121,15661
2019,5,DF,7948,5442
2019,5,ES,8867,5910
2019,5,GO,11878,7713
2019,5,MA,19954,14677
2019,5,MG,44665,31116
2019,5,MS,4684,3023
2019,5,MT,6047,3788
2019,5,PA,24174,18133
2019,5,PB,12339,9455
2019,5,PE,22147,15880
2019,5,PI,10768,8162
2019,5,PR,14101,9446
2019,5,RJ,30139,20954
2019,5,RN,11006,8566
2019,5,RO,4480,3047
2019,5,RR,1065,708
2019,5,RS,18942,12966
2019,5,SC,6639,4186
2019,5,SE,7174,5393
2019,5,SP,53196,34353
2019,5,TO,4038,2703
2019,6,AC,2655,1796
2019,6,AL,6047,4286
2019,6,AM,7564,4552
2019,6,AP,2719,1878
2019,6,BA,26359,17880
2019,6,CE,14908,9703
2019,6,DF,5892,3768
2019,6,ES,6112,3800
2019,6,GO,8436,5132
2019,6,MA,13888,9796
2019,6,MG,31224,20714
2019,6,MS,3610,2219
2019,6,MT,4406,2667
2019,6,PA,18089,12777
2019,6,PB,9259,6810
2019,6,PE,15430,10515
2019,6,PI,8031,5815
2019,6,PR,10079,6239
2019,6,RJ,19896,12966
2019,6,RN,8192,6011
2019,6,RO,3462,2176
2019,6,RR,774,490
2019,6,RS,13287,8536
2019,6,SC,4621,2760
2019,6,SE,5200,3673
2019,6,SP,37346,22588
2019,6,TO,2821,1754
2019,7,AC,2300,1510
2019,7,AL,4840,3308
2019,7,AM,6140,3540
2019,7,AP,2238,1457
2019,7,BA,21203,13784
2019,7,CE,11518,7244
2019,7,DF,4472,2758
2019,7,ES,4786,2876
2019,7,GO,6597,3935
2019,7,MA,11112,7552
2019,7,MG,25176,15873
2019,7,MS,3012,1742
2019,7,MT,3659,2083
2019,7,PA,14841,10060
2019,7,PB,7725,5466
2019,7,PE,12273,8065
2019,7,PI,6097,4243
2019,7,PR,8367,4996
2019,7,RJ,16173,9957
2019,7,RN,6647,4690
2019,7,RO,2945,1813
2019,7,RR,667,408
2019,7,RS,10573,6505
2019,7,SC,3649,2121
2019,7,SE,4219,2910
2019,7,SP,29577,17008
2019,7,TO,2228,1321
2019,8,AC,1863,1157
2019,8,AL,3954,2541
2019,8,AM,5271,2886
2019,8,AP,2005,1258
2019,8,BA,16762,10559
2019,8,CE,9099,5494
2019,8,DF,3559,2085
2019,8,ES,3703,2127
2019,8,GO,5385,2988
2019,8,MA,9060,5920
2019,8,MG,19848,12179
2019,8,MS,2485,1388
2019,8,MT,3091,1659
2019,8,PA,12653,8264
2019,8,PB,6213,4293
2019,8,PE,9874,6251
2019,8,PI,4913,3366
2019,8,PR,6695,3902
2019,8,RJ,12499,7335
2019,8,RN,5401,3655
2019,8,RO,2584,1555
2019,8,RR,511,271
2019,8,RS,8610,5160
2019,8,SC,2966,1661
2019,8,SE,3298,2196
2019,8,SP,23586,13098
2019,8,TO,1791,992
2019,9,AC,1642,1006
2019,9,AL,3417,2222
2019,9,AM,4405,2355
2019,9,AP,1645,984
2019,9,BA,13853,8374
2019,9,CE,7388,4291
2019,9,DF,3105,1740
2019,9,ES,3212,1700
2019,9,GO,4628,2498
2019,9,MA,7344,4591
2019,9,MG,16368,9599
2019,9,MS,2185,1195
2019,9,MT,2640,1454
2019,9,PA,10368,6609
2019,9,PB,5448,3609
2019,9,PE,8338,5058
2019,9,PI,3944,2579
2019,9,PR,5699,3239
2019,9,RJ,10148,5913
2019,9,RN,4894,3246
2019,9,RO,2157,1297
2019,9,RR,452,280
2019,9,RS,7115,4094
2019,9,SC,2708,1426
2019,9,SE,2796,1791
2019,9,SP,18897,10134
2019,9,TO,1463,812
