ANO,TP_LOCALIZACAO_ESC,UF,INSCRICOES,PARTICIPANTES
2019,1.0,AC,5057,4377
2019,1.0,AL,16389,14010
2019,1.0,AM,24866,19503
2019,1.0,AP,5872,4998
2019,1.0,BA,66136,56179
2019,1.0,CE,106133,83673
2019,1.0,DF,20319,17966
2019,1.0,ES,24435,20869
2019,1.0,GO,35274,30260
2019,1.0,MA,40138,34013
2019,1.0,MG,104507,88659
2019,1.0,MS,14701,12455
2019,1.0,MT,16686,13902
2019,1.0,PA,44621,38545
2019,1.0,PB,26071,22801
2019,1.0,PE,59300,49497
2019,1.0,PI,23077,20397
2019,1.0,PR,50600,40860
2019,1.0,RJ,71211,60395
2019,1.0,RN,19915,17594
2019,1.0,RO,11491,9269
2019,1.0,RR,2086,1655
2019,1.0,RS,44390,37497
2019,1.0,SC,34070,27708
2019,1.0,SE,13312,11593
2019,1.0,SP,216825,175021
2019,1.0,TO,8364,7113
2019,2.0,AC,375,296
2019,2.0,AL,738,564
2019,2.0,AM,997,697
2019,2.0,AP,392,306
2019,2.0,BA,3916,3237
2019,2.0,CE,5716,4265
2019,2.0,DF,422,360
2019,2.0,ES,942,850
2019,2.0,GO,828,754
2019,2.0,MA,3449,2538
2019,2.0,MG,3107,2759
2019,2.0,MS,805,663
2019,2.0,MT,1322,1099
2019,2.0,PA,1782,1446
2019,2.0,PB,894,744
2019,2.0,PE,2720,2077
2019,2.0,PI,937,723
2019,2.0,PR,1944,1420
2019,2.0,RJ,1972,1475
2019,2.0,RN,710,623
2019,2.0,RO,508,425
2019,2.0,RR,122,100
2019,2.0,RS,1717,1501
2019,2.0,SC,964,821
2019,2.0,SE,789,656
2019,2.0,SP,2958,2232
2019,2.0,TO,515,448
2020,1.0,AC,3403,2316
2020,1.0,AL,13125,8443
2020,1.0,AM,28317,10625
2020,1.0,AP,3479,2136
2020,1.0,BA,44889,30601
2020,1.0,CE,98844,49643
2020,1.0,DF,19272,13839
2020,1.0,ES,17744,11635
2020,1.0,GO,39131,19694
2020,1.0,MA,23838,15062
2020,1.0,MG,69582,45531
2020,1.0,MS,11431,6719
2020,1.0,MT,13778,8209
2020,1.0,PA,31439,20458
2020,1.0,PB,19090,13304
2020,1.0,PE,45820,26742
2020,1.0,PI,14937,10441
2020,1.0,PR,42035,26289
2020,1.0,RJ,61123,39712
2020,1.0,RN,14219,10483
2020,1.0,RO,9426,3978
2020,1.0,RR,2263,1198
2020,1.0,RS,35469,22398
2020,1.0,SC,26920,15334
2020,1.0,SE,10645,6589
2020,1.0,SP,165387,97402
2020,1.0,TO,7742,3752
2020,2.0,AC,231,114
2020,2.0,AL,604,250
2020,2.0,AM,1773,282
2020,2.0,AP,186,75
2020,2.0,BA,2272,1248
2020,2.0,CE,5767,2342
2020,2.0,DF,404,247
2020,2.0,ES,622,440
2020,2.0,GO,801,439
2020,2.0,MA,2410,1201
2020,2.0,MG,1934,1394
2020,2.0,MS,531,259
2020,2.0,MT,943,502
2020,2.0,PA,1443,686
2020,2.0,PB,550,317
2020,2.0,PE,2079,932
2020,2.0,PI,640,324
2020,2.0,PR,991,503
2020,2.0,RJ,1298,637
2020,2.0,RN,450,338
2020,2.0,RO,457,204
2020,2.0,RR,187,90
2020,2.0,RS,1009,675
2020,2.0,SC,595,333
2020,2.0,SE,593,312
2020,2.0,SP,1912,975
2020,2.0,TO,539,257
2021,1.0,AC,2918,2190
2021,1.0,AL,10127,8287
2021,1.0,AM,31035,15113
2021,1.0,AP,2798,2134
2021,1.0,BA,45736,33417
2021,1.0,CE,87240,55256
2021,1.0,DF,16717,14000
2021,1.0,ES,16902,13295
2021,1.0,GO,43647,24121
2021,1.0,MA,19568,15469
2021,1.0,MG,62292,48971
2021,1.0,MS,10255,7744
2021,1.0,MT,11875,8893
2021,1.0,PA,25675,20260
2021,1.0,PB,16620,13057
2021,1.0,PE,39039,28910
2021,1.0,PI,13016,10916
2021,1.0,PR,41204,32130
2021,1.0,RJ,53497,43406
2021,1.0,RN,12781,10879
2021,1.0,RO,7260,4669
2021,1.0,RR,1666,1176
2021,1.0,RS,34577,27087
2021,1.0,SC,26058,19579
2021,1.0,SE,8373,6701
2021,1.0,SP,138517,112121
2021,1.0,TO,6038,4205
2021,2.0,AC,179,110
2021,2.0,AL,346,258
2021,2.0,AM,2307,711
2021,2.0,AP,119,65
2021,2.0,BA,2084,1405
2021,2.0,CE,5359,2949
2021,2.0,DF,376,290
2021,2.0,ES,662,554
2021,2.0,GO,961,590
2021,2.0,MA,1586,1065
2021,2.0,MG,1935,1588
2021,2.0,MS,520,348
2021,2.0,MT,878,638
2021,2.0,PA,1090,745
2021,2.0,PB,576,417
2021,2.0,PE,1785,1154
2021,2.0,PI,411,269
2021,2.0,PR,1079,801
2021,2.0,RJ,1029,774
2021,2.0,RN,417,349
2021,2.0,RO,395,253
2021,2.0,RR,120,64
2021,2.0,RS,1218,982
2021,2.0,SC,683,512
2021,2.0,SE,381,233
2021,2.0,SP,1485,1092
2021,2.0,TO,394,249
2022,1.0,AC,4048,2861
2022,1.0,AL,14651,10590
2022,1.0,AM,25956,13494
2022,1.0,AP,3690,2793
2022,1.0,BA,42208,31832
2022,1.0,CE,96852,67204
2022,1.0,DF,18942,15325
2022,1.0,ES,19139,14627
2022,1.0,GO,46657,27566
2022,1.0,MA,25064,18828
2022,1.0,MG,66663,51873
2022,1.0,MS,12463,8940
2022,1.0,MT,15835,11306
2022,1.0,PA,32972,24957
2022,1.0,PB,20446,15365
2022,1.0,PE,42274,31007
2022,1.0,PI,15692,12680
2022,1.0,PR,48632,35366
2022,1.0,RJ,67016,50951
2022,1.0,RN,16600,13666
2022,1.0,RO,9174,5780
2022,1.0,RR,2033,1307
2022,1.0,RS,40501,30621
2022,1.0,SC,30736,22578
2022,1.0,SE,10682,8293
2022,1.0,SP,182421,136007
2022,1.0,TO,7062,4702
2022,2.0,AC,324,189
2022,2.0,AL,680,366
2022,2.0,AM,1752,645
2022,2.0,AP,243,125
2022,2.0,BA,2188,1513
2022,2.0,CE,5521,3758
2022,2.0,DF,410,300
2022,2.0,ES,735,618
2022,2.0,GO,858,517
2022,2.0,MA,2620,1744
2022,2.0,MG,2006,1654
2022,2.0,MS,702,428
2022,2.0,MT,1045,707
2022,2.0,PA,1653,1061
2022,2.0,PB,631,409
2022,2.0,PE,1897,1257
2022,2.0,PI,614,409
2022,2.0,PR,1496,984
2022,2.0,RJ,1461,977
2022,2.0,RN,504,397
2022,2.0,RO,504,348
2022,2.0,RR,188,83
2022,2.0,RS,1390,1100
2022,2.0,SC,826,625
2022,2.0,SE,465,361
2022,2.0,SP,2312,1487
2022,2.0,TO,510,334
2023,1.0,AC,3727,2700
2023,1.0,AL,19429,13180
2023,1.0,AM,24952,14060
2023,1.0,AP,4077,3366
2023,1.0,BA,41092,33217
2023,1.0,CE,92501,69888
2023,1.0,DF,19644,16314
2023,1.0,ES,19678,15294
2023,1.0,GO,44987,27966
2023,1.0,MA,28604,21370
2023,1.0,MG,64829,51042
2023,1.0,MS,11292,8793
2023,1.0,MT,15650,11490
2023,1.0,PA,33109,26604
2023,1.0,PB,23642,17417
2023,1.0,PE,43542,33528
2023,1.0,PI,17556,14092
2023,1.0,PR,52480,38761
2023,1.0,RJ,62388,48398
2023,1.0,RN,16576,14278
2023,1.0,RO,9765,6705
2023,1.0,RR,2063,1475
2023,1.0,RS,38461,31083
2023,1.0,SC,31002,23298
2023,1.0,SE,10186,8328
2023,1.0,SP,184931,139876
2023,1.0,TO,6693,4594
2023,2.0,AC,470,261
2023,2.0,AL,1048,526
2023,2.0,AM,1569,575
2023,2.0,AP,252,156
2023,2.0,BA,2331,1706
2023,2.0,CE,5633,4128
2023,2.0,DF,389,311
2023,2.0,ES,860,720
2023,2.0,GO,908,572
2023,2.0,MA,3256,2112
2023,2.0,MG,2043,1750
2023,2.0,MS,632,446
