ANO,UF,INSCRICOES,PARTICIPANTES
2019,AC,38645,27427
2019,AL,89824,67407
2019,AM,118144,74579
2019,AP,42603,29874
2019,BA,395427,287399
2019,CE,294984,221304
2019,DF,95849,67541
2019,ES,102273,72258
2019,GO,169980,123666
2019,MA,218074,162970
2019,MG,534625,390083
2019,MS,70393,48779
2019,MT,88121,60265
2019,PA,279593,206620
2019,PB,147176,113541
2019,PE,275317,205416
2019,PI,122312,95165
2019,PR,211306,151155
2019,RJ,339716,245018
2019,RN,119319,90557
2019,RO,58639,40736
2019,RR,12956,8797
2019,RS,218469,155823
2019,SC,110699,79862
2019,SE,78488,59860
2019,SP,815990,582682
2019,TO,46249,33126
2020,AC,41824,18563
2020,AL,102551,51703
2020,AM,163426,50190
2020,AP,47263,19568
2020,BA,447691,207361
2020,CE,325680,157870
2020,DF,116932,52751
2020,ES,105812,46413
2020,GO,211069,89521
2020,MA,238272,113212
2020,MG,577211,256732
2020,MS,84548,32377
2020,MT,101727,39994
2020,PA,330883,153701
2020,PB,164965,85846
2020,PE,315569,153161
2020,PI,134678,67757
2020,PR,239635,107108
2020,RJ,387480,173309
2020,RN,131225,66142
2020,RO,69594,22753
2020,RR,16885,6199
2020,RS,249130,111590
2020,SC,121153,52529
2020,SE,88205,44645
2020,SP,910492,382903
2020,TO,59209,24783
2021,AC,20336,12718
2021,AL,56584,38703
2021,AM,89778,44560
2021,AP,21774,12997
2021,BA,266194,174793
2021,CE,220517,142823
2021,DF,67501,45005
2021,ES,64181,42048
2021,GO,136915,83844
2021,MA,127905,84915
2021,MG,327829,219297
2021,MS,42490,26855
2021,MT,56085,35031
2021,PA,185978,119357
2021,PB,102002,70800
2021,PE,193616,131527
2021,PI,79969,56661
2021,PR,144282,96115
2021,RJ,238347,157663
2021,RN,80820,56363
2021,RO,32801,18704
2021,RR,8056,4841
2021,RS,150484,100882
2021,SC,80765,54294
2021,SE,53796,37363
2021,SP,509954,350149
2021,TO,30873,19799
2022,AC,22601,14280
2022,AL,63945,43425
2022,AM,80986,41219
2022,AP,22674,14252
2022,BA,265166,183110
2022,CE,226377,156387
2022,DF,65401,44572
2022,ES,63700,42367
2022,GO,141622,89852
2022,MA,132916,90133
2022,MG,309781,214443
2022,MS,44683,28121
2022,MT,59381,37299
2022,PA,202621,134445
2022,PB,103238,72724
2022,PE,189595,130361
2022,PI,84400,60310
2022,PR,150396,100046
2022,RJ,250890,168854
2022,RN,88049,62017
2022,RO,31969,19583
2022,RR,8434,4890
2022,RS,152295,101872
2022,SC,82791,55896
2022,SE,58312,42037
2022,SP,544442,373252
2022,TO,29440,19076
2023,AC,24274,15099
2023,AL,82760,54953
2023,AM,92916,47909
2023,AP,28807,18177
2023,BA,324268,220257
2023,CE,241960,173700
2023,DF,72975,50267
2023,ES,73724,49235
2023,GO,149110,96351
2023,MA,165756,112482
2023,MG,358575,250015
2023,MS,47455,31239
2023,MT,63912,41481
2023,PA,229162,153293
2023,PB,124511,87603
2023,PE,218859,152574
2023,PI,99639,70761
2023,PR,166506,114776
2023,RJ,282296,184502
2023,RN,100706,72805
2023,RO,36038,22999
2023,RR,9639,6070
2023,RS,159919,110735
2023,SC,91263,62700
2023,SE,65540,47189
2023,SP,590767,409480
2023,TO,32618,21612
